Nome: MARIA DA FE
Codigo Estacao: A531
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.43
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-30;null;null;null;null;
2006-12-01;null;null;null;null;
2006-12-02;null;18.3;77;1;
2006-12-03;0;20.1;78.5;1.2;
2006-12-04;0;20.3;82.6;1.5;
2006-12-05;null;null;93;.8;
2006-12-06;9.8;19.3;88.8;.8;
2006-12-07;0;19.6;81.1;1.1;
2006-12-08;0;17.3;79.4;.8;
2006-12-09;0;18.4;89.4;1;
2006-12-10;1.8;19.9;84.1;1;
2006-12-11;1;19.3;80.2;1;
2006-12-12;2.2;19.6;78.7;1.4;
2006-12-13;0;19.6;81.9;1.3;
2006-12-14;8.2;19.3;89.3;1.5;
2006-12-15;20.4;18.9;94.2;1.1;
2006-12-16;12.4;19.5;85.9;1.3;
2006-12-17;0;20.2;85.8;.9;
2006-12-18;8;21.6;75.4;1.2;
2006-12-19;0;21;78.2;1.1;
2006-12-20;0;19.4;89;.9;
2006-12-21;10.6;19;91.6;1;
2006-12-22;34.6;20.1;88.4;.7;
2006-12-23;0;null;90.5;null;
2006-12-24;null;20;88.3;.6;
2006-12-25;null;null;null;null;
2006-12-26;null;null;89;null;
2006-12-27;20.2;20.3;83.5;1;
2006-12-28;1.8;19.6;85;1;
2006-12-29;.2;19.7;77.5;1.3;
2006-12-30;0;18.4;90.1;1.1;
2006-12-31;16.6;17.7;94.1;1.9;
2007-01-01;37.4;16.9;94.2;2.3;
2007-01-02;16.8;18.2;90.6;1.7;
2007-01-03;14.4;18.4;94.2;.7;
2007-01-04;49.4;18.8;94.7;.6;
2007-01-05;55.8;18.2;95.7;.8;
2007-01-06;41.4;18.7;91.6;1.3;
2007-01-07;9.8;20.1;85.5;1.1;
2007-01-08;29.4;null;95.8;.3;
2007-01-09;null;19.9;91.2;.5;
2007-01-10;2.8;20;89.3;.6;
2007-01-11;7;19.9;80.4;.5;
2007-01-12;0;21.3;78.5;1.2;
2007-01-13;.4;19.7;91.1;.5;
2007-01-14;47;20.2;86.4;.8;
2007-01-15;10.2;18;94.6;.5;
2007-01-16;13.4;17.5;88.3;1.1;
2007-01-17;1.4;18.3;93.3;1.4;
2007-01-18;59.2;18.9;91.8;1.1;
2007-01-19;40.4;null;93.9;.4;
2007-01-20;null;null;97.1;null;
2007-01-21;null;null;null;null;
2007-01-22;null;null;null;null;
2007-01-23;null;null;null;null;
2007-01-24;null;null;null;null;
2007-01-25;null;null;null;null;
2007-01-26;null;null;null;null;
2007-01-27;null;null;null;null;
2007-01-28;null;null;null;null;
2007-01-29;null;null;null;null;
2007-01-30;null;null;90.5;null;
2007-01-31;null;null;90.6;.7;
2007-02-01;null;null;85.7;.7;
2007-02-02;null;20.3;90.3;.7;
2007-02-03;16.8;null;89.3;.3;
2007-02-04;null;18.7;84.3;.5;
2007-02-05;0;19.6;86.7;1.1;
2007-02-06;14.8;19.5;90.6;1.5;
2007-02-07;4.2;20;90.9;1.1;
2007-02-08;4.8;null;90.6;1.1;
2007-02-09;null;null;81.9;null;
2007-02-10;null;null;81.8;.8;
2007-02-11;null;19.3;89.3;.7;
2007-02-12;null;null;82.8;1.1;
2007-02-13;null;16.7;79.6;.7;
2007-02-14;.2;18.3;75.7;.9;
2007-02-15;0;18.1;80.6;.9;
2007-02-16;.2;19;79.4;.9;
2007-02-17;0;19.8;79.9;.7;
2007-02-18;0;20.4;83.1;.6;
2007-02-19;8.4;19.9;84.7;.9;
2007-02-20;4.6;21.5;80.7;1.8;
2007-02-21;0;20.6;76.2;1;
2007-02-22;0;20.4;70.6;1.1;
2007-02-23;0;20;73.1;.7;
2007-02-24;.2;18.6;82.7;.6;
2007-02-25;32.6;null;86.5;null;
2007-02-26;null;null;null;null;
2007-02-27;null;null;null;null;
2007-02-28;null;null;null;null;
2007-03-01;null;null;null;null;
2007-03-02;null;null;77.5;.9;
2007-03-03;null;null;null;null;
2007-03-04;null;18.2;77.7;.6;
2007-03-05;0;18.9;77.7;.6;
2007-03-06;0;19.9;74.8;.6;
2007-03-07;null;null;88.9;null;
2007-03-08;null;null;null;null;
2007-03-09;null;null;null;null;
2007-03-10;null;null;null;null;
2007-03-11;null;null;null;null;
2007-03-12;null;null;null;null;
2007-03-13;null;null;null;null;
2007-03-14;null;null;null;null;
2007-03-15;null;null;null;null;
2007-03-16;null;null;null;null;
2007-03-17;null;null;null;null;
2007-03-18;null;null;null;null;
2007-03-19;null;null;null;null;
2007-03-20;null;null;null;null;
2007-03-21;null;null;null;null;
2007-03-22;null;null;null;null;
2007-03-23;null;null;null;null;
2007-03-24;null;null;null;null;
2007-03-25;null;null;null;null;
2007-03-26;null;null;null;null;
2007-03-27;null;null;null;null;
2007-03-28;null;null;null;null;
2007-03-29;null;null;null;null;
2007-03-30;null;null;null;null;
2007-03-31;null;null;null;null;
2007-04-01;null;null;null;null;
2007-04-02;null;null;null;null;
2007-04-03;null;null;null;null;
2007-04-04;null;null;null;null;
2007-04-05;null;null;null;null;
2007-04-06;null;null;null;null;
2007-04-07;null;null;null;null;
2007-04-08;null;null;null;null;
2007-04-09;null;null;null;null;
2007-04-10;null;null;null;null;
2007-04-11;null;null;null;null;
2007-04-12;null;null;null;null;
2007-04-13;null;null;null;null;
2007-04-14;null;null;null;null;
2007-04-15;null;null;null;null;
2007-04-16;null;null;null;null;
2007-04-17;null;null;null;null;
2007-04-18;null;null;null;null;
2007-04-19;null;null;null;null;
2007-04-20;null;null;null;null;
2007-04-21;null;null;null;null;
2007-04-22;null;null;null;null;
2007-04-23;null;null;null;null;
2007-04-24;null;null;null;null;
2007-04-25;null;null;null;null;
2007-04-26;null;null;null;null;
2007-04-27;null;null;null;null;
2007-04-28;null;null;null;null;
2007-04-29;null;null;null;null;
2007-04-30;null;null;null;null;
2007-05-01;null;null;null;null;
2007-05-02;null;null;null;null;
2007-05-03;null;null;null;null;
2007-05-04;null;null;null;null;
2007-05-05;null;null;null;null;
2007-05-06;null;null;null;null;
2007-05-07;null;null;null;null;
2007-05-08;null;null;null;null;
2007-05-09;null;null;null;null;
2007-05-10;null;null;null;null;
2007-05-11;null;null;null;null;
2007-05-12;null;null;null;null;
2007-05-13;null;null;null;null;
2007-05-14;null;null;null;null;
2007-05-15;null;null;null;null;
2007-05-16;null;null;null;null;
2007-05-17;null;null;null;null;
2007-05-18;null;null;null;null;
2007-05-19;null;null;null;null;
2007-05-20;null;null;null;null;
2007-05-21;null;null;null;null;
2007-05-22;null;null;null;null;
