Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.48194443
Longitude: -45.59388888
Altitude: 721.09
Situacao: Operante
Data Inicial: 2007-05-31
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-31;null;null;null;null;
2007-06-01;null;null;null;null;
2007-06-02;null;21.7;64.4;2.6;
2007-06-03;.2;20.9;74.9;2.9;
2007-06-04;2;17.4;63.3;2.5;
2007-06-05;0;16.2;62.7;1.6;
2007-06-06;0;18.2;61.2;1.8;
2007-06-07;0;19;57.9;1.7;
2007-06-08;0;20.3;58;1.4;
2007-06-09;0;20.1;62.2;2.1;
2007-06-10;0;20.2;60.1;1.6;
2007-06-11;null;null;55.8;1.9;
2007-06-12;0;19.7;58.6;1.4;
2007-06-13;0;19.7;61.3;2;
2007-06-14;0;20.6;62.5;1.5;
2007-06-15;0;21;62.8;1.7;
2007-06-16;0;21.3;58.5;1.6;
2007-06-17;0;20.8;56.7;1.7;
2007-06-18;0;20.2;61.1;1.9;
2007-06-19;0;19.5;60.3;2.4;
2007-06-20;0;18.7;59.3;2.8;
2007-06-21;0;19.4;61.7;2.4;
2007-06-22;0;19.1;61.5;2.9;
2007-06-23;0;18.6;62.4;1.6;
2007-06-24;0;19.3;63;1.4;
2007-06-25;0;19.1;64.1;2.9;
2007-06-26;0;19.3;64;2;
2007-06-27;0;19.2;65.8;1.6;
2007-06-28;0;19.7;60.5;1.3;
2007-06-29;0;20.7;54.8;1.4;
2007-06-30;0;20.5;57.2;1.4;
2007-07-01;0;20;57.8;1.6;
2007-07-02;0;19.3;55.2;1.7;
2007-07-03;0;19.2;55.2;1.5;
2007-07-04;0;19.3;60.7;1.5;
2007-07-05;0;19.5;64.6;2.2;
2007-07-06;0;20;63;1.8;
2007-07-07;0;19.5;57.1;2.3;
2007-07-08;0;19.5;52.7;1.6;
2007-07-09;0;20.1;56.8;2.2;
2007-07-10;0;20.2;59.1;2.1;
2007-07-11;0;20.8;53.9;1.4;
2007-07-12;0;19.8;56.4;2.5;
2007-07-13;0;19.3;53.8;2.3;
2007-07-14;0;19.3;51.5;1.8;
2007-07-15;0;20.5;51.8;1.4;
2007-07-16;0;21.4;51.3;2.2;
2007-07-17;0;19.9;62.9;3.3;
2007-07-18;0;20.2;66.2;2.3;
2007-07-19;0;19.4;57.2;2.4;
2007-07-20;0;18.9;48.2;1.9;
2007-07-21;0;20.6;50.5;1.7;
2007-07-22;0;21.6;49.7;3;
2007-07-23;0;23.4;49.3;3.2;
2007-07-24;.4;23.6;62;2;
2007-07-25;0;22.3;59.7;3.8;
2007-07-26;0;19;59.2;3;
2007-07-27;1;15.9;76.6;3;
2007-07-28;19.6;17.9;86.9;1.8;
2007-07-29;0;17.5;73.8;2.7;
2007-07-30;0;14.2;66.3;2.6;
2007-07-31;0;15.3;61.9;2.1;
2007-08-01;0;17.7;53;2.1;
2007-08-02;0;18.6;55.5;1.4;
2007-08-03;0;18.7;55.4;2.4;
2007-08-04;0;19.1;58.3;1.9;
2007-08-05;0;20.5;53.2;1.6;
2007-08-06;0;19.6;58.3;2.8;
2007-08-07;0;20.2;56.7;2;
2007-08-08;0;21;50;2.4;
2007-08-09;0;20.4;52;3.9;
2007-08-10;0;19.6;55.6;2.8;
2007-08-11;0;19.9;55.8;2.1;
2007-08-12;0;20.8;57.2;4.2;
2007-08-13;0;19.3;54.2;2.9;
2007-08-14;0;19.1;55.1;4.6;
2007-08-15;0;18.8;53.3;3.9;
2007-08-16;0;18.7;52.2;3.2;
2007-08-17;0;20;49;2.6;
2007-08-18;0;19.9;48.3;2.7;
2007-08-19;0;19.4;55.1;2.2;
2007-08-20;0;20.4;45.8;1.9;
2007-08-21;0;22.6;39.1;1.6;
2007-08-22;0;21.4;44.5;2.2;
2007-08-23;0;20.7;45.8;2.7;
2007-08-24;0;21;43.9;3;
2007-08-25;0;21.7;35.6;2.1;
2007-08-26;0;23.6;32.5;1.8;
2007-08-27;0;25.3;30.4;1.7;
2007-08-28;0;24.9;39.4;2.6;
2007-08-29;0;23.2;54;3.1;
2007-08-30;0;22.1;55.9;4.6;
2007-08-31;0;20.8;59.8;4.1;
2007-09-01;0;21.7;56.2;2.2;
2007-09-02;0;23.3;49.2;2.3;
2007-09-03;0;23;50.3;3.8;
2007-09-04;0;21.8;54.8;4.6;
2007-09-05;0;21.8;51.5;4.9;
2007-09-06;0;21.4;57.6;2.8;
2007-09-07;0;21.9;47.4;2.3;
2007-09-08;0;21.6;45.6;2.4;
2007-09-09;0;21;43.2;2.8;
2007-09-10;0;20.4;46.8;3.9;
2007-09-11;0;21.3;48.8;2.8;
2007-09-12;0;21.2;52.5;3;
2007-09-13;0;21.8;46.3;4.3;
2007-09-14;0;22;47.8;3;
2007-09-15;0;23.3;37.3;2.1;
2007-09-16;0;24.9;33.8;1.9;
2007-09-17;0;25.7;35.8;2.4;
2007-09-18;0;23.6;49;3.4;
2007-09-19;0;24.2;50.6;2.6;
2007-09-20;0;25.2;46.4;2.5;
2007-09-21;0;25.7;33.9;2.4;
2007-09-22;0;25.3;31.7;2.6;
2007-09-23;0;25.9;26.9;2.4;
2007-09-24;0;27.5;26.7;2.1;
2007-09-25;0;25;53.3;4.7;
2007-09-26;0;21.5;58.3;4.4;
2007-09-27;0;22.1;53.1;3.1;
2007-09-28;0;23.7;50.1;2.4;
2007-09-29;0;25.3;52.2;2.2;
2007-09-30;2.4;23.2;62.1;3.2;
2007-10-01;0;22.3;59.4;4;
2007-10-02;0;21.8;54.5;2.7;
2007-10-03;0;22.4;51.7;2.7;
2007-10-04;0;23.7;42;2.4;
2007-10-05;0;23.8;42;3.1;
2007-10-06;0;24.6;39.4;3;
2007-10-07;0;25.6;39.8;1.9;
2007-10-08;0;25.3;35.7;3.3;
2007-10-09;0;23.4;40.2;3.7;
2007-10-10;0;22.9;39.5;3.2;
2007-10-11;0;24;37.9;2.9;
2007-10-12;0;25.1;34.6;2.2;
2007-10-13;0;26.5;36.3;2.3;
2007-10-14;0;28;38.4;2.7;
2007-10-15;0;26.5;39.7;3.8;
2007-10-16;0;26.5;38.7;2.7;
2007-10-17;0;28.6;35.2;2.6;
2007-10-18;0;27.7;50.7;4.5;
2007-10-19;.6;24.3;65.3;3;
2007-10-20;3.8;25;65.1;1.4;
2007-10-21;0;27.3;50;1.7;
2007-10-22;0;25.4;53;2.8;
2007-10-23;.2;22.5;70.7;3.2;
2007-10-24;.2;21.7;79.5;3.4;
2007-10-25;38.6;20.3;87.6;3.6;
2007-10-26;12.4;21.9;77.8;2.1;
2007-10-27;0;25.6;59.9;1.7;
2007-10-28;0;28.2;46.8;2.2;
2007-10-29;0;28.1;49.1;2;
2007-10-30;0;28.4;48.5;2.4;
2007-10-31;2.4;25.6;60.3;3.9;
2007-11-01;0;26.2;56.9;2.4;
2007-11-02;.8;24.7;64.7;2.9;
2007-11-03;0;24.1;74.5;1.9;
2007-11-04;25.8;22.5;80.6;3.1;
2007-11-05;1.2;23;70.3;2.8;
2007-11-06;15;20.2;91.2;3.4;
2007-11-07;4.2;22.2;77;2.8;
2007-11-08;1.8;20.7;89.3;2;
2007-11-09;4.6;22;84.5;1.7;
2007-11-10;2.6;22.5;82.4;2.3;
2007-11-11;.4;23.6;76.8;2;
2007-11-12;12.4;23.6;79.8;2.5;
2007-11-13;12.2;22.2;81;3.2;
2007-11-14;0;23.9;67.5;2.6;
2007-11-15;0;24.3;68;2.7;
2007-11-16;null;null;null;null;
2007-11-17;null;null;null;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;null;null;
2007-11-20;null;22.9;76.3;2.6;
2007-11-21;12.6;23;73.5;2.4;
2007-11-22;0;23.6;65.3;2.3;
2007-11-23;0;22.6;71.2;3.6;
2007-11-24;5.8;22.4;79.4;2.5;
2007-11-25;4.4;22;85.3;2.3;
2007-11-26;5.4;22.7;82;1.2;
2007-11-27;0;24;75.7;2.5;
2007-11-28;.6;24.7;65;1.6;
2007-11-29;0;23.1;71.5;2.8;
2007-11-30;4.2;22.8;74;1.5;
2007-12-01;0;24.7;63.1;2;
2007-12-02;0;25.6;61;2.4;
2007-12-03;0;27;53.8;2.1;
2007-12-04;0;25.5;64.3;3.4;
2007-12-05;0;23.5;77;1.9;
2007-12-06;3;26.1;67.7;2.5;
2007-12-07;0;26.5;62.8;3.5;
2007-12-08;0;24.6;73.9;1.8;
2007-12-09;39.6;24.4;76.4;2.8;
2007-12-10;0;22.5;86;3.7;
2007-12-11;3.8;22.2;77.8;2.9;
2007-12-12;4;24.5;69;1.6;
2007-12-13;0;24.2;79.1;3.3;
2007-12-14;1.6;21.9;87.9;2.5;
2007-12-15;10.8;22.6;82.2;1.9;
2007-12-16;0;24.2;72;1.8;
2007-12-17;0;25.1;60.3;2.4;
2007-12-18;0;24.9;59.2;2.2;
2007-12-19;.2;23.1;79.4;3.1;
2007-12-20;20.4;21.3;92.9;3;
2007-12-21;61;20;92.8;2.3;
2007-12-22;10.6;20.8;90;2.3;
2007-12-23;18.4;20.5;85.7;2.7;
2007-12-24;4.4;22.3;81.2;2.8;
2007-12-25;1.4;22.7;74.8;3.3;
2007-12-26;0;23.8;63.6;3;
2007-12-27;0;24.9;51.9;2.7;
2007-12-28;0;25.3;55.1;1.9;
2007-12-29;0;25.6;53.7;2.6;
2007-12-30;0;26;52.6;2.4;
2007-12-31;0;27;50.2;2.2;
2008-01-01;0;26.9;49.7;2;
2008-01-02;0;25.6;47.5;2.8;
2008-01-03;0;25.3;49.5;2.6;
2008-01-04;0;25.8;49.7;2.6;
2008-01-05;0;27.5;44.6;2.4;
2008-01-06;2.8;22.2;84.9;2.5;
2008-01-07;21.8;22.3;80.2;2;
2008-01-08;1;22.4;79.8;2.3;
2008-01-09;0;22.4;79.2;2.2;
2008-01-10;.8;23.1;78.7;2.9;
2008-01-11;.4;24;75.6;2.3;
2008-01-12;3;24.6;75.1;2.6;
2008-01-13;27.8;22.7;80.9;2.3;
2008-01-14;4.8;23.4;69;2.5;
2008-01-15;0;22.5;69.9;2.8;
2008-01-16;0;23.6;68.3;2.5;
2008-01-17;0;23.3;71.8;2.4;
2008-01-18;.2;24;74.7;2.7;
2008-01-19;0;23.4;81.2;2.2;
2008-01-20;7.2;22.3;87.3;2.1;
2008-01-21;13.2;21.2;89.8;3;
2008-01-22;15;21.6;88.3;2.3;
2008-01-23;147.2;21.2;89.7;2.3;
2008-01-24;1.2;22.5;85.4;1.7;
2008-01-25;18.8;22.1;85.9;1.8;
2008-01-26;4.4;21.9;84.7;2.1;
2008-01-27;19.6;20.4;93;3.8;
2008-01-28;60.2;19.6;96.1;4;
2008-01-29;28;20.6;92.2;2.5;
2008-01-30;28.8;21.8;89.8;3.1;
2008-01-31;19.6;22.6;86.3;2.2;
2008-02-01;.2;24.1;79.9;1.7;
2008-02-02;.4;24.6;78.4;3;
2008-02-03;0;22.5;89;3.1;
2008-02-04;24.6;20.9;93;2.7;
2008-02-05;21;20.3;90.3;1.6;
2008-02-06;15.2;22.1;83.7;2.1;
2008-02-07;19;22.1;83.3;2.4;
2008-02-08;22;22.5;81.9;2.2;
2008-02-09;0;23.3;80.7;2.2;
2008-02-10;.6;25;70.2;1.9;
2008-02-11;0;26.4;63.6;1.5;
2008-02-12;0;25.8;68.3;2.2;
2008-02-13;0;25.8;62;1.9;
2008-02-14;0;25.5;66.7;2.2;
2008-02-15;0;25;62.8;2.5;
2008-02-16;0;24.1;64.4;3.2;
2008-02-17;0;24.5;64.6;2.3;
2008-02-18;0;24.6;65.7;1.9;
2008-02-19;8;22.1;80.4;2.6;
2008-02-20;0;23.4;74.8;1.8;
2008-02-21;34;null;80.1;3.2;
2008-02-22;null;22.4;82.7;1.9;
2008-02-23;.4;24.3;76.4;1.7;
2008-02-24;1.8;22.8;86.3;2;
2008-02-25;9.8;23.1;83.2;2.1;
2008-02-26;8.6;24.4;75.9;1.8;
2008-02-27;0;23.4;72.6;1.9;
2008-02-28;0;23.2;75.1;2.2;
2008-02-29;0;22;84.2;2.4;
2008-03-01;11.6;21.8;91.3;2.9;
2008-03-02;16.6;23.1;84.9;2.2;
2008-03-03;8.6;23.6;77.7;1.9;
2008-03-04;3.6;24.3;73.6;2.3;
2008-03-05;0;25.1;68.5;1.6;
2008-03-06;0;25.1;70.7;1.6;
2008-03-07;32.8;23.8;79;2.5;
2008-03-08;36;21.9;82;2.5;
2008-03-09;.4;23.3;78.7;2.1;
2008-03-10;1.4;23.1;82;2;
2008-03-11;.4;22.5;84.5;2.3;
2008-03-12;7.6;22.2;86.9;1.7;
2008-03-13;18.2;21.4;91.3;2.4;
2008-03-14;23;22;88.7;2.1;
2008-03-15;20.8;20.8;93.2;2;
2008-03-16;44.8;22.2;84.8;2.6;
2008-03-17;.4;23.5;77.8;2.3;
2008-03-18;.8;21.9;77.5;3.1;
2008-03-19;0;22.6;72.2;1.9;
2008-03-20;4.4;22.7;73.7;2;
2008-03-21;0;22.7;72.9;2;
2008-03-22;0;23;69.8;1.9;
2008-03-23;0;21.8;82.6;1.6;
2008-03-24;.4;23.1;80.4;1.6;
2008-03-25;0;22.9;77.7;1.7;
2008-03-26;3.4;22.1;79;1.9;
2008-03-27;2;21.9;81.9;2.4;
2008-03-28;33;22.1;77.7;1.6;
2008-03-29;0;23.5;73.3;.8;
2008-03-30;0;22.9;72.9;2.1;
2008-03-31;0;21.4;73.7;2.5;
2008-04-01;0;21.4;72.7;2;
2008-04-02;0;22.3;66.7;2;
2008-04-03;0;22.9;69.8;1.4;
2008-04-04;0;21.3;86.7;2.8;
2008-04-05;3.4;20.7;90.7;2.1;
2008-04-06;22.6;20.6;94.9;3;
2008-04-07;54;22.4;87.2;1.9;
2008-04-08;8;23.3;82.6;1.4;
2008-04-09;0;24.2;77.5;2;
2008-04-10;0;25.2;74.6;.9;
2008-04-11;0;22.8;81;1.7;
2008-04-12;0;24.5;71.1;1;
2008-04-13;0;24.7;69.3;1.9;
2008-04-14;0;21.6;84.4;2;
2008-04-15;21.8;22.2;77.3;1.7;
2008-04-16;0;23;78.6;1.9;
2008-04-17;6.4;23.3;76.6;1.1;
2008-04-18;0;24;75.8;1.3;
2008-04-19;0;23.3;74.2;1.8;
2008-04-20;0;21.9;80.3;2.1;
2008-04-21;10;21.5;82;2;
2008-04-22;0;21;89;1.4;
2008-04-23;3.2;22.5;83.5;1.5;
2008-04-24;.6;22.5;74.6;1.5;
2008-04-25;0;22.5;65.6;2;
2008-04-26;0;22;62.4;1.8;
2008-04-27;0;22.5;65.4;1.8;
2008-04-28;0;22.3;67.2;1.9;
2008-04-29;0;23.8;68.9;1.7;
2008-04-30;0;23.4;75;2.3;
2008-05-01;4;null;87.8;null;
2008-05-02;null;20.5;82.3;1.6;
2008-05-03;.2;21.1;81.2;1.6;
2008-05-04;0;20.4;77.9;2.6;
2008-05-05;0;21.2;74.8;2.7;
2008-05-06;0;19.7;70.8;2;
2008-05-07;0;17.4;64.3;2.1;
2008-05-08;0;18.3;61.4;1.4;
2008-05-09;0;19.5;60.4;1.6;
2008-05-10;0;20.2;68;1.5;
2008-05-11;0;20;74.5;1.6;
2008-05-12;0;19.3;75;2.1;
2008-05-13;0;18.6;73.6;1.9;
2008-05-14;0;19;67.7;1.7;
2008-05-15;0;19.6;67.2;1.2;
2008-05-16;0;20.1;68;1.4;
2008-05-17;0;19.5;75.6;1.7;
2008-05-18;0;19.9;74.1;1.9;
2008-05-19;0;20.8;67;1.1;
2008-05-20;0;20.8;64.6;1.5;
2008-05-21;0;20.6;63.4;1.7;
2008-05-22;0;20.7;60.3;1.6;
2008-05-23;0;20;61.8;1.4;
2008-05-24;0;19.9;63.8;1.6;
2008-05-25;0;20.2;60.8;1.9;
2008-05-26;0;20.3;62.7;1.7;
2008-05-27;0;21.1;59.2;2.1;
2008-05-28;0;21;61;1.6;
2008-05-29;0;20.9;66.1;2;
2008-05-30;0;20.7;71.2;1.7;
2008-05-31;.8;20.8;79.7;2.3;
2008-06-01;0;18.7;80.1;2.3;
2008-06-02;0;18.1;84.5;2.2;
2008-06-03;0;18.9;77.5;2.1;
2008-06-04;0;20.2;71.9;2.1;
2008-06-05;0;20.9;69.8;1.5;
2008-06-06;0;20.5;66.7;1.6;
2008-06-07;0;20.6;60;1.6;
2008-06-08;0;20.5;57.5;1.8;
2008-06-09;0;20.5;62.4;1.6;
2008-06-10;0;21.1;65.5;2.6;
2008-06-11;0;21.9;57.8;1.5;
2008-06-12;0;21;60.8;1.9;
2008-06-13;0;20.1;60.1;1.5;
2008-06-14;0;20.2;62;1.9;
2008-06-15;0;21;57.9;1.4;
2008-06-16;0;21.3;63.4;1.8;
2008-06-17;0;19.5;73.7;2.5;
2008-06-18;0;19.2;71.4;1.6;
2008-06-19;0;19.5;68.2;2.1;
2008-06-20;0;20.1;62.7;2;
2008-06-21;0;21.6;56.8;1.5;
2008-06-22;0;21.6;58.3;1.5;
2008-06-23;0;21.3;65.8;2.1;
2008-06-24;0;19.9;72.2;2;
2008-06-25;0;18.8;77.6;1.6;
2008-06-26;0;17.8;73.4;2.5;
2008-06-27;0;17.7;68.2;1.8;
2008-06-28;0;17.5;67.3;1.5;
2008-06-29;0;18.6;65.7;1.6;
2008-06-30;0;19.3;57.3;1.4;
2008-07-01;0;18.8;51.8;1.4;
2008-07-02;0;19.1;52.8;1.8;
2008-07-03;0;19.7;60.2;1.3;
2008-07-04;0;20.2;59.5;1.8;
2008-07-05;0;18.2;61.7;1.9;
2008-07-06;0;18.9;56.5;1.4;
2008-07-07;0;17.8;54.9;1.8;
2008-07-08;0;16.9;55.7;1.4;
2008-07-09;0;16.6;56;2;
2008-07-10;0;17.2;60.4;2.6;
2008-07-11;0;17.9;64.9;2.5;
2008-07-12;0;17.4;64.1;3;
2008-07-13;0;16.7;58.8;2.4;
2008-07-14;0;16.2;58.1;2.3;
2008-07-15;0;16.7;59.7;2.3;
2008-07-16;0;16.5;57.8;2.3;
2008-07-17;0;17.3;55.4;1.8;
2008-07-18;0;18.4;53.6;1.6;
2008-07-19;0;19.9;52.6;1.5;
2008-07-20;0;20.5;49.1;1.7;
2008-07-21;0;20.1;50.7;2.2;
2008-07-22;0;19.7;51.7;2.7;
2008-07-23;0;20.1;51.3;1.8;
2008-07-24;0;20.7;43.8;1.7;
2008-07-25;0;20.7;43.4;1.9;
2008-07-26;0;21;50.1;1.7;
2008-07-27;0;20;61.9;1.7;
