Nome: DIAMANTINA
Codigo Estacao: A537
Latitude: -18.231052
Longitude: -43.648269
Altitude: 1359.25
Situacao: Operante
Data Inicial: 2007-06-04
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-04;null;null;null;null;
2007-06-05;null;null;79.4;2.4;
2007-06-06;.2;16.2;82.3;2.7;
2007-06-07;0;16.8;74.8;2.1;
2007-06-08;0;16.1;74.4;2.4;
2007-06-09;0;16.1;72.2;4.3;
2007-06-10;0;16.3;68.5;2.9;
2007-06-11;null;null;66.4;2.3;
2007-06-12;0;16.6;66;2.1;
2007-06-13;0;17.3;74.3;2.9;
2007-06-14;0;17.9;71.1;1.6;
2007-06-15;0;17;71.5;1.9;
2007-06-16;0;18.2;52.6;2.4;
2007-06-17;0;16.8;64.9;3.3;
2007-06-18;0;15.8;73.1;3.1;
2007-06-19;0;15.4;69.3;4.5;
2007-06-20;0;14.7;73.7;5.4;
2007-06-21;0;15.7;78.5;4.7;
2007-06-22;0;15;71.2;3.3;
2007-06-23;0;16.1;71.8;2.8;
2007-06-24;0;16.4;67.9;1.8;
2007-06-25;0;15.4;73.4;4.1;
2007-06-26;0;15.2;76;5.1;
2007-06-27;0;14.7;75.9;3;
2007-06-28;0;15.2;75.6;2.1;
2007-06-29;0;16.7;64.6;2;
2007-06-30;0;16.3;68.3;1.9;
2007-07-01;0;17.2;63.2;1.9;
2007-07-02;0;15.6;69.6;2.2;
2007-07-03;0;15.2;70.9;1.9;
2007-07-04;0;14.8;83.4;2.4;
2007-07-05;0;15.1;85;3.3;
2007-07-06;0;14.9;77.3;2.9;
2007-07-07;0;15;68.5;3.3;
2007-07-08;0;14.8;80.2;2.7;
2007-07-09;0;15.9;80.1;2.6;
2007-07-10;0;14.9;75.2;2.3;
2007-07-11;0;16.7;63.9;2.4;
2007-07-12;0;15.8;60.8;4.4;
2007-07-13;0;15;65.5;2.7;
2007-07-14;0;15.8;66.2;2.1;
2007-07-15;0;17.4;56.3;1.8;
2007-07-16;0;17.8;60;2.3;
2007-07-17;0;16;75.9;2.7;
2007-07-18;0;18;67.5;4;
2007-07-19;0;18.7;59;3.2;
2007-07-20;0;17;73.6;3.1;
2007-07-21;0;16.9;72.8;3;
2007-07-22;0;16.7;72.5;2.9;
2007-07-23;0;18;64.3;2.7;
2007-07-24;0;20.1;53.5;2.5;
2007-07-25;0;18.6;59.1;4;
2007-07-26;0;20;56.7;3.3;
2007-07-27;0;17;81.3;3.8;
2007-07-28;0;14.8;89.8;3.5;
2007-07-29;.8;12.4;95;5.1;
2007-07-30;0;10.1;85.7;4.5;
2007-07-31;0;11;68.1;3.5;
2007-08-01;0;12.2;72.2;3.3;
2007-08-02;0;12.9;71.9;3.5;
2007-08-03;0;14.4;67.7;3.9;
2007-08-04;0;15.3;65.2;2.9;
2007-08-05;0;16.6;63;2.8;
2007-08-06;0;15.8;68.6;5.5;
2007-08-07;0;15.7;67.8;2.8;
2007-08-08;0;16;65.9;4.8;
2007-08-09;0;15.8;67.9;6.1;
2007-08-10;0;14.8;71.7;5.3;
2007-08-11;0;15.2;79.2;4.1;
2007-08-12;0;15.5;68.9;5.7;
2007-08-13;0;14.5;70.7;5.4;
2007-08-14;0;14.5;68.6;6.6;
2007-08-15;0;14.8;67;6.9;
2007-08-16;0;14;71.6;6;
2007-08-17;0;14.9;67.8;4.8;
2007-08-18;0;14.9;70.3;5.1;
2007-08-19;.2;14;70.2;3.2;
2007-08-20;0;15.8;58.9;2.3;
2007-08-21;0;18.2;48.5;2.6;
2007-08-22;0;15.5;61.9;3.9;
2007-08-23;0;15.7;61.9;4.2;
2007-08-24;0;15.9;57.6;3.1;
2007-08-25;0;18;48.8;2;
2007-08-26;0;20.3;40.5;3;
2007-08-27;0;21.9;39.3;2.8;
2007-08-28;0;21.9;41.2;3.7;
2007-08-29;0;17.7;69.7;5.8;
2007-08-30;0;16.5;66.8;8.5;
2007-08-31;0;15.9;69.5;8.1;
2007-09-01;.2;16.3;75.9;4.4;
2007-09-02;0;17.4;70.3;3.8;
2007-09-03;0;17.6;66.5;5.6;
2007-09-04;2.2;16.2;76.3;7.5;
2007-09-05;0;16;72.7;6.6;
2007-09-06;.2;16.1;72.8;4.9;
2007-09-07;0;15.8;74;3.8;
2007-09-08;0;15.3;68;4.3;
2007-09-09;0;15.4;62.2;4.2;
2007-09-10;0;15.1;69;4.2;
2007-09-11;0;15;74.6;4.7;
2007-09-12;0;15.5;66.9;5.2;
2007-09-13;0;15.5;72.8;4.9;
2007-09-14;0;15.7;66;3.5;
2007-09-15;0;17.5;54.3;2.3;
2007-09-16;0;20;43.9;2.4;
2007-09-17;0;21.6;41.7;2.8;
2007-09-18;0;17.5;71.6;4.3;
2007-09-19;0;16.4;76.3;2.7;
2007-09-20;0;18.5;57.8;3.4;
2007-09-21;0;19.4;45.5;3;
2007-09-22;0;18.7;49.7;3.1;
2007-09-23;0;19.8;46.6;2.7;
2007-09-24;0;23;38.9;3.1;
2007-09-25;0;20;65.7;5.3;
2007-09-26;0;16.8;73.1;5.9;
2007-09-27;0;16.1;72.6;5.4;
2007-09-28;0;17.7;69.3;2.3;
2007-09-29;0;19.6;66.5;3;
2007-09-30;1.8;17.6;81;5.1;
2007-10-01;0;16.5;74;4.7;
2007-10-02;0;15.3;78.9;4.3;
2007-10-03;0;16.8;65.8;4.1;
2007-10-04;0;17.1;65;3.7;
2007-10-05;0;16.8;64.7;3.6;
2007-10-06;0;18.9;58.1;3.3;
2007-10-07;0;18.9;64.4;3.6;
2007-10-08;0;18.4;58.3;5;
2007-10-09;0;17.3;54.3;5.3;
2007-10-10;0;16.5;62.8;3.6;
2007-10-11;0;17;63;2.9;
2007-10-12;0;18.1;61.9;3;
2007-10-13;0;19.9;62.6;3.6;
2007-10-14;0;21;56.9;4.2;
2007-10-15;0;20.4;53.9;5.4;
2007-10-16;0;20;56.6;2.8;
2007-10-17;0;22.4;48.7;2.7;
2007-10-18;0;24.1;50.4;2.8;
2007-10-19;3.6;21.8;63.5;3.8;
2007-10-20;8.8;21.1;70.2;2.9;
2007-10-21;0;22;64.6;2.5;
2007-10-22;0;22.9;59.5;3.6;
2007-10-23;0;20.7;65.2;5;
2007-10-24;0;20.3;62.9;5.9;
2007-10-25;0;20.9;60.8;4.5;
2007-10-26;0;19.4;71.7;3;
2007-10-27;.8;22.8;52.6;3;
2007-10-28;0;25;41.6;2.4;
2007-10-29;0;24.2;49.9;3.1;
2007-10-30;.4;24.7;45;3;
2007-10-31;0;24.5;43.6;3.1;
2007-11-01;0;25.1;38.4;3.6;
2007-11-02;0;24.9;44.2;3.3;
2007-11-03;0;24;54.8;2;
2007-11-04;.4;21.9;70.5;2.6;
2007-11-05;13.4;17.9;87.8;5;
2007-11-06;0;19.6;67.5;4.9;
2007-11-07;0;20.8;60.9;4.2;
2007-11-08;0;19.9;73.1;4.2;
2007-11-09;7.6;20.9;68.5;3.9;
2007-11-10;0;22.1;50.5;3.3;
2007-11-11;0;23.4;47.9;2.6;
2007-11-12;.4;24.2;48.3;3.7;
2007-11-13;0;21.6;54.3;6.7;
2007-11-14;0;20.7;57.5;3.1;
2007-11-15;0;21.4;57.5;3.8;
2007-11-16;null;null;null;null;
2007-11-17;null;null;null;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;null;null;
2007-11-20;null;20.6;68.2;3;
2007-11-21;1.2;19.1;81.4;3.9;
2007-11-22;2;17.5;86.4;3.8;
2007-11-23;1;16.9;85.7;2.9;
2007-11-24;0;18.4;82.1;3.1;
2007-11-25;11.4;19.1;85.5;2.6;
2007-11-26;14.4;18.7;91.3;2.3;
2007-11-27;12.6;19.3;90;2.3;
2007-11-28;1.8;19.6;84;2.9;
2007-11-29;1.4;18.9;84.1;3.4;
2007-11-30;.2;18.4;83.2;3.5;
2007-12-01;0;18.9;81.1;3;
2007-12-02;6.2;20;75.3;3.1;
2007-12-03;0;21.2;71.3;2.8;
2007-12-04;2;21.9;65.8;2.9;
2007-12-05;0;22;66.3;2.8;
2007-12-06;0;23;66.8;3.4;
2007-12-07;1.8;23.6;64.5;3.7;
2007-12-08;1.4;19.6;87.3;3.2;
2007-12-09;6.8;19.6;85.4;2.7;
2007-12-10;20.2;18.3;86.1;3.7;
2007-12-11;6.6;20.8;68;3;
2007-12-12;0;22.7;60.8;1.8;
2007-12-13;0;22.1;72.8;2.8;
2007-12-14;32.2;18.2;88.1;3.4;
2007-12-15;16;18.2;92.3;3.2;
2007-12-16;1.8;20;81.2;2.4;
2007-12-17;0;20;73.9;3.9;
2007-12-18;0;19.9;70.5;3.2;
2007-12-19;11.8;18.6;92.6;4.2;
2007-12-20;13.6;19.9;85.5;6;
2007-12-21;9.4;18.5;92.7;2.7;
2007-12-22;69.4;18.8;86.8;2.3;
2007-12-23;27.8;20.4;72.4;3.2;
2007-12-24;.4;19.2;74.7;3.6;
2007-12-25;0;18.7;74;3.6;
2007-12-26;0;19.7;67.8;4.6;
2007-12-27;0;19.8;69.3;3.8;
2007-12-28;0;20.4;70.1;4;
2007-12-29;0;20.2;70.1;3.2;
2007-12-30;0;20.3;70;3.2;
2007-12-31;0;20.8;63;3;
2008-01-01;0;21.2;55.6;3;
2008-01-02;0;20;58.5;4;
2008-01-03;0;20.2;62.3;3.8;
2008-01-04;0;20;63.8;2.5;
2008-01-05;0;22.1;49.8;2.4;
2008-01-06;0;22.8;46.3;4.4;
2008-01-07;1.4;19.7;73.6;3.3;
2008-01-08;2.6;20;80.4;3.1;
2008-01-09;2.4;18.2;92.3;4;
2008-01-10;22.6;17.8;92.9;2.8;
2008-01-11;17.4;18.7;89.6;2.9;
2008-01-12;18.4;20.3;77.1;3.1;
2008-01-13;0;19.5;77.3;3.6;
2008-01-14;0;17.9;76.5;4.8;
2008-01-15;.4;18.1;80;4.5;
2008-01-16;0;18.7;77.7;3.8;
2008-01-17;0;18.9;79.8;2.7;
2008-01-18;2.4;20.5;75.2;2.8;
2008-01-19;25.8;20;81.4;2.8;
2008-01-20;27.6;21.2;74.3;3.7;
2008-01-21;.8;20.9;72.3;3.8;
2008-01-22;0;18.8;87.1;2.5;
2008-01-23;21.2;18.7;87.6;3.2;
2008-01-24;0;19.2;85.8;4;
2008-01-25;.2;18.7;87.2;2.6;
2008-01-26;.2;18.3;88.8;2.4;
2008-01-27;22.8;17;96.7;2.5;
2008-01-28;2.6;17.4;94.4;3;
2008-01-29;3.4;18.2;89.4;3.2;
2008-01-30;14.8;18.3;93.6;4.4;
2008-01-31;7.6;18.6;95.8;4.2;
2008-02-01;10.6;20.4;87.2;1.9;
2008-02-02;3.4;19.2;94.9;3.6;
2008-02-03;19.8;20.2;85.4;5.7;
2008-02-04;10.6;19.2;89.2;4.7;
2008-02-05;4;17.7;94.5;2.6;
2008-02-06;50.6;18.4;89.8;2.6;
2008-02-07;7.6;20.2;78.1;3;
2008-02-08;0;21;70;1.8;
2008-02-09;0;21.6;67.2;2;
2008-02-10;0;21.5;66.9;2.2;
2008-02-11;0;21.5;71.7;2.2;
2008-02-12;1.6;21.1;71.3;3;
2008-02-13;0;20.3;74.4;3.4;
2008-02-14;0;20.5;72.3;3.5;
2008-02-15;0;19.9;68.3;4.5;
2008-02-16;0;19.7;72.7;5;
2008-02-17;0;19.8;71.6;3.7;
2008-02-18;0;20.5;70.9;2.5;
2008-02-19;0;19.9;77.3;2.9;
2008-02-20;10.4;19.6;80;2.6;
2008-02-21;1.4;null;81.2;4.6;
2008-02-22;null;21.1;69.8;2.7;
2008-02-23;0;22.7;65.2;2.4;
2008-02-24;0;20.3;81.8;1.9;
2008-02-25;29.6;20.3;75.5;3.2;
2008-02-26;49.4;19.9;84.2;3.7;
2008-02-27;0;19.7;81.6;3.9;
2008-02-28;.2;18.5;85;3.2;
2008-02-29;8.4;17.8;86.5;2.9;
2008-03-01;27.8;17.7;96.5;5;
2008-03-02;30.6;18.5;95.3;4.7;
2008-03-03;2.4;18.9;92.9;2.9;
2008-03-04;20.8;20.6;78.4;4.1;
2008-03-05;.4;20.6;77.9;2.3;
2008-03-06;1;21.6;72.6;2.1;
2008-03-07;2;19;87.2;2.4;
2008-03-08;8.2;19.3;87.2;2.9;
2008-03-09;.4;19.1;85.7;1.9;
2008-03-10;5;19.5;82.3;2.7;
2008-03-11;14.4;19.3;85.2;2.2;
2008-03-12;0;20;82.8;2.5;
2008-03-13;0;20.6;77;3.3;
2008-03-14;3.8;20.2;81.5;3.3;
2008-03-15;3;19.9;85.9;2.5;
2008-03-16;7.8;19.3;86.4;3.1;
2008-03-17;0;19.2;81.2;4.4;
2008-03-18;1.2;19;72.4;4.4;
2008-03-19;0;18.4;80.7;4.2;
2008-03-20;.4;18.2;82.3;4.4;
2008-03-21;0;18.6;77.4;3.2;
2008-03-22;0;19.4;76.2;2.9;
2008-03-23;0;19.7;77;2.6;
2008-03-24;0;19.8;77.7;2.1;
2008-03-25;0;19.6;78.8;2.1;
2008-03-26;1.2;17.9;88.3;2.6;
2008-03-27;.6;18.1;83;2.8;
2008-03-28;17.6;17.9;87.6;2.1;
2008-03-29;.4;18.9;83.1;2.1;
2008-03-30;0;18.3;85.8;3.4;
2008-03-31;1.2;17.7;83.3;3.9;
2008-04-01;.2;17;80.1;2.8;
2008-04-02;0;17.9;76.2;2.2;
2008-04-03;0;19;73.1;2.1;
2008-04-04;0;18;87.5;2.4;
2008-04-05;4;17.6;96.8;2.4;
2008-04-06;29;18.8;91.6;3.3;
2008-04-07;31.2;19.4;87.9;2.6;
2008-04-08;0;20;84.3;2.2;
2008-04-09;.2;20;82.5;2.5;
2008-04-10;.2;20.2;80.6;2;
2008-04-11;0;20.1;78;1.7;
2008-04-12;9.4;21;73.6;1.8;
2008-04-13;2.8;21.1;75.2;2.5;
2008-04-14;13.2;21.2;73.3;2.9;
2008-04-15;0;20;77.3;2.9;
2008-04-16;0;19;88;3.1;
2008-04-17;1;19.1;83.8;3.1;
2008-04-18;.2;19.4;77.7;2.3;
2008-04-19;0;18.2;89;2.6;
2008-04-20;2.4;19.2;83.1;2.8;
2008-04-21;0;18.7;79.9;2.4;
2008-04-22;0;18.7;80.8;1.7;
2008-04-23;0;19.5;78.6;2.3;
2008-04-24;0;20.8;70.8;3;
2008-04-25;0;21.1;68.6;2.5;
2008-04-26;0;21.1;63.3;2.9;
2008-04-27;0;20.4;68.2;2.5;
2008-04-28;0;20.3;71.3;2;
2008-04-29;0;20.7;69.6;2.1;
2008-04-30;0;20.1;80.3;2.1;
2008-05-01;36.6;null;96.2;null;
2008-05-02;null;16;88.7;3.7;
2008-05-03;.2;18.1;82.1;2.1;
2008-05-04;0;20.2;74.3;2;
2008-05-05;22.6;18.8;88.8;2;
2008-05-06;4.8;18.9;76.9;3.5;
2008-05-07;0;17.5;60.2;3.2;
2008-05-08;0;16;67.8;2.1;
2008-05-09;0;17.4;68.4;1.7;
2008-05-10;0;16.5;74.3;2.5;
2008-05-11;0;15;88;2.4;
2008-05-12;0;14;85.5;3.1;
2008-05-13;0;13;83.4;3.5;
2008-05-14;0;14.2;81.6;2.5;
2008-05-15;.2;15.5;82.3;2;
2008-05-16;.2;17;77.9;1.8;
2008-05-17;0;16;77.9;2.9;
2008-05-18;0;15.5;82.9;3.3;
2008-05-19;0;16.4;74.8;1.5;
2008-05-20;0;16.9;71.6;2.5;
2008-05-21;0;16.3;75.8;1.9;
2008-05-22;0;17.1;60.4;2.1;
2008-05-23;0;17.3;59;1.6;
2008-05-24;0;17.9;57;2.6;
