Nome: MOCAMBINHO
Codigo Estacao: A539
Latitude: -15.08583333
Longitude: -44.01611111
Altitude: 454
Situacao: Operante
Data Inicial: 2007-11-10
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-11-10;null;28.9;39.7;1;
2007-11-11;0;30.1;38.3;1.1;
2007-11-12;0;null;44.5;1.2;
2007-11-13;null;null;null;null;
2007-11-14;null;null;null;null;
2007-11-15;null;null;null;null;
2007-11-16;null;29.3;35.4;2.1;
2007-11-17;0;28.7;36.5;2.6;
2007-11-18;0;28.1;37.4;2.1;
2007-11-19;0;27.9;43;1;
2007-11-20;.2;29;42.3;.9;
2007-11-21;0;29.9;42.1;1.5;
2007-11-22;0;26.8;60.3;1.7;
2007-11-23;2.2;23.7;78.9;1.7;
2007-11-24;2.8;26.1;70.6;1.3;
2007-11-25;0;27.6;63.9;1.7;
2007-11-26;127.2;24;83.8;2;
2007-11-27;0;24.8;84;1.3;
2007-11-28;34;23.5;89.6;1.4;
2007-11-29;17.2;23.9;84.4;1.1;
2007-11-30;5.4;23.3;89.4;.8;
2007-12-01;8.4;24.3;84.4;1.1;
2007-12-02;.2;25.5;73.9;1.7;
2007-12-03;0;27.2;67;.9;
2007-12-04;0;27.6;65.6;.9;
2007-12-05;2.6;26.6;68.4;1.7;
2007-12-06;0;27.6;65.6;1.1;
2007-12-07;0;28.2;64;1.3;
2007-12-08;9.4;22.8;89.9;1.6;
2007-12-09;53.8;23.2;88.8;.9;
2007-12-10;5;23;86.6;1;
2007-12-11;.4;24.3;76;1.5;
2007-12-12;0;26;72.8;1;
2007-12-13;0;27;63.8;1.2;
2007-12-14;0;25.8;58.8;.9;
2007-12-15;0;26.1;69.5;1.8;
