Nome: SALINAS
Codigo Estacao: A552
Latitude: -16.16027777
Longitude: -42.31027777
Altitude: 487.14
Situacao: Operante
Data Inicial: 2007-09-13
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-09-13;null;null;null;null;
2007-09-14;null;22.9;51.5;1.7;
2007-09-15;.2;21.1;56.1;1.3;
2007-09-16;0;22.5;52;1.7;
2007-09-17;0;24.2;47.1;1.5;
2007-09-18;0;24.3;53.7;2.5;
2007-09-19;0;23.7;53.9;2.1;
2007-09-20;0;22;49.9;1.5;
2007-09-21;0;21.4;51;1.3;
2007-09-22;0;23.5;48.8;1.3;
2007-09-23;0;23.8;49.9;1.5;
2007-09-24;0;25.2;47.5;1.4;
2007-09-25;0;23.5;59.8;2.8;
2007-09-26;0;23;56.5;4;
2007-09-27;0;22.7;60.9;3.4;
2007-09-28;0;24.3;56;2.1;
2007-09-29;0;24.5;57.4;1.5;
2007-09-30;0;24.6;57.9;2.9;
2007-10-01;0;21.3;63.4;3.2;
2007-10-02;0;21.3;61.5;3.2;
2007-10-03;0;22;61.5;2.1;
2007-10-04;0;23.1;56.9;2.1;
2007-10-05;0;23.2;56.9;1.8;
2007-10-06;0;24.1;59.4;2.2;
2007-10-07;0;25;55.2;2.4;
2007-10-08;0;24.8;48;3.1;
2007-10-09;0;23.2;49.1;2.2;
2007-10-10;0;23.5;50.5;2.2;
2007-10-11;0;23.6;52.8;2;
2007-10-12;0;26.3;47.5;2.3;
2007-10-13;0;26.7;51;2.5;
2007-10-14;0;26.2;47.8;2.5;
2007-10-15;0;25.7;46.2;2.7;
2007-10-16;0;25.8;44.3;2;
2007-10-17;0;25.2;48.5;1.5;
2007-10-18;0;27.5;42.5;1.5;
2007-10-19;0;27.4;47.6;1.9;
2007-10-20;0;25.8;54.4;1.5;
2007-10-21;0;26.1;60.3;1.5;
2007-10-22;0;28.1;51.4;1.7;
2007-10-23;0;28.1;45.3;2.5;
2007-10-24;0;27;48.1;2.9;
2007-10-25;0;27.1;48;3.2;
2007-10-26;0;27.5;44.5;2.5;
2007-10-27;0;28.4;41.7;1.7;
2007-10-28;0;29.6;33.1;1.4;
2007-10-29;0;29.3;38.6;2;
2007-10-30;0;28.8;41.3;2.7;
2007-10-31;0;28.9;39.7;2.6;
2007-11-01;0;28.7;39.4;1.5;
2007-11-02;0;29.9;38.7;2;
2007-11-03;0;29.1;48;1.7;
2007-11-04;0;27.5;55.2;2.2;
2007-11-05;10.8;27.7;47.4;2;
2007-11-06;0;27.2;44.5;2.5;
2007-11-07;0;27.5;45.2;2.8;
2007-11-08;0;28.4;43.2;2.9;
2007-11-09;0;27.9;42.2;3;
2007-11-10;0;28.3;41.3;2.4;
2007-11-11;0;28.9;38.3;1.5;
2007-11-12;0;29.4;37.4;2;
2007-11-13;0;28.1;45.5;3.7;
2007-11-14;0;27.8;43.8;2.8;
2007-11-15;0;28.5;42.7;2.7;
2007-11-16;null;null;null;null;
2007-11-17;null;null;null;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;null;null;
2007-11-20;null;27.9;46.3;1.9;
2007-11-21;2.2;25.2;65.2;2.8;
2007-11-22;0;23.4;71.3;2.5;
2007-11-23;1;23.1;72.6;1.7;
2007-11-24;8;24.9;72.2;1.3;
2007-11-25;14.8;24.1;79.8;1.1;
2007-11-26;32.6;23.7;84;1;
2007-11-27;18.4;23.9;85.5;1.7;
2007-11-28;15.6;22.2;91.9;1.1;
2007-11-29;21.2;21.5;88.8;1.8;
2007-11-30;17.2;22.9;81.9;1.3;
2007-12-01;18.2;23;83.8;1.1;
2007-12-02;13.8;24.9;74;1.5;
2007-12-03;0;26;65.8;1.4;
2007-12-04;0;26.8;62.6;1.3;
2007-12-05;1;26.7;66.2;1.5;
2007-12-06;9;26.3;75.3;1;
2007-12-07;0;26.4;75.3;.7;
2007-12-08;13.8;23.3;87.1;1.2;
2007-12-09;11.6;23.2;86.9;1;
2007-12-10;8.2;23.2;80.8;1.1;
2007-12-11;.2;24.7;71;.6;
2007-12-12;0;25;70.6;1.1;
2007-12-13;0;25.5;61.2;1.2;
2007-12-14;0;23.3;76.2;1.1;
2007-12-15;3.8;24.1;77.7;1.1;
2007-12-16;15.8;23.7;84;1.1;
2007-12-17;1;24.9;74.5;1.2;
2007-12-18;0;24;78.7;.8;
2007-12-19;3.2;24;84.2;1.2;
2007-12-20;7;24.8;80.5;1.4;
2007-12-21;13.2;25.2;77.3;1.6;
2007-12-22;8.4;24.9;75.5;1;
2007-12-23;0;24.1;67.9;1;
2007-12-24;0;24.1;67.1;1.3;
2007-12-25;0;24.1;68.4;1.7;
2007-12-26;0;24.2;66.1;1.4;
2007-12-27;0;22.9;72.3;1.1;
2007-12-28;0;25.7;64;1.6;
2007-12-29;0;24.9;69.2;1.4;
2007-12-30;.6;25.2;66.2;1.5;
2007-12-31;0;25.3;66.5;1.1;
2008-01-01;0;23.3;69.4;1.2;
2008-01-02;0;23.8;64.8;1.4;
2008-01-03;0;24.5;60.9;1.7;
2008-01-04;0;24;63;1.2;
2008-01-05;0;23.3;67.1;1.1;
2008-01-06;0;24.6;66.9;1.5;
2008-01-07;0;24.5;74.1;1.5;
2008-01-08;35.2;23.5;82.1;1.7;
2008-01-09;0;24.1;82;1.7;
2008-01-10;1.8;24.2;78.3;1.4;
