Nome: IBIRITE (ROLA MOCA)
Codigo Estacao: A555
Latitude: -20.03138888
Longitude: -44.01111111
Altitude: 1198.82
Situacao: Operante
Data Inicial: 2008-06-05
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-05;null;null;null;null;
2008-06-06;null;null;null;null;
2008-06-07;null;19.5;56.1;3.6;
2008-06-08;0;19.1;59;4.4;
2008-06-09;0;18.7;68.3;3.9;
2008-06-10;0;18.6;66.8;2.3;
2008-06-11;0;19.9;58.6;2.5;
2008-06-12;0;19.2;58.3;4.3;
2008-06-13;0;18.9;58;3.7;
2008-06-14;0;18.4;63.3;3.2;
2008-06-15;0;17.8;59.2;2;
2008-06-16;0;18.2;63.5;2.3;
2008-06-17;0;15.6;83.7;6.1;
2008-06-18;0;16.6;76.1;2.8;
2008-06-19;0;17.2;74.2;3;
2008-06-20;0;17.7;64;2.4;
2008-06-21;0;18.6;59.1;1.4;
2008-06-22;0;19.5;58;1.8;
2008-06-23;0;18.7;72;4.5;
2008-06-24;0;16.7;81.5;4.1;
2008-06-25;2.4;16.5;79.1;3.8;
2008-06-26;0;15;73.9;7;
2008-06-27;0;15;73.5;5.3;
2008-06-28;0;14.8;75.1;4.7;
2008-06-29;0;16.1;72.3;4.7;
2008-06-30;0;17.1;61.7;3.7;
2008-07-01;0;18.7;47.9;3.7;
2008-07-02;0;17.9;61.7;4;
2008-07-03;0;17.5;67.8;3.8;
2008-07-04;0;17.3;63.4;3.1;
2008-07-05;0;17.2;62.1;4.2;
2008-07-06;0;16.4;67;4.8;
2008-07-07;0;15.4;59.5;3.4;
2008-07-08;0;14.8;64.3;3.4;
2008-07-09;0;14;66.5;3.9;
2008-07-10;0;15.4;68;3.8;
2008-07-11;0;16.2;67.5;6.3;
2008-07-12;0;15.4;65;6.2;
2008-07-13;0;15.1;58.8;4.3;
2008-07-14;0;14.9;58.3;3.9;
2008-07-15;0;15.6;58.8;3.8;
2008-07-16;0;14.3;64;2.8;
2008-07-17;0;14.8;58;2.3;
2008-07-18;0;15.9;56;2.1;
2008-07-19;0;18.3;45.3;1.9;
2008-07-20;0;19.8;43.8;4;
2008-07-21;0;18;54;5.3;
2008-07-22;0;17;59.3;4.4;
2008-07-23;0;18.2;51;1.7;
2008-07-24;0;19.8;42.8;2.1;
2008-07-25;0;19.9;41.1;2.1;
2008-07-26;0;19.2;57.7;4.5;
2008-07-27;0;17.3;66.9;5.9;
2008-07-28;0;18.2;50.3;4.4;
2008-07-29;0;17.4;41.2;3.9;
2008-07-30;0;17.4;46.9;3.6;
2008-07-31;0;18.1;52.2;3.4;
2008-08-01;0;18.3;52.5;3.7;
2008-08-02;0;18.9;52.8;3.3;
2008-08-03;0;20.3;45.6;2.6;
2008-08-04;0;19.9;59.5;2.8;
2008-08-05;0;18.5;76.6;4.7;
2008-08-06;5;19.9;69.2;4.3;
2008-08-07;0;19.8;67.7;5.1;
2008-08-08;0;20.5;57;2.3;
2008-08-09;0;20.5;63.6;5.2;
2008-08-10;0;19.2;63.5;4.1;
2008-08-11;0;18.8;69.8;6.2;
2008-08-12;0;19;61.9;5.4;
2008-08-13;0;19.5;54.9;5.1;
2008-08-14;0;18.2;59;5.5;
