Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Operante
Data Inicial: 2015-08-20
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-20;null;null;null;null;
2015-08-21;null;null;null;null;
2015-08-22;null;null;null;null;
2015-08-23;null;null;null;null;
2015-08-24;null;null;null;null;
2015-08-25;null;null;null;null;
2015-08-26;0;23.3;51.8;2.4;
2015-08-27;0;24.7;48.7;2.7;
2015-08-28;0;22.4;62.3;2.7;
2015-08-29;0;23;59.4;2.4;
2015-08-30;0;23;56;1.9;
2015-08-31;0;23.1;49.7;1.7;
2015-09-01;0;24.2;39.8;1.7;
2015-09-02;0;24.1;42.1;2.3;
2015-09-03;0;24.5;45.1;2.5;
2015-09-04;0;26.1;35;2.6;
2015-09-05;0;25.3;43.9;2.3;
2015-09-06;0;25.4;56;2.6;
2015-09-07;0;25.1;56.5;2.8;
2015-09-08;10.8;21.9;80.8;2.8;
2015-09-09;38.6;19;89.4;2.4;
2015-09-10;1.2;19;89.9;2.1;
2015-09-11;.2;20.4;82;2.4;
2015-09-12;0;21.5;74.6;1.7;
2015-09-13;0;22;76.9;2.3;
2015-09-14;1;22.2;74.7;2.6;
2015-09-15;0;24.2;64.1;2.4;
2015-09-16;0;24.7;54.6;2.4;
2015-09-17;0;25;48.2;1.9;
2015-09-18;0;25.5;41.8;1.8;
2015-09-19;0;25.8;35.5;2.3;
2015-09-20;0;24.9;33.5;2.2;
2015-09-21;0;24.8;36;1.9;
2015-09-22;0;25.3;44.3;2.1;
2015-09-23;0;26.7;42.8;2.2;
2015-09-24;0;28.1;38.4;2.3;
2015-09-25;0;29;34.3;2.2;
2015-09-26;0;28;41.3;2.1;
2015-09-27;0;28.1;44.5;2.5;
2015-09-28;0;26.4;46.2;3;
2015-09-29;0;23.6;64;2.7;
2015-09-30;0;23;66.8;2.1;
2015-10-01;0;25.5;52.7;1.8;
2015-10-02;0;27.7;42;2.2;
2015-10-03;0;27.1;40;2.3;
2015-10-04;0;26.7;45.5;2.1;
2015-10-05;0;27.4;52.2;2.8;
2015-10-06;0;25.4;59.6;2.8;
2015-10-07;0;25.5;54.5;2.2;
2015-10-08;0;25.5;46.7;2.5;
2015-10-09;0;26.6;32.8;2.4;
2015-10-10;0;27.2;31.6;2.5;
2015-10-11;0;27.4;33;2.7;
2015-10-12;0;27.8;33.3;2.6;
2015-10-13;0;27.2;34.7;2.2;
2015-10-14;0;28;31.2;2.3;
2015-10-15;0;28.8;30.8;2.3;
2015-10-16;0;29.7;33.5;2.3;
2015-10-17;0;29.5;28.8;2;
2015-10-18;0;28.4;35.5;2.7;
2015-10-19;0;27.2;49.7;2.5;
2015-10-20;0;28;46.6;2.3;
2015-10-21;0;28.3;46.3;2.2;
2015-10-22;0;29.8;41.6;2.1;
2015-10-23;20;24.3;71.3;3.1;
2015-10-24;0;26.7;59.6;2.7;
2015-10-25;0;26.8;52.7;2.8;
2015-10-26;0;26.1;54.3;2.6;
2015-10-27;0;25.2;67.8;2.4;
2015-10-28;50.4;22;85;2.1;
2015-10-29;0;24.4;76.4;2.1;
2015-10-30;0;24.6;59;2.7;
2015-10-31;0;25.3;54.1;2.4;
2015-11-01;0;25.1;60.3;3;
2015-11-02;0;25.6;65;2.1;
2015-11-03;0;27.5;52.8;2.1;
2015-11-04;0;27.9;50.5;2.5;
2015-11-05;0;28;47.1;1.8;
2015-11-06;0;28.8;49.1;2.1;
2015-11-07;0;27.8;52.5;3.2;
2015-11-08;0;25.7;62.4;2.8;
2015-11-09;0;26.6;55.5;2.6;
2015-11-10;0;27.4;53.8;2.3;
2015-11-11;0;28.3;46.3;2.2;
2015-11-12;3.6;27;59.1;2.4;
2015-11-13;0;27.7;57;2.5;
2015-11-14;0;26.2;63.4;2.7;
2015-11-15;0;26.1;62.7;2.5;
2015-11-16;7.6;24.4;74.9;2.7;
2015-11-17;24.6;23.6;81.8;2.9;
2015-11-18;0;23.9;75.2;2.2;
2015-11-19;0;26.4;65.3;2.4;
2015-11-20;0;23.8;80.3;2.2;
2015-11-21;3.2;25.5;72.4;2;
2015-11-22;0;26.3;68.4;1.8;
2015-11-23;0;23.9;77.6;2.4;
2015-11-24;8;22.5;81.4;2.5;
2015-11-25;0;23.9;71.8;2.1;
2015-11-26;0;25.3;64.7;2;
2015-11-27;0;25.8;64.2;2.6;
2015-11-28;0;25.9;62.2;3.1;
2015-11-29;0;25.6;67.7;2.8;
2015-11-30;0;26.5;65.4;1.5;
2015-12-01;0;27.1;62.9;2.4;
2015-12-02;0;25.7;70.9;2.5;
2015-12-03;15;24.8;75.3;1.8;
2015-12-04;0;24.8;71.7;2.2;
2015-12-05;13;22.7;82;2.2;
2015-12-06;12;23.4;80.6;2.5;
2015-12-07;2.6;24.6;76.5;2.2;
2015-12-08;8;23.8;80.2;1.7;
2015-12-09;.4;23.4;80.4;2;
2015-12-10;0;24.6;75.1;2.5;
2015-12-11;9.2;23.7;80.3;1.9;
2015-12-12;2.4;25.2;73.9;2.1;
2015-12-13;0;24.6;69.3;2.7;
2015-12-14;0;24.7;71.3;2;
2015-12-15;0;26.7;57.9;1.7;
2015-12-16;0;23.7;71.7;2.5;
2015-12-17;33;25.5;64.1;2.2;
2015-12-18;.8;24.3;69.6;2.7;
2015-12-19;11.6;24.8;65.8;1.5;
2015-12-20;8.2;24.5;69.1;2.2;
2015-12-21;0;23.9;73.7;2.3;
2015-12-22;0;25.7;66.6;2.1;
2015-12-23;0;25.9;57.9;2.4;
2015-12-24;0;26;55.7;2.2;
2015-12-25;0;26.4;55.1;1.9;
2015-12-26;0;25.3;62.6;2.6;
2015-12-27;.2;23.6;75.1;2.4;
2015-12-28;8.6;23.4;72.8;2.5;
2015-12-29;.4;23.7;70.3;2.1;
2015-12-30;0;21.9;87.3;1.7;
2015-12-31;2.2;25.3;68;1.6;
2016-01-01;0;27.2;60.8;1.8;
2016-01-02;0;25.3;71;2.7;
2016-01-03;0;24;79;1.9;
2016-01-04;20.2;23;85;1.8;
2016-01-05;1.4;23.8;73.8;2.5;
2016-01-06;0;24.1;69.9;2;
2016-01-07;0;24.4;75.8;2;
2016-01-08;1.2;24.8;79.4;2.4;
2016-01-09;0;24.5;79.1;2.7;
2016-01-10;13.2;25.9;69.4;2.8;
2016-01-11;0;27.1;58.1;2.6;
2016-01-12;2.6;22.7;88.9;2.7;
2016-01-13;27.8;22.5;90.9;2.9;
2016-01-14;31.6;22.9;89.4;2.8;
2016-01-15;18.8;22.7;90;3.8;
2016-01-16;31.6;22.5;90.6;3.7;
2016-01-17;30.4;22.5;91.1;2.4;
2016-01-18;52;23.2;90.8;null;
2016-01-19;27.4;22.7;91;3;
2016-01-20;19.8;21.6;92.4;2.6;
2016-01-21;53;23.1;79.3;2;
2016-01-22;.2;22.9;75.3;2.9;
2016-01-23;0;23.9;73.3;1.5;
2016-01-24;0;22.6;83.9;1.9;
2016-01-25;27;23.9;79.5;1.7;
2016-01-26;0;25.4;74.9;1.7;
2016-01-27;0;25.3;76.8;2.1;
2016-01-28;9.8;23.4;86.2;2.2;
2016-01-29;24.2;23.7;82.6;2.2;
2016-01-30;1;25.3;62.6;2.7;
2016-01-31;0;24.8;62.6;2;
2016-02-01;0;24.9;61.6;1.7;
2016-02-02;0;26.5;62;1.7;
2016-02-03;0;26.5;60.1;1.8;
2016-02-04;0;26.8;61.4;1.9;
2016-02-05;0;25.9;65.3;1.9;
2016-02-06;0;26;61.8;1.8;
2016-02-07;0;26.1;64.3;1.8;
2016-02-08;0;25;65.3;2.2;
2016-02-09;0;25;58.7;1.9;
2016-02-10;0;26.2;60.1;1.9;
2016-02-11;0;26.6;62.3;1.8;
2016-02-12;16;24.4;78.6;2.1;
2016-02-13;0;23.9;82.5;2.2;
2016-02-14;6.4;25.7;73.2;1.9;
2016-02-15;1;25.9;71;2.7;
2016-02-16;0;25.1;71.3;2.1;
2016-02-17;0;25.5;69.4;1.7;
2016-02-18;.2;25.1;71.3;2.5;
2016-02-19;.4;25.2;69.9;1.7;
2016-02-20;0;26.1;60.5;1.9;
2016-02-21;0;25.1;68.5;2.1;
2016-02-22;0;24.4;74.4;2.1;
2016-02-23;0;24.8;70.7;1.7;
2016-02-24;0;25.1;65.9;1.9;
2016-02-25;0;25;69.8;2.7;
2016-02-26;29.4;24;76.1;1.9;
2016-02-27;0;25.1;70.3;2.1;
2016-02-28;0;23.4;83;1.7;
2016-02-29;28.6;24.4;79.6;1.8;
2016-03-01;0;24.5;76.7;2.1;
2016-03-02;0;24.7;73.3;2.2;
2016-03-03;0;24.5;67.6;2.6;
2016-03-04;0;23.9;76;2.6;
2016-03-05;49.8;22.5;82.9;2.1;
2016-03-06;0;25;76.1;1.4;
2016-03-07;0;24.4;79;1.5;
2016-03-08;4.6;23.8;81;1.3;
2016-03-09;0;24.5;68.1;2.3;
2016-03-10;0;25;66.3;2.4;
2016-03-11;0;25.3;74.3;2.1;
2016-03-12;7.4;22.5;86;2.3;
2016-03-13;0;22.9;81.4;1.5;
2016-03-14;1;24;77;2.1;
2016-03-15;0;24.3;68;2.7;
2016-03-16;.2;23.7;72.6;2.6;
2016-03-17;0;23.4;73;2.3;
2016-03-18;0;24;68;1.8;
2016-03-19;0;24.6;68.6;1.8;
2016-03-20;0;25;64.6;2.1;
2016-03-21;0;24.8;65.5;2.2;
2016-03-22;0;24.9;66.8;1.6;
2016-03-23;0;25.4;68.8;1.6;
2016-03-24;27.4;23.3;80.6;2.2;
2016-03-25;.4;24.6;74.9;2.4;
2016-03-26;19.6;22.2;90.3;1.8;
2016-03-27;.2;24.6;79.6;1.3;
2016-03-28;0;25;72.4;1.7;
2016-03-29;0;24.2;69.8;1.6;
2016-03-30;0;24.4;69;1.9;
2016-03-31;0;24.1;72.8;1.8;
2016-04-01;0;24.2;70.2;1.7;
2016-04-02;0;24.6;68.8;1.8;
2016-04-03;0;24.7;69.5;1.7;
2016-04-04;0;25.1;68.2;1.7;
2016-04-05;0;24.4;65.8;2.2;
2016-04-06;0;23.5;68.3;1.9;
2016-04-07;0;24;67.3;1.9;
2016-04-08;0;24.2;65.7;1.6;
2016-04-09;0;24.8;60.1;2;
2016-04-10;0;24.4;59.8;2.1;
2016-04-11;0;23.8;59.5;2.4;
2016-04-12;0;23.4;60.6;2;
2016-04-13;0;25.1;60.4;2.2;
2016-04-14;0;24.5;61.6;2;
2016-04-15;0;23.7;60.7;2;
2016-04-16;0;23.3;59.5;2.5;
2016-04-17;0;23.7;63.3;2.4;
2016-04-18;0;24.4;60.8;2.9;
2016-04-19;0;23.9;61;2.7;
2016-04-20;0;23.1;64.2;2;
2016-04-21;0;24.2;62.1;2;
2016-04-22;0;24.2;63.6;1.6;
2016-04-23;0;24;59.5;2.5;
2016-04-24;0;22.9;54.1;1.9;
2016-04-25;0;23.6;59.2;2.1;
2016-04-26;0;24;60;2.3;
2016-04-27;0;22.8;75.5;1.9;
2016-04-28;.2;20.8;79.1;2;
2016-04-29;0;19.9;87.3;2.7;
2016-04-30;41.2;18.7;89.4;1.3;
2016-05-01;0;19.8;67;2.5;
2016-05-02;0;18.9;71.6;2.2;
2016-05-03;0;20.1;75;1.6;
2016-05-04;0;20.9;69.3;1.8;
2016-05-05;0;21.5;68.1;1.7;
2016-05-06;0;21.8;67;1.8;
2016-05-07;0;22.1;66.3;1.7;
2016-05-08;0;22.5;64.6;1.6;
2016-05-09;0;22.1;68.3;1.9;
2016-05-10;0;23.2;63;1.9;
2016-05-11;0;22.6;64.1;1.6;
2016-05-12;0;23.1;67;1.8;
2016-05-13;0;21.1;78.7;1.9;
2016-05-14;7;21.2;79.3;1.9;
2016-05-15;0;20.4;76;2.1;
2016-05-16;0;21;73.9;2.3;
2016-05-17;0;22.4;73.9;1.7;
2016-05-18;0;22.7;71.2;1.4;
2016-05-19;0;22.6;74.7;1.8;
2016-05-20;0;22;75.1;2.2;
2016-05-21;0;22;69.3;1.7;
2016-05-22;0;21.9;70.7;1.4;
2016-05-23;0;22.1;71;1.9;
2016-05-24;0;20.2;75.4;2.4;
2016-05-25;0;19.8;67.5;2.5;
2016-05-26;0;19.6;70;1.8;
2016-05-27;0;20;66.4;1.8;
2016-05-28;0;18.9;71.7;2;
2016-05-29;0;18.8;69.6;1.6;
2016-05-30;0;20.7;63.1;1.9;
2016-05-31;0;20.5;68.4;2;
2016-06-01;0;21.5;72;1.9;
2016-06-02;0;19.1;83.9;2.2;
2016-06-03;0;18.3;94.4;1.8;
2016-06-04;6.2;21.3;80.2;1.6;
2016-06-05;0;23.1;70.8;1.5;
2016-06-06;0;23.9;66;1.6;
2016-06-07;0;23;70.5;2.1;
2016-06-08;0;22.1;74.3;1.5;
2016-06-09;0;19.8;67;2.1;
2016-06-10;0;19.9;67.7;1.9;
2016-06-11;0;19.2;59.8;2.2;
2016-06-12;0;17.1;61.9;2.3;
2016-06-13;0;16.1;72;2.4;
2016-06-14;0;17;73.2;2.5;
2016-06-15;0;17;68.1;1.8;
2016-06-16;0;17.4;63.8;1.7;
2016-06-17;0;17.6;61.1;1.4;
2016-06-18;0;17.7;62.5;1.8;
2016-06-19;0;18.3;59.3;1.6;
2016-06-20;0;18.3;64.2;1.8;
2016-06-21;0;19.2;70.4;2;
2016-06-22;0;18;74.7;1.8;
2016-06-23;0;19.3;67.1;1.7;
2016-06-24;0;20.4;62.6;2;
2016-06-25;0;19.6;64.6;2.6;
2016-06-26;0;17;66;2.6;
2016-06-27;0;16.7;65.7;2.6;
2016-06-28;0;17.9;67.7;3;
2016-06-29;0;20;62.5;2.9;
2016-06-30;0;20;70.2;3;
2016-07-01;0;19.1;69.9;2.6;
2016-07-02;0;19.5;66.5;2.9;
2016-07-03;0;19.7;66.1;2.1;
2016-07-04;0;19.4;61.8;2.3;
2016-07-05;0;20.2;66.4;2.3;
2016-07-06;0;20.1;59.1;2.1;
2016-07-07;0;21.5;53.9;2;
2016-07-08;0;20.6;57;2.1;
2016-07-09;0;19.4;60.6;2;
2016-07-10;0;22;57;1.9;
2016-07-11;0;21.2;55.4;1.6;
2016-07-12;0;21.4;52.2;1.9;
2016-07-13;0;21;52.8;2.1;
2016-07-14;0;20.5;49.7;1.6;
2016-07-15;0;21;49.2;2;
2016-07-16;0;22.7;44.2;2.7;
2016-07-17;0;20.9;50.9;3;
2016-07-18;0;16.8;43.4;2;
2016-07-19;0;18.3;48.4;2.4;
2016-07-20;0;20.2;62.8;2.1;
2016-07-21;0;19.7;63.5;2;
2016-07-22;0;19.5;59.7;2.2;
