Nome: SAO SEBASTIAO DO PARAISO
Codigo Estacao: A561
Latitude: -20.91
Longitude: -47.11416666
Altitude: 845
Situacao: Operante
Data Inicial: 2015-08-16
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-16;null;null;null;null;
2015-08-17;null;null;null;null;
2015-08-18;null;null;null;null;
2015-08-19;0;21;56.1;2.6;
2015-08-20;0;18.5;56.2;1.7;
2015-08-21;0;17.8;56.7;2.1;
2015-08-22;0;18;56;1.8;
2015-08-23;0;18.9;50.7;2.1;
2015-08-24;0;20.6;52.8;2.1;
2015-08-25;0;19.8;67.3;2.4;
2015-08-26;3;21.1;66.2;2.2;
2015-08-27;0;18.6;70.2;2.7;
2015-08-28;0;18.3;61.3;1.4;
2015-08-29;0;19.3;57;1.8;
2015-08-30;0;21.6;55.5;2;
2015-08-31;0;21.9;50;1.9;
2015-09-01;0;21.4;50.2;1.9;
2015-09-02;0;22.2;53.6;1.7;
2015-09-03;0;22.7;51.3;2.3;
2015-09-04;0;23;51.4;2.8;
2015-09-05;0;20.8;66.8;2;
2015-09-06;0;21.6;66.7;2.2;
2015-09-07;2.4;20.5;71.2;2.5;
2015-09-08;17.2;20.7;79.5;2.8;
2015-09-09;37.6;18.5;84.1;1.5;
2015-09-10;3;17.8;91.3;1.5;
2015-09-11;21.2;17.5;91.8;2.2;
2015-09-12;26;17.6;90.7;1.3;
2015-09-13;10.2;18.2;86.1;1.5;
2015-09-14;.2;18.6;81.8;1.8;
2015-09-15;0;23;67.6;2.2;
2015-09-16;0;24.9;57;2;
2015-09-17;0;25.1;48.5;2;
2015-09-18;0;24.9;41.8;1.8;
2015-09-19;0;23.5;43.7;2.2;
2015-09-20;0;22.8;43.1;2;
2015-09-21;0;22.2;43.9;2.1;
2015-09-22;0;23;42.8;2.1;
2015-09-23;0;24.1;44.6;1.9;
2015-09-24;0;24.7;47.8;2.2;
2015-09-25;0;24.5;50.9;1.4;
2015-09-26;0;24.8;58.8;2.1;
2015-09-27;0;24;65;1.7;
2015-09-28;6.4;21.2;80.5;1.5;
2015-09-29;.2;21.3;76.3;1.6;
2015-09-30;0;21.2;71.2;1.5;
2015-10-01;0;23.2;62.7;1.7;
2015-10-02;0;26.3;51.5;2.2;
2015-10-03;0;24.4;58.6;2.5;
2015-10-04;0;22.6;70;1.6;
2015-10-05;0;22.4;66;1.6;
2015-10-06;0;23;60.4;1.9;
2015-10-07;0;24.6;58.5;1.8;
2015-10-08;0;25.4;52;1.9;
2015-10-09;0;25.4;44.2;1.8;
2015-10-10;0;23.5;59.8;2.1;
2015-10-11;0;25.1;54.6;1.9;
2015-10-12;0;25.6;52.1;1.8;
