Nome: PATOS DE MINAS
Codigo Estacao: A562
Latitude: -18.52055554
Longitude: -46.44055555
Altitude: 950
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-11;null;null;null;null;
2017-05-12;null;null;null;null;
2017-05-13;null;21.1;61.7;1.7;
2017-05-14;0;22.9;56.4;2.3;
2017-05-15;0;21.6;81.3;1.3;
2017-05-16;.6;21.5;78.1;1.2;
2017-05-17;.2;20.6;81.3;.8;
2017-05-18;6.4;19.5;88.1;1.3;
2017-05-19;0;19.1;87.3;2.7;
2017-05-20;22.4;18.3;92.1;1.5;
2017-05-21;6.6;20.5;84.8;1.4;
2017-05-22;0;22.1;79;1.6;
2017-05-23;0;22;80;1.2;
2017-05-24;0;21.7;76.9;1.4;
2017-05-25;0;21;72;1.5;
2017-05-26;0;20.8;70.9;1.4;
2017-05-27;0;19.8;72.8;1.2;
2017-05-28;0;19.4;66.4;1.3;
2017-05-29;0;19.8;63.4;1.2;
2017-05-30;0;19.6;58.6;1.1;
2017-05-31;0;20.4;59.3;1.4;
2017-06-01;0;null;66.4;1.4;
2017-06-02;null;21.2;72.8;1.5;
2017-06-03;0;21.4;68.3;1;
2017-06-04;0;21.9;70.2;1.8;
2017-06-05;0;22;65.4;1.9;
2017-06-06;0;21.5;61.6;1.3;
2017-06-07;0;21.3;55.1;1.2;
2017-06-08;0;21.3;56.7;2.1;
2017-06-09;0;22;56.7;2;
2017-06-10;0;19.3;60.9;1.8;
2017-06-11;0;19.8;53.5;1.2;
2017-06-12;0;21.3;64.5;1.9;
2017-06-13;0;20.6;69.1;1.8;
2017-06-14;0;21;66.7;1.1;
2017-06-15;0;20;68.6;1.4;
2017-06-16;0;18.8;66;1.7;
2017-06-17;0;19.1;59.1;1.7;
2017-06-18;0;19.2;54.4;1.7;
2017-06-19;0;19.1;52;1;
2017-06-20;0;19.3;48.1;1.1;
2017-06-21;0;19.1;52;1.4;
