Nome: NOVA PORTEIRINHA (JANAUBA)
Codigo Estacao: A563
Latitude: -15.80277777
Longitude: -43.29694444
Altitude: 532
Situacao: Operante
Data Inicial: 2016-11-18
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-18;null;null;null;null;
2016-11-19;null;null;null;null;
2016-11-20;null;null;null;null;
2016-11-21;null;null;61.5;null;
2016-11-22;0;26.2;64.8;1.9;
2016-11-23;0;28.2;58.7;1.4;
2016-11-24;0;28.1;64.4;2.1;
2016-11-25;0;28.7;57.8;3.3;
2016-11-26;0;28.3;56.9;3.9;
2016-11-27;0;26.7;67.3;2.6;
2016-11-28;.6;27.8;61.1;2.9;
2016-11-29;0;28.6;56.3;1.4;
2016-11-30;0;29;50.2;2;
2016-12-01;0;28.2;55.7;4.5;
2016-12-02;0;27.1;55.4;4.4;
2016-12-03;0;28.2;55.6;2.9;
2016-12-04;0;27.3;63.5;1.4;
2016-12-05;1.6;25.4;77.7;1.4;
2016-12-06;25.8;25.6;77.1;1.2;
2016-12-07;0;26.6;72;1.5;
2016-12-08;19.8;24.2;82.4;1.4;
2016-12-09;0;27.3;69.4;1.3;
2016-12-10;0;26.2;74.3;1.6;
2016-12-11;0;26.5;73;1.1;
2016-12-12;1.6;25.6;78.5;1.5;
2016-12-13;.2;23.9;83.5;1.1;
2016-12-14;62.2;24.7;83.8;1;
2016-12-15;0;26.9;63.4;1.5;
2016-12-16;0;26.5;55.5;4.2;
2016-12-17;0;25.2;60.7;4.5;
2016-12-18;0;25.1;63.3;4;
2016-12-19;0;25.4;60.7;3;
2016-12-20;0;25.7;58.1;2.5;
2016-12-21;0;26.5;56.6;2.4;
2016-12-22;0;25.8;60.8;2.8;
2016-12-23;0;26.5;58.8;3;
2016-12-24;0;27.2;55.4;2.6;
2016-12-25;0;27.4;57.3;1.7;
2016-12-26;0;27.9;56;1.8;
2016-12-27;0;28.8;52.8;2.6;
2016-12-28;0;28.4;52.1;2.3;
2016-12-29;0;27.5;52.3;1.9;
2016-12-30;0;26.9;52.9;1.5;
2016-12-31;0;26.7;52.8;1.8;
2017-01-01;0;28.8;48.5;2.2;
2017-01-02;0;29.2;49.7;1;
2017-01-03;0;29.9;46.1;2;
2017-01-04;0;29.2;48.3;2.1;
2017-01-05;0;29.3;49.7;2.4;
2017-01-06;0;29.3;49;2.5;
2017-01-07;0;28.3;44.5;2.4;
2017-01-08;0;28.6;42.1;2.5;
2017-01-09;0;29;45.5;1.7;
2017-01-10;0;29.3;41.2;1.5;
2017-01-11;0;30;46.1;1.8;
2017-01-12;0;29.1;52.5;1.4;
2017-01-13;7;25.9;70.4;1.7;
2017-01-14;19.4;25.7;75.5;1.6;
2017-01-15;6.4;25;80.7;1.4;
2017-01-16;3.6;26.9;65.8;2.5;
2017-01-17;0;26.7;50.4;2.4;
2017-01-18;0;27.9;49.2;2.3;
2017-01-19;0;28.8;49.3;3;
2017-01-20;0;28.2;46.4;3.3;
2017-01-21;0;29;44.4;4;
2017-01-22;0;29;46.4;3.2;
2017-01-23;0;28.6;48.3;3;
2017-01-24;0;28.7;50.1;2.6;
2017-01-25;0;29.3;45.8;2.6;
2017-01-26;0;29.2;42.4;2.1;
2017-01-27;0;29.6;39.5;2.5;
2017-01-28;0;29.3;42.5;4.3;
2017-01-29;0;29;48.1;3;
2017-01-30;0;28.6;49.3;3.7;
2017-01-31;0;29.1;46.6;3.5;
2017-02-01;0;28.8;48.4;3.1;
2017-02-02;0;26.2;66.2;1.6;
2017-02-03;6.2;25.7;75;1.4;
2017-02-04;0;26.3;69;1.7;
