Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-25;null;null;null;null;
2017-10-26;null;null;null;null;
2017-10-27;null;null;null;null;
2017-10-28;null;null;null;null;
2017-10-29;null;null;null;null;
2017-10-30;null;null;63;null;
2017-10-31;16;22.7;78.7;2.2;
2017-11-01;.8;20.9;72.1;3.5;
2017-11-02;0;21.9;65.3;2.9;
2017-11-03;0;23.1;61.3;2.4;
2017-11-04;0;23.5;63.7;2.4;
2017-11-05;6.8;23.6;71.9;2.3;
2017-11-06;0;23.1;74;2.8;
2017-11-07;14.4;21.4;70;3.5;
2017-11-08;0;21.5;69.3;2;
2017-11-09;.4;20.9;76.8;2.2;
2017-11-10;.2;21.5;78.8;2.1;
2017-11-11;14.2;21;88.6;2.6;
2017-11-12;28.8;22.9;72.6;2;
2017-11-13;0;23.5;46;2.4;
2017-11-14;0;23.6;54.9;2.8;
2017-11-15;0;25;56.6;1.9;
2017-11-16;0;24.8;56;1.7;
2017-11-17;0;25.5;53.9;1.8;
2017-11-18;.8;24.1;67.6;1.9;
2017-11-19;30.4;22.8;81.7;1.6;
2017-11-20;34;23.7;79.9;1.6;
2017-11-21;1.4;22.4;85.8;1.6;
2017-11-22;23.6;21.2;90.9;1.8;
2017-11-23;11;21;89.1;2.6;
2017-11-24;6.2;21.9;78.2;2.8;
2017-11-25;.2;23.7;71;2.1;
2017-11-26;0;23;69.9;1.6;
2017-11-27;0;21.5;87.2;1.3;
2017-11-28;18;23.9;77.3;1.8;
2017-11-29;17.6;23.5;74.2;2.3;
2017-11-30;15;22.7;74.3;2.8;
2017-12-01;79;19;95.4;1.9;
2017-12-02;58.6;21;88.8;1.6;
2017-12-03;10;22.4;89.1;2;
2017-12-04;21.4;23.9;83.8;2;
2017-12-05;0;24.7;79;1.5;
2017-12-06;14.6;23;81.8;2.1;
2017-12-07;0;21.7;87.5;1.8;
2017-12-08;42.6;22.8;88.1;2.3;
2017-12-09;25.2;24.1;78;1.7;
2017-12-10;0;24.8;69.8;1.8;
2017-12-11;0;23.6;78.3;1.7;
2017-12-12;0;23.8;70.1;2.5;
2017-12-13;0;23;67.6;2.6;
2017-12-14;0;23.1;72.2;2.1;
2017-12-15;0;23.1;71.1;1.8;
2017-12-16;7.4;21.2;82.3;2.4;
2017-12-17;2.6;21.6;83.6;1.4;
2017-12-18;3.8;24.2;69.8;1.7;
2017-12-19;.2;25.3;62.3;2;
2017-12-20;0;25.2;56.6;2;
2017-12-21;0;24.8;66;1.7;
2017-12-22;0;22.7;76.1;2.5;
2017-12-23;0;24.8;68.4;1.9;
2017-12-24;0;26.2;64;2.1;
2017-12-25;0;26.7;63;2;
2017-12-26;37.6;24.9;73.2;2.4;
2017-12-27;0;24.5;70.4;2.5;
2017-12-28;0;25.6;68.4;2.2;
2017-12-29;26.4;24.5;71.2;2.5;
2017-12-30;12.6;22;88.4;1.5;
2017-12-31;12.8;22.9;82.3;2.3;
2018-01-01;1.4;24.4;75.5;2;
2018-01-02;8;23.7;79.5;2.2;
2018-01-03;11.8;23.4;80.4;2.1;
2018-01-04;4.4;21.5;92.2;1.9;
2018-01-05;55.2;20.7;92.8;null;
2018-01-06;13;22.7;80.8;null;
2018-01-07;37.2;22.6;82.3;null;
2018-01-08;38;22.3;81.7;null;
2018-01-09;0;23.4;68.2;null;
2018-01-10;0;24.8;66.5;null;
2018-01-11;0;24.1;64.5;null;
2018-01-12;0;23;71.5;null;
2018-01-13;0;24.5;67.9;null;
2018-01-14;5.8;21.4;85.9;null;
2018-01-15;8.6;22.4;82.9;null;
2018-01-16;.4;24.1;75.4;null;
2018-01-17;0;25.6;67.4;null;
2018-01-18;0;25.6;55.4;null;
2018-01-19;0;25.1;59.8;null;
2018-01-20;0;25.8;55.8;null;
2018-01-21;0;25.3;56.5;null;
2018-01-22;0;25.9;58.8;null;
2018-01-23;0;25;63.5;null;
2018-01-24;8.8;24.4;75.7;null;
2018-01-25;50.4;24.3;76.5;null;
2018-01-26;0;24.2;69.2;null;
2018-01-27;4.4;24.5;71.5;null;
2018-01-28;0;25.4;67;null;
2018-01-29;0;24.5;77.4;null;
2018-01-30;37.4;22.5;89.2;1.4;
2018-01-31;61.2;23.2;87.9;2;
2018-02-01;3.6;22.9;76.5;2.4;
2018-02-02;0;21.5;88.7;1.6;
2018-02-03;16.2;22.8;80.3;2.5;
2018-02-04;0;21.2;82.5;2.5;
2018-02-05;9.6;19;92.4;2.9;
2018-02-06;17;20.5;91.8;1.8;
2018-02-07;13;22.6;79.1;1.5;
