Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-18;null;null;null;null;
2017-05-19;null;null;null;null;
2017-05-20;null;null;null;null;
2017-05-21;null;null;null;null;
2017-05-22;null;null;null;null;
2017-05-23;null;24.6;72.1;.9;
2017-05-24;.2;24.6;70.2;1.3;
2017-05-25;0;24.3;67.6;1.3;
2017-05-26;0;23.6;57.4;2;
2017-05-27;0;21.5;67.4;1.3;
2017-05-28;0;23.3;63.5;1.7;
2017-05-29;0;23.6;58.5;1.7;
2017-05-30;0;21.8;59.9;.6;
2017-05-31;0;20.8;60.8;.7;
2017-06-01;0;null;64.6;.5;
2017-06-02;null;25.4;57.8;.7;
2017-06-03;0;24.4;63.8;1.5;
2017-06-04;0;24.3;65.3;1;
2017-06-05;0;23.6;69.1;1;
2017-06-06;0;23.3;65.8;.6;
2017-06-07;0;22.7;63.7;1;
2017-06-08;0;24.3;60.5;1.6;
2017-06-09;0;23.6;65.3;.7;
2017-06-10;0;24.3;56.2;.9;
2017-06-11;0;26.1;59;2.3;
2017-06-12;0;24.4;59.3;1.2;
2017-06-13;0;23.4;62.1;1.4;
2017-06-14;0;22.2;62.2;.8;
2017-06-15;0;20.5;66.7;1.6;
2017-06-16;0;21.2;67.6;1.4;
2017-06-17;0;21;66.3;1.1;
2017-06-18;0;21.8;62.3;1.1;
2017-06-19;0;20.5;56.9;.8;
2017-06-20;0;23.7;51.3;1.3;
2017-06-21;0;23.6;55.5;1.8;
2017-06-22;0;23.3;58.4;3.4;
2017-06-23;0;23.1;58.8;2.9;
2017-06-24;0;22.1;63.7;2.4;
2017-06-25;0;22.2;62.8;2.2;
2017-06-26;0;21.9;63.3;2.6;
2017-06-27;0;22;64.2;1.5;
2017-06-28;0;21.9;59.7;2;
2017-06-29;0;21;69.5;1.5;
2017-06-30;0;20;64.9;.8;
2017-07-01;0;21.3;59.6;.8;
2017-07-02;0;20.3;58.9;1.9;
2017-07-03;0;20.2;55.3;3.3;
2017-07-04;0;18.8;56.2;3.3;
2017-07-05;0;18.4;66.5;2.1;
2017-07-06;0;19.8;64.4;1.9;
2017-07-07;0;21;60.5;2.1;
2017-07-08;0;20.9;60.6;2.6;
2017-07-09;0;19.5;67.5;1.3;
2017-07-10;0;21.8;60.6;2.6;
2017-07-11;0;20.3;67.3;1.3;
2017-07-12;.4;22.5;62.7;1.9;
2017-07-13;0;20.3;79.3;2.1;
2017-07-14;0;20;81;1.4;
2017-07-15;.6;21.2;81;2.1;
2017-07-16;0;21.1;81;1.3;
2017-07-17;2;22.4;68;1.4;
2017-07-18;0;21.5;56.3;1.4;
2017-07-19;0;21.2;53.1;1.5;
2017-07-20;0;21.9;62.7;1.9;
2017-07-21;0;21.2;58.5;.7;
2017-07-22;0;20.1;53.5;1;
2017-07-23;0;19.5;48;2;
2017-07-24;0;21.2;35.6;1.8;
2017-07-25;0;21.9;42;2.7;
2017-07-26;0;19.5;42;2.2;
2017-07-27;0;19.5;47.8;2.3;
2017-07-28;0;21.6;57.7;3.2;
2017-07-29;0;20.6;62;2.3;
2017-07-30;0;19.3;62.3;2.6;
2017-07-31;0;21.3;44.3;2.2;
2017-08-01;0;22.2;55;1.8;
2017-08-02;0;22.1;55;1.6;
2017-08-03;0;20.8;55;.5;
2017-08-04;0;23.9;46;.8;
2017-08-05;0;24.2;57.8;2.4;
2017-08-06;0;21.9;54.7;2.8;
2017-08-07;0;19.9;58.5;1.4;
2017-08-08;0;19.9;55.1;1.1;
2017-08-09;0;20.6;50.2;.5;
2017-08-10;0;22.6;40.5;1.1;
2017-08-11;0;22.2;59.1;1.7;
2017-08-12;0;20.7;60;1.4;
2017-08-13;0;19.4;58.8;1.1;
2017-08-14;0;19.9;58.2;1.1;
2017-08-15;0;19.7;58.8;1.7;
2017-08-16;0;20.2;55.2;1.3;
2017-08-17;0;20.4;54.4;1;
2017-08-18;0;21.3;52.3;1.1;
2017-08-19;0;21;56.5;1.6;
2017-08-20;0;21.7;54.8;.8;
2017-08-21;0;null;58.4;null;
2017-08-22;null;22.8;58.6;3.8;
2017-08-23;0;21.4;61.2;2.8;
2017-08-24;0;21.7;58.2;2.6;
2017-08-25;0;19.9;57.7;1.7;
2017-08-26;0;20.1;54.4;1.2;
2017-08-27;0;21.7;51.8;1.1;
2017-08-28;0;21.9;52.2;1.2;
2017-08-29;0;22.4;50.2;1.9;
2017-08-30;0;23.8;50;1.1;
2017-08-31;0;24;47;1.8;
2017-09-01;0;24.8;49.8;4;
2017-09-02;0;22.9;53.5;3.5;
2017-09-03;0;21.3;54;3.3;
2017-09-04;null;null;59.9;2;
2017-09-05;null;22.8;57.9;1.7;
2017-09-06;0;24;52.1;1.1;
2017-09-07;0;null;47.3;2;
2017-09-08;0;23.4;48.2;2.4;
2017-09-09;0;24.5;52.7;3.2;
2017-09-10;0;24.6;55.3;3.1;
2017-09-11;0;23.4;54.9;2.6;
2017-09-12;0;22.4;55.8;2.3;
2017-09-13;0;25;50.2;3.2;
2017-09-14;0;24.3;58.3;2.4;
2017-09-15;0;24.8;48.7;2.8;
2017-09-16;0;22.8;57.6;2.1;
2017-09-17;0;23.7;57.3;2.1;
2017-09-18;0;24.3;53.5;3.5;
2017-09-19;0;24;56.6;2.9;
2017-09-20;1;23.9;58.7;2.5;
2017-09-21;0;24.5;50.7;2.9;
2017-09-22;0;23.7;49.8;2.9;
2017-09-23;0;23.8;52.3;2.3;
2017-09-24;0;25.1;48.7;2.8;
2017-09-25;0;24;50;2.9;
2017-09-26;0;23.5;56.3;2.8;
2017-09-27;0;24.8;56.1;2.1;
2017-09-28;0;27.1;52.6;1.9;
2017-09-29;0;27.5;48.5;2.8;
2017-09-30;0;27.6;46;2.9;
2017-10-01;.2;26;55.9;2.1;
2017-10-02;.2;27.5;50.4;2.8;
2017-10-03;0;28.3;48.7;2;
2017-10-04;0;27.5;51.2;2.9;
2017-10-05;0;26;53.5;3.1;
2017-10-06;0;26.4;50.9;2.2;
2017-10-07;0;26.3;49;1.9;
2017-10-08;0;26.6;43.8;2.5;
2017-10-09;0;27.2;44.3;2.7;
2017-10-10;0;26.5;43.8;2.5;
2017-10-11;0;26.7;41.5;2.9;
2017-10-12;0;27.6;44.5;3;
2017-10-13;0;28;42.5;3.5;
2017-10-14;0;28.9;43.5;2.9;
2017-10-15;0;29.2;47.5;3.2;
2017-10-16;0;26.5;55.1;3.9;
2017-10-17;0;26.1;49.8;3.3;
2017-10-18;0;26;46.1;3.1;
2017-10-19;0;26.8;45.5;2.7;
2017-10-20;0;29.4;null;3.6;
2017-10-21;0;30.4;null;4.1;
2017-10-22;0;30.1;null;3.2;
2017-10-23;0;30;null;3.1;
2017-10-24;0;27.8;null;4.1;
2017-10-25;null;28.1;null;3.7;
2017-10-26;0;27;null;2.8;
2017-10-27;0;28.1;null;2.3;
2017-10-28;10;27.3;null;1.9;
2017-10-29;0;28.1;null;2.1;
2017-10-30;0;27;null;1.4;
2017-10-31;0;28.2;null;1.6;
2017-11-01;23.6;24.2;null;1.4;
2017-11-02;null;null;null;2.8;
2017-11-03;0;24;null;2.4;
2017-11-04;0;25.8;null;2.2;
2017-11-05;0;27.6;null;2;
2017-11-06;0;25.9;null;1.5;
2017-11-07;12.4;22.6;null;1.3;
2017-11-08;.6;22.4;null;1.5;
2017-11-09;.6;23.6;null;.9;
2017-11-10;0;25.6;null;1.5;
2017-11-11;1;25;null;.9;
2017-11-12;16;25.3;null;.6;
2017-11-13;.2;27.6;null;1.5;
2017-11-14;.6;25.1;null;1.9;
2017-11-15;11.8;22.6;null;1.4;
2017-11-16;5.4;25.2;null;1.8;
2017-11-17;0;27;null;2.2;
2017-11-18;0;27;null;1.6;
2017-11-19;0;27;null;1.5;
2017-11-20;3.8;26.5;null;.9;
2017-11-21;1.2;27.4;null;1.3;
2017-11-22;0;26.9;null;1.3;
2017-11-23;0;27.9;null;1.3;
2017-11-24;16;25.2;null;1.5;
2017-11-25;0;26.8;null;2.4;
2017-11-26;0;26.3;null;1.8;
2017-11-27;0;null;null;1.5;
2017-11-28;0;26.9;null;1.7;
2017-11-29;0;25.7;null;1.4;
2017-11-30;0;25.5;null;1;
2017-12-01;8.8;23.2;null;.3;
2017-12-02;56.2;22.7;null;.9;
2017-12-03;9.8;24.5;null;.7;
2017-12-04;.2;25.9;null;.6;
2017-12-05;.4;25.9;null;.3;
2017-12-06;2.4;25;null;1;
2017-12-07;3.8;23.8;null;.6;
2017-12-08;20.6;24.2;null;.9;
2017-12-09;2;24.8;null;.6;
2017-12-10;4.4;25.1;null;.9;
2017-12-11;5.6;24.4;null;.7;
2017-12-12;22.8;23.3;null;1.1;
2017-12-13;7.4;22.3;null;.1;
2017-12-14;22.4;21.8;null;.4;
2017-12-15;1.6;22.7;null;.2;
2017-12-16;.2;24.2;null;1.1;
2017-12-17;0;23.6;null;1;
2017-12-18;0;25.6;null;1.3;
2017-12-19;0;26.1;null;1.1;
2017-12-20;.2;24.8;null;1.5;
2017-12-21;0;24.5;null;.5;
2017-12-22;0;26;null;.8;
2017-12-23;0;25.9;null;1.1;
2017-12-24;0;26.5;null;1;
2017-12-25;0;26.3;null;.7;
2017-12-26;0;25.9;null;1.3;
2017-12-27;0;26.1;null;1.1;
2017-12-28;0;26.5;null;1.4;
2017-12-29;0;26.3;null;1.4;
2017-12-30;null;null;null;1.1;
2017-12-31;0;26.8;null;1.3;
2018-01-01;.2;25.5;null;.7;
2018-01-02;.2;26.3;null;.5;
2018-01-03;.2;27.3;null;1.4;
2018-01-04;9.2;24.9;null;.4;
2018-01-05;0;26.5;null;1.5;
2018-01-06;0;26;null;.8;
2018-01-07;0;26.3;null;1;
2018-01-08;0;26.4;null;1.7;
2018-01-09;0;26.7;null;1.9;
2018-01-10;1.8;26;null;2;
2018-01-11;0;25.2;null;1.2;
2018-01-12;0;27;null;1.5;
2018-01-13;0;27.3;null;1.5;
2018-01-14;0;27.6;null;1.8;
2018-01-15;0;27.9;null;1.9;
2018-01-16;0;27.5;null;1.6;
2018-01-17;0;27.7;null;2;
2018-01-18;0;27.5;null;2.2;
2018-01-19;0;28.1;null;2.1;
2018-01-20;0;28.1;null;1.5;
2018-01-21;0;28;null;1.7;
2018-01-22;0;27.6;null;1.3;
2018-01-23;0;28;null;2.2;
2018-01-24;0;27.7;null;2.3;
2018-01-25;0;27.9;null;1.7;
2018-01-26;0;28.3;null;1.5;
2018-01-27;0;28.1;null;1.4;
2018-01-28;0;29.2;null;1.8;
