Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.68083332
Longitude: -45.94444444
Altitude: 969
Situacao: Operante
Data Inicial: 2017-07-20
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-07-20;null;null;null;null;
2017-07-21;null;null;null;null;
2017-07-22;0;18.4;52.2;1.3;
2017-07-23;0;17.5;56.4;2.5;
2017-07-24;0;16.6;55.4;1.9;
2017-07-25;0;17.5;59.3;1.4;
2017-07-26;0;17.7;54.1;1.6;
2017-07-27;0;17;56.2;2.2;
2017-07-28;0;16.3;56.1;2.5;
2017-07-29;0;15.9;65.5;2.5;
2017-07-30;0;16;67;2.1;
2017-07-31;0;15.6;55.9;1.1;
2017-08-01;0;15.4;55.3;1.4;
2017-08-02;0;16.2;51;1.4;
2017-08-03;0;18;51.5;1.7;
2017-08-04;0;15.7;63.6;4.2;
2017-08-05;0;16.1;62.2;3;
2017-08-06;0;15.2;64.7;1.9;
2017-08-07;0;16.4;59.2;1.6;
2017-08-08;0;19.2;52.3;.8;
2017-08-09;0;22.1;42.6;1.7;
2017-08-10;0;23.1;40.2;2.2;
2017-08-11;0;19.7;56.6;1.8;
2017-08-12;0;18.9;62.8;1.8;
2017-08-13;0;20.2;60;1.2;
2017-08-14;0;21.8;52.2;.9;
2017-08-15;0;21;65.2;2;
2017-08-16;1.8;18.4;77.1;1.7;
2017-08-17;0;16.4;89.7;1;
2017-08-18;6.2;15.8;95.8;.6;
2017-08-19;4.2;17.7;85;1.6;
2017-08-20;.2;19.9;72.6;2.6;
2017-08-21;1.4;null;79.1;null;
2017-08-22;null;15.8;69.8;3.4;
2017-08-23;0;16.8;71.1;1.9;
2017-08-24;0;16.4;68.9;1.4;
2017-08-25;0;17.4;61.1;1.8;
2017-08-26;0;18.4;48.9;1.4;
2017-08-27;0;20.1;40.4;1.3;
2017-08-28;0;20.7;41;1.4;
