Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-18;null;null;72;null;
2017-05-19;9;21.5;85;3;
2017-05-20;66.8;19.7;86.7;2.7;
2017-05-21;0;21.7;81.8;2.5;
2017-05-22;0;22.6;82.2;1.3;
2017-05-23;0;22.8;80.4;1.7;
2017-05-24;0;22.6;76.7;3.1;
2017-05-25;0;22.2;73.1;3.1;
2017-05-26;0;21.9;74.6;2.6;
2017-05-27;0;21.4;72.2;2.5;
2017-05-28;0;20.6;null;2.5;
2017-05-29;0;20.3;66;2.4;
2017-05-30;0;20.1;67.3;2.1;
2017-05-31;0;19.9;68.1;2.6;
2017-06-01;0;null;84.7;1.9;
2017-06-02;null;18.8;80.4;1.5;
2017-06-03;0;20.1;74.1;1.7;
2017-06-04;0;21.9;73.1;2.9;
2017-06-05;0;22.1;70.6;2.5;
2017-06-06;0;21.8;66.8;2.3;
2017-06-07;0;21.2;65.9;2.5;
2017-06-08;0;20.9;65.9;2.7;
2017-06-09;0;20.1;74.2;2.8;
2017-06-10;0;15.5;71.1;1.8;
2017-06-11;0;16.9;65.5;1.5;
2017-06-12;0;17.8;78.3;2.1;
2017-06-13;6;20.8;75.5;2.9;
2017-06-14;0;20.7;82.2;1.7;
2017-06-15;16;19.2;75.7;1.9;
2017-06-16;0;18.8;69.5;3;
2017-06-17;0;18.9;68.1;2.8;
2017-06-18;0;18.8;65.5;2.4;
2017-06-19;0;19.8;59.5;2.2;
2017-06-20;0;18.9;59.5;1.9;
2017-06-21;0;18.7;63;2.6;
2017-06-22;0;18.5;66.8;3.7;
2017-06-23;0;18.8;65.8;3.2;
2017-06-24;0;18.2;62;3;
2017-06-25;0;17.3;67.5;2.9;
2017-06-26;0;18.2;66.1;3.5;
2017-06-27;0;18.4;65.3;3.4;
2017-06-28;0;18.7;66;3;
2017-06-29;0;18.6;66.9;2.9;
2017-06-30;0;19.3;54.5;2.4;
2017-07-01;0;19.5;57;1.4;
2017-07-02;0;18.2;63.7;1.3;
2017-07-03;0;17;59.6;3.2;
2017-07-04;0;14.9;55.7;4.2;
2017-07-05;0;15.5;57.4;3.8;
2017-07-06;0;16.5;63;3.1;
2017-07-07;0;18;62.9;3.1;
2017-07-08;0;17.6;63.7;3.5;
2017-07-09;0;18;58.5;4;
2017-07-10;0;17.4;67;2.8;
2017-07-11;0;19.3;62.3;2.6;
2017-07-12;0;19.2;59.3;2.7;
2017-07-13;0;19.2;57.9;3.5;
2017-07-14;0;18;60;3.4;
2017-07-15;0;17.4;64;3.6;
2017-07-16;0;17.2;59.9;3.2;
2017-07-17;0;17.9;56.9;2;
2017-07-18;0;11.3;87.3;2.1;
2017-07-19;0;15.9;74.6;1.3;
2017-07-20;0;18.3;61.5;2.5;
2017-07-21;0;19.6;53.4;3.1;
2017-07-22;0;19;56.9;1.4;
2017-07-23;0;19.5;48.1;3.8;
2017-07-24;0;17.2;53.8;3.5;
2017-07-25;0;18.3;60.2;2.7;
2017-07-26;0;17.9;57.6;3;
2017-07-27;0;16.9;57.4;3.3;
2017-07-28;0;17.7;55;3.4;
2017-07-29;0;18.4;54.9;3.7;
2017-07-30;0;18.7;57.1;3.9;
2017-07-31;0;16.7;56.7;3;
2017-08-01;0;17.5;53.3;2.9;
2017-08-02;0;18.7;48.5;2.7;
2017-08-03;0;20.5;49.3;3.2;
2017-08-04;0;17.4;58.8;1.9;
2017-08-05;0;16.9;57.4;1.7;
2017-08-06;0;18.3;53.2;2.2;
2017-08-07;0;20.2;54.4;3.5;
2017-08-08;0;21.3;52.4;2.9;
2017-08-09;0;23.1;46.7;2.6;
2017-08-10;0;23.4;44.1;1.7;
2017-08-11;0;23.2;43.3;2.3;
2017-08-12;0;23.5;44.7;4;
2017-08-13;0;23.5;42.3;3.7;
2017-08-14;0;21.5;62.1;1.4;
2017-08-15;0;23;60.5;2.1;
2017-08-16;0;21;65.5;2.4;
2017-08-17;0;20.6;74;1.7;
2017-08-18;0;20.4;73;2.1;
2017-08-19;0;24.4;51;3.3;
2017-08-20;0;24.1;46.2;4.3;
2017-08-21;0;null;71.4;null;
2017-08-22;null;21.4;60.5;4.2;
2017-08-23;0;23;50.6;4.6;
2017-08-24;0;21.6;53.5;3.3;
2017-08-25;0;21.3;52.5;3.7;
2017-08-26;0;22;40.3;3.1;
2017-08-27;0;22.8;39.1;2.7;
2017-08-28;0;23.5;36.7;2.6;
2017-08-29;0;23.7;35.1;2.5;
2017-08-30;0;24.8;31.5;2.8;
2017-08-31;0;25.5;30;2.6;
2017-09-01;0;24.8;39.3;3.4;
2017-09-02;0;23.2;47.6;4.4;
2017-09-03;0;21.6;40.1;4.1;
2017-09-04;null;null;40.2;4.1;
2017-09-05;0;21;37.8;3.5;
2017-09-06;0;null;35.9;2.6;
2017-09-07;null;null;33.1;2.5;
2017-09-08;null;23.9;32.5;3.1;
2017-09-09;0;24.1;31.5;3.8;
2017-09-10;0;22.9;39;3.7;
2017-09-11;0;24.3;42.2;3.3;
2017-09-12;0;null;37;4.3;
2017-09-13;null;23.5;36.5;3.9;
2017-09-14;0;null;41.2;3.6;
2017-09-15;0;23.6;38.2;3.1;
2017-09-16;0;24.5;31.9;3.7;
2017-09-17;0;23.7;34.4;3.4;
2017-09-18;0;24.8;34.7;3.3;
2017-09-19;0;25.2;36.2;3.7;
2017-09-20;0;25.2;36.1;3.7;
2017-09-21;0;24.6;36.3;3.8;
2017-09-22;0;23.1;42.6;4.4;
2017-09-23;0;23;45.6;2.6;
2017-09-24;0;24.5;35.8;3.6;
2017-09-25;0;24.3;32.7;3.8;
2017-09-26;0;23.6;39.2;3.7;
2017-09-27;0;24.7;41.1;3.3;
2017-09-28;0;24.5;47.9;2.4;
