Nome: SETE LAGOAS
Codigo Estacao: A569
Latitude: -19.45527777
Longitude: -44.17333332
Altitude: 719
Situacao: Operante
Data Inicial: 2016-06-09
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-09;null;null;null;null;
2016-06-10;null;null;null;null;
2016-06-11;null;18.8;71.3;1.8;
2016-06-12;.2;17.4;67.2;1.6;
2016-06-13;0;17.3;75;3.4;
2016-06-14;0;16.7;70.7;3.3;
2016-06-15;0;15.6;71.2;1.5;
2016-06-16;0;15.9;70.7;1.2;
2016-06-17;0;16.5;68.5;1.2;
2016-06-18;0;16.5;66.8;1.1;
2016-06-19;0;17.2;68.3;1.3;
2016-06-20;0;17.6;73.8;1.6;
2016-06-21;0;18.4;74.6;2;
2016-06-22;0;18.2;73.8;2.3;
2016-06-23;0;17.9;72.8;1.2;
2016-06-24;0;19.2;69.8;1.8;
2016-06-25;0;18.9;69.5;2.4;
2016-06-26;0;17;66.5;2.6;
2016-06-27;0;15.4;73.6;2;
2016-06-28;0;16.4;77.8;2;
2016-06-29;0;19.1;69.4;2.3;
2016-06-30;0;19.5;74.9;2.5;
2016-07-01;0;18.9;71.5;2.2;
2016-07-02;0;18.1;74;2.2;
2016-07-03;0;18;71.2;1.9;
2016-07-04;0;17.1;73;1.8;
2016-07-05;0;19.5;68.1;2;
2016-07-06;0;17.5;70.3;1.5;
2016-07-07;0;18.3;68.3;1.5;
2016-07-08;0;19.3;64.7;1.5;
2016-07-09;0;20.1;65.1;2.1;
2016-07-10;0;19.4;68.6;1.6;
2016-07-11;0;18.8;70.4;1;
2016-07-12;0;18.8;78.9;.9;
2016-07-13;0;19;64.2;1.3;
2016-07-14;0;17.5;64;1;
2016-07-15;0;18.3;64.1;1;
2016-07-16;0;19.1;62.5;2.1;
2016-07-17;0;18.9;61.5;1.7;
2016-07-18;0;16.1;51.9;1.5;
2016-07-19;0;19.7;64.9;2.2;
2016-07-20;0;20.6;68.2;2.6;
2016-07-21;0;19.7;70.9;1.8;
2016-07-22;0;20.1;73.5;2.4;
2016-07-23;0;19.8;73.5;3.1;
2016-07-24;0;19.3;67.4;2.1;
2016-07-25;0;18.4;66.8;1.4;
2016-07-26;0;18.6;68;1.8;
2016-07-27;0;20.4;61.9;1.2;
2016-07-28;0;19.6;64.1;1.7;
2016-07-29;0;20.9;61.6;2.8;
2016-07-30;0;18.9;62.5;2.4;
2016-07-31;0;17.3;71.1;2;
2016-08-01;0;17.4;64.8;1.5;
2016-08-02;0;16.5;60.3;1;
2016-08-03;0;19.4;60.7;2;
2016-08-04;0;19.7;67.2;2.8;
2016-08-05;0;19.5;66;2.1;
2016-08-06;0;18.6;61.8;1.2;
2016-08-07;0;18.8;60.5;1.3;
2016-08-08;0;20;58.4;1.3;
2016-08-09;0;20.3;55.4;1.5;
2016-08-10;0;21.1;65.8;null;
2016-08-11;0;21.7;52.3;null;
2016-08-12;0;19.7;60.6;null;
2016-08-13;0;20.1;64.7;null;
