Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-15;null;null;null;null;
2018-03-16;.4;26;68.8;1.7;
2018-03-17;0;24.5;73.7;2.4;
2018-03-18;0;24.9;71.5;1.8;
2018-03-19;0;25.6;68.9;1.6;
2018-03-20;0;26.3;65.7;1.9;
2018-03-21;0;26.6;66;1.8;
2018-03-22;0;25.3;73.3;2;
2018-03-23;.2;25.2;73;2;
2018-03-24;11.4;23.5;81.3;2.4;
2018-03-25;7.4;23.5;75.8;2.3;
2018-03-26;0;24.1;null;2.7;
2018-03-27;0;23.7;null;2;
2018-03-28;0;24.1;null;2.3;
2018-03-29;0;24.4;null;2.4;
2018-03-30;0;24;null;2;
2018-03-31;0;24.6;null;2.2;
2018-04-01;0;25.4;null;2;
2018-04-02;.2;23.3;null;1.8;
2018-04-03;2.2;24.7;null;1.8;
2018-04-04;0;24;null;1.5;
2018-04-05;2.6;24.8;null;1.9;
2018-04-06;17.4;21.5;null;1.7;
2018-04-07;19;23.2;null;2.2;
2018-04-08;0;23.3;null;2;
2018-04-09;10.4;22.6;null;2;
2018-04-10;0;23.1;null;2.2;
2018-04-11;0;23.4;null;2.7;
2018-04-12;0;22.4;null;2.6;
2018-04-13;0;22.9;null;2.1;
2018-04-14;0;23.1;null;1.6;
2018-04-15;12;22.4;null;1.8;
2018-04-16;2;22.2;null;2.3;
2018-04-17;1.4;21.3;null;2.6;
2018-04-18;.2;22;null;2.3;
2018-04-19;0;21.9;null;2.3;
2018-04-20;0;22.2;null;1.2;
2018-04-21;0;23.6;null;1.4;
2018-04-22;0;22.9;null;2.5;
2018-04-23;0;22.4;null;2.2;
2018-04-24;0;22.7;null;1.8;
2018-04-25;0;22.8;null;2.4;
2018-04-26;0;22.8;null;1.8;
2018-04-27;0;23.3;null;1.7;
2018-04-28;0;23.5;null;1.9;
2018-04-29;0;23;null;1.9;
2018-04-30;0;22.7;null;1.6;
2018-05-01;0;22.7;null;1.3;
2018-05-02;0;22.7;null;1.6;
2018-05-03;0;22.9;null;1.5;
2018-05-04;0;23.6;null;1.6;
2018-05-05;0;22.9;null;1.8;
2018-05-06;0;22.9;null;1.8;
2018-05-07;0;23.1;null;1.4;
2018-05-08;0;22.7;null;1.7;
2018-05-09;0;21.9;null;2.1;
2018-05-10;0;21.8;null;1.8;
2018-05-11;0;22;null;1.4;
2018-05-12;0;22.1;null;1.3;
2018-05-13;0;23.5;null;1.3;
2018-05-14;0;22.8;null;1.9;
2018-05-15;0;22.7;null;2.2;
2018-05-16;0;22.6;null;1.5;
2018-05-17;0;23.4;null;1.4;
2018-05-18;0;23.4;null;1.8;
2018-05-19;0;21.8;null;2;
2018-05-20;6.2;18.5;null;2.4;
2018-05-21;.2;16.7;null;1.7;
2018-05-22;0;19.4;null;1.4;
2018-05-23;0;20.9;null;1.7;
2018-05-24;0;22.3;null;1.7;
2018-05-25;0;21.1;null;1.7;
2018-05-26;0;20.8;null;1.9;
2018-05-27;0;20.5;null;1.9;
2018-05-28;0;19.8;null;2.1;
2018-05-29;0;20.3;null;2.9;
2018-05-30;0;19.4;null;2.2;
2018-05-31;0;19.4;null;1.4;
2018-06-01;0;20.1;null;1.6;
2018-06-02;0;21;null;1.5;
2018-06-03;0;21.7;null;1.6;
2018-06-04;0;22.1;null;2.1;
2018-06-05;0;21.6;null;2;
2018-06-06;0;22.7;null;1.8;
2018-06-07;0;23.6;null;1.2;
2018-06-08;0;23.1;null;1.9;
2018-06-09;0;23.6;null;1.8;
2018-06-10;0;22.8;null;2.1;
2018-06-11;0;22.5;null;1.7;
2018-06-12;0;22.5;null;1.6;
2018-06-13;0;23.1;null;1.4;
2018-06-14;0;23.1;null;1.6;
2018-06-15;0;22.6;null;1.6;
2018-06-16;0;21.3;null;1.7;
2018-06-17;0;20.4;null;1.7;
2018-06-18;0;20.3;null;2;
2018-06-19;0;20.3;null;1.9;
2018-06-20;0;20.9;null;2.7;
2018-06-21;0;20.6;null;2.1;
2018-06-22;0;21;null;1.6;
2018-06-23;0;21.3;null;1.9;
2018-06-24;0;21.6;null;1.7;
2018-06-25;0;21.6;null;1.7;
2018-06-26;0;22.8;null;2.3;
2018-06-27;0;22.2;null;1.7;
2018-06-28;0;21;null;2;
2018-06-29;0;20.2;null;1.7;
2018-06-30;0;20.1;null;1.7;
2018-07-01;0;21.3;null;1.5;
2018-07-02;0;21.4;null;1.4;
2018-07-03;0;21.3;null;1.4;
2018-07-04;0;21.8;null;1.9;
2018-07-05;0;21;null;2;
2018-07-06;0;20.2;46.7;1.8;
2018-07-07;0;20.4;54.9;1.9;
2018-07-08;0;21.7;56.4;1.2;
2018-07-09;0;23.1;54.2;1.1;
2018-07-10;0;22.3;54.2;1.8;
2018-07-11;0;20.6;59.3;1.6;
2018-07-12;0;22.1;54.4;1.6;
2018-07-13;0;22.4;52.9;1.5;
2018-07-14;0;21.6;55.6;1.5;
2018-07-15;0;21.7;54.2;2;
2018-07-16;0;21.2;55;1.7;
2018-07-17;0;21.3;54.9;2.7;
2018-07-18;0;21.2;61.5;2.3;
2018-07-19;0;20.4;54.5;2.2;
2018-07-20;0;21.2;55;2;
2018-07-21;0;21.4;55.5;1.5;
2018-07-22;0;21.6;51.5;2.3;
2018-07-23;0;20.9;48.3;2.2;
2018-07-24;0;20.9;51.6;2.2;
2018-07-25;0;20.9;52.6;2.5;
2018-07-26;0;20.2;51.5;1.9;
2018-07-27;0;20.5;51.6;2.1;
2018-07-28;0;20.8;51.8;1.6;
2018-07-29;0;20.8;51.1;1.7;
2018-07-30;0;22.1;45;2;
2018-07-31;0;23.1;42.5;1.5;
2018-08-01;0;24.3;42.2;1.8;
2018-08-02;0;24.6;46.6;1.7;
2018-08-03;0;24.2;56.3;2.5;
2018-08-04;0;24.4;53.8;2;
2018-08-05;0;24.4;55.1;1.5;
2018-08-06;0;25.2;53;1.8;
2018-08-07;0;23.7;58.2;1.9;
2018-08-08;0;24.8;57;2.2;
2018-08-09;0;22.8;67.3;2.2;
2018-08-10;0;24;62.5;2;
2018-08-11;0;23.1;41.5;2.3;
2018-08-12;0;21.7;28.1;1.9;
2018-08-13;0;22.7;28.4;1.6;
2018-08-14;0;23.6;34.2;1.8;
2018-08-15;null;24.5;34.4;1.7;
2018-08-16;0;21.9;53.7;1.9;
2018-08-17;0;19.5;70.9;2.1;
2018-08-18;0;21.2;61.2;2.3;
2018-08-19;null;21.9;54.3;1.9;
2018-08-20;null;23;45.4;2.2;
2018-08-21;null;23.2;37.9;2.2;
2018-08-22;null;23.9;37.2;2.1;
2018-08-23;null;24.2;38.9;2.3;
2018-08-24;null;24.8;37.1;2;
2018-08-25;null;25.2;39.2;2.2;
2018-08-26;null;25.2;43.3;2.1;
2018-08-27;null;24.8;47.9;2.7;
2018-08-28;null;23.9;44.2;4.2;
2018-08-29;null;22.6;45;2.6;
2018-08-30;null;23.3;42.1;2.8;
2018-08-31;null;23.3;37.7;2.2;
2018-09-01;null;23.8;37.9;2.3;
2018-09-02;0;24.9;35.5;2.4;
2018-09-03;.4;26.4;32.3;2.5;
2018-09-04;5.8;23.2;35.4;3.5;
2018-09-05;3.2;20.7;39.3;2.3;
2018-09-06;6.6;23.7;31.2;2.3;
2018-09-07;.6;24.8;39.3;2.3;
2018-09-08;0;24.3;34;2.7;
2018-09-09;0;23.5;28.2;2.1;
2018-09-10;0;23.7;29;1.8;
2018-09-11;0;24.4;28.3;2.1;
2018-09-12;0;25.9;26.5;2;
2018-09-13;0;25.7;34.7;3.2;
2018-09-14;0;24.9;44.2;3.9;
2018-09-15;0;22.1;70.3;2.4;
2018-09-16;0;25.2;55.4;1.9;
2018-09-17;0;21.5;75.6;2.1;
2018-09-18;0;22.6;73.1;1.7;
2018-09-19;0;23.1;72.2;2.4;
2018-09-20;0;23.4;68;1.6;
2018-09-21;0;23.5;67.6;2.4;
2018-09-22;0;26.9;47.3;1.6;
2018-09-23;0;27.9;38.8;2.2;
2018-09-24;0;28.4;38.2;2.3;
2018-09-25;0;28.3;32.5;2.5;
2018-09-26;0;28.1;30.7;2.4;
2018-09-27;0;28;31.8;2.2;
2018-09-28;0;28.9;31.4;1.6;
2018-09-29;0;29.9;32.4;2.5;
2018-09-30;0;29.1;35.4;2.7;
2018-10-01;null;27.4;44.9;2.8;
2018-10-02;null;26.3;49.3;2.7;
2018-10-03;null;28.5;38;2;
