Nome: RESENDE
Codigo Estacao: A609
Latitude: -22.45138888
Longitude: -44.44499999
Altitude: 438.83
Situacao: Operante
Data Inicial: 2006-09-28
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-28;null;null;null;null;
2006-09-29;null;null;null;null;
2006-09-30;null;19.4;85.8;2.4;
2006-10-01;0;19.8;84.6;2.3;
2006-10-02;.2;19.1;92.3;1.1;
2006-10-03;6.4;21.8;83;1.8;
2006-10-04;61.6;22;86.2;2;
2006-10-05;0;24.6;76.9;1.6;
2006-10-06;.2;23.8;81.8;1.6;
2006-10-07;29;21.7;91.5;1.6;
2006-10-08;9.2;20.3;92.9;2.1;
2006-10-09;4.2;20.9;81.5;2.7;
2006-10-10;0;21.2;81.3;2.6;
2006-10-11;0;22.3;74;1.3;
2006-10-12;.2;22.7;76.8;1.5;
2006-10-13;11.4;21.9;88;1.4;
2006-10-14;2;23;78.7;1.9;
2006-10-15;0;25.1;70.6;2;
2006-10-16;0;24.3;75.8;1.7;
2006-10-17;32.2;23.1;86;1.8;
2006-10-18;7.6;21.2;84.9;2.9;
2006-10-19;4.2;18.9;93.9;1.8;
2006-10-20;10.2;19;87.3;2.3;
2006-10-21;.4;16.7;86.8;2.1;
2006-10-22;.8;18;78.2;2.3;
2006-10-23;2.4;17.7;80;2.5;
2006-10-24;0;20.5;66.8;3.7;
2006-10-25;0;22.2;66;1.8;
2006-10-26;0;24.6;63;1.9;
2006-10-27;0;22.6;75.1;2.6;
2006-10-28;0;22.1;65.2;4.2;
2006-10-29;0;21.1;64.3;2.9;
2006-10-30;0;23;68.1;2.3;
2006-10-31;0;24.2;71.7;1.9;
2006-11-01;8.8;23.5;82.5;2;
2006-11-02;24.4;22.4;91.5;1.3;
2006-11-03;53;23;86.1;2;
2006-11-04;.2;23.7;74.9;3.1;
2006-11-05;0;22.1;69.5;2.8;
2006-11-06;0;23.3;74.6;1.9;
2006-11-07;0;24.5;70.6;4.7;
2006-11-08;0;19.3;75.5;2.8;
2006-11-09;.6;18.5;77.4;2.1;
2006-11-10;8.2;15.3;90.8;1.7;
2006-11-11;12.4;14.8;91.1;1.6;
2006-11-12;3.8;17.2;75.4;1.7;
2006-11-13;.8;19;78;2;
2006-11-14;11.4;19.5;86.3;1.7;
2006-11-15;3.4;22.4;80.3;1.6;
2006-11-16;6.2;23.7;76.8;1.5;
2006-11-17;0;25.3;68.5;1.1;
2006-11-18;0;25.1;74;1.9;
2006-11-19;.4;24.8;77.6;1.8;
2006-11-20;37.4;23;83.3;2;
2006-11-21;43.8;22.2;80.3;3.6;
2006-11-22;0;23;74.5;2.3;
2006-11-23;0;23.3;74.8;2;
2006-11-24;0;24.3;74.7;2.3;
2006-11-25;2.2;25.9;72.7;2;
2006-11-26;26.8;23.6;85.2;2.1;
2006-11-27;1.4;23.5;86.6;1.4;
2006-11-28;4.6;25.1;79.2;1.7;
2006-11-29;19.8;23.7;87.1;1.3;
2006-11-30;10.6;23.2;90;1.7;
2006-12-01;5;21.5;82.4;2.3;
2006-12-02;2.2;21.8;78;2.9;
