Nome: PICO DO COUTO
Codigo Estacao: A610
Latitude: -22.46472222
Longitude: -43.29138888
Altitude: 1777
Situacao: Operante
Data Inicial: 2006-10-21
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-21;null;null;null;null;
2006-10-22;null;null;null;null;
2006-10-23;null;null;null;null;
2006-10-24;null;null;null;null;
2006-10-25;null;null;null;null;
2006-10-26;null;null;null;null;
2006-10-27;null;null;null;null;
2006-10-28;null;10.7;81.3;7.7;
2006-10-29;2.6;10.9;97.9;5;
2006-10-30;.2;14.7;86.8;5.4;
2006-10-31;0;16.5;89.5;6.3;
2006-11-01;11.4;16.5;90.4;7.3;
2006-11-02;24.6;15.4;98.5;7.7;
2006-11-03;4.6;15.4;99;3.8;
2006-11-04;34;13.8;99;6.3;
2006-11-05;0;13.1;92;3.6;
2006-11-06;.6;14.3;98.3;7.2;
2006-11-07;.8;14.4;99.3;7.6;
2006-11-08;41.6;9.6;100;7.1;
2006-11-09;2.6;9.4;100;2.9;
2006-11-10;8.4;7.9;100;6.1;
2006-11-11;19.2;7.1;100;7.6;
2006-11-12;11;7.9;96.7;5.2;
2006-11-13;1.6;9.9;99.3;5.5;
2006-11-14;15.6;11.8;100;5.7;
2006-11-15;50.8;13.1;93.6;8.2;
2006-11-16;2;14.7;95;9.2;
2006-11-17;0;17.3;80.7;4.9;
2006-11-18;0;16.9;85.4;6.7;
2006-11-19;1;16.7;86.7;3.3;
2006-11-20;13;17.2;81;5;
2006-11-21;2.2;14.3;93.7;4.3;
2006-11-22;3.8;14.1;96.8;3.1;
2006-11-23;.2;14.7;98.1;4.5;
2006-11-24;.8;15.8;90.5;5.2;
2006-11-25;.2;16.8;88.6;7.1;
2006-11-26;0;15.7;93.9;6.3;
2006-11-27;17.4;15.2;98.4;4.9;
2006-11-28;9.4;15.8;99;6;
2006-11-29;31.2;16.7;97.1;3.5;
2006-11-30;81.4;15.7;98.7;5.4;
2006-12-01;88.4;13;100;8.8;
2006-12-02;9.6;12.6;93.5;2.3;
2006-12-03;0;15.2;82.6;2.6;
2006-12-04;.2;15.8;91;4.6;
2006-12-05;1.8;15.2;96.5;5.6;
2006-12-06;2.4;16.2;94.2;4.8;
2006-12-07;2.4;15.1;98.7;6.2;
2006-12-08;4.8;13;98.5;4;
2006-12-09;.2;15.1;93.5;2.2;
2006-12-10;1.6;14.9;96.4;2.6;
2006-12-11;12.4;14.3;99.8;3.9;
2006-12-12;7;14;99.1;4.5;
2006-12-13;2.2;15.5;97.8;2.8;
2006-12-14;21;15.4;99.7;6.9;
2006-12-15;6.6;15.4;98.7;8.1;
2006-12-16;17;15.3;97.8;6.3;
2006-12-17;7.4;15.6;94.2;4.5;
2006-12-18;.2;16.3;90.3;5.2;
2006-12-19;.4;16.9;90.6;6.3;
2006-12-20;11;16.6;90.4;8.2;
2006-12-21;1.8;17.1;92.6;7.6;
2006-12-22;17;18.1;86.3;3.5;
2006-12-23;.6;null;97;null;
2006-12-24;null;16.9;93.8;6.2;
2006-12-25;null;null;null;null;
2006-12-26;null;null;85.2;null;
2006-12-27;18.4;17;88.5;3.1;
2006-12-28;.4;14.9;96.4;4.6;
2006-12-29;11;14.8;99.5;5.3;
2006-12-30;10.4;13.9;99.5;5.2;
2006-12-31;9.6;13;99.5;7.9;
2007-01-01;29.2;12.8;100;9.4;
2007-01-02;20.8;13.7;100;9.4;
2007-01-03;57.8;13.6;100;8;
2007-01-04;95;14.9;100;6.9;
2007-01-05;15.2;14.6;100;10;
2007-01-06;14.6;14.9;99.9;9.8;
2007-01-07;.4;16;97.5;6.8;
2007-01-08;17.4;16.9;94;4.3;
2007-01-09;14.6;16.3;95.5;4.8;
2007-01-10;6.6;16.4;92.6;4.5;
2007-01-11;.8;16.1;93.3;3.7;
2007-01-12;.2;17.7;90.5;5.2;
2007-01-13;14.8;17.1;96.2;3.3;
2007-01-14;11.4;15.1;92.6;4.1;
