Nome: SANTA TERESA
Codigo Estacao: A613
Latitude: -19.98833333
Longitude: -40.57944443
Altitude: 975.92
Situacao: Operante
Data Inicial: 2007-08-08
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-08-08;null;null;null;null;
2007-08-09;null;null;82.4;null;
2007-08-10;0;15.4;90.9;1;
2007-08-11;9.8;15.9;93.7;1;
2007-08-12;0;15.1;93.5;1.6;
2007-08-13;22.4;14.6;97.4;2.3;
2007-08-14;5.6;14.9;95.5;1.9;
2007-08-15;15.4;14.8;93.7;1.3;
2007-08-16;.8;14.6;91;1.8;
2007-08-17;.2;14;96.5;1.6;
2007-08-18;5;14;99.5;1.1;
2007-08-19;3.2;13.9;93;.9;
2007-08-20;0;15.5;79.9;2;
2007-08-21;0;16.3;79.8;3;
2007-08-22;0;14.7;92;2.7;
2007-08-23;.4;14.1;89.5;1.6;
2007-08-24;.2;14.8;81.2;1.7;
2007-08-25;0;17;74.1;3.4;
2007-08-26;0;18.4;74.2;3.8;
2007-08-27;0;21.4;69.1;4.4;
2007-08-28;.4;18.1;90.3;2.3;
2007-08-29;.2;16.3;95.7;2.1;
2007-08-30;.4;15.7;91.5;1.6;
2007-08-31;8;15;99.8;2.4;
2007-09-01;7.8;16.1;98.2;.7;
2007-09-02;2;17.9;89.9;1.7;
2007-09-03;0;16.6;94.9;1.1;
2007-09-04;20.2;15;99.9;2.3;
2007-09-05;34;15.2;100;1.4;
2007-09-06;33.4;15;99;.7;
2007-09-07;11.8;15.6;93.2;.9;
2007-09-08;0;15.7;89.4;.9;
2007-09-09;0;15.5;89.8;1.2;
2007-09-10;15.6;14.5;99;1.6;
2007-09-11;3.4;14.5;92.3;1.3;
2007-09-12;0;14.3;94.3;1;
2007-09-13;18.8;15.3;90.8;1.8;
2007-09-14;.2;15.3;93.2;.7;
2007-09-15;.6;16.6;79.3;2.5;
2007-09-16;.2;17.7;82.3;3.1;
2007-09-17;0;17.2;80.1;3.1;
2007-09-18;3.6;13;98.5;3.2;
2007-09-19;2;14;87.3;1;
2007-09-20;.2;15.8;86.1;1.9;
2007-09-21;.2;16.1;84.3;1.6;
2007-09-22;.2;16.8;81.6;1.3;
