Nome: TERESOPOLIS-PARQUE NACIONAL
Codigo Estacao: A618
Latitude: -22.4486111
Longitude: -42.98694444
Altitude: 981
Situacao: Operante
Data Inicial: 2006-10-31
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-31;null;null;null;null;
2006-11-01;null;null;71.4;null;
2006-11-02;.8;20.9;84.9;2;
2006-11-03;7.6;19.4;97.8;.6;
2006-11-04;105;17.7;98.3;.8;
2006-11-05;.2;16.3;93.3;.6;
2006-11-06;1.4;18.9;85;1.7;
2006-11-07;3.8;18.3;96;1.3;
2006-11-08;39.4;13.6;97.2;1.1;
2006-11-09;4.6;13;94.8;.5;
2006-11-10;7.8;11.6;100;.8;
2006-11-11;24;11.9;95;.9;
2006-11-12;14.2;12.6;86.2;.7;
2006-11-13;10.2;14.5;91.6;.7;
2006-11-14;51.2;16;97.2;.7;
2006-11-15;23.8;17.6;85.3;2;
2006-11-16;2.4;20.9;75.7;2.4;
2006-11-17;0;22;77.2;1.1;
2006-11-18;0;21.9;79.1;1.3;
2006-11-19;0;19.7;90.5;.6;
2006-11-20;6.4;20.4;88.1;1.1;
2006-11-21;9.4;17.3;98.7;.7;
2006-11-22;14;17.9;92.7;.9;
2006-11-23;.6;18.7;93.5;1;
2006-11-24;4.2;21.1;80.6;1;
2006-11-25;0;22.8;71.4;1.9;
2006-11-26;0;21.9;76.9;1.5;
2006-11-27;21.6;19.2;94.3;.8;
2006-11-28;22.6;20.6;89.2;1;
2006-11-29;21.8;20.3;94.6;.7;
2006-11-30;53.4;19.3;98.2;.8;
2006-12-01;241.4;16.5;99.2;1.2;
2006-12-02;30.8;16.7;91.3;.5;
2006-12-03;0;19.3;84.3;1;
2006-12-04;0;20.9;80.6;1.3;
2006-12-05;0;20.2;86.8;.7;
2006-12-06;1;21.4;83;.9;
2006-12-07;26;19.1;95.8;1.2;
2006-12-08;8.6;17.3;93.1;.8;
2006-12-09;3.6;18.2;95.6;.5;
2006-12-10;.4;18.1;94.9;.8;
2006-12-11;2;17.3;97.6;.4;
2006-12-12;10.8;17.4;94.3;.5;
2006-12-13;10.6;19.2;93.9;.5;
2006-12-14;3.8;20.8;87.8;1.6;
2006-12-15;1.8;20.4;87.3;1.8;
2006-12-16;4.6;20.6;83.5;1.6;
2006-12-17;34.6;20.7;83.1;1.2;
2006-12-18;0;22;75.1;1.4;
2006-12-19;0;23;73.2;1.6;
2006-12-20;1.2;22.9;71.3;2.5;
2006-12-21;0;23.7;70.7;1.9;
2006-12-22;14.6;20.8;93.2;.5;
2006-12-23;6;null;92.9;null;
2006-12-24;null;21.8;83.2;1.5;
2006-12-25;null;null;null;null;
2006-12-26;null;null;86.2;null;
2006-12-27;4.2;20;92.4;.4;
2006-12-28;.4;19.2;93.5;.3;
2006-12-29;23.8;19;95.1;.6;
2006-12-30;16;19.6;80.6;1.8;
2006-12-31;.2;18.7;85.1;2.1;
2007-01-01;14;17.2;91;2.5;
2007-01-02;16.6;17.9;93.5;2;
2007-01-03;45.8;17.3;95.4;2.3;
2007-01-04;92.6;18.1;96.9;2;
2007-01-05;50.2;19.9;86.7;2.9;
2007-01-06;16.6;21.1;79.5;2.7;
2007-01-07;1.2;21.9;80.1;1.6;
2007-01-08;11.4;20.2;93.1;.9;
2007-01-09;21.8;19.4;92.8;.9;
2007-01-10;11.2;18.8;98;.9;
2007-01-11;3.8;20;93.8;.7;
2007-01-12;0;22.6;81.9;1.2;
2007-01-13;4.8;19.8;96.8;.5;
