Nome: NOVA FRIBURGO - SALINAS
Codigo Estacao: A624
Latitude: -22.33472221
Longitude: -42.67694443
Altitude: 1070
Situacao: Operante
Data Inicial: 2010-09-17
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-09-17;null;null;null;null;
2010-09-18;null;null;null;null;
2010-09-19;null;null;null;null;
2010-09-20;null;null;null;null;
2010-09-21;null;15.7;84.4;null;
2010-09-22;0;17.2;78.5;null;
2010-09-23;0;17.7;71.2;null;
2010-09-24;0;17.4;76.7;null;
2010-09-25;3;17.3;87.2;null;
2010-09-26;0;16;88.8;null;
2010-09-27;2;17.2;84.8;null;
2010-09-28;2.2;17.2;89.5;null;
2010-09-29;1.8;18.4;84.9;null;
2010-09-30;0;20.6;80.5;null;
2010-10-01;.2;20.7;82.4;null;
2010-10-02;10;19.1;84.3;null;
2010-10-03;4.4;14.5;93.8;null;
2010-10-04;3;14.5;87.4;null;
2010-10-05;3.2;17;88.5;null;
2010-10-06;.8;17.7;89.2;null;
2010-10-07;0;20;78.8;null;
2010-10-08;4.6;19;75.9;null;
2010-10-09;0;13;84.9;null;
2010-10-10;8;12.1;86.1;null;
2010-10-11;1;11.5;94.5;null;
2010-10-12;2.2;11.1;84.3;null;
2010-10-13;.2;11.9;79.6;null;
2010-10-14;0;15.6;78.7;null;
2010-10-15;0;16.7;84.3;null;
2010-10-16;0;17.8;84.8;null;
2010-10-17;21.6;18.5;87.4;null;
2010-10-18;3.4;17.2;92.5;null;
2010-10-19;45;13.1;89.5;null;
2010-10-20;0;13.7;84.4;null;
2010-10-21;0;15.5;83.1;null;
2010-10-22;0;17;84.3;null;
2010-10-23;0;19.5;76.8;null;
2010-10-24;6.6;17.6;92.9;null;
2010-10-25;0;18.2;85.8;null;
2010-10-26;20.6;16.7;89.3;null;
2010-10-27;20.8;13.8;88.4;null;
2010-10-28;.2;14.2;88.6;null;
2010-10-29;0;18.8;79.6;null;
2010-10-30;0;20.5;79;null;
2010-10-31;12.8;19.4;83.1;null;
2010-11-01;1.6;17.1;93.6;null;
2010-11-02;33;15.9;89.3;null;
2010-11-03;0;16.6;87.5;null;
2010-11-04;.6;18;80;null;
2010-11-05;0;18.8;79.5;null;
2010-11-06;3.8;18.7;87.4;null;
2010-11-07;41.8;17.1;85.7;null;
2010-11-08;1.8;19.8;79.8;null;
2010-11-09;0;20.1;80.2;null;
2010-11-10;11.4;18.3;88.2;null;
2010-11-11;55.4;15.4;92.7;null;
2010-11-12;.4;13.6;90.7;null;
2010-11-13;2.2;13.5;94.1;null;
2010-11-14;3.6;13.9;90.9;null;
2010-11-15;18.8;14.4;92;null;
2010-11-16;1;16.1;92.2;null;
2010-11-17;7.8;18.7;86.9;null;
2010-11-18;.6;19.3;78.6;null;
2010-11-19;0;18.7;80.9;null;
2010-11-20;0;21;79.3;null;
2010-11-21;93.8;18.7;88.3;null;
2010-11-22;0;20.1;78;null;
2010-11-23;12.8;19;89.9;null;
2010-11-24;22.8;19.7;86.7;null;
2010-11-25;16.8;20.8;84.6;null;
2010-11-26;28.4;18.6;89.4;null;
2010-11-27;1.6;18.2;88.7;null;
2010-11-28;0;18.7;83.8;null;
2010-11-29;0;20.3;79.6;null;
2010-11-30;0;21.6;77.2;null;
2010-12-01;13.6;20.1;88;null;
2010-12-02;2.4;19.5;92.1;null;
2010-12-03;13.6;21.6;85;null;
2010-12-04;19.6;21.2;87.5;null;
2010-12-05;12.2;21.2;86.3;null;
2010-12-06;14.6;19.8;91.8;null;
2010-12-07;33.4;20;90.8;null;
2010-12-08;18;21.6;82.5;null;
2010-12-09;5.2;19.7;87.5;null;
2010-12-10;2.4;18.8;86.7;null;
2010-12-11;0;20.7;83.5;null;
2010-12-12;0;21;82.6;null;
2010-12-13;0;21.8;80.8;null;
2010-12-14;23.2;20.5;88.5;null;
2010-12-15;30.6;20.1;89.5;null;
2010-12-16;57;20.5;85.4;null;
2010-12-17;3.2;20.3;81.4;null;
2010-12-18;.2;19.3;83.9;null;
2010-12-19;.2;18.7;87.9;null;
2010-12-20;9.2;20;80.9;null;
2010-12-21;.2;19.9;84.3;null;
2010-12-22;2;19.8;88.1;null;
2010-12-23;55;19.1;88.3;null;
2010-12-24;35;18.7;92.5;null;
2010-12-25;1.4;19.8;88.1;null;
2010-12-26;.2;21.1;87.3;null;
2010-12-27;17.8;19.1;91.3;null;
2010-12-28;35.6;18.6;93.1;null;
2010-12-29;6.4;18;90.3;null;
2010-12-30;5;17.3;88.7;null;
2010-12-31;.8;17;89.4;null;
2011-01-01;19.2;18.1;92.8;null;
2011-01-02;22;19.2;87.3;null;
2011-01-03;1.8;19.1;84.7;null;
2011-01-04;6.2;19.5;90;null;
2011-01-05;32.8;19.6;90.1;null;
2011-01-06;2.6;19.8;88.2;null;
2011-01-07;1.2;20.1;79.5;null;
2011-01-08;0;20.6;73.4;null;
2011-01-09;0;19.6;79.8;null;
2011-01-10;.2;20.9;77.3;null;
2011-01-11;98;19.1;92.2;null;
2011-01-12;182.8;20.5;87.6;null;
2011-01-13;16.8;20.4;88.7;null;
2011-01-14;10;20.1;91.3;null;
2011-01-15;20.6;19.1;93.2;null;
2011-01-16;33.2;20.1;89.2;null;
2011-01-17;.2;21;84.9;null;
2011-01-18;0;20.2;88.4;null;
2011-01-19;9;20.8;85.3;null;
2011-01-20;.2;21.6;77.5;null;
2011-01-21;.2;20.5;77.6;null;
2011-01-22;0;20.7;78;null;
2011-01-23;0;20.9;83.5;null;
2011-01-24;9.2;19.7;81;null;
2011-01-25;0;19.4;77.8;null;
2011-01-26;0;20.2;77.5;null;
2011-01-27;.2;21;80.3;null;
2011-01-28;0;21.3;81.1;null;
2011-01-29;.4;21.3;78.5;null;
2011-01-30;.2;21;84.3;null;
2011-01-31;.2;20.7;87.1;null;
2011-02-01;3;21.6;84;null;
2011-02-02;1.6;21.2;84;null;
2011-02-03;0;21;81.3;null;
2011-02-04;.2;19.8;77.7;null;
2011-02-05;.2;20.4;76.9;null;
2011-02-06;.2;20.5;77.3;null;
2011-02-07;0;20.2;81.5;null;
2011-02-08;0;20.9;74;null;
2011-02-09;0;21.5;72.5;null;
2011-02-10;.2;21;76.8;null;
2011-02-11;0;20.9;83.2;null;
2011-02-12;.6;20.3;78;null;
2011-02-13;.2;19.9;77.7;null;
2011-02-14;.2;21;71.8;null;
2011-02-15;0;19.2;81.1;null;
2011-02-16;.4;20.7;76.8;null;
2011-02-17;0;20.1;81.5;null;
2011-02-18;1.4;20.7;72;null;
2011-02-19;0;18.9;81.8;null;
2011-02-20;9.2;19.4;84.5;null;
2011-02-21;.2;20.2;80.3;null;
2011-02-22;.8;20.3;80.5;null;
2011-02-23;30.4;20;88.3;null;
2011-02-24;15.6;19.7;88.3;null;
2011-02-25;.2;19.9;88.3;null;
2011-02-26;3.6;19.6;84.1;null;
2011-02-27;0;21.2;85.3;null;
2011-02-28;46.4;19.7;89;null;
2011-03-01;30;19.1;85.5;null;
2011-03-02;.4;17.8;91;null;
2011-03-03;67.2;17.2;93.4;null;
2011-03-04;4;17.5;90.8;null;
2011-03-05;56.2;17.1;95;null;
2011-03-06;28;17.5;92.5;null;
2011-03-07;15.6;17.5;94.3;null;
2011-03-08;6.2;18.4;93.4;null;
2011-03-09;12.4;18.9;90.2;null;
2011-03-10;4.8;19.4;90.3;null;
2011-03-11;13;19.5;88;null;
2011-03-12;1.2;19.1;91.1;null;
2011-03-13;4.6;20.1;89.6;null;
2011-03-14;11.6;19.4;93.3;null;
2011-03-15;14.6;19.8;90.7;null;
2011-03-16;8.2;19.1;92.6;null;
2011-03-17;5.6;18.7;88.5;null;
2011-03-18;0;19.1;85;null;
2011-03-19;0;19.3;84.5;null;
2011-03-20;25.2;17.2;86.5;null;
2011-03-21;0;16.1;90.6;null;
2011-03-22;5.8;17.1;90.8;null;
2011-03-23;1.4;18.4;82.5;null;
2011-03-24;1.4;19.3;79.6;null;
2011-03-25;0;19;86.5;null;
2011-03-26;4.8;18.9;88.5;null;
2011-03-27;.6;19.7;87.1;null;
2011-03-28;18.6;19.6;87.2;null;
