Nome: TRES RIOS
Codigo Estacao: A625
Latitude: -22.09833333
Longitude: -43.20833333
Altitude: 295
Situacao: Operante
Data Inicial: 2016-06-07
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-07;null;null;null;null;
2016-06-08;null;null;null;null;
2016-06-09;null;null;null;null;
2016-06-10;null;null;null;null;
2016-06-11;null;16.3;null;1.5;
2016-06-12;0;12.8;null;.9;
2016-06-13;0;12.8;null;1;
2016-06-14;0;12.2;null;.6;
2016-06-15;0;13.1;74.8;.7;
2016-06-16;0;14.1;null;.7;
2016-06-17;0;15.6;null;.7;
2016-06-18;0;16.8;null;.7;
2016-06-19;0;17.3;null;.8;
2016-06-20;0;15.8;null;.8;
2016-06-21;0;18.4;null;1.2;
2016-06-22;0;17.7;null;.8;
2016-06-23;0;19.8;null;.7;
2016-06-24;0;18.7;null;1;
2016-06-25;0;18.4;null;.8;
2016-06-26;0;16;90.1;.7;
2016-06-27;0;18.7;null;.7;
2016-06-28;0;18.2;null;.7;
2016-06-29;0;18.3;null;.7;
2016-06-30;0;18.6;89.1;.6;
2016-07-01;.8;20.2;null;.6;
2016-07-02;0;18.8;90.6;.6;
2016-07-03;0;17.8;null;.6;
2016-07-04;0;18.3;null;.7;
2016-07-05;0;17.7;86.1;.7;
2016-07-06;0;18.4;80.5;.8;
2016-07-07;0;19.6;76.5;1.1;
2016-07-08;0;15.6;85.2;.8;
2016-07-09;0;15.3;73.2;.8;
2016-07-10;0;17.1;82.5;.7;
2016-07-11;0;19.3;80.3;.7;
2016-07-12;0;19.8;77.8;.7;
2016-07-13;0;19.9;77.6;.7;
2016-07-14;0;18.8;77.7;.8;
2016-07-15;0;19.1;76.5;.8;
2016-07-16;0;21.1;71;.9;
2016-07-17;0;19.8;66.8;2.1;
2016-07-18;0;15.5;71.7;1.2;
2016-07-19;0;13.9;80.5;.7;
2016-07-20;0;17.8;79.2;1;
2016-07-21;0;17.8;74.5;1.2;
2016-07-22;0;18.6;73.5;1;
2016-07-23;0;18.2;78.6;.8;
2016-07-24;0;19;79;.8;
2016-07-25;0;18.7;76.4;.7;
2016-07-26;0;19.1;78.6;.9;
2016-07-27;0;20.2;70.3;1.1;
2016-07-28;0;18.8;67.1;1;
2016-07-29;0;18.3;78.1;.8;
2016-07-30;0;18.7;78.3;.5;
2016-07-31;0;19.7;75.8;.8;
2016-08-01;0;20.6;66.4;.9;
2016-08-02;0;19.2;71.6;1.2;
2016-08-03;0;20.9;72;.8;
2016-08-04;0;20.5;71.3;.8;
2016-08-05;0;19.9;72.1;.8;
2016-08-06;0;19.2;74.8;.8;
2016-08-07;0;20.2;72.8;1.1;
2016-08-08;0;20.7;74.3;.9;
2016-08-09;0;22.9;70.9;1.1;
2016-08-10;0;19.7;79.6;2;
2016-08-11;1;17.6;62.9;2.1;
2016-08-12;.2;16.3;71.9;1.2;
2016-08-13;0;17.3;74;.8;
2016-08-14;0;18.6;73.4;.9;
2016-08-15;0;21.3;68;1.3;
2016-08-16;5.2;20.9;80.6;1.1;
2016-08-17;6.6;21.3;80.4;.9;
2016-08-18;0;23;72.4;1.3;
2016-08-19;0;22.8;71.5;1;
2016-08-20;0;23.6;70.8;1;
2016-08-21;0;22.5;73.5;1.3;
2016-08-22;.8;17.5;67.1;2.9;
2016-08-23;0;17.3;70;.8;
2016-08-24;0;19.3;65.3;.9;
2016-08-25;0;17.7;71.3;.8;
2016-08-26;0;17.6;71.9;1;
2016-08-27;0;18.7;69.4;1;
2016-08-28;0;20.3;68.4;1;
2016-08-29;0;21.2;65.3;1;
2016-08-30;0;22.2;63.8;1;
2016-08-31;0;22;76.2;1.1;
2016-09-01;48.8;21.3;84.1;.9;
2016-09-02;0;22.3;75.9;.8;
2016-09-03;0;20.6;79.1;.9;
2016-09-04;0;21.5;74.8;.9;
2016-09-05;0;22.1;70.9;.9;
2016-09-06;0;22.3;72.3;.9;
2016-09-07;0;23.3;71.3;1;
2016-09-08;3.4;21.3;77.8;1.5;
2016-09-09;0;21.3;74.8;1.6;
2016-09-10;0;22.7;71.3;1;
2016-09-11;0;21.8;74;.9;
2016-09-12;0;22.9;69.8;1;
2016-09-13;0;23.9;65.4;1.1;
2016-09-14;0;24.8;61.4;1.2;
2016-09-15;0;23;65.2;1.7;
2016-09-16;1.4;20.7;70.3;.7;
2016-09-17;5;21.8;77.4;1;
2016-09-18;.2;24.9;71.7;1;
2016-09-19;0;24.4;68.1;1.8;
2016-09-20;.4;21.2;77;2.1;
2016-09-21;0;19.9;60.6;3.2;
2016-09-22;0;19.7;62.8;.8;
2016-09-23;0;20.1;69.4;1;
2016-09-24;0;21.4;71.8;1.5;
2016-09-25;0;20.5;78.3;1.9;
2016-09-26;3.8;19.3;76.3;1.2;
2016-09-27;0;20.4;72;1.1;
2016-09-28;.2;20.6;74.7;.9;
2016-09-29;.2;22;69.5;1.5;
2016-09-30;0;21.7;65.9;1.2;
2016-10-01;1.4;19;83.1;1;
2016-10-02;.2;19.3;78.8;.9;
2016-10-03;.2;19.6;75.2;1.3;
2016-10-04;17.8;18.5;92.5;.9;
2016-10-05;20.8;20.5;77.3;1.4;
2016-10-06;6.8;19;84.7;.9;
2016-10-07;.2;21.3;73.2;1.7;
2016-10-08;.2;20.6;71.2;.9;
2016-10-09;0;21.5;75.8;1.3;
2016-10-10;0;21.2;76.7;.9;
2016-10-11;.8;20.8;78.1;1;
2016-10-12;1.8;22.9;73.5;1.1;
2016-10-13;.2;24.6;65.1;1.3;
2016-10-14;.6;23.7;75.2;.8;
2016-10-15;0;25.8;70.6;.8;
2016-10-16;18.4;25.5;78.6;.9;
2016-10-17;.2;25.9;74.1;.8;
2016-10-18;0;26.9;69.5;.9;
2016-10-19;0;27.7;72.8;.8;
2016-10-20;0;27.5;69.9;1.3;
2016-10-21;0;26.9;71;2;
2016-10-22;0;24.2;71.5;2.2;
2016-10-23;.8;23.5;75;.8;
2016-10-24;0;24.2;74.4;.8;
2016-10-25;0;25.2;72.7;.9;
2016-10-26;0;24.9;73.5;1.5;
2016-10-27;1.8;26.9;70.7;1;
2016-10-28;1.8;23.9;73.5;2.2;
2016-10-29;.2;20.9;63.1;1.9;
2016-10-30;0;21.3;69.1;.9;
2016-10-31;0;21.8;68.1;1.1;
2016-11-01;0;24.3;62.7;1.1;
2016-11-02;0;25.9;61;1.1;
2016-11-03;0;25.2;71.4;1.3;
2016-11-04;40.2;21.2;90.1;1.2;
2016-11-05;7.4;20.8;89.3;1.1;
2016-11-06;16.2;21.6;80.3;.9;
2016-11-07;.2;22;79.4;.9;
2016-11-08;1.4;22.4;79.6;1;
2016-11-09;1;24.3;75.8;1.1;
2016-11-10;64.6;24.7;79.5;1.1;
2016-11-11;0;25.2;78.7;.8;
2016-11-12;35.8;23.9;79.8;1.2;
2016-11-13;19.8;21.6;93.1;.5;
2016-11-14;42.2;20.4;95.3;.5;
2016-11-15;37.2;23.9;84.5;1;
2016-11-16;.2;25.9;78.8;1.2;
2016-11-17;.8;24.8;80.8;1;
2016-11-18;3.6;22.5;83.6;1.6;
2016-11-19;2.2;19.3;62.9;2.9;
2016-11-20;.2;19.4;67.3;1.1;
2016-11-21;0;22;69.4;.9;
2016-11-22;0;23.2;78.9;.8;
2016-11-23;3.6;21.6;88.5;.8;
2016-11-24;.2;24.8;76;1.4;
2016-11-25;0;24.7;70.7;.9;
2016-11-26;0;24.6;71.7;1;
2016-11-27;0;25.2;72.3;.9;
2016-11-28;0;25.5;74.9;1.2;
2016-11-29;39.4;25.8;81.3;1.4;
2016-11-30;3.8;21.9;78;2.2;
2016-12-01;0;21.6;75.2;.8;
2016-12-02;.2;22.9;70.9;.8;
2016-12-03;0;24.6;74.8;1.2;
2016-12-04;29.6;22.7;92;1.1;
2016-12-05;38.2;23.6;84.7;1.2;
2016-12-06;18.8;25;70;1.4;
2016-12-07;0;24.9;70.5;.9;
2016-12-08;0;25.4;78.2;1.1;
2016-12-09;39.8;24.4;85.6;.9;
2016-12-10;8;25.1;85.8;.5;
2016-12-11;.4;25.3;87.1;.8;
2016-12-12;65.4;24.8;88.1;.8;
2016-12-13;29.2;25.7;85.1;.8;
2016-12-14;2.6;25;86.3;.8;
2016-12-15;2;20.6;87.2;1.2;
2016-12-16;10.4;20.4;82.9;.7;
2016-12-17;1.2;22.2;83.7;1.1;
2016-12-18;24.4;24;79.3;1;
2016-12-19;.4;25.1;74.4;1.1;
2016-12-20;0;25.7;71.4;.9;
2016-12-21;0;25.1;72.4;1.1;
2016-12-22;0;25.9;74.9;1.1;
