Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2016-06-02
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-02;null;null;null;null;
2016-06-03;null;null;null;null;
2016-06-04;null;null;null;null;
2016-06-05;null;null;null;null;
2016-06-06;null;null;null;null;
2016-06-07;null;17.6;92.3;2;
2016-06-08;4.4;15.4;92;1.7;
2016-06-09;.8;14.9;84.7;1.5;
2016-06-10;0;14.2;null;1.2;
2016-06-11;0;14;67.3;2.1;
2016-06-12;0;11.7;83.2;1.3;
2016-06-13;0;12;78.1;1.5;
2016-06-14;0;12.3;82.7;1.2;
2016-06-15;0;13.5;81.3;1.1;
2016-06-16;0;14.8;81;1.2;
2016-06-17;0;16.1;82.4;1;
2016-06-18;0;16;85.3;1.4;
2016-06-19;0;17.2;85.8;1.3;
2016-06-20;0;16.6;89.5;1.3;
2016-06-21;0;16.3;87.4;1.3;
2016-06-22;.2;16.9;84.5;1.9;
2016-06-23;0;17;88.1;1.7;
2016-06-24;3.4;15.7;94;1.5;
2016-06-25;0;16.4;null;1.4;
2016-06-26;.2;16.5;null;1.4;
2016-06-27;0;17.1;null;1.6;
2016-06-28;0;17;null;1.8;
2016-06-29;0;17.7;null;1.4;
2016-06-30;0;17.5;null;1.1;
2016-07-01;0;18.9;null;1.3;
2016-07-02;3;20;null;1.3;
2016-07-03;0;17.6;null;1.3;
2016-07-04;0;null;null;1.2;
2016-07-05;null;17.6;null;1.2;
2016-07-06;0;19.2;null;1.3;
2016-07-07;0;17.2;null;1.7;
2016-07-08;0;14.1;null;1.6;
2016-07-09;0;14.2;null;1.5;
2016-07-10;0;16.8;null;.9;
2016-07-11;0;19.2;null;1;
2016-07-12;0;19.8;null;1;
2016-07-13;0;20.1;null;2.2;
2016-07-14;.2;19;null;1.1;
2016-07-15;0;19.3;null;1.1;
