Nome: SANTA MARIA MADALENA
Codigo Estacao: A630
Latitude: -21.95055555
Longitude: -42.01027777
Altitude: 586
Situacao: Pane
Data Inicial: 2018-10-15
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-10-15;null;null;null;null;
2018-10-16;null;null;null;null;
2018-10-17;null;20.8;87.1;.4;
2018-10-18;2.2;21.7;91.5;.2;
2018-10-19;.2;22.6;87.2;.5;
2018-10-20;15.4;18.7;76.8;2.5;
2018-10-21;0;17.1;69;1.8;
2018-10-22;0;17.3;78.4;.6;
2018-10-23;0;20.2;75;.7;
2018-10-24;0;21.2;81.4;1.8;
2018-10-25;1.6;19.3;91.8;.4;
2018-10-26;9.6;19.6;91.5;.6;
2018-10-27;1;22.3;85.8;.6;
2018-10-28;1.8;20.8;77.2;1;
2018-10-29;.2;16.9;81.3;1.2;
2018-10-30;0;19;80.9;.5;
2018-10-31;0;21.1;82.6;.4;
2018-11-01;0;23;82.7;.4;
2018-11-02;3.4;20.6;85;1.2;
2018-11-03;.2;22;80;.6;
2018-11-04;0;22.5;84.1;1.2;
2018-11-05;15.8;17.7;91.6;2.2;
2018-11-06;1.6;18.7;86.5;1.3;
2018-11-07;.6;21.4;83.4;.6;
2018-11-08;10.4;18.9;91.3;.8;
2018-11-09;14.6;18;94.3;.1;
2018-11-10;7.4;20.3;86.7;.5;
2018-11-11;.2;21.7;80.3;.6;
2018-11-12;0;21.9;81.6;.9;
2018-11-13;0;22.3;81.2;.8;
2018-11-14;0;23.4;81;.6;
2018-11-15;0;23.5;80.7;.9;
2018-11-16;.6;22.6;88.6;1.1;
2018-11-17;26.6;21.2;83.7;1.9;
2018-11-18;0;22.2;83;.5;
2018-11-19;0;22;84.7;.4;
2018-11-20;23.8;17.4;92.3;1.9;
2018-11-21;25.2;18.5;92.2;.5;
2018-11-22;3.2;20.4;85.9;.4;
2018-11-23;0;22.2;78.3;.5;
2018-11-24;0;21.6;81.2;.3;
2018-11-25;0;21.5;86.4;.3;
2018-11-26;5.2;20.8;85.3;.8;
2018-11-27;0;21.2;83.5;.9;
2018-11-28;2.4;20.8;80.9;1;
2018-11-29;0;21.4;77.1;.4;
2018-11-30;0;22.4;80.5;.5;
2018-12-01;6.6;20.8;92.6;.4;
2018-12-02;1.2;22.5;87.3;.7;
2018-12-03;.4;20.5;83.8;1.4;
2018-12-04;.4;20.7;84.7;.4;
2018-12-05;.2;23.3;78.3;.7;
2018-12-06;0;22.3;78.8;1.2;
2018-12-07;0;20.3;83.8;.9;
2018-12-08;27.4;17.5;84.5;2.6;
2018-12-09;0;17.8;72.6;.8;
2018-12-10;0;19.1;79.1;.3;
2018-12-11;0;21.4;80.3;.4;
2018-12-12;0;23;79.5;.4;
2018-12-13;0;23.9;74.5;.5;
2018-12-14;0;24.9;68;.2;
2018-12-15;0;25.2;72.9;.7;
2018-12-16;0;24.5;76.2;1.1;
2018-12-17;0;23.7;76.2;.7;
2018-12-18;0;24.7;76.3;.4;
2018-12-19;0;25.6;76.7;1.2;
2018-12-20;0;25.2;79;.4;
2018-12-21;0;23.8;84.8;.3;
2018-12-22;11.4;24.7;78;.4;
2018-12-23;0;25.5;80.9;1.1;
2018-12-24;0;23.2;86;.9;
2018-12-25;14.6;21.4;89;1.2;
2018-12-26;7.4;19.7;86.9;.7;
2018-12-27;7.2;20.2;91.4;.2;
2018-12-28;12.6;21.4;89.3;.5;
2018-12-29;4;22.7;82.5;.8;
2018-12-30;.2;23.1;83.5;.9;
2018-12-31;0;23.3;82.1;.2;
2019-01-01;.4;23.7;80.5;.5;
2019-01-02;0;25;80.3;.4;
2019-01-03;0;25.9;77.3;.8;
2019-01-04;12.8;24;84.5;.6;
2019-01-05;6;23.1;81.2;.7;
2019-01-06;0;24.7;74;.5;
2019-01-07;0;24.1;78.4;.5;
2019-01-08;0;24.7;79.8;.6;
2019-01-09;0;24.5;71.7;1.2;
2019-01-10;0;23.5;74.8;.7;
2019-01-11;0;23.7;77.3;.8;
2019-01-12;0;23.4;78.8;.7;
2019-01-13;0;23;75.5;.6;
2019-01-14;0;23.3;77.1;.6;
2019-01-15;0;24.7;75.6;.7;
2019-01-16;0;25.5;77.3;.5;
2019-01-17;3;25.8;70.5;.7;
2019-01-18;0;24.9;82;.5;
2019-01-19;14.4;24.7;78.2;.6;
2019-01-20;0;25.7;72.8;.8;
2019-01-21;0;25.6;71.2;.6;
2019-01-22;0;25.9;74.8;.7;
2019-01-23;0;25.6;68.5;.7;
2019-01-24;0;25.1;72.1;1;
2019-01-25;0;23.8;79.8;.8;
2019-01-26;2.4;23.9;77.2;.9;
2019-01-27;0;24.7;73;.7;
2019-01-28;0;25.1;73;.8;
2019-01-29;0;25;73.3;.6;
2019-01-30;0;25.6;69.4;.7;
2019-01-31;0;25;70;.6;
2019-02-01;.2;25.9;62.1;.8;
2019-02-02;0;25.9;66.9;.9;
2019-02-03;0;25.9;70.8;1.1;
2019-02-04;.2;23.2;78.3;1.1;
2019-02-05;2;21.3;85;1.9;
2019-02-06;0;21.5;84.9;.4;
2019-02-07;6.4;21.3;93.6;.1;
2019-02-08;18.4;22;85.3;.9;
2019-02-09;0;22.7;81.5;.9;
2019-02-10;0;23.9;79.1;.6;
2019-02-11;0;24.5;79;.5;
2019-02-12;0;24.9;75.5;.6;
2019-02-13;2.8;21.7;90;1.1;
2019-02-14;12;21;76.4;.9;
2019-02-15;0;20.8;83;.3;
2019-02-16;3.4;21.3;94.7;.2;
2019-02-17;10.6;23.9;85.6;.4;
2019-02-18;2.8;24.3;84.8;.4;
2019-02-19;63.8;23.4;87.2;.5;
2019-02-20;1.4;25.1;80;.6;
2019-02-21;2.2;23.4;85.9;.2;
2019-02-22;2;24.6;80.4;.5;
2019-02-23;.2;25.6;82.7;.4;
2019-02-24;0;26.2;78.8;.3;
2019-02-25;0;27.1;75.7;.3;
2019-02-26;0;25.8;75.4;.9;
2019-02-27;18;23.3;83.2;.3;
2019-02-28;0;24.2;84.3;.3;
2019-03-01;63.6;23.3;85.7;.4;
2019-03-02;38.4;23.1;87.6;.3;
2019-03-03;.2;24.1;80.4;.6;
2019-03-04;0;24.2;79.9;.6;
2019-03-05;0;22.9;86.5;.5;
2019-03-06;16.8;23.5;86;.6;
2019-03-07;19.2;24;81.5;.5;
2019-03-08;.2;24.1;83.8;.4;
2019-03-09;0;24.8;80.6;.7;
2019-03-10;0;24.8;81.9;.7;
2019-03-11;1.2;23.2;89.2;.4;
2019-03-12;.8;24;83.4;.6;
2019-03-13;0;24.1;84.9;.3;
2019-03-14;0;24.9;81.7;.4;
2019-03-15;0;23.6;88.3;.4;
2019-03-16;2.4;23.5;85.2;.7;
2019-03-17;.2;24.4;84.5;.5;
2019-03-18;38;24.8;86;.3;
2019-03-19;10.6;24.4;89.5;.3;
2019-03-20;.2;24;88.3;.7;
2019-03-21;.2;21.5;85.8;.8;
