Nome: ITATIAIA - AGULHAS NEGRAS
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Desativada
Data Inicial: 2017-08-31
Data Final: 2022-11-07
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-31;null;null;null;null;
2017-09-01;null;null;null;null;
2017-09-02;null;null;53.7;null;
2017-09-03;0;7.1;41.4;2.6;
2017-09-04;null;9.6;28.7;2.8;
2017-09-05;0;7.8;42.3;2.6;
2017-09-06;0;5.7;75;2;
2017-09-07;0;null;76.9;1.7;
2017-09-08;null;5;73.4;1.7;
2017-09-09;null;null;66.5;1.9;
2017-09-10;0;10;45.4;2.9;
2017-09-11;0;10.4;80.5;3.1;
2017-09-12;0;8.7;77.7;1.8;
2017-09-13;0;12;39.9;2.8;
2017-09-14;0;12;38.6;2.2;
2017-09-15;0;10.7;46.8;2.6;
2017-09-16;0;9.4;54.3;2.4;
2017-09-17;0;10.2;63.5;2;
2017-09-18;null;8.9;76.4;1.9;
2017-09-19;0;10.5;61.8;2.7;
2017-09-20;null;8.6;77.9;2;
2017-09-21;0;7.8;67.8;2.2;
2017-09-22;0;10.4;45.6;3.1;
2017-09-23;0;11.1;43.1;2.8;
2017-09-24;0;8.7;71;2.1;
2017-09-25;0;8.4;47.1;2.9;
2017-09-26;0;7.6;78.3;2.5;
2017-09-27;0;10.2;72.9;2.7;
2017-09-28;2.4;11.3;72.9;2;
2017-09-29;6;11;81.6;2.5;
2017-09-30;83.8;9;97.8;6.1;
2017-10-01;24.4;10;80.8;7;
2017-10-02;0;10.8;90.5;5.7;
2017-10-03;40;8.9;93.8;5.3;
2017-10-04;4.2;8;84.6;3.1;
2017-10-05;0;12;82;3.4;
2017-10-06;.2;11;66.4;1.7;
2017-10-07;0;10.7;88.9;1.6;
2017-10-08;0;12.4;81.7;2.8;
2017-10-09;.4;14;74.3;2.4;
2017-10-10;0;12.7;79.8;1.5;
2017-10-11;0;12.3;78.8;2;
2017-10-12;.2;14.3;66.2;3.2;
2017-10-13;0;13.9;63.6;2.3;
2017-10-14;0;12.6;68.5;1.6;
2017-10-15;0;12.1;87.8;2;
2017-10-16;0;11;88.7;1.7;
2017-10-17;0;10.1;81.7;2.9;
2017-10-18;0;11.4;73.5;2.1;
2017-10-19;.2;11.6;66.3;2.8;
2017-10-20;0;11.3;70.5;1.8;
2017-10-21;0;13.5;67.4;3.6;
2017-10-22;2.2;12.3;84;5.1;
2017-10-23;10.2;10.4;89.2;4.4;
2017-10-24;1.8;11.5;86.3;2.7;
2017-10-25;0;12.9;87.1;2.5;
2017-10-26;12.2;12.8;76.8;3.9;
2017-10-27;4.6;12.7;80.8;5.2;
2017-10-28;25.6;11.2;91.3;7.3;
2017-10-29;0;12.1;91.5;2.6;
2017-10-30;2.4;11.1;95.7;3.3;
2017-10-31;30.6;10.9;95.1;4.5;
2017-11-01;.6;8.6;96.9;2;
2017-11-02;0;8.5;79.8;2.2;
2017-11-03;.2;11;81.3;3.3;
2017-11-04;0;10.6;97.3;4.7;
2017-11-05;2.6;12;92.7;3.2;
2017-11-06;4.4;10.4;98;1.5;
2017-11-07;2;9.7;96;1.9;
2017-11-08;0;9.3;94.8;2.6;
2017-11-09;.2;10.9;89.7;2.1;
2017-11-10;1.2;12;91.3;3;
2017-11-11;60;11.3;98;5;
2017-11-12;7.8;10.5;75.5;3.4;
2017-11-13;.2;10.7;57.2;2.1;
2017-11-14;0;8.8;76.5;1.8;
2017-11-15;0;10.9;85.2;2.3;
2017-11-16;.2;11.9;84.1;2.5;
2017-11-17;24.8;12.6;86.2;3.2;
2017-11-18;0;12.4;92;4.4;
2017-11-19;5.4;11.6;98;4.9;
2017-11-20;24.4;11.8;96.4;1.7;
2017-11-21;10;11.9;95.5;3.2;
2017-11-22;48.8;11.6;98;6;
2017-11-23;44.8;10.4;97.4;null;
2017-11-24;.2;12;75;null;
2017-11-25;0;11.8;82.7;null;
2017-11-26;21;11.2;96.8;null;
2017-11-27;3;11.3;97.8;null;
2017-11-28;6.2;11.7;95;null;
2017-11-29;8.4;10.4;85.6;null;
2017-11-30;0;10.2;89.3;null;
2017-12-01;19.2;9.5;94.3;null;
2017-12-02;10.2;10;94.1;null;
2017-12-03;.2;11.5;96.8;null;
2017-12-04;10.2;13.6;91.9;null;
2017-12-05;.8;13.2;85.5;null;
2017-12-06;.2;12.7;91;null;
2017-12-07;0;12.5;94;null;
2017-12-08;15.2;12.7;97.5;null;
2017-12-09;36.2;12.3;92.6;null;
2017-12-10;6.4;11.5;67.3;null;
2017-12-11;0;12.9;65.6;null;
2017-12-12;0;10;88.9;null;
2017-12-13;2;11.2;84.1;null;
2017-12-14;0;10.6;87.9;null;
2017-12-15;8.8;11.6;92;null;
2017-12-16;16;12.2;85.3;null;
2017-12-17;8;12.7;88.1;null;
2017-12-18;2.6;12.4;86.5;null;
2017-12-19;.4;12.7;81.5;null;
2017-12-20;12.8;11.9;76.4;2.2;
2017-12-21;2.2;12.3;89.3;4.2;
2017-12-22;16.2;10.9;88.1;5.4;
2017-12-23;2.6;12.7;86;4.8;
2017-12-24;1.2;13.8;83.9;4.5;
2017-12-25;.2;14.7;89.1;2.9;
2017-12-26;9.4;15;89.8;null;
2017-12-27;.2;13;89.7;null;
2017-12-28;7.2;13.3;86.7;null;
2017-12-29;18.8;12.3;90.8;null;
2017-12-30;null;null;98;null;
2017-12-31;34.8;11.4;98;null;
2018-01-01;6.8;12.6;95.3;null;
2018-01-02;12.2;12.8;94.9;null;
2018-01-03;4.6;12.7;98;null;
2018-01-04;14;11.9;97.3;null;
2018-01-05;27.6;12.2;97.9;null;
2018-01-06;41.2;11.5;95.7;null;
2018-01-07;50.4;11.6;98.1;null;
2018-01-08;32.4;10.9;96.3;null;
2018-01-09;14.6;12.1;87.9;null;
2018-01-10;.2;12.4;87.1;null;
2018-01-11;7;11.6;85.9;null;
2018-01-12;36.4;11;91.8;null;
2018-01-13;14;11.2;91.3;null;
2018-01-14;9.2;12.2;91.5;null;
