Nome: ESCOLA NAVAL
Codigo Estacao: A651
Latitude: -22.91472222
Longitude: -43.15944444
Altitude: 14
Situacao: Desativada
Data Inicial: 2007-04-17
Data Final: 2007-09-26
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-17;null;null;null;null;
2007-04-18;null;null;null;null;
2007-04-19;null;null;null;null;
2007-04-20;null;null;null;null;
2007-04-21;null;null;null;null;
2007-04-22;null;null;null;null;
2007-04-23;null;null;null;null;
2007-04-24;null;null;null;null;
2007-04-25;null;null;null;null;
2007-04-26;null;null;null;null;
2007-04-27;null;null;83.8;null;
2007-04-28;9.4;22.7;76.8;2.1;
2007-04-29;0;22.5;82.1;1.8;
2007-04-30;.2;22.8;81;2.1;
2007-05-01;0;22.8;80;2.1;
2007-05-02;null;null;null;null;
2007-05-03;null;null;71.7;null;
2007-05-04;.8;23.4;78;3.6;
2007-05-05;null;null;74.7;null;
2007-05-06;null;null;74.9;null;
2007-05-07;null;null;68.5;null;
2007-05-08;null;null;72.8;null;
2007-05-09;null;null;null;null;
2007-05-10;null;null;null;null;
2007-05-11;null;22.5;64.7;5;
2007-05-12;0;22.8;68.1;2.6;
2007-05-13;0;23.2;77.6;2.6;
2007-05-14;0;24.1;71.9;2.9;
2007-05-15;0;23.1;81.4;3;
2007-05-16;0;23.4;78.5;1.4;
2007-05-17;0;24.7;74.4;2.1;
2007-05-18;0;23.4;85.5;3;
2007-05-19;0;23.6;80.3;3;
2007-05-20;48.2;21.9;85.8;3.1;
2007-05-21;0;23;82.8;2.4;
2007-05-22;0;23.6;82;1.9;
2007-05-23;0;22.6;85.1;1.4;
2007-05-24;5.4;19.8;74;2.3;
2007-05-25;.6;19.4;65.7;2.2;
2007-05-26;0;19.8;76.5;2.1;
2007-05-27;0;20.6;74.5;1.5;
2007-05-28;0;21.2;81.6;2.5;
2007-05-29;0;21;82;2.9;
2007-05-30;7.4;18.5;67.2;2.4;
2007-05-31;5.8;18.2;80.7;2.5;
2007-06-01;0;21.1;68.6;1.5;
2007-06-02;0;22.9;74.3;3.5;
2007-06-03;11.2;20;86.8;2.9;
2007-06-04;4.2;20;60.6;2.9;
2007-06-05;0;18.6;77.7;2.1;
2007-06-06;0;19.5;82.6;2.5;
2007-06-07;0;19.9;85.2;1.4;
2007-06-08;0;21.6;83.5;2.3;
2007-06-09;0;21.8;86.6;2.2;
2007-06-10;0;21.7;88.1;1.1;
2007-06-11;0;22.7;82.2;2;
2007-06-12;0;22.5;80.9;1.8;
2007-06-13;0;22.6;75.2;2.1;
2007-06-14;0;22.5;77.8;1.8;
2007-06-15;0;23.3;75.2;1.5;
2007-06-16;0;22.9;79.5;3.5;
2007-06-17;.2;21.8;86.2;2.7;
2007-06-18;0;22.7;82.9;2.7;
2007-06-19;0;22.7;84;3.1;
2007-06-20;0;22.2;79.6;1.8;
2007-06-21;0;22.7;74.4;1.7;
2007-06-22;0;22.7;75.5;1.7;
2007-06-23;0;22.2;78.8;2.2;
2007-06-24;0;22.6;76;2;
2007-06-25;7.8;21.9;81.9;2.9;
2007-06-26;4.8;22.2;78.3;2.4;
2007-06-27;0;22.1;78.3;1.2;
2007-06-28;0;23.1;77.1;3.1;
2007-06-29;5.4;21.4;86.5;3.1;
2007-06-30;7;21.7;82.9;2.3;
2007-07-01;0;21.4;78.5;4.6;
2007-07-02;0;20.8;72.9;3;
2007-07-03;0;21.5;72.9;1.8;
2007-07-04;0;21.6;74.9;1.8;
2007-07-05;0;22.8;69;1.7;
2007-07-06;0;24;66.9;1.2;
2007-07-07;0;24.9;55.7;1.5;
2007-07-08;0;24.5;56.4;1.4;
2007-07-09;0;22.3;77.8;2.4;
2007-07-10;0;23;75.4;1.8;
2007-07-11;0;22.7;75.9;3.4;
2007-07-12;14.6;19.6;88.1;3.2;
2007-07-13;0;21.4;83;1.6;
2007-07-14;0;23.3;72.2;1.1;
2007-07-15;0;23;70.1;2.7;
2007-07-16;0;21.1;81.9;2.5;
2007-07-17;13.4;21;84.8;1.8;
2007-07-18;0;22;80.1;2.1;
2007-07-19;0;19.5;67.1;3.4;
2007-07-20;0;19.2;75.5;2;
2007-07-21;0;20.6;82.6;2.2;
2007-07-22;0;24.6;61.8;1.4;
2007-07-23;0;25.2;61.8;3.7;
2007-07-24;3.4;21.3;88.7;1.7;
2007-07-25;6.6;22.2;85.7;1.8;
2007-07-26;0;19.4;65.7;3.3;
2007-07-27;0;18.2;72.6;1.2;
2007-07-28;.2;17.3;88.1;1.5;
2007-07-29;25.6;16.2;79.2;3.3;
2007-07-30;.2;16.3;74.5;2.1;
2007-07-31;0;17.8;75.2;2.1;
2007-08-01;0;19.5;73.9;1.9;
2007-08-02;0;20.9;73.5;1.9;
2007-08-03;0;20;83.5;2.3;
2007-08-04;0;21.1;77.9;1.7;
2007-08-05;0;20.7;78.8;2.5;
2007-08-06;4.6;19.9;90.8;1.5;
2007-08-07;1;23.3;69.9;1.3;
2007-08-08;0;22;74.6;2.6;
2007-08-09;0;20.9;85.7;3;
2007-08-10;0;22.3;75.2;1.7;
2007-08-11;0;22.4;73.1;2.5;
2007-08-12;0;21;80.9;2.4;
2007-08-13;0;20.6;88.1;3.2;
2007-08-14;0;22.3;75.3;2;
2007-08-15;0;22.1;75.1;2.3;
2007-08-16;0;22.2;70.6;1.8;
2007-08-17;0;21.1;79.1;3.1;
2007-08-18;0;21;81.7;3.1;
2007-08-19;0;21.4;81.7;2.3;
2007-08-20;0;22.8;66.3;2.4;
2007-08-21;0;20.3;74;3.9;
2007-08-22;0;19.2;77;2;
2007-08-23;0;20.9;71.4;2.7;
2007-08-24;0;21.9;66.2;2.2;
2007-08-25;0;23.1;71.4;2.4;
2007-08-26;0;23.4;74.1;1.7;
2007-08-27;0;24.5;65.1;3.4;
2007-08-28;1.8;20.7;88.5;3.9;
2007-08-29;4.8;19.9;85.8;3.1;
2007-08-30;.2;21.1;85.2;3.7;
2007-08-31;0;22.2;80.1;2.6;
2007-09-01;0;23;75.7;2.1;
2007-09-02;0;21.4;85.8;3.5;
2007-09-03;0;22.1;86;2.7;
2007-09-04;0;23.9;73.3;4.1;
2007-09-05;0;23.8;73;3.5;
2007-09-06;0;23.6;73.4;2.4;
2007-09-07;0;22.8;78.1;2.7;
2007-09-08;0;22.7;73.1;2.9;
2007-09-09;0;22.4;74.9;2.5;
2007-09-10;0;22.8;71.8;2.9;
2007-09-11;0;22.5;69.2;3.1;
2007-09-12;0;22.6;68;2.9;
2007-09-13;0;22.7;72.1;3;
2007-09-14;0;22.5;71.5;2.2;
2007-09-15;0;23.7;66.8;2.8;
2007-09-16;0;21.2;82.3;4;
2007-09-17;0;21.4;79.5;3;
2007-09-18;1.6;20.8;68.9;5;
2007-09-19;0;20.9;69.1;2;
2007-09-20;0;22.2;76.1;2.9;
2007-09-21;0;22.2;80.7;2.6;
2007-09-22;0;22.4;76.2;2.8;
2007-09-23;0;23.1;73;2.2;
2007-09-24;0;24.2;72.3;3.5;
2007-09-25;5;19.4;65.9;3.1;
2007-09-26;0;18.7;76.1;2.7;

