Nome: LAGOA R.DE FREITAS
Codigo Estacao: A653
Latitude: -22.97416667
Longitude: -43.21777778
Altitude: 4
Situacao: Desativada
Data Inicial: 2007-04-18
Data Final: 2007-09-26
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-18;null;null;null;null;
2007-04-19;null;null;null;null;
2007-04-20;null;null;null;null;
2007-04-21;null;null;null;null;
2007-04-22;null;null;null;null;
2007-04-23;null;null;null;null;
2007-04-24;null;null;null;null;
2007-04-25;null;null;null;null;
2007-04-26;null;null;null;null;
2007-04-27;null;null;null;null;
2007-04-28;null;null;null;null;
2007-04-29;null;null;null;null;
2007-04-30;null;null;null;null;
2007-05-01;null;null;null;null;
2007-05-02;null;null;null;null;
2007-05-03;null;null;null;null;
2007-05-04;null;null;null;null;
2007-05-05;null;null;null;null;
2007-05-06;null;null;null;null;
2007-05-07;null;null;null;null;
2007-05-08;null;null;null;null;
2007-05-09;null;null;null;null;
2007-05-10;null;null;null;null;
2007-05-11;null;null;68.5;1.8;
2007-05-12;0;21.3;66.8;1.1;
2007-05-13;null;24.8;67.9;1.5;
2007-05-14;0;26.9;53.3;1.9;
2007-05-15;0;null;81.5;.5;
2007-05-16;.4;null;80;1.3;
2007-05-17;0;24.3;73.1;.8;
2007-05-18;0;22.9;84;1.2;
2007-05-19;0;23.7;77.6;1.3;
2007-05-20;63;21.7;87;1;
2007-05-21;0;23;82.7;1.8;
2007-05-22;0;24.4;72.6;2.2;
2007-05-23;.6;22.3;82.9;.8;
2007-05-24;18.2;19.6;74.8;2.9;
2007-05-25;4.4;19.4;66.2;2.1;
2007-05-26;0;19.2;75.7;1.2;
2007-05-27;0;20.1;73.8;.9;
2007-05-28;.2;20.7;78.1;1.1;
2007-05-29;0;20.7;81.7;1.5;
2007-05-30;26.6;18.5;67.7;3.1;
2007-05-31;7.6;18.1;80.1;1.2;
2007-06-01;.2;21.3;67.1;1.3;
2007-06-02;0;24.5;66.1;3.5;
2007-06-03;19.2;19.5;90;1.2;
2007-06-04;3.4;19.9;61.7;2.1;
2007-06-05;0;17.7;78.4;1.2;
2007-06-06;0;18.8;82.8;.9;
2007-06-07;0;19.4;83;.9;
2007-06-08;0;21.1;78.9;.9;
2007-06-09;0;21.4;85;.7;
2007-06-10;.2;22.1;81.3;.7;
2007-06-11;0;22;79.8;.7;
2007-06-12;0;21.8;78.6;.7;
2007-06-13;0;23;66.2;1;
2007-06-14;0;22.6;71.3;1.3;
2007-06-15;0;22.6;72.5;1;
2007-06-16;0;23.6;73.4;1.7;
2007-06-17;7.4;21.3;89.3;1;
2007-06-18;.2;22;81.9;.7;
2007-06-19;0;22.4;82.6;.8;
2007-06-20;.2;21.6;76.8;.9;
2007-06-21;0;21.7;70.8;1;
2007-06-22;0;21.7;70.4;1;
2007-06-23;0;21.1;76.7;.8;
2007-06-24;0;22.3;73.9;1.4;
2007-06-25;0;21.4;82.5;1.4;
2007-06-26;.2;21.5;81;1.3;
2007-06-27;0;21.8;75.8;.9;
2007-06-28;0;24.4;62.5;1.6;
2007-06-29;11.2;21;89;.8;
2007-06-30;10.6;21;86.8;.7;
2007-07-01;0;20.7;79.8;1.2;
2007-07-02;0;20;77.6;.6;
2007-07-03;0;20.6;77.6;1.2;
2007-07-04;0;20.5;77.8;.9;
2007-07-05;0;21.5;71.7;1.2;
2007-07-06;0;24.7;56.1;1.9;
2007-07-07;0;24.9;49.8;1.5;
2007-07-08;0;24.7;50.6;1.7;
2007-07-09;0;21.1;75.5;.9;
2007-07-10;0;22.8;69.8;1.2;
2007-07-11;0;21.9;75.7;2.3;
2007-07-12;35.2;19.3;89.5;1;
2007-07-13;.4;20.9;82.5;.9;
2007-07-14;0;22.1;72.5;.8;
2007-07-15;0;22.4;69.2;1.8;
2007-07-16;0;20.5;84.4;.8;
2007-07-17;22.6;21.1;83.6;1.3;
2007-07-18;0;22.6;69.3;2.1;
2007-07-19;2;18.9;70.7;2.2;
2007-07-20;0;17.5;78.8;1.2;
2007-07-21;0;19.8;80;.9;
2007-07-22;0;25.3;55.9;2.6;
2007-07-23;0;27.1;51.7;3.8;
2007-07-24;3.6;21;89.1;.6;
2007-07-25;8.8;22.7;82.5;1.2;
2007-07-26;.6;19.1;67.6;2.5;
2007-07-27;0;17.8;74.6;.7;
2007-07-28;.6;17.2;88.1;2.1;
2007-07-29;44.6;16;80.5;2.9;
2007-07-30;3.8;15.6;78.8;.9;
2007-07-31;0;16.3;79;1.3;
2007-08-01;0;18.6;75.5;.8;
2007-08-02;0;19.9;75.2;.9;
2007-08-03;0;18.8;83.1;.8;
2007-08-04;0;20.9;74.6;1.2;
2007-08-05;0;20.1;76.5;1.8;
2007-08-06;5;19.7;92;.7;
2007-08-07;1;23.3;68.9;1.2;
2007-08-08;0;22.3;68.6;1.3;
