Nome: ENGENHO DE DENTRO
Codigo Estacao: A655
Latitude: -22.89472222
Longitude: -43.29138889
Altitude: 37
Situacao: Desativada
Data Inicial: 2007-07-02
Data Final: 2007-09-23
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-02;null;null;null;null;
2007-07-03;null;null;null;null;
2007-07-04;null;null;null;null;
2007-07-05;null;27.1;42.5;1.1;
2007-07-06;0;24.5;58.6;.7;
2007-07-07;0;24.8;49.7;.5;
2007-07-08;0;25.1;47.5;.4;
2007-07-09;0;23.3;66.5;.5;
2007-07-10;0;24.2;65.7;.5;
2007-07-11;0;22.2;73.7;1.4;
2007-07-12;3;19.6;85.4;.8;
2007-07-13;2.2;22.5;72.4;.7;
2007-07-14;0;23.9;64;.3;
2007-07-15;0;23.2;65.8;1.3;
2007-07-16;0;20.9;79.2;.6;
2007-07-17;16.8;21.6;80;.8;
2007-07-18;0;21.7;78.2;.9;
2007-07-19;.4;19;70.6;2.1;
2007-07-20;0;18.8;70.1;.6;
2007-07-21;0;21.4;70.5;.4;
2007-07-22;0;24.9;57.1;.5;
2007-07-23;0;25.6;56.2;1.2;
2007-07-24;2;21.5;84.4;.8;
2007-07-25;6.2;22.5;82.4;.8;
2007-07-26;0;19.1;65.9;2.4;
2007-07-27;0;17.8;71;.5;
2007-07-28;.6;16.5;90.7;1.1;
2007-07-29;35;15.5;82.6;1.6;
2007-07-30;3.2;15.7;75.5;.4;
2007-07-31;0;17.3;70.7;.7;
2007-08-01;0;20.4;66.7;.5;
2007-08-02;0;21.9;63.8;.4;
2007-08-03;0;20.9;74.8;.7;
2007-08-04;0;22.8;66.4;.9;
2007-08-05;0;20.4;76.2;1.4;
2007-08-06;1.8;20.5;85.7;.9;
2007-08-07;.2;24.1;64.1;.9;
2007-08-08;0;22.5;65.8;1.4;
2007-08-09;0;23.3;69.3;1.1;
2007-08-10;0;24.1;62.8;1.1;
2007-08-11;0;23.2;67;1.6;
2007-08-12;1.4;20.5;82;1.2;
2007-08-13;0;22;76.9;1;
2007-08-14;0;24.2;60.8;1.7;
2007-08-15;0;23.7;63;1.2;
2007-08-16;0;23.9;57.5;1.1;
2007-08-17;0;21.6;72.5;1.4;
2007-08-18;0;22.4;67.5;.9;
2007-08-19;0;22.4;72.4;.6;
2007-08-20;0;24.3;57.3;1.3;
2007-08-21;.6;19.9;74.6;1.9;
2007-08-22;0;19.1;74.8;.7;
2007-08-23;0;21.8;62.5;1.6;
2007-08-24;0;23.5;56.5;.6;
2007-08-25;0;25;56.1;.6;
2007-08-26;0;26;57.6;.6;
2007-08-27;0;25;56.3;1.3;
2007-08-28;0;21;83.5;.8;
2007-08-29;1.6;20.4;80.5;.6;
2007-08-30;.4;21.2;82.2;1.6;
2007-08-31;0;23.3;71;1.9;
2007-09-01;0;25.1;63.5;.6;
2007-09-02;0;22.3;78.5;1.2;
2007-09-03;0;24.1;72.4;1.4;
2007-09-04;0;25.3;63.8;2.3;
2007-09-05;0;25.3;61.2;2.2;
2007-09-06;0;25.8;59.5;1.4;
2007-09-07;0;24.8;67;1.2;
2007-09-08;0;24.8;61.2;1.2;
2007-09-09;0;24.3;61.4;1.5;
2007-09-10;0;24.6;59.6;1.7;
2007-09-11;0;24.4;56.3;1.8;
2007-09-12;0;24.9;53.1;1.9;
2007-09-13;0;25.3;57.1;1.8;
2007-09-14;0;25.5;53.8;1.4;
2007-09-15;0;26.8;50.7;1.1;
2007-09-16;0;23.7;67.3;1.1;
2007-09-17;0;22;75.4;1.5;
2007-09-18;1.6;22;58.5;2.2;
2007-09-19;0;23.7;53.7;1.3;
2007-09-20;0;26;59.1;.6;
2007-09-21;0;23.1;74.1;1.6;
2007-09-22;null;null;null;null;
2007-09-23;null;null;null;null;

