Nome: MARACANA
Codigo Estacao: A656
Latitude: -22.91111111
Longitude: -43.22722221
Altitude: 14
Situacao: Desativada
Data Inicial: 2007-04-12
Data Final: 2007-09-23
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-12;null;null;null;null;
2007-04-13;null;null;null;null;
2007-04-14;null;null;73.4;1.2;
2007-04-15;0;null;69.8;1.2;
2007-04-16;0;null;72.9;null;
2007-04-17;null;null;null;null;
2007-04-18;null;null;null;null;
2007-04-19;null;null;null;null;
2007-04-20;null;null;null;null;
2007-04-21;null;null;null;null;
2007-04-22;null;null;null;null;
2007-04-23;null;null;null;null;
2007-04-24;null;null;null;null;
2007-04-25;null;null;null;null;
2007-04-26;null;null;null;null;
2007-04-27;null;null;null;null;
2007-04-28;null;null;null;null;
2007-04-29;null;null;null;null;
2007-04-30;null;null;null;null;
2007-05-01;null;null;null;null;
2007-05-02;null;null;null;null;
2007-05-03;null;null;null;null;
2007-05-04;null;null;null;null;
2007-05-05;null;null;null;null;
2007-05-06;null;null;null;null;
2007-05-07;null;null;null;null;
2007-05-08;null;null;null;null;
2007-05-09;null;null;null;null;
2007-05-10;null;null;null;null;
2007-05-11;null;null;null;null;
2007-05-12;null;26;56.4;.7;
2007-05-13;0;23.1;73;.8;
2007-05-14;0;23.7;69.6;.8;
2007-05-15;1.4;23.4;77.7;.7;
2007-05-16;.2;24.4;69.8;.7;
2007-05-17;0;25.7;67.3;.5;
2007-05-18;0;24.5;78.1;1.1;
2007-05-19;0;24.2;73.5;1.1;
2007-05-20;49.4;21.9;84.8;1;
2007-05-21;.2;23.7;79;1.2;
2007-05-22;0;23.7;79.6;.6;
2007-05-23;0;22.4;85.6;.3;
2007-05-24;7.4;19.6;76.1;1.4;
2007-05-25;0;19.3;65.3;1.2;
2007-05-26;0;19.6;74.5;.7;
2007-05-27;0;20.5;73.4;.5;
2007-05-28;.2;21.2;76.1;.7;
2007-05-29;.2;21.5;77;1;
2007-05-30;3.6;18.4;66.6;1.6;
2007-05-31;4;18.5;77.4;1.1;
2007-06-01;0;21.1;67.8;.6;
2007-06-02;0;22.9;72.5;1.2;
2007-06-03;11.8;19.9;89.6;.5;
2007-06-04;6;19.5;64.7;1.2;
2007-06-05;0;18.2;75.5;.7;
2007-06-06;0;19.8;76.9;.7;
2007-06-07;0;20.2;78.3;.5;
2007-06-08;0;22.5;76.6;.4;
2007-06-09;0;22.5;80.1;.6;
2007-06-10;0;22.7;80.1;.4;
2007-06-11;0;23.3;73.9;.5;
2007-06-12;0;23.2;74.7;.6;
2007-06-13;0;23.1;67.8;.5;
2007-06-14;0;23.1;68.7;.5;
2007-06-15;0;23.7;68.6;.5;
2007-06-16;0;23.2;74.6;.9;
2007-06-17;0;22.8;78.3;1;
2007-06-18;0;23.9;71.7;.6;
2007-06-19;0;23.9;73.2;1.1;
2007-06-20;0;23.2;69.2;.7;
2007-06-21;.2;23.1;64.6;.6;
2007-06-22;0;23.2;63.7;.6;
2007-06-23;0;23.2;67.4;.6;
2007-06-24;0;23.3;66.8;1;
2007-06-25;0;21.9;78.8;.9;
2007-06-26;1.6;22.9;71.8;1.2;
2007-06-27;0;22.3;74.2;.4;
2007-06-28;0;23.6;66.7;.7;
2007-06-29;10.6;21.6;85.3;.7;
2007-06-30;15.2;22.4;79;.7;
2007-07-01;0;21.5;74;1;
2007-07-02;0;21.2;69.7;.9;
2007-07-03;0;22.1;67.7;.8;
2007-07-04;0;22.1;70.2;.5;
2007-07-05;0;23;62.7;.5;
2007-07-06;0;24.3;59.3;.7;
2007-07-07;0;24.8;51.2;.8;
2007-07-08;0;24.6;51.9;.8;
2007-07-09;0;23.1;66.8;.6;
2007-07-10;0;23.9;67.4;.6;
2007-07-11;0;22.1;74.2;1.1;
2007-07-12;3.2;20.1;85;.8;
2007-07-13;0;22.6;71.4;.5;
2007-07-14;0;23.7;65.6;.5;
2007-07-15;0;23;67.1;1.2;
2007-07-16;0;21.4;77.4;.7;
2007-07-17;14;21.6;81.2;.6;
2007-07-18;0;22.1;76.6;.8;
2007-07-19;.2;19.5;67.1;1.7;
2007-07-20;0;19.2;69.7;.6;
2007-07-21;0;21.3;71.9;.7;
2007-07-22;0;24.6;59.4;.6;
2007-07-23;0;26;53.9;1.6;
2007-07-24;3;21.9;83.1;.8;
2007-07-25;5;23.1;80.4;.6;
2007-07-26;0;19.4;64;1.8;
2007-07-27;0;18.3;70.2;.7;
2007-07-28;.4;17.4;85.5;1.1;
2007-07-29;15;15.9;81;1.3;
2007-07-30;3;16.2;73.5;.6;
2007-07-31;0;17.4;70.8;.7;
2007-08-01;0;20.2;67.1;.5;
2007-08-02;0;21.7;65.5;.6;
2007-08-03;0;20.7;75;.8;
2007-08-04;0;22.5;67.8;.7;
2007-08-05;0;20.6;74.7;1.2;
2007-08-06;2.8;20.4;87.3;.7;
2007-08-07;1;23.5;67;.6;
2007-08-08;0;23.1;64.1;1;
2007-08-09;0;23.2;71.3;1;
2007-08-10;0;23.6;65.6;.7;
2007-08-11;0;23.4;67.6;1.4;
2007-08-12;0;21.7;75.3;1.2;
2007-08-13;0;22.2;76.4;1.1;
2007-08-14;0;23.9;63.8;1;
2007-08-15;0;23.1;66.4;.9;
2007-08-16;0;23.4;60.4;.8;
2007-08-17;0;21.6;73.2;1.1;
2007-08-18;0;22.4;68.9;1.3;
2007-08-19;0;22.7;71;1.1;
2007-08-20;0;23.9;60.4;1.3;
2007-08-21;0;20.4;70.5;1.6;
2007-08-22;0;19.5;72.5;.8;
2007-08-23;0;21.8;63;1.3;
2007-08-24;0;22.9;58.5;.7;
2007-08-25;0;24.7;56.6;.8;
2007-08-26;0;25.7;60.1;.5;
2007-08-27;0;24.9;57.5;1.5;
2007-08-28;0;21.6;79.1;1.1;
2007-08-29;.2;20.8;76.3;1;
2007-08-30;.8;21.3;81.2;1.3;
2007-08-31;0;23.3;71.6;1.4;
2007-09-01;0;24.9;64;.8;
2007-09-02;0;23;75.7;1;
2007-09-03;0;24.1;74.6;1;
