Nome: SILVA JARDIM
Codigo Estacao: A659
Latitude: -22.64583333
Longitude: -42.41555555
Altitude: 19
Situacao: Operante
Data Inicial: 2015-08-27
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-27;null;null;null;null;
2015-08-28;null;null;null;null;
2015-08-29;null;null;null;null;
2015-08-30;null;null;null;null;
2015-08-31;null;null;null;null;
2015-09-01;null;null;null;null;
2015-09-02;null;null;82.6;null;
2015-09-03;.2;20.9;76.1;1.2;
2015-09-04;.2;22.1;77;1.9;
2015-09-05;7.2;18.8;90;1.2;
2015-09-06;8.6;20.3;84.1;2.1;
2015-09-07;.6;20.6;91.7;1.1;
2015-09-08;31.6;22.1;82.7;1.1;
2015-09-09;2.2;22.5;80.9;1.7;
2015-09-10;.4;21;86.1;1.1;
2015-09-11;4.6;22;89.4;1.3;
2015-09-12;17.4;19.9;90.1;1;
2015-09-13;37.8;17.9;93.2;1.3;
2015-09-14;10.6;18.4;93;1;
2015-09-15;4.2;21.4;89.3;1.7;
2015-09-16;0;25.1;75.9;1.2;
2015-09-17;0;24.6;77.1;1.3;
2015-09-18;.2;24.8;76.1;1.1;
2015-09-19;0;24;79;1.1;
2015-09-20;0;23.1;82.5;1.3;
2015-09-21;0;24.9;75.7;1.2;
2015-09-22;0;24;78.6;1.2;
2015-09-23;0;23.8;79.7;1.1;
2015-09-24;0;25.9;72.9;1.1;
2015-09-25;0;27.1;68.7;1.5;
2015-09-26;0;25.2;72.2;1.6;
2015-09-27;0;25.6;74.5;1.4;
2015-09-28;0;25.7;72.8;1.3;
2015-09-29;0;24.1;79.1;1.1;
2015-09-30;.2;25.2;79.4;1;
2015-10-01;1;24.8;80;1.4;
2015-10-02;0;25.6;76.6;1.8;
2015-10-03;.6;24.7;79.7;1.3;
2015-10-04;.2;22.6;89;1;
2015-10-05;16.2;20.3;87.5;1.2;
2015-10-06;.4;20.6;76.6;1.8;
2015-10-07;0;22.2;69.5;2.9;
2015-10-08;0;24.3;65.4;2.4;
2015-10-09;0;22.9;74;1.3;
2015-10-10;0;24.1;73.3;1.6;
2015-10-11;0;25.2;72.5;1.5;
2015-10-12;0;25.9;70.9;1.2;
2015-10-13;0;24;76;1.2;
2015-10-14;0;25.3;73.5;1.2;
2015-10-15;0;26.7;71.1;1.3;
2015-10-16;0;27.6;68.1;1.2;
2015-10-17;0;25.5;75.4;2.3;
2015-10-18;3.4;20.4;90.4;1.2;
2015-10-19;8;19.9;84.8;1.9;
2015-10-20;0;22.8;75.6;1.8;
2015-10-21;0;24.1;77.6;1.1;
2015-10-22;0;24.8;78.8;1.7;
2015-10-23;1.6;25.1;76.3;1.4;
2015-10-24;0;24.1;73.8;1.9;
2015-10-25;5.8;21.2;87.4;.9;
2015-10-26;.4;21.6;82;1.7;
2015-10-27;.2;23.7;79.9;1;
2015-10-28;0;23.8;87.3;.8;
2015-10-29;18.4;22.9;84.5;1.2;
2015-10-30;19;22.7;84.7;2.7;
2015-10-31;.2;26;75.1;3.3;
2015-11-01;0;25.4;79.6;1.1;
2015-11-02;1.6;25.4;81.9;1;
2015-11-03;0;25.8;80.9;.7;
2015-11-04;0;25.6;81.4;1.3;
2015-11-05;15.8;25.2;84.3;1;
2015-11-06;0;24.7;87.2;1;
2015-11-07;30;23.1;92.8;2.1;
2015-11-08;29.4;24.9;84;1.7;
2015-11-09;2.4;24.9;86.8;1.1;
2015-11-10;0;25.6;83.4;1.2;
2015-11-11;0;27.3;76.1;1.2;
2015-11-12;0;26.3;78.1;1.9;
2015-11-13;0;25.7;77;1.5;
2015-11-14;0;28;73.4;1.1;
2015-11-15;0;26.5;77.3;1.9;
2015-11-16;0;23.4;88.4;1.1;
2015-11-17;1.6;23.6;89.1;2;
2015-11-18;3.6;26.2;85.6;1.8;
2015-11-19;14;27.8;76.8;1.2;
2015-11-20;.8;27.3;79.6;1;
2015-11-21;6.8;22.3;91;1.1;
2015-11-22;29.8;23.2;79.7;1.6;
2015-11-23;7.8;22.9;87.4;1.4;
2015-11-24;6.6;24.6;83.7;1.7;
2015-11-25;0;24.8;83.3;1;
2015-11-26;3;23.4;86.4;1.1;
2015-11-27;2;22.9;81.5;2;
2015-11-28;.2;25.2;74.6;1.8;
2015-11-29;12.2;26;84;1.1;
2015-11-30;42.8;24.5;89;1.3;
2015-12-01;12;22.4;89.1;1;
2015-12-02;5.2;23.4;90.8;1.2;
