Nome: SAQUAREMA - SAMPAIO CORREIA
Codigo Estacao: A667
Latitude: -22.8711111
Longitude: -42.60888888
Altitude: 26
Situacao: Pane
Data Inicial: 2015-09-01
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-09-01;null;null;null;null;
2015-09-02;null;null;null;null;
2015-09-03;null;null;74.3;null;
2015-09-04;.4;21;82.6;2.1;
2015-09-05;10.4;19;87.7;1.1;
2015-09-06;2.2;20.5;81.6;2.8;
2015-09-07;.4;22.2;82;1.7;
2015-09-08;2;23.1;73.2;2.3;
2015-09-09;4.2;23.7;69.8;3.7;
2015-09-10;0;21.7;79.6;2.6;
2015-09-11;6.6;23.9;76;2.4;
2015-09-12;17.4;19.8;90.8;1.4;
2015-09-13;71.8;17.8;93.4;1.2;
2015-09-14;11.6;18.9;86.5;1.5;
2015-09-15;1;21.7;86.4;2.8;
2015-09-16;.2;26.3;71.3;2.3;
2015-09-17;0;25.8;71;1.5;
2015-09-18;0;25.6;71.6;1.3;
2015-09-19;0;23.5;82.2;1.3;
2015-09-20;0;22.9;84.1;1.4;
2015-09-21;0;23.4;81.7;1.5;
2015-09-22;0;22.1;87.5;1.1;
2015-09-23;0;23.5;82.5;1.5;
2015-09-24;0;27;69.5;1.4;
2015-09-25;0;26.6;70.8;2.2;
2015-09-26;0;24.4;74.5;2;
2015-09-27;0;26.2;72.5;2.6;
2015-09-28;0;25.8;71.5;2.3;
2015-09-29;0;23.4;84.5;1.3;
2015-09-30;0;23.6;85.6;1.2;
2015-10-01;.2;24.2;83.2;1.5;
2015-10-02;0;25.9;75.4;2.3;
2015-10-03;0;24.9;76.9;2;
2015-10-04;.2;22;90.8;1.1;
2015-10-05;28.6;20.1;88;1.2;
2015-10-06;1;20.6;75.3;2.2;
2015-10-07;0;23.2;64.5;3.9;
2015-10-08;0;25.1;62.8;3.6;
2015-10-09;0;23.8;71.6;2.7;
2015-10-10;0;24.5;71.3;2.5;
2015-10-11;0;25.6;73.2;1.6;
2015-10-12;0;24.9;76.1;1.6;
2015-10-13;0;23.6;78.4;1.6;
2015-10-14;0;24;79.7;1.5;
2015-10-15;0;27.6;68.2;1.4;
2015-10-16;0;28;66.3;1.8;
2015-10-17;0;24.9;78.4;2.6;
2015-10-18;4.2;20.3;89.9;1.4;
2015-10-19;7.8;20.2;82.6;2.2;
2015-10-20;.2;24.3;67.8;3.6;
2015-10-21;0;24.2;77.4;1.6;
2015-10-22;0;24.8;76.5;2.2;
2015-10-23;4;24.8;75.8;2.3;
2015-10-24;0;23.3;79.2;1.8;
2015-10-25;1.6;21.8;81.2;1.5;
2015-10-26;0;22.6;76.3;3.2;
2015-10-27;0;24.7;74.6;2.2;
2015-10-28;0;24;82.3;2.3;
2015-10-29;1.6;23.1;81.7;2.2;
2015-10-30;11;23;82.6;3.4;
2015-10-31;.2;26.5;70.2;4.3;
2015-11-01;0;24.9;79.3;1.9;
2015-11-02;1;24.7;84.3;1.3;
2015-11-03;.2;25.9;81;1.3;
2015-11-04;0;24.2;85.9;1.2;
2015-11-05;8;24;89;.8;
2015-11-06;0;24.3;87.1;1.6;
2015-11-07;28.8;22.8;94.2;1.8;
2015-11-08;23;23.9;88.8;1.2;
2015-11-09;1;24.5;89.6;1;
2015-11-10;.2;25.4;82.8;1.9;
2015-11-11;0;27.5;76.1;1.8;
2015-11-12;0;25.6;81.5;2.3;
2015-11-13;0;24.5;81.9;1.8;
2015-11-14;0;27;77.2;1.6;
2015-11-15;0;25.6;78.5;1.8;
2015-11-16;.2;23.3;89.8;1;
2015-11-17;3.2;23.3;91.1;2.1;
2015-11-18;1.2;26.4;82.9;2.5;
2015-11-19;18.2;27.6;80.1;1.2;
2015-11-20;0;27.9;73.8;2.1;
2015-11-21;4.4;22.6;90.7;1.2;
2015-11-22;33;22.5;83;1.6;
2015-11-23;2.8;23.2;86.5;2;
2015-11-24;5.2;24;85.1;2;
2015-11-25;.2;24.1;86;1.2;
2015-11-26;1.4;23.6;84.8;1.7;
2015-11-27;3;22.8;82.1;2.1;
2015-11-28;0;26.2;69.9;2.6;
2015-11-29;2;26.1;84.5;1.7;
2015-11-30;14.4;23.9;91.3;1.7;
2015-12-01;16.4;22.4;87.2;1.3;
2015-12-02;.4;23;92.5;1.3;
2015-12-03;8.4;22;93.6;1.5;
2015-12-04;8;22;92.2;2;
2015-12-05;.6;26;83.1;1.8;
2015-12-06;0;25.4;85;1.4;
2015-12-07;33.8;23;89.5;1.3;
2015-12-08;.8;22.2;91.9;1.2;
2015-12-09;2;25.8;79.3;2.7;
2015-12-10;0;28.4;73.7;1.6;
2015-12-11;0;26.5;76.2;1.8;
2015-12-12;0;27.3;77;1.8;
2015-12-13;1.6;28.5;72.3;2.3;
2015-12-14;.8;29.1;68.8;2.2;
2015-12-15;0;29.2;72.8;1.4;
2015-12-16;0;26.8;79.2;2.6;
2015-12-17;0;25.9;79.8;1.6;
2015-12-18;0;28.4;70.1;1.7;
2015-12-19;0;28.4;71.3;1.4;
2015-12-20;0;27.3;76.3;1.8;
