Nome: BAURU
Codigo Estacao: A705
Latitude: -22.35805555
Longitude: -49.02888888
Altitude: 636.17
Situacao: Operante
Data Inicial: 2001-08-29
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-08-29;null;null;null;null;
2001-08-30;null;null;null;null;
2001-08-31;null;23.2;63.6;1.8;
2001-09-01;0;24.3;57.9;1.4;
2001-09-02;0;24.2;55.8;1.6;
2001-09-03;0;24.3;53.1;1.4;
2001-09-04;0;25.3;45.4;1.2;
2001-09-05;0;22.7;62;2.6;
2001-09-06;0;21.4;67.9;2.6;
2001-09-07;0;20.6;64.1;2.4;
2001-09-08;0;21.4;63.5;1.9;
2001-09-09;0;23.7;57.2;1.9;
2001-09-10;0;25.7;51.5;1.5;
2001-09-11;0;22.6;63.3;1.9;
2001-09-12;0;18.7;54;2.7;
2001-09-13;0;21.3;60.3;2.2;
2001-09-14;6;19.4;93.8;2.4;
2001-09-15;13.2;20.3;79;2.2;
2001-09-16;0;16.1;58.3;2.9;
2001-09-17;0;13.2;58.4;2.3;
2001-09-18;0;16.1;63;2.8;
2001-09-19;0;18.2;57.4;2.7;
2001-09-20;0;19.5;58.4;2.3;
2001-09-21;0;19.8;64.9;2.1;
2001-09-22;3.2;19.7;75.7;2.8;
2001-09-23;6.6;20.3;76;2.6;
2001-09-24;.4;23;66.4;1.6;
2001-09-25;0;21.4;80.8;2.2;
2001-09-26;4.6;21.8;79.8;2;
2001-09-27;1.4;20.6;80.9;1.9;
2001-09-28;0;22.1;69.9;2.6;
2001-09-29;0;22.1;69.7;2.6;
2001-09-30;0;23.2;67.9;2.7;
2001-10-01;0;24.2;69.2;3.3;
2001-10-02;40.2;18.8;91.3;2.2;
2001-10-03;.4;19;72.8;2.4;
2001-10-04;0;21.4;57.9;2;
2001-10-05;0;23.7;54.6;1.8;
2001-10-06;0;22.4;58.2;2.1;
2001-10-07;0;22.1;63.8;2.6;
2001-10-08;12.2;18.5;90.2;2.9;
2001-10-09;13.4;21.6;85.4;1.5;
2001-10-10;7.4;23;81.8;1.5;
2001-10-11;0;23.7;71.1;1.7;
2001-10-12;.2;22.7;71.1;2;
2001-10-13;0;23;68;1.8;
2001-10-14;0;21.8;70;1.6;
2001-10-15;0;22.7;62.4;1.5;
2001-10-16;0;22.6;64.7;1.8;
2001-10-17;0;21.2;71.3;2;
2001-10-18;40;21.7;76.9;1.5;
2001-10-19;0;20.4;82.9;1.9;
2001-10-20;8.2;20.8;79.1;1.3;
2001-10-21;0;19.9;85;1.6;
2001-10-22;28;20.3;81.8;1.9;
2001-10-23;0;21.6;52.6;1.7;
2001-10-24;0;21.6;54.3;2.1;
2001-10-25;0;21.8;64.3;2.1;
2001-10-26;0;22.8;57.6;2.1;
2001-10-27;0;23.2;51.7;1.7;
2001-10-28;0;24;47.8;1.5;
2001-10-29;0;25.9;49.3;1.5;
2001-10-30;0;26;51.5;1.9;
2001-10-31;.6;26.4;52.5;2;
2001-11-01;0;24.6;59.8;2;
2001-11-02;0;22.4;69.3;2.7;
2001-11-03;2;18;82.9;1.8;
2001-11-04;12.6;17.6;90.2;1.5;
2001-11-05;3;21;73.6;1.2;
2001-11-06;0;24.5;56.1;1.5;
2001-11-07;0;26.6;48;1.5;
2001-11-08;0;25.8;56.3;2;
2001-11-09;0;25.9;58.8;2.2;
2001-11-10;0;25.7;63.4;2.5;
2001-11-11;0;23.9;74.4;2.2;
2001-11-12;54.4;21.4;90.2;1.5;
2001-11-13;1;null;86.5;1.7;
2001-11-14;null;23.1;81.8;1.4;
2001-11-15;8;22.5;82.7;1.7;
2001-11-16;0;23.8;75.9;1.2;
2001-11-17;0;22.1;78.9;2.8;
2001-11-18;26;23;73.7;2;
2001-11-19;0;23.1;76.2;2;
2001-11-20;29.8;null;76;1.8;
2001-11-21;null;null;68.6;2;
2001-11-22;0;24.3;72.3;2.2;
2001-11-23;0;24.9;69.1;1.8;
2001-11-24;.6;25.1;71.4;1.5;
2001-11-25;0;27;59.7;1.8;
2001-11-26;0;26.3;59.2;2.8;
2001-11-27;0;25.7;65.5;1.9;
2001-11-28;0;24;76.8;2.1;
2001-11-29;4.2;23.7;78.6;1.6;
2001-11-30;5.8;22.3;83.1;2.5;
2001-12-01;6;20.7;59.1;3.8;
2001-12-02;0;20.7;53.6;1.8;
2001-12-03;0;22.9;56;2.2;
2001-12-04;0;24;59.6;2.8;
2001-12-05;0;22.4;77.6;2.3;
2001-12-06;41.8;21.7;90;2.1;
2001-12-07;null;23.8;82.2;1.5;
2001-12-08;.4;null;81.9;1.4;
2001-12-09;null;null;85.7;1.7;
2001-12-10;null;23.3;77.6;2;
2001-12-11;0;23.1;80.3;1.8;
2001-12-12;9.2;22.4;81.5;1.2;
2001-12-13;.6;22.3;84.3;1.5;
2001-12-14;41.8;20.7;94.8;2.1;
