Nome: FRANCA
Codigo Estacao: A708
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1002.74
Situacao: Operante
Data Inicial: 2002-12-11
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-11;null;null;null;null;
2002-12-12;null;null;90.3;2.7;
2002-12-13;null;21.7;83.8;2.2;
2002-12-14;0;21.8;78.8;2.9;
2002-12-15;10.4;21.2;84.7;2.8;
2002-12-16;10.2;19.5;90.9;3.1;
2002-12-17;27;null;86.7;2.7;
2002-12-18;null;null;71.9;null;
2002-12-19;.2;24.6;69.5;2.3;
2002-12-20;3.6;null;75.4;3.5;
2002-12-21;null;23.2;75;1.6;
2002-12-22;11.8;23.3;75;1.8;
2002-12-23;0;24.5;70.9;2.5;
2002-12-24;0;24.3;72.9;3.2;
2002-12-25;0;23.5;78.3;1.9;
2002-12-26;17.8;22.3;83.8;1.6;
2002-12-27;35.8;22.9;75.8;2.4;
2002-12-28;0;24;65.8;1.9;
2002-12-29;0;24.9;60;2.3;
2002-12-30;0;23.1;73.3;2.3;
2002-12-31;54.2;21.9;81.9;1.9;
2003-01-01;12.6;23.8;74.1;1.5;
2003-01-02;0;22.1;86;2.2;
2003-01-03;44.4;21.4;87.4;2.9;
2003-01-04;48.8;20.9;91.1;3.5;
2003-01-05;26;20.8;91.1;4.4;
2003-01-06;18.8;21.4;91;3;
2003-01-07;11.8;22.6;81.3;1.3;
2003-01-08;0;24;65.2;2.4;
2003-01-09;0;25;70.1;2.8;
2003-01-10;0;25.9;72.5;1.8;
2003-01-11;1;22.7;78.5;1.5;
2003-01-12;11.4;22.2;79.7;2.7;
2003-01-13;3.4;21.5;83.8;2.2;
2003-01-14;2.8;22.4;83;1.5;
2003-01-15;0;22.4;84.7;1.6;
2003-01-16;23;23.5;77.8;2.4;
2003-01-17;10.4;21.9;86.1;2.9;
2003-01-18;91.2;21.6;85.5;3.7;
2003-01-19;1.2;null;86;3.6;
2003-01-20;null;22.7;81.4;3;
2003-01-21;1.6;22.8;81.2;3.8;
2003-01-22;12.4;21.4;87;3.2;
2003-01-23;29;22.5;78.4;3.9;
2003-01-24;19.2;21.7;83.2;2;
2003-01-25;3;21.5;85.3;1.6;
2003-01-26;1.4;20.4;87;2;
2003-01-27;31;20.1;87.6;2.6;
2003-01-28;32.8;20.2;89.3;3.2;
2003-01-29;14;20.1;90.7;2.9;
2003-01-30;26.8;20.2;88.8;2.3;
2003-01-31;20.2;21.2;85.7;1.9;
2003-02-01;0;null;74.9;null;
2003-02-02;null;24.6;63.5;2.3;
2003-02-03;0;24.2;65.3;2.1;
2003-02-04;.8;23.2;71.1;1.8;
2003-02-05;10;21.8;78.2;2.2;
2003-02-06;.2;21.5;81.3;2;
2003-02-07;28;23.8;72.6;1.5;
2003-02-08;0;25.2;62.5;1.7;
2003-02-09;0;25.5;52.7;1.9;
2003-02-10;0;26.1;47.8;1.9;
2003-02-11;0;25.7;47.8;2;
2003-02-12;0;24.7;66;1.5;
2003-02-13;0;22.7;72;2.5;
2003-02-14;1.6;21.1;86;1.7;
2003-02-15;40.6;19.7;88.6;1.9;
2003-02-16;10.6;21;84.6;3;
2003-02-17;1;20.2;88.8;3.3;
2003-02-18;18;21.7;84.5;2.3;
2003-02-19;16.6;22.6;80.8;3;
2003-02-20;5.4;22.9;78.4;2.8;
2003-02-21;1.4;23.1;76.2;1.9;
2003-02-22;4;23.8;71.2;2.2;
2003-02-23;0;24.4;62.1;2.4;
2003-02-24;0;24.8;57.2;2.7;
2003-02-25;0;25.2;47.8;2;
2003-02-26;0;26.4;47.9;null;
2003-02-27;0;25.9;60.4;null;
2003-02-28;0;26.3;55.8;1.6;
2003-03-01;0;25.7;58.3;1.7;
2003-03-02;0;23.6;63.8;null;
2003-03-03;.8;23;70.5;null;
2003-03-04;2.6;23.2;70.8;null;
2003-03-05;12.8;23.7;69.3;null;
2003-03-06;0;23.8;68;null;
2003-03-07;6.2;22;76.3;null;
2003-03-08;43.6;21.1;87.7;null;
2003-03-09;17.2;20.9;84.2;null;
2003-03-10;41.8;20.6;85.9;null;
2003-03-11;1.8;21.4;81.6;null;
2003-03-12;.8;22.2;80.9;null;
2003-03-13;null;null;83.9;null;
2003-03-14;null;null;null;null;
2003-03-15;null;null;null;null;
2003-03-16;null;null;null;null;
2003-03-17;null;null;null;null;
2003-03-18;null;null;null;null;
2003-03-19;null;null;null;null;
2003-03-20;null;null;null;null;
2003-03-21;null;null;null;null;
2003-03-22;null;null;null;null;
2003-03-23;null;null;null;null;
2003-03-24;null;null;null;null;
2003-03-25;null;null;null;null;
2003-03-26;null;null;null;null;
2003-03-27;null;null;null;null;
2003-03-28;null;null;null;null;
2003-03-29;null;null;null;null;
2003-03-30;null;null;null;null;
2003-03-31;null;null;null;null;
2003-04-01;null;null;null;null;
2003-04-02;null;null;null;null;
2003-04-03;null;null;null;null;
2003-04-04;null;null;null;null;
2003-04-05;null;null;null;null;
2003-04-06;null;null;null;null;
2003-04-07;null;null;null;null;
2003-04-08;null;null;null;null;
2003-04-09;null;null;null;null;
2003-04-10;null;null;null;null;
2003-04-11;null;null;null;null;
2003-04-12;null;null;null;null;
2003-04-13;null;null;null;null;
2003-04-14;null;null;null;null;
2003-04-15;null;null;null;null;
2003-04-16;null;null;null;null;
2003-04-17;null;null;null;null;
2003-04-18;null;null;null;null;
2003-04-19;null;null;null;null;
2003-04-20;null;null;null;null;
2003-04-21;null;null;null;null;
2003-04-22;null;null;null;null;
2003-04-23;null;null;null;null;
2003-04-24;null;null;null;null;
2003-04-25;null;null;null;null;
2003-04-26;null;null;null;null;
2003-04-27;null;null;null;null;
2003-04-28;null;null;null;null;
2003-04-29;null;null;null;null;
2003-04-30;null;null;null;null;
2003-05-01;null;null;null;null;
2003-05-02;null;null;null;null;
2003-05-03;null;null;null;null;
2003-05-04;null;null;null;null;
2003-05-05;null;null;null;null;
2003-05-06;null;null;null;null;
2003-05-07;null;null;null;null;
2003-05-08;null;null;null;null;
2003-05-09;null;null;null;null;
2003-05-10;null;null;null;null;
2003-05-11;null;null;null;null;
2003-05-12;null;null;null;null;
2003-05-13;null;null;null;null;
2003-05-14;null;null;null;null;
2003-05-15;null;null;null;null;
2003-05-16;null;null;null;null;
2003-05-17;null;null;null;null;
2003-05-18;null;null;null;null;
2003-05-19;null;null;null;null;
2003-05-20;null;null;null;null;
2003-05-21;null;null;null;null;
2003-05-22;null;null;null;null;
2003-05-23;null;null;null;null;
2003-05-24;null;null;null;null;
2003-05-25;null;null;null;null;
2003-05-26;null;null;null;null;
2003-05-27;null;null;null;null;
2003-05-28;null;null;null;null;
2003-05-29;null;null;null;null;
2003-05-30;null;null;null;null;
2003-05-31;null;null;null;null;
2003-06-01;null;null;null;null;
2003-06-02;null;null;null;null;
2003-06-03;null;null;null;null;
2003-06-04;null;null;null;null;
2003-06-05;null;null;null;null;
2003-06-06;null;null;null;null;
2003-06-07;null;null;null;null;
2003-06-08;null;null;null;null;
2003-06-09;null;null;null;null;
2003-06-10;null;null;null;null;
2003-06-11;null;null;null;null;
2003-06-12;null;null;null;null;
2003-06-13;null;null;null;null;
2003-06-14;null;null;null;null;
2003-06-15;null;null;null;null;
2003-06-16;null;null;null;null;
2003-06-17;null;null;null;null;
2003-06-18;null;null;null;null;
2003-06-19;null;null;null;null;
2003-06-20;null;null;null;null;
2003-06-21;null;null;null;null;
2003-06-22;null;null;null;null;
2003-06-23;null;null;null;null;
2003-06-24;null;null;null;null;
2003-06-25;null;null;null;null;
2003-06-26;null;null;null;null;
2003-06-27;null;null;null;null;
2003-06-28;null;null;null;null;
2003-06-29;null;null;null;null;
2003-06-30;null;null;null;null;
2003-07-01;null;null;null;null;
2003-07-02;null;null;null;null;
2003-07-03;null;null;null;null;
2003-07-04;null;null;null;null;
2003-07-05;null;null;null;null;
2003-07-06;null;null;null;null;
2003-07-07;null;null;null;null;
2003-07-08;null;null;null;null;
2003-07-09;null;null;null;null;
2003-07-10;null;null;null;null;
2003-07-11;null;null;null;null;
2003-07-12;null;null;null;null;
2003-07-13;null;null;null;null;
2003-07-14;null;null;null;null;
2003-07-15;null;null;null;null;
2003-07-16;null;null;null;null;
2003-07-17;null;null;null;null;
2003-07-18;null;null;null;null;
2003-07-19;null;null;null;null;
2003-07-20;null;null;null;null;
2003-07-21;null;null;null;null;
2003-07-22;null;null;null;null;
2003-07-23;null;null;null;null;
2003-07-24;null;null;null;null;
2003-07-25;null;null;null;null;
2003-07-26;null;null;null;null;
2003-07-27;null;null;null;null;
2003-07-28;null;null;null;null;
2003-07-29;null;null;null;null;
2003-07-30;null;null;null;null;
2003-07-31;null;null;null;null;
2003-08-01;null;null;null;null;
2003-08-02;null;null;null;null;
2003-08-03;null;null;null;null;
2003-08-04;null;null;null;null;
2003-08-05;null;null;null;null;
2003-08-06;null;null;null;null;
2003-08-07;null;null;null;null;
2003-08-08;null;null;null;null;
2003-08-09;null;null;null;null;
2003-08-10;null;null;null;null;
2003-08-11;null;null;null;null;
2003-08-12;null;null;null;null;
2003-08-13;null;null;null;null;
2003-08-14;null;null;null;null;
2003-08-15;null;null;null;null;
2003-08-16;null;null;null;null;
2003-08-17;null;null;null;null;
2003-08-18;null;null;null;null;
2003-08-19;null;null;null;null;
2003-08-20;null;null;null;null;
2003-08-21;null;null;null;null;
2003-08-22;null;null;null;null;
2003-08-23;null;null;null;null;
2003-08-24;null;null;null;null;
2003-08-25;null;null;null;null;
2003-08-26;null;null;null;null;
2003-08-27;null;null;null;null;
2003-08-28;null;null;null;null;
2003-08-29;null;null;null;null;
2003-08-30;null;null;null;null;
2003-08-31;null;null;null;null;
2003-09-01;null;null;null;null;
2003-09-02;null;null;null;null;
2003-09-03;null;null;null;null;
2003-09-04;null;null;null;null;
2003-09-05;null;null;null;null;
2003-09-06;null;null;null;null;
2003-09-07;null;null;null;null;
