Nome: OURINHOS
Codigo Estacao: A716
Latitude: -23.00055555
Longitude: -49.84333333
Altitude: 500
Situacao: Operante
Data Inicial: 2006-08-28
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-28;null;null;null;null;
2006-08-29;null;null;null;null;
2006-08-30;null;null;null;null;
2006-08-31;null;19.5;62.7;4.9;
2006-09-01;1;18.9;83.2;4.7;
2006-09-02;23.8;19.7;84.2;4.6;
2006-09-03;0;16.8;68.1;2.8;
2006-09-04;0;16;48.1;3.7;
2006-09-05;0;12.5;39.9;4;
2006-09-06;0;13.9;55.5;6.3;
2006-09-07;0;17.7;60.1;6.6;
2006-09-08;0;21;61;4.6;
2006-09-09;0;21.7;60.4;4;
2006-09-10;0;21.9;62.8;1.7;
2006-09-11;0;24.2;53.5;2.4;
2006-09-12;0;25.5;46.9;2.4;
2006-09-13;0;25.6;44.5;2.8;
2006-09-14;0;25.8;41.2;2.3;
2006-09-15;0;26.1;43.1;4;
2006-09-16;20.6;20.7;83.5;5.6;
2006-09-17;25.2;18.8;84.2;4.8;
2006-09-18;1.6;20.3;75.8;4.1;
2006-09-19;0;20.5;67.1;5.2;
2006-09-20;0;18.6;84;4.5;
2006-09-21;4;19.4;78.3;1.9;
2006-09-22;0;20.1;70.7;2.4;
2006-09-23;0;19.6;81.2;3.2;
2006-09-24;25;18.5;80.9;3.7;
2006-09-25;0;18.2;71.6;4.3;
2006-09-26;0;18.9;62.9;7.2;
2006-09-27;0;21.5;63.4;5.8;
2006-09-28;0;23.5;63;3.5;
2006-09-29;0;21.5;71;4.8;
2006-09-30;0;20.3;68.5;7.9;
2006-10-01;1;21.4;74.1;5.1;
2006-10-02;34.8;21.7;84.7;2.7;
2006-10-03;.2;23.2;78.2;2.3;
2006-10-04;0;22.7;77.9;3.9;
2006-10-05;11.2;22.6;85;3.5;
2006-10-06;41.8;22;85.2;2;
2006-10-07;0;23.3;77;2.6;
2006-10-08;0;22.8;77.7;4;
2006-10-09;0;23.5;64.4;5.1;
2006-10-10;0;24.5;66.7;4;
2006-10-11;0;25.5;66.1;2.5;
2006-10-12;14.4;22.6;87.9;2.2;
2006-10-13;15.2;23.6;82.2;3;
2006-10-14;0;24.5;72;3.5;
2006-10-15;0;24.9;69;4.3;
2006-10-16;39;23.4;85.6;3.8;
