Nome: NHUMIRIM
Codigo Estacao: A717
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.26
Situacao: Operante
Data Inicial: 2006-08-01
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-01;null;null;null;null;
2006-08-02;null;null;null;null;
2006-08-03;null;null;null;null;
2006-08-04;null;null;40;null;
2006-08-05;2.8;24.2;64;1.9;
2006-08-06;0;25.1;63.3;2.1;
2006-08-07;0;25.1;56.2;3.4;
2006-08-08;0;23.8;60.5;2.8;
2006-08-09;0;25;54.3;3.8;
2006-08-10;0;27.1;50.1;3.1;
2006-08-11;0;25.8;59.3;3.1;
2006-08-12;0;26;62.6;2.6;
2006-08-13;0;26.1;57.8;2.9;
2006-08-14;0;27;61;3.1;
2006-08-15;0;null;61.5;2.7;
2006-08-16;null;23.9;72.9;3.6;
2006-08-17;0;19.6;71.7;4.6;
2006-08-18;0;null;78.7;4.8;
2006-08-19;null;null;null;null;
2006-08-20;null;null;null;null;
2006-08-21;null;null;null;null;
2006-08-22;null;null;null;null;
2006-08-23;null;null;20;null;
2006-08-24;0;22.8;44.5;1.4;
2006-08-25;0;25.2;53.7;3;
2006-08-26;0;27.7;53.7;3.4;
2006-08-27;0;23.9;76.8;2.5;
2006-08-28;12.6;21.1;90.4;2.3;
2006-08-29;3.4;20;60.9;3.1;
2006-08-30;0;21.4;59.7;2.1;
2006-08-31;0;25.8;65;2.3;
2006-09-01;0;29;59.2;4.4;
2006-09-02;5.6;23;74.8;3.5;
2006-09-03;0;18.5;61.9;3.7;
2006-09-04;0;18.8;41;5.1;
2006-09-05;0;15.6;37.5;4.1;
2006-09-06;0;16.9;43.1;1.8;
2006-09-07;0;21.5;54.3;1.4;
2006-09-08;0;26.3;54.4;3.3;
2006-09-09;0;22.9;82.9;2.9;
2006-09-10;8.8;23.3;81.1;1.7;
2006-09-11;0;25.4;71.3;1.3;
2006-09-12;0;27.1;64;1.4;
2006-09-13;0;27.5;61;1.4;
2006-09-14;0;27.1;63.6;2.4;
2006-09-15;0;28.8;61.2;2.7;
2006-09-16;.2;23.9;69.4;3.9;
2006-09-17;0;24.5;67.7;1.9;
2006-09-18;0;27.1;53.6;2.1;
2006-09-19;0;26.7;61.5;2.3;
2006-09-20;0;28;64.8;4;
2006-09-21;0;23.2;68.4;2;
2006-09-22;0;26.4;64;2.9;
2006-09-23;0;29;61.5;3.1;
2006-09-24;0;22.8;75.3;3.3;
2006-09-25;0;23.9;64.8;1.9;
2006-09-26;0;27.5;61.9;1.9;
2006-09-27;0;28.9;57.4;3.4;
2006-09-28;15;25.8;77.9;3.1;
2006-09-29;0;25.1;79.5;2;
2006-09-30;0;26.6;73.2;1.7;
2006-10-01;.8;28.2;71.4;3.1;
2006-10-02;0;24.6;83;2.4;
2006-10-03;11;26.3;75.5;2.3;
2006-10-04;38;25.7;77.8;3.4;
2006-10-05;0;26.5;77.8;3.1;
2006-10-06;38.8;21.5;91;2;
2006-10-07;.6;23.7;86.3;1.3;
2006-10-08;0;26.5;79.5;.9;
2006-10-09;.6;28.4;69.6;1.5;
2006-10-10;0;29;65.3;2.4;
2006-10-11;0;27.1;75.3;3.7;
2006-10-12;10.4;25;85.1;2.4;
2006-10-13;0;25.5;82.3;2.8;
