Nome: PORTO MURTINHO
Codigo Estacao: A723
Latitude: -21.70583333
Longitude: -57.88666666
Altitude: 78.56
Situacao: Operante
Data Inicial: 2006-10-23
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-23;null;null;null;null;
2006-10-24;null;null;null;null;
2006-10-25;null;28.5;64.3;2.1;
2006-10-26;0;28.4;74.5;1.8;
2006-10-27;5.2;28.8;72.2;1.8;
2006-10-28;0;31.1;62.5;2.1;
2006-10-29;0;32;60.7;2.3;
2006-10-30;0;28.7;71.1;2;
2006-10-31;0;25.8;84.4;1.7;
2006-11-01;22.4;24.2;92.5;1.8;
2006-11-02;9.4;26.5;84.5;1.3;
2006-11-03;0;27.7;83.3;1.7;
2006-11-04;16;27;87.5;1.7;
2006-11-05;0;28.9;77.3;2.3;
2006-11-06;0;29.3;71.5;2.8;
2006-11-07;12.2;23.1;84.3;4.3;
2006-11-08;1;24.1;62.9;3.3;
2006-11-09;.2;21.4;80.9;3.3;
2006-11-10;13.4;22.6;68.6;3.3;
2006-11-11;0;22.8;59.8;2.4;
2006-11-12;0;24;56.8;1.4;
2006-11-13;0;24.8;54.2;1.8;
2006-11-14;0;26.3;50.8;1.8;
2006-11-15;0;28.6;47.7;2.8;
2006-11-16;0;30.4;51.7;3.5;
2006-11-17;0;31.4;54.2;3.3;
2006-11-18;0;31.6;53.5;2.5;
2006-11-19;0;24.4;81.2;3.3;
2006-11-20;.4;23.4;71.1;2.1;
2006-11-21;0;26.7;65;1.3;
2006-11-22;0;29.9;60;1.7;
2006-11-23;0;28.7;67.1;2;
2006-11-24;7.2;28.7;71;1.7;
2006-11-25;47.2;23.9;85.1;2.8;
2006-11-26;4.2;28.1;77.4;1.1;
2006-11-27;16;26.2;86.9;1.9;
2006-11-28;9.6;25.2;86.2;1.3;
2006-11-29;0;27.1;79.2;2;
2006-11-30;0;27.9;69.3;2;
2006-12-01;0;29.3;66.8;1.7;
2006-12-02;0;30.1;69.4;1.4;
2006-12-03;0;26.8;84.7;1.3;
2006-12-04;46.4;25.4;87.8;1.3;
2006-12-05;21.6;27.6;82.3;1.5;
2006-12-06;0;26.9;86.6;2.5;
2006-12-07;8.8;27.6;80.5;2.6;
2006-12-08;2;25.2;83;1.9;
2006-12-09;0;27.1;77.9;.8;
2006-12-10;0;28.7;76;1.3;
2006-12-11;0;28;76.2;1.6;
2006-12-12;0;28.5;71.8;1.2;
2006-12-13;.2;26.1;84.1;1.4;
2006-12-14;6;29;78;1.1;
2006-12-15;0;29.7;77.5;1.2;
2006-12-16;0;30.6;73;1.6;
2006-12-17;0;30.1;71.2;2.3;
2006-12-18;0;30.7;69.7;2.6;
2006-12-19;0;31;69;3;
2006-12-20;0;30.5;66.8;3.6;
2006-12-21;0;29.2;69.3;3.2;
2006-12-22;0;27.7;77.8;1.8;
2006-12-23;4;29.4;70.1;3.3;
2006-12-24;0;30.3;63;3.8;
2006-12-25;.2;30.7;61.7;3.5;
2006-12-26;8.4;27.2;81.7;1.6;
2006-12-27;.2;29.2;73.3;1.5;
2006-12-28;.2;26.4;82.4;1.9;
2006-12-29;.8;26.6;78.9;1.7;
2006-12-30;.4;26.4;81.4;1;
2006-12-31;2;25.9;83.5;1;
2007-01-01;7.8;27.2;78.9;1.4;
2007-01-02;6;27.4;81.4;2.7;
2007-01-03;1.4;27.5;80.1;3.1;
2007-01-04;8.6;27.8;82.4;2.2;
2007-01-05;.2;29.4;73.8;2;
2007-01-06;0;30;70;1.2;
2007-01-07;0;29.1;73.6;1.4;
2007-01-08;0;29.1;79.5;1.6;
2007-01-09;.6;28.8;76.7;2.4;
2007-01-10;.2;30.8;66;3;
2007-01-11;0;31.6;62.1;3;
2007-01-12;0;29.7;72.2;2;
2007-01-13;1.2;28.6;78.3;1.3;
2007-01-14;9.2;29.9;69;2;
2007-01-15;0;29.6;60.6;2;
2007-01-16;0;27.5;77.5;1.6;
2007-01-17;8.6;28;81.5;2;
2007-01-18;0;29.6;72.1;2.6;
2007-01-19;0;31.8;63;3.3;
2007-01-20;1.6;25.1;85.9;2.5;
2007-01-21;33.8;25.2;81.3;1.6;
2007-01-22;0;28.9;74.1;1.1;
2007-01-23;0;30.5;69.8;2.3;
2007-01-24;0;29.6;72;2.5;
2007-01-25;14.6;25.9;85.3;2.3;
2007-01-26;6;27.4;80.8;1.9;
2007-01-27;0;28.8;79.1;2;
2007-01-28;15.6;26.1;87.2;2.3;
2007-01-29;26.2;27;76.4;1.2;
2007-01-30;34.6;26.1;89.5;.8;
2007-01-31;34.6;25.6;89.3;1.6;
2007-02-01;40.4;27.6;81.9;1.1;
2007-02-02;0;28.1;78.9;1.7;
2007-02-03;1.4;28.7;76.6;1.4;
2007-02-04;0;28.9;81.5;1.6;
2007-02-05;1.6;28.1;79.3;1.5;
2007-02-06;0;30.3;74.7;2.6;
2007-02-07;89;27.4;85.1;1.8;
2007-02-08;0;28.3;76.5;1.2;
2007-02-09;0;29.4;75.1;1.2;
2007-02-10;19.8;27.5;85.4;1.6;
2007-02-11;4.4;27.7;81.7;1.5;
2007-02-12;0;28.7;74.2;1.4;
2007-02-13;0;29.1;71.1;1.2;
2007-02-14;0;28.8;64.8;1.2;
2007-02-15;0;28.4;67.5;1.1;
2007-02-16;3.4;27.1;83.3;2.8;
2007-02-17;18;26.9;84;2.6;
2007-02-18;26.4;21.7;94.1;3.8;
2007-02-19;23.6;22.2;80.1;2;
2007-02-20;0;23.1;86;1.1;
2007-02-21;0;25.5;84.5;.8;
2007-02-22;1;26.2;86.3;1.1;
2007-02-23;7.8;28;77;1.6;
2007-02-24;0;29.2;74;1.4;
2007-02-25;0;29.8;70;1.3;
2007-02-26;0;29.8;67.5;1.7;
2007-02-27;0;29.7;68.9;2.3;
2007-02-28;0;29.5;69.3;2.7;
2007-03-01;.4;29.6;69.3;3.2;
2007-03-02;0;28.8;73.8;2.4;
2007-03-03;8.4;26.6;83.8;1.7;
2007-03-04;0;28;75.3;1.2;
2007-03-05;0;29.3;69.2;1;
2007-03-06;0;29.7;67.1;1.2;
2007-03-07;0;29;68.5;1.3;
2007-03-08;0;29.2;66.9;1.9;
2007-03-09;0;29.7;66.9;2.7;
2007-03-10;0;28.9;67.9;2.6;
2007-03-11;1.4;25.8;83.7;1.4;
2007-03-12;3;27.5;77.7;1.7;
2007-03-13;0;27.6;77.6;1.1;
2007-03-14;1;28.7;71.6;1.6;
2007-03-15;0;26.6;81;1.9;
2007-03-16;.4;26.1;83.3;.8;
2007-03-17;.4;25.4;84.8;2.5;
2007-03-18;0;24.8;68;3;
2007-03-19;0;22.5;70.7;1.3;
2007-03-20;0;24.1;65.3;1;
2007-03-21;0;24.9;62.7;.8;
2007-03-22;0;25.8;60.9;1.5;
2007-03-23;0;28.5;62.7;1.3;
2007-03-24;0;29.2;67.7;1.2;
2007-03-25;0;29.3;65.2;1.3;
2007-03-26;0;30.5;61.2;2.1;
2007-03-27;0;30.4;56.6;2.5;
2007-03-28;0;30.4;58.3;2;
2007-03-29;0;31.1;58.8;1.5;
2007-03-30;0;30.9;57.5;1.9;
2007-03-31;0;28.9;66.8;1.4;
2007-04-01;.4;26.3;81.5;1.3;
2007-04-02;0;28.4;68;.9;
2007-04-03;0;30;60;1.2;
2007-04-04;0;28.6;66.2;1.4;
2007-04-05;0;27.7;70.8;1.9;
2007-04-06;9.6;27.6;75.8;1.4;
2007-04-07;0;25.2;82.8;1.7;
2007-04-08;14;25.3;74.5;2.5;
2007-04-09;0;23.5;72.1;1.8;
2007-04-10;0;24.8;67.1;1.3;
2007-04-11;0;27.4;64.9;2.2;
2007-04-12;0;26.1;81.2;2.4;
2007-04-13;11.4;25.8;81.4;1.6;
2007-04-14;0;28.7;71.5;2.3;
2007-04-15;0;28.3;71.6;1.5;
2007-04-16;0;28.8;66.9;1;
2007-04-17;0;29.1;62.3;1.4;
2007-04-18;0;28.8;59.2;1.3;
2007-04-19;0;27.5;56.6;1.6;
2007-04-20;0;27;64.3;.8;
2007-04-21;.6;28;62.3;1.1;
2007-04-22;0;28.5;62.6;1.1;
2007-04-23;0;28.8;63.5;2;
2007-04-24;0;28.9;67.6;2.7;
2007-04-25;1.6;28.9;69;2.7;
2007-04-26;10.8;22.3;93.6;2.6;
2007-04-27;15.4;18.3;69.3;4.4;
2007-04-28;0;16.5;76;2.1;
2007-04-29;0;21.2;78.5;1;
2007-04-30;0;25.5;74.5;1.1;
2007-05-01;0;28.1;68.4;2.3;
2007-05-02;0;28.6;67.6;1.7;
2007-05-03;0;28.4;64.8;1.2;
2007-05-04;0;27.1;59;1.4;
2007-05-05;0;25.8;56.3;1.6;
2007-05-06;0;27.7;51.5;2.4;
2007-05-07;0;25.9;74.4;2.7;
2007-05-08;3;15.2;82.5;4.8;
2007-05-09;0;14.3;56.2;4.2;
2007-05-10;0;15.3;56.7;1.8;
2007-05-11;0;19.1;66.8;1.3;
