Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2006-09-19
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-19;null;null;null;null;
2006-09-20;null;null;null;null;
2006-09-21;null;null;null;null;
2006-09-22;null;null;null;null;
2006-09-23;null;null;null;null;
2006-09-24;null;null;null;null;
2006-09-25;null;null;null;null;
2006-09-26;null;null;null;null;
2006-09-27;null;null;null;null;
2006-09-28;null;null;null;null;
2006-09-29;null;20.4;66.5;3;
2006-09-30;0;20.3;72.3;4;
2006-10-01;.6;19.9;84.8;1.7;
2006-10-02;13.4;22.6;78.9;2.3;
2006-10-03;0;22.9;76.6;2.1;
2006-10-04;0;22.6;75.5;2.4;
2006-10-05;11.2;22.8;82;2.2;
2006-10-06;16.2;22.1;84.5;2.4;
2006-10-07;1.4;22.6;84.4;1.7;
2006-10-08;0;22.6;74.2;2.8;
2006-10-09;0;22.8;69.8;2.7;
2006-10-10;0;23;71.5;2.4;
2006-10-11;0;23.8;66.2;2.2;
2006-10-12;20.6;21.7;88.8;1.6;
2006-10-13;14.4;22.7;84;2;
2006-10-14;0;23.6;73.3;2.4;
2006-10-15;0;23.8;75.1;2.4;
2006-10-16;.6;23.6;81.1;2.8;
2006-10-17;4.2;21.6;82.3;4;
2006-10-18;0;20.7;79.5;3.7;
2006-10-19;4.2;19.3;87.4;2.4;
2006-10-20;0;20;75.3;4;
2006-10-21;0;20;65.3;4.5;
2006-10-22;0;19.4;58.6;3.2;
2006-10-23;0;20;58.1;3.8;
2006-10-24;0;21.9;62.4;2.5;
2006-10-25;0;24;62.5;1.9;
2006-10-26;0;25.6;62;2.6;
2006-10-27;0;25;65.8;2.4;
2006-10-28;1;23.8;60.9;2.6;
2006-10-29;0;21.9;58.9;3.1;
2006-10-30;0;23.1;58.8;1.8;
2006-10-31;0;26.6;49.2;1.5;
2006-11-01;0;24.3;73.5;3.3;
2006-11-02;14.8;22.4;89.3;2.2;
2006-11-03;6;23.7;81.4;1.8;
2006-11-04;0;25;70;3.4;
2006-11-05;0;24.6;61.8;3.2;
2006-11-06;0;23.3;75.1;2.6;
2006-11-07;3.6;22.1;75.9;4.1;
2006-11-08;0;20;66.3;4.5;
2006-11-09;0;20;63.3;3.7;
2006-11-10;.8;18.3;63.8;4.5;
2006-11-11;0;18.2;58.9;4.1;
2006-11-12;0;19.1;59.7;4.5;
2006-11-13;0;19.7;67.8;4.7;
2006-11-14;8.6;19.7;74.2;2.9;
2006-11-15;.8;21.6;72.9;1.6;
2006-11-16;.6;23.9;66.9;2.6;
2006-11-17;0;27.3;57.9;2.1;
2006-11-18;.2;26.3;65.5;2.3;
2006-11-19;36.2;23.9;80.6;2.5;
2006-11-20;16.8;21.8;84.3;2;
2006-11-21;2.8;22.3;75.5;2.4;
2006-11-22;0;23.1;66.6;2.4;
2006-11-23;0;25.4;49;3;
2006-11-24;0;25.2;53.5;2.2;
2006-11-25;0;25.7;69.2;2.5;
2006-11-26;43.8;22.8;87.8;2.2;
2006-11-27;13.6;24.4;78.2;1.9;
2006-11-28;0;23.1;86.5;2.4;
2006-11-29;53.8;23.3;88.3;2.3;
2006-11-30;13.4;24;81.3;3.6;
2006-12-01;0;22.7;69.3;4.8;
2006-12-02;0;23.8;67.4;2.6;
2006-12-03;0;25.2;71;1.4;
2006-12-04;7.6;24;83.7;2.6;
2006-12-05;8.2;23.1;84.4;1.8;
2006-12-06;8.8;24.2;81.2;2.4;
2006-12-07;23.8;21.9;82.5;2;
