Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Operante
Data Inicial: 2007-09-02
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-09-02;null;null;null;null;
2007-09-03;null;null;null;null;
2007-09-04;null;null;null;null;
2007-09-05;null;null;null;null;
2007-09-06;null;null;null;null;
2007-09-07;null;null;null;null;
2007-09-08;null;null;null;null;
2007-09-09;null;null;null;null;
2007-09-10;null;null;null;null;
2007-09-11;null;null;null;null;
2007-09-12;null;null;null;null;
2007-09-13;null;null;null;null;
2007-09-14;null;null;null;null;
2007-09-15;null;null;null;null;
2007-09-16;null;null;null;null;
2007-09-17;null;null;null;null;
2007-09-18;null;null;null;null;
2007-09-19;null;null;null;null;
2007-09-20;null;null;null;null;
2007-09-21;null;null;null;null;
2007-09-22;null;null;null;null;
2007-09-23;null;null;null;null;
2007-09-24;null;null;null;null;
2007-09-25;null;null;null;null;
2007-09-26;null;null;null;null;
2007-09-27;null;null;null;null;
2007-09-28;null;null;null;null;
2007-09-29;null;null;null;null;
2007-09-30;null;24.2;54;5;
2007-10-01;0;24.5;53.7;4.1;
2007-10-02;0;26;48.8;4.5;
2007-10-03;0;25.8;46.7;3.5;
2007-10-04;0;26.7;38.2;3.3;
2007-10-05;0;27.1;36.5;2.9;
2007-10-06;0;27.7;37.2;3.1;
2007-10-07;0;27.8;47.6;1.9;
2007-10-08;0;28.1;45.3;3.6;
2007-10-09;0;27.9;43.3;3.9;
2007-10-10;0;28;34;2.7;
2007-10-11;0;27.6;35.5;1.8;
2007-10-12;0;29.1;32.9;3.4;
2007-10-13;0;25;69;2.4;
2007-10-14;0;24.6;73.5;2.5;
2007-10-15;.2;26;61.8;3.4;
2007-10-16;1.6;28.3;58.7;3.3;
2007-10-17;.2;28.3;61.7;1.8;
2007-10-18;0;25.6;62.8;2.9;
2007-10-19;.2;25.6;60.8;2;
2007-10-20;0;28.2;49.5;2.3;
2007-10-21;0;27;55.6;3.4;
2007-10-22;.2;26.6;58.2;2.8;
2007-10-23;1.2;21.6;82.8;4.4;
2007-10-24;48;19.7;93.4;4.7;
2007-10-25;18.4;21.8;85.5;2.8;
2007-10-26;0;25;70.5;1.7;
2007-10-27;0;27.5;61.7;1.8;
2007-10-28;0;29;58.9;1.4;
2007-10-29;0;30.6;52.8;1.7;
2007-10-30;0;27.6;57.5;3.8;
2007-10-31;0;28.4;61.6;1.3;
2007-11-01;0;28.4;58.5;3.4;
2007-11-02;2.6;26.2;66.7;3.6;
2007-11-03;7;23.9;84.4;1.6;
2007-11-04;40.4;20.4;91.3;2.2;
