Nome: ITAPIRA
Codigo Estacao: A739
Latitude: -22.415
Longitude: -46.80527777
Altitude: 634.89
Situacao: Operante
Data Inicial: 2007-11-04
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-11-04;null;null;null;null;
2007-11-05;null;null;null;null;
2007-11-06;null;null;null;null;
2007-11-07;null;null;null;null;
2007-11-08;null;null;null;null;
2007-11-09;null;null;null;null;
2007-11-10;null;null;null;null;
2007-11-11;null;null;null;null;
2007-11-12;null;null;null;null;
2007-11-13;null;null;null;null;
2007-11-14;null;null;null;null;
2007-11-15;null;null;null;null;
2007-11-16;null;null;null;null;
2007-11-17;null;null;null;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;null;null;
2007-11-20;null;null;null;null;
2007-11-21;null;null;null;null;
2007-11-22;null;null;null;null;
2007-11-23;null;null;null;null;
2007-11-24;null;null;null;null;
2007-11-25;null;null;null;null;
2007-11-26;null;null;null;null;
2007-11-27;null;null;null;null;
2007-11-28;null;null;null;null;
2007-11-29;null;null;null;null;
2007-11-30;null;null;null;null;
2007-12-01;null;null;null;null;
2007-12-02;null;null;null;null;
2007-12-03;null;null;null;null;
2007-12-04;null;null;null;null;
2007-12-05;null;null;null;null;
2007-12-06;null;null;null;null;
2007-12-07;null;null;null;null;
2007-12-08;null;null;null;null;
2007-12-09;null;null;null;null;
2007-12-10;null;null;null;null;
2007-12-11;null;null;null;null;
2007-12-12;null;null;null;null;
2007-12-13;null;null;null;null;
2007-12-14;null;null;null;null;
2007-12-15;null;null;null;null;
2007-12-16;null;null;null;null;
2007-12-17;null;null;null;null;
2007-12-18;null;null;null;null;
2007-12-19;null;null;null;null;
2007-12-20;null;null;null;null;
2007-12-21;null;null;null;null;
2007-12-22;null;null;null;null;
2007-12-23;null;null;null;null;
2007-12-24;null;null;null;null;
2007-12-25;null;null;null;null;
2007-12-26;null;null;null;null;
2007-12-27;null;null;null;null;
2007-12-28;null;null;null;null;
2007-12-29;null;null;null;null;
2007-12-30;null;null;null;null;
2007-12-31;null;null;null;null;
2008-01-01;null;null;null;null;
2008-01-02;null;null;null;null;
2008-01-03;null;null;null;null;
2008-01-04;null;null;null;null;
2008-01-05;null;null;null;null;
2008-01-06;null;null;null;null;
2008-01-07;null;null;null;null;
2008-01-08;null;null;null;null;
2008-01-09;null;null;null;null;
2008-01-10;null;null;null;null;
2008-01-11;null;null;null;null;
2008-01-12;null;null;null;null;
2008-01-13;null;null;null;null;
2008-01-14;null;null;null;null;
2008-01-15;null;null;null;null;
2008-01-16;null;null;null;null;
2008-01-17;null;null;null;null;
2008-01-18;null;null;78;null;
2008-01-19;7;22.3;87.8;1.7;
2008-01-20;56.8;22.3;86.3;.9;
2008-01-21;16.4;22.6;80.5;1.6;
2008-01-22;0;22;75;1.9;
2008-01-23;1.8;21.5;79.5;1.4;
2008-01-24;.6;23.2;74.5;1.2;
2008-01-25;0;22.6;77.8;1.4;
2008-01-26;.8;22.5;76.7;1.8;
2008-01-27;.6;22.4;70.9;2;
2008-01-28;2;21.4;77.8;2.2;
2008-01-29;4.4;20.7;87.1;1.4;
2008-01-30;23.6;21.9;83.5;1.5;
2008-01-31;1.8;22.9;83.3;.7;
2008-02-01;.6;24.5;73.3;.7;
2008-02-02;0;26.2;70.4;1.2;
2008-02-03;5.8;23.7;80.8;1.8;
2008-02-04;11.8;23;77.3;1.5;
2008-02-05;0;22.2;80.9;1.3;
2008-02-06;8;21.9;86;1.2;
2008-02-07;4.4;22.8;82.7;1.3;
2008-02-08;1;23;77.1;.9;
2008-02-09;0;23.7;75.7;1;
2008-02-10;2.8;24.4;76;1.5;
2008-02-11;0;25.5;73.3;1.3;
2008-02-12;0;25;73;1.6;
2008-02-13;6.8;23.3;80.5;1.1;
2008-02-14;.2;24.4;67.9;1.6;
2008-02-15;26;23.5;75.1;1.2;
2008-02-16;0;24;73.3;1.3;
2008-02-17;.2;24.4;69.8;1;
2008-02-18;0;22.5;80.4;1.2;
2008-02-19;13.2;22.9;77.9;1.1;
2008-02-20;0;23.5;75.3;1.4;
2008-02-21;.8;null;81.9;1.4;
2008-02-22;null;22.7;85.2;.9;
2008-02-23;0;23;85.8;1;
2008-02-24;23.8;21.9;89.8;1.4;
2008-02-25;30.6;23.6;77.4;1;
2008-02-26;0;23.3;72.5;1.2;
2008-02-27;0;23.5;73;1.1;
2008-02-28;0;23.3;71.5;1.1;
2008-02-29;0;22.6;73.2;1.4;
2008-03-01;12.6;23.5;84.3;1.4;
2008-03-02;20;24.2;74.9;1.3;
2008-03-03;0;24.1;71.5;1;
2008-03-04;0;23.7;70.4;.9;
2008-03-05;0;23.8;67.9;.6;
2008-03-06;0;24;66;.9;
2008-03-07;0;23;76.5;.9;
2008-03-08;1;23.6;75;1.2;
2008-03-09;1.2;23.6;77.6;.9;
2008-03-10;7.2;23.4;78.3;.9;
2008-03-11;.8;22.7;84;.7;
2008-03-12;1;22.9;82.3;1.6;
2008-03-13;2.2;22.3;85;1.2;
2008-03-14;27.4;20;85.7;1.3;
2008-03-15;4.4;18.9;88.8;.9;
2008-03-16;6.2;20;87.5;.8;
2008-03-17;27.4;18;92.8;1.7;
2008-03-18;70.2;22;75;1.2;
2008-03-19;0;23;72.9;.8;
2008-03-20;0;22.6;74.5;.8;
2008-03-21;0;23.7;71.4;.8;
2008-03-22;.2;22.8;79.6;1;
2008-03-23;0;23.2;77.5;1;
2008-03-24;.2;23.3;75.1;1.1;
2008-03-25;2;23.8;71.8;1.6;
2008-03-26;0;22.9;72.3;1.2;
2008-03-27;0;23.2;69.9;1;
2008-03-28;0;22.4;69.6;.7;
2008-03-29;0;22.7;70.3;1.2;
2008-03-30;0;21.8;71.1;1.7;
2008-03-31;0;21.7;66.8;1.5;
2008-04-01;0;21.9;70;.8;
2008-04-02;0;22.2;72.8;1.3;
2008-04-03;.2;21.6;83.6;.8;
2008-04-04;27.6;21;86.3;.9;
2008-04-05;2;21.5;77.3;1.5;
2008-04-06;0;21.5;82.9;1.1;
2008-04-07;10.6;22.2;89.2;.7;
2008-04-08;4.2;22.9;86.1;.7;
2008-04-09;.8;24;80.5;1;
2008-04-10;5.4;23.4;83.4;1.5;
2008-04-11;20.8;22.9;77;.7;
2008-04-12;0;22.8;82.1;.9;
2008-04-13;1.6;23.5;75.2;1.2;
2008-04-14;16.2;20.6;91;1;
2008-04-15;28.2;21.5;80.6;1.6;
2008-04-16;0;22.4;77.3;1.1;
2008-04-17;0;22.9;76;1.1;
2008-04-18;0;22.1;72.8;1.7;
2008-04-19;0;21.4;75.8;1.1;
2008-04-20;7.8;20.5;90.2;.6;
2008-04-21;7.8;20.6;85.5;1.2;
2008-04-22;7.4;20.9;81.3;.9;
2008-04-23;25.6;20.3;78.8;.9;
2008-04-24;0;20.1;76.2;.7;
2008-04-25;.2;20.1;74.2;.7;
2008-04-26;0;20.5;71;.9;
2008-04-27;0;20.2;70.4;1.1;
2008-04-28;0;21.1;70.3;1.1;
2008-04-29;0;21.9;71.1;1.8;
2008-04-30;22.6;20;83.4;1.6;
2008-05-01;0;19.5;74.3;1.4;
2008-05-02;3.2;19;87.5;1.3;
2008-05-03;31;17;89.7;1.3;
2008-05-04;.2;15.1;76.5;1;
2008-05-05;0;16.3;79.7;.8;
2008-05-06;.2;15;77.4;.6;
2008-05-07;.2;14.5;70.8;.6;
2008-05-08;0;15.4;69.5;1;
2008-05-09;0;17.5;71.1;1.1;
2008-05-10;0;17.6;75.5;1.1;
2008-05-11;0;17.9;75.5;1.1;
2008-05-12;0;18.7;73.7;1.7;
2008-05-13;0;18.8;72.8;1.1;
2008-05-14;.2;19;73.6;1;
2008-05-15;.8;18.4;77.4;.7;
2008-05-16;.2;18.4;75.5;.6;
2008-05-17;0;19;77.3;1;
2008-05-18;0;20.8;73.6;.9;
2008-05-19;0;20;74.5;.6;
2008-05-20;0;19.2;65.9;.8;
2008-05-21;.2;18.4;65.4;1;
2008-05-22;0;19;67.7;.9;
2008-05-23;0;18.7;72.2;.8;
2008-05-24;0;18.7;75.2;.8;
2008-05-25;0;18.6;74.3;.7;
2008-05-26;0;18.6;69.4;1;
2008-05-27;0;18.8;67.6;1.2;
2008-05-28;0;20;65.4;1.1;
2008-05-29;0;19;77.1;1.7;
2008-05-30;0;18.9;86.8;1;
2008-05-31;.2;16.6;72.4;2.6;
2008-06-01;16.8;15.8;86.5;.7;
2008-06-02;.2;18.4;77.2;1;
2008-06-03;0;17.7;79;1.5;
2008-06-04;18.4;17.5;89;1.1;
2008-06-05;18.4;19.2;80;.7;
