Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2008-04-23
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-23;null;null;null;null;
2008-04-24;null;null;null;null;
2008-04-25;null;null;null;null;
2008-04-26;null;null;null;null;
2008-04-27;null;null;null;null;
2008-04-28;null;null;null;null;
2008-04-29;null;null;null;null;
2008-04-30;23.4;19.1;87.1;3.5;
2008-05-01;null;null;84.7;5;
2008-05-02;10.6;17.6;95;1.8;
2008-05-03;null;null;78.2;3;
2008-05-04;null;null;72.8;2.1;
2008-05-05;null;null;75.2;1.7;
2008-05-06;null;null;57.1;1.4;
2008-05-07;null;null;50.8;null;
2008-05-08;null;null;62.4;null;
2008-05-09;null;null;73.4;3;
2008-05-10;null;null;71.3;4.4;
2008-05-11;null;null;71.9;null;
2008-05-12;null;null;75.9;3.9;
2008-05-13;null;null;75.1;3.8;
2008-05-14;null;null;77.3;2.3;
2008-05-15;0;18.5;79.4;2.6;
2008-05-16;0;19.1;75.5;1.2;
2008-05-17;0;18.8;69.5;3.1;
2008-05-18;0;20.6;75.5;2.3;
2008-05-19;0;null;72.2;1;
2008-05-20;null;null;60.1;1.5;
2008-05-21;0;null;66.8;1.2;
2008-05-22;0;null;71.4;.9;
2008-05-23;null;null;68.9;1.2;
2008-05-24;0;null;68.3;1.6;
2008-05-25;null;null;66.6;1.6;
2008-05-26;0;21;61.7;1.5;
2008-05-27;null;null;null;null;
2008-05-28;null;null;null;null;
2008-05-29;null;null;null;null;
2008-05-30;null;null;null;null;
2008-05-31;null;null;null;null;
2008-06-01;null;null;null;null;
2008-06-02;null;null;null;null;
2008-06-03;null;null;null;null;
2008-06-04;null;null;null;null;
2008-06-05;.4;18.9;90.5;1.4;
2008-06-06;0;20.1;80.8;1;
2008-06-07;.2;19.4;82.7;1.6;
2008-06-08;0;20.9;73.8;2.2;
2008-06-09;0;21.2;71.8;1.8;
2008-06-10;0;21.6;65.8;2.6;
2008-06-11;0;19.7;73.5;1.1;
2008-06-12;0;21.4;75.3;1.7;
2008-06-13;0;21.2;72.5;2.6;
2008-06-14;0;21.3;69.5;1.9;
2008-06-15;0;20.8;73.1;2.1;
2008-06-16;1.4;15.5;68.5;3.7;
2008-06-17;0;11.9;77;2.4;
