Nome: BRAGANCA PAULISTA
Codigo Estacao: A744
Latitude: -22.94916666
Longitude: -46.5261111
Altitude: 891
Situacao: Operante
Data Inicial: 2017-12-19
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-12-19;null;null;null;null;
2017-12-20;null;23.1;72;1.6;
2017-12-21;1.2;20;87.2;1;
2017-12-22;15;20.5;85;1.4;
2017-12-23;3.6;22.2;75.8;2.2;
2017-12-24;1.8;23.6;70.8;2.2;
2017-12-25;0;22.7;78.7;1;
2017-12-26;19.6;23;78.7;1.5;
2017-12-27;6.8;23.5;79.3;1.5;
2017-12-28;0;23.5;76.4;1.8;
2017-12-29;4.8;21.8;83.1;1.2;
2017-12-30;null;null;87.5;2.9;
2017-12-31;18.6;20.3;87.9;3.6;
2018-01-01;26.8;22;81.9;2;
2018-01-02;0;23.1;77.4;2.9;
2018-01-03;.8;21.1;86.9;2.9;
2018-01-04;27.2;22.2;63.8;2.3;
2018-01-05;.2;22.3;68.8;2.2;
2018-01-06;0;21.8;81.5;1.3;
2018-01-07;24;17.3;92.9;2.1;
2018-01-08;47.8;18.5;94.1;1;
2018-01-09;11.6;20.3;86.8;1.5;
2018-01-10;.2;22.3;74.3;1.5;
2018-01-11;0;22.3;76.8;1.4;
2018-01-12;54;20.1;82.4;1.8;
2018-01-13;0;21.3;74.6;1.5;
2018-01-14;.2;22.5;73;1.4;
2018-01-15;0;23;71.1;2.3;
2018-01-16;3.6;22.8;75;1.5;
2018-01-17;7.2;23.5;76.6;1;
2018-01-18;1.6;25.3;68.3;2.1;
2018-01-19;0;23.4;72;1.7;
2018-01-20;14.6;21.8;78.9;1.2;
2018-01-21;20.2;23.1;75.4;1.5;
2018-01-22;0;23.5;74.5;1.2;
2018-01-23;9.4;23.6;74.1;1.4;
2018-01-24;13;23;79.1;1.2;
2018-01-25;33;23;78.9;1.6;
2018-01-26;2;22.1;79.4;2.7;
2018-01-27;.2;21.6;77.1;3;
2018-01-28;0;23.4;73.2;2.1;
2018-01-29;.2;22.9;82.2;1.3;
2018-01-30;8.2;18.6;92.2;2.1;
2018-01-31;19.6;20.1;74.8;2.2;
2018-02-01;.4;21.2;72.3;2.3;
2018-02-02;0;21.4;74.7;2.4;
2018-02-03;0;21.4;73.5;3.4;
2018-02-04;0;19.9;69;3.4;
2018-02-05;0;20.5;73.1;3;
2018-02-06;0;20.2;79.6;1.6;
2018-02-07;0;22.3;66.5;1.7;
2018-02-08;0;23.2;61.9;1.1;
2018-02-09;0;25;56;1;
2018-02-10;0;22.8;75.7;1.2;
2018-02-11;2.6;23.8;77.5;1.2;
2018-02-12;15.2;24.5;74.8;1.1;
2018-02-13;0;21.6;82.8;3.2;
2018-02-14;0;20.2;82.5;3.6;
2018-02-15;0;20.5;82.1;2.5;
2018-02-16;0;21.3;78.4;2.9;
2018-02-17;0;20.2;79.8;1.8;
2018-02-18;.6;18.5;91.8;.8;
2018-02-19;50.8;21.2;80.2;1.2;
2018-02-20;7.4;22.8;80.3;2.1;
2018-02-21;2;23.6;74.1;2.9;
2018-02-22;.2;23.6;72.4;1.3;
2018-02-23;0;22.5;74.3;3;
2018-02-24;0;21.4;74.8;3.3;
2018-02-25;0;21.5;75.5;2.2;
2018-02-26;0;20.5;86.1;1.9;
2018-02-27;55.8;21.4;82.7;1.1;
2018-02-28;0;23.3;77.8;1.6;
2018-03-01;0;23.7;76.2;1.4;
2018-03-02;0;23.4;78.8;1.2;
2018-03-03;26.4;22.5;80.7;1.6;
2018-03-04;0;23.4;78.6;1.6;
2018-03-05;.4;23.7;77.3;1.5;
2018-03-06;0;24.1;74.4;1.2;
2018-03-07;6.8;23.4;81.4;1.5;
2018-03-08;2.4;22.1;82.9;2.7;
2018-03-09;.2;21.9;79.4;2.8;
2018-03-10;0;22;82.8;1.7;
2018-03-11;0;23.3;73.5;1.2;
2018-03-12;0;24.8;70.2;1.4;
2018-03-13;0;24;79.7;1.3;
2018-03-14;8.2;25.7;69.1;1.5;
2018-03-15;28.6;24;72.8;2.1;
2018-03-16;.2;23.8;79.7;1;
2018-03-17;7.8;23.1;81.3;1.3;
2018-03-18;0;24.1;72.7;1.3;
2018-03-19;0;24.7;72.9;1.2;
2018-03-20;0;22.6;83.6;1.2;
2018-03-21;49.4;22.3;81;1.3;
2018-03-22;5.8;22.1;81.7;1.7;
2018-03-23;0;22.7;78.3;1.3;
2018-03-24;.8;23.5;72.1;1.2;
2018-03-25;0;24.1;61.8;.8;
2018-03-26;0;23;75;1;
2018-03-27;4.8;22.1;79.3;1.2;
2018-03-28;7.6;22.1;77;1;
2018-03-29;2.2;21.7;79.8;.9;
2018-03-30;0;21.7;74.8;1.1;
2018-03-31;.2;21.9;76.8;.6;
2018-04-01;1.2;22.3;80.4;1.1;
2018-04-02;2.8;21.5;84.5;1.8;
2018-04-03;.4;20.8;86.5;1;
2018-04-04;15.4;21.1;80.4;1.3;
2018-04-05;.2;21.3;75.3;1.5;
2018-04-06;0;21.4;75;2.1;
2018-04-07;0;21.6;74.8;1.8;
2018-04-08;0;21.6;78.5;2.2;
2018-04-09;0;21.6;76.7;1.9;
2018-04-10;0;21.6;74.2;1.3;
2018-04-11;0;21.2;70.8;1.6;
2018-04-12;0;21.1;68.3;1.1;
2018-04-13;0;22.6;65.1;.7;
2018-04-14;0;21;76.2;2.9;
2018-04-15;0;19.7;80.8;3;
2018-04-16;0;18.2;82;3.1;
2018-04-17;0;18.8;71.9;2.4;
2018-04-18;0;18.1;67.2;1.8;
2018-04-19;0;18.9;63.8;1.5;
2018-04-20;0;18.7;62.3;.9;
2018-04-21;0;17.9;69;1.3;
2018-04-22;0;19.4;75.2;1.7;
2018-04-23;0;20;72.7;1.4;
2018-04-24;0;20;72.9;1.1;
2018-04-25;0;20.4;76;1.3;
2018-04-26;0;20.9;76.3;1.5;
2018-04-27;0;21.1;76.7;1.1;
2018-04-28;0;21;73.7;1.1;
2018-04-29;0;21.1;71;1;
2018-04-30;0;21.1;61.4;.8;
2018-05-01;0;20.5;67.5;.8;
2018-05-02;0;21;75.5;1.6;
2018-05-03;0;21.3;69.6;1.3;
2018-05-04;0;21.6;58.2;1;
2018-05-05;0;21.7;62.7;1;
2018-05-06;0;20.5;73.6;1.9;
2018-05-07;0;19.6;77;2.5;
2018-05-08;0;19.2;77.3;2.4;
2018-05-09;0;19;71.7;2.2;
2018-05-10;0;19.1;68.9;1.3;
2018-05-11;0;19.8;64.8;1.3;
2018-05-12;0;20.8;66;1.9;
2018-05-13;0;19.2;78.5;2.6;
2018-05-14;0;19;77.9;1.7;
2018-05-15;0;18.9;78.4;.7;
2018-05-16;0;19.6;77;1.2;
2018-05-17;0;19.6;78;2;
