Nome: MOELA
Codigo Estacao: A745
Latitude: -24.047845
Longitude: -46.26334
Altitude: 32.47
Situacao: Desativada
Data Inicial: 2008-07-24
Data Final: 2017-05-17
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-24;null;null;null;null;
2008-07-25;null;null;null;null;
2008-07-26;null;18.8;66.9;3.2;
2008-07-27;0;19.3;75.6;2.5;
2008-07-28;0;20.6;83.8;1.8;
2008-07-29;0;20.6;84.2;4;
2008-07-30;0;21;84.8;2.6;
2008-07-31;0;22.7;67.5;4.8;
2008-08-01;0;20.5;89.9;1.6;
2008-08-02;null;null;91.3;null;
2008-08-03;null;null;null;null;
2008-08-04;null;null;77.1;null;
2008-08-05;null;null;86.5;null;
2008-08-06;null;null;88.9;null;
2008-08-07;null;null;null;null;
2008-08-08;null;null;null;null;
2008-08-09;null;null;null;null;
2008-08-10;null;null;82.5;null;
2008-08-11;null;null;81;null;
2008-08-12;.2;21.2;87.4;2.7;
2008-08-13;0;null;88.6;8.3;
2008-08-14;null;null;null;null;
2008-08-15;null;null;null;null;
2008-08-16;null;null;78.4;null;
2008-08-17;0;23;79.6;2.3;
2008-08-18;0;22.2;75.4;3.4;
2008-08-19;0;20.6;84.6;1.4;
2008-08-20;null;null;79.6;null;
2008-08-21;0;21.8;87.2;2.5;
2008-08-22;0;21.2;85.4;6;
2008-08-23;1.6;null;88.1;null;
2008-08-24;null;null;85;null;
2008-08-25;null;null;87.2;1.5;
2008-08-26;.2;21.1;85.8;4.5;
2008-08-27;null;null;74.7;null;
2008-08-28;0;20.6;77.5;4.2;
2008-08-29;0;21.7;73.8;5;
2008-08-30;.8;null;68.1;4.6;
2008-08-31;null;null;76.9;null;
2008-09-01;.2;20.8;75.3;7.8;
2008-09-02;0;20.7;82.6;2.7;
2008-09-03;0;24.9;59.2;2.6;
2008-09-04;0;24.9;62.4;6.6;
2008-09-05;.4;21.7;86;6.4;
2008-09-06;0;21.2;88.5;5.2;
2008-09-07;10.2;null;85;3.4;
2008-09-08;null;null;null;null;
2008-09-09;null;null;86.8;null;
2008-09-10;null;null;83.6;null;
2008-09-11;0;22.5;88.6;2.4;
2008-09-12;0;22.3;90.6;5.6;
2008-09-13;null;null;86.4;null;
2008-09-14;null;null;null;null;
2008-09-15;null;null;null;null;
2008-09-16;null;null;null;null;
2008-09-17;null;null;null;null;
2008-09-18;null;null;62.2;null;
2008-09-19;1;19.6;71.4;9.2;
2008-09-20;0;19.9;77.4;5.3;
2008-09-21;null;null;83.5;null;
2008-09-22;null;null;58.7;null;
2008-09-23;1.6;19.4;74.8;6.5;
2008-09-24;9.6;19.2;82;4.6;
2008-09-25;5.4;19.6;83.9;7.9;
2008-09-26;null;null;80.3;5.4;
2008-09-27;null;null;89.8;null;
2008-09-28;null;null;84.6;null;
2008-09-29;null;null;76.8;null;
2008-09-30;0;null;84.3;6.2;
2008-10-01;null;null;86.9;null;
2008-10-02;null;null;72.7;null;
2008-10-03;null;null;87.4;null;
2008-10-04;0;null;93.9;2.9;
2008-10-05;null;null;null;null;
2008-10-06;null;null;null;null;
2008-10-07;null;null;null;null;
2008-10-08;null;null;null;null;
2008-10-09;null;null;null;null;
2008-10-10;null;null;72.1;null;
2008-10-11;0;21.7;80.2;5.9;
2008-10-12;0;21.4;89.1;2.6;
2008-10-13;null;null;89.5;null;
2008-10-14;null;null;91.6;2.7;
2008-10-15;0;23.1;87.7;4;
2008-10-16;null;null;null;null;
2008-10-17;null;null;null;null;
2008-10-18;null;null;null;null;
2008-10-19;null;null;null;null;
2008-10-20;null;null;84.2;null;
2008-10-21;null;null;81.6;null;
2008-10-22;0;22.4;87.8;2.3;
2008-10-23;null;null;87.7;2.9;
2008-10-24;null;null;90.4;null;
2008-10-25;null;null;null;null;
2008-10-26;null;null;null;null;
2008-10-27;null;null;null;null;
2008-10-28;null;null;null;null;
2008-10-29;null;null;null;null;
2008-10-30;null;null;null;null;
2008-10-31;null;null;null;null;
2008-11-01;null;null;null;null;
2008-11-02;null;null;null;null;
2008-11-03;null;null;null;null;
2008-11-04;null;null;null;null;
2008-11-05;null;null;null;null;
2008-11-06;null;null;null;null;
2008-11-07;null;null;null;null;
2008-11-08;null;null;null;null;
2008-11-09;null;null;null;null;
2008-11-10;null;null;null;null;
2008-11-11;null;null;null;null;
2008-11-12;null;null;null;null;
2008-11-13;null;null;null;null;
2008-11-14;null;null;null;null;
2008-11-15;null;null;null;null;
2008-11-16;null;null;null;null;
2008-11-17;null;null;null;null;
2008-11-18;null;null;null;null;
2008-11-19;null;null;66.6;null;
2008-11-20;null;null;67.7;null;
2008-11-21;3.4;null;72.1;12.3;
2008-11-22;null;null;null;null;
2008-11-23;null;null;null;null;
2008-11-24;null;null;null;null;
2008-11-25;null;null;null;null;
2008-11-26;null;null;null;null;
2008-11-27;null;null;null;null;
2008-11-28;null;null;null;null;
2008-11-29;null;null;null;null;
2008-11-30;null;null;null;null;
