Nome: BARRA DO TURVO
Codigo Estacao: A746
Latitude: -24.96277777
Longitude: -48.41638888
Altitude: 659.89
Situacao: Operante
Data Inicial: 2008-07-02
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-02;null;null;null;null;
2008-07-03;null;null;null;null;
2008-07-04;null;12.7;91.8;.4;
2008-07-05;0;13;88.5;.4;
2008-07-06;0;12.5;89.3;.4;
2008-07-07;0;14;90.1;.5;
2008-07-08;0;13.7;82.3;.6;
2008-07-09;0;15;87.5;.6;
2008-07-10;0;15.6;83.9;1;
2008-07-11;0;12.7;89.4;.6;
2008-07-12;0;14.4;86.3;.6;
2008-07-13;0;12.7;90.4;.3;
2008-07-14;.2;13.1;84.1;.5;
2008-07-15;0;10.3;88.2;.5;
2008-07-16;0;13.7;84.8;1;
2008-07-17;.2;13.8;80.6;1.4;
2008-07-18;.2;15.1;78.4;1.2;
2008-07-19;0;14;80.2;.6;
2008-07-20;0;14;85.3;.5;
2008-07-21;.2;13.8;85.2;.6;
2008-07-22;0;15.1;79.9;.8;
2008-07-23;1.8;15;92.9;.5;
2008-07-24;30.6;15.8;88.6;2.2;
2008-07-25;.2;15.6;85.7;1.3;
2008-07-26;0;12.1;83.9;.7;
2008-07-27;0;13.3;85.8;.8;
2008-07-28;.2;16.4;80.5;.9;
2008-07-29;.2;17.2;87.5;.8;
2008-07-30;0;18.2;79.7;1.6;
2008-07-31;0;16.6;88.3;.6;
2008-08-01;.6;16.2;92.2;.3;
2008-08-02;.8;17.9;85.3;1.3;
2008-08-03;4.6;15.4;91;1;
2008-08-04;0;13.8;88.4;.6;
2008-08-05;0;15.3;89;.7;
2008-08-06;0;14.4;95.2;1;
2008-08-07;11.2;15;95.8;1.2;
2008-08-08;44;13.3;94.8;1.2;
2008-08-09;3.6;12.5;97;.8;
2008-08-10;31;13.8;95.2;1.1;
2008-08-11;1.8;15.6;90.7;.5;
2008-08-12;0;18.6;84.7;1.3;
2008-08-13;2.8;14.7;94.8;.6;
2008-08-14;16.6;15.1;95.5;.6;
2008-08-15;10.4;17;86.2;1.7;
2008-08-16;0;18.8;78.3;1.4;
2008-08-17;0;18.9;70.9;1.8;
2008-08-18;0;17.1;80.6;.6;
2008-08-19;.2;16.6;86.5;.4;
2008-08-20;.2;18;80.5;.6;
2008-08-21;0;19.5;79.1;1.4;
2008-08-22;0;14.4;89.3;1.4;
2008-08-23;1.6;11.4;96.3;1.7;
2008-08-24;1.8;15.5;90.8;.6;
2008-08-25;0;19.1;80.1;1.5;
2008-08-26;.2;17;93;.8;
2008-08-27;0;15.7;84.8;.6;
2008-08-28;0;16;80.1;1.1;
2008-08-29;.2;15.4;78.3;1.2;
2008-08-30;0;11.2;86.7;1.5;
2008-08-31;.8;12.4;89.6;1;
2008-09-01;.2;15;84.5;.6;
2008-09-02;0;17.9;76.3;.9;
2008-09-03;.2;17.6;74.5;.8;
2008-09-04;.2;16.5;87.9;1;
2008-09-05;1;14.3;94;1.3;
2008-09-06;0;16.6;91.6;1.3;
2008-09-07;5;13.7;71.6;1.8;
2008-09-08;0;10.2;95.9;.5;
2008-09-09;11.4;13.8;95.3;.9;
2008-09-10;.4;17.1;92.5;.4;
2008-09-11;.4;19.6;88.8;1;
2008-09-12;.4;19.3;87.2;1.1;
2008-09-13;24.2;14.6;96;1.2;
2008-09-14;29;12.9;93.4;.9;
2008-09-15;.4;12.8;93.2;.5;
2008-09-16;.6;11.7;95.4;.8;
2008-09-17;2;10.7;94.2;.9;
2008-09-18;1;12.1;89.2;1.3;
2008-09-19;3.2;12.8;90.9;1.1;
2008-09-20;1.8;13.9;94.2;.4;
2008-09-21;11.8;16.2;80.6;1.6;
2008-09-22;0;12.9;71.9;1.3;
2008-09-23;0;13.1;84.4;1;
2008-09-24;8.6;13.1;93.1;1.8;
2008-09-25;6;14;95;1.5;
2008-09-26;7.2;14.5;93.2;.9;
2008-09-27;3;14;93.9;.9;
2008-09-28;5.4;14.6;93.4;1.2;
2008-09-29;9;14.9;89.1;.8;
