Nome: AGUA CLARA
Codigo Estacao: A756
Latitude: -20.44444444
Longitude: -52.87583332
Altitude: 323.63
Situacao: Operante
Data Inicial: 2010-08-13
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-08-13;null;null;null;null;
2010-08-14;null;null;null;null;
2010-08-15;null;null;null;null;
2010-08-16;null;null;null;null;
2010-08-17;0;16.1;55.2;1.6;
2010-08-18;0;20;47.9;1.8;
2010-08-19;0;22.1;40.1;1.6;
2010-08-20;0;20.8;47.1;1.2;
2010-08-21;0;21.4;45.8;1.5;
2010-08-22;0;22.8;42.7;1.3;
2010-08-23;0;24.7;36.4;1.9;
2010-08-24;0;25.2;38;1.5;
2010-08-25;0;24.4;43.5;1.4;
2010-08-26;0;24.6;39.1;1;
2010-08-27;0;25.4;35;1.2;
2010-08-28;0;25.4;35.8;1.1;
2010-08-29;0;25.1;36.9;1;
2010-08-30;0;26.1;38.8;1.9;
2010-08-31;0;28;32.5;2.3;
2010-09-01;0;28.9;31.5;1.7;
2010-09-02;0;27.2;41;1.3;
2010-09-03;0;27;36;1.3;
2010-09-04;0;23.5;51.5;2.6;
2010-09-05;0;20.8;41.8;2.1;
2010-09-06;0;22.5;48.7;1.3;
2010-09-07;0;25.2;44.4;2.5;
2010-09-08;0;23.5;56.3;2.1;
2010-09-09;0;23.7;52.1;2.3;
2010-09-10;0;26.8;40.2;2.4;
2010-09-11;0;28.8;34.2;2;
2010-09-12;0;29.5;27;2.3;
2010-09-13;0;28.7;29.1;2;
2010-09-14;0;23.1;57.4;2;
2010-09-15;0;22.6;64.9;1.2;
2010-09-16;0;25.5;52.6;1.1;
2010-09-17;0;28.9;43.9;1.2;
2010-09-18;0;28.3;44.3;1.6;
2010-09-19;0;24.2;50;2.8;
2010-09-20;0;28.4;42.2;2;
2010-09-21;0;30.4;29.6;3;
2010-09-22;0;31.2;25.6;2.5;
2010-09-23;0;29.6;29.1;1.7;
2010-09-24;4.2;21.2;78.8;2;
2010-09-25;20.8;22.8;79.6;1.1;
2010-09-26;2.2;21.1;88.5;2.2;
2010-09-27;33.2;21.2;88.2;2.7;
2010-09-28;1.4;21.1;84.3;2.6;
2010-09-29;24.6;null;92.8;1.2;
2010-09-30;null;null;null;null;
2010-10-01;null;null;71.4;null;
2010-10-02;null;null;89.8;null;
2010-10-03;null;null;65.6;null;
2010-10-04;0;24.3;70;1.4;
2010-10-05;0;26.1;61.9;1.3;
2010-10-06;0;26.7;63;1.9;
2010-10-07;18.6;23.2;80.1;2.4;
2010-10-08;1.8;21.5;61.1;1.9;
2010-10-09;0;21.5;57.6;1.3;
2010-10-10;0;22.8;54.4;2.5;
2010-10-11;0;21.9;59.5;1.8;
2010-10-12;0;21.9;51.8;2.2;
2010-10-13;0;22.6;52.3;1.6;
2010-10-14;0;24.7;61;1.7;
2010-10-15;9.2;26.5;70.3;2.4;
2010-10-16;2;24.1;82.3;2.4;
2010-10-17;4.2;23.2;82.9;1.4;
2010-10-18;0;24.6;67.2;2;
2010-10-19;0;24;54.4;1.3;
2010-10-20;0;25.4;53.8;1.3;
2010-10-21;0;26.6;47.6;1.3;
2010-10-22;0;27.5;53.3;1.9;
2010-10-23;9;25;77.3;1.6;
2010-10-24;0;27.6;66.8;1.6;
2010-10-25;0;28.6;60.5;1.5;
2010-10-26;0;26.6;44.9;2.6;
2010-10-27;0;23.5;38.5;1.2;
2010-10-28;0;24.3;49;1.4;
2010-10-29;0;27.8;48.5;2;
2010-10-30;0;25.3;71.1;2.4;
2010-10-31;30.2;21.2;91.6;1.7;
2010-11-01;7.4;23.6;66.1;1.7;
2010-11-02;0;24.3;41.8;1.4;
2010-11-03;0;23.5;53.8;1.1;
2010-11-04;0;26.3;51.6;1.4;
2010-11-05;0;23.9;73.6;1.9;
2010-11-06;17.4;23.1;67.8;2.1;
2010-11-07;0;23.1;61.4;1;
2010-11-08;0;25.2;68.4;1.9;
2010-11-09;3.8;27.8;65.5;1.9;
2010-11-10;20.8;22.6;82.2;2.2;
2010-11-11;0;24.1;68.3;1.5;
2010-11-12;0;25.1;68.7;1.9;
2010-11-13;0;25.3;70.4;1.8;
2010-11-14;.2;24.5;75.3;1.4;
2010-11-15;0;23.6;80.5;1.6;
2010-11-16;25.2;21.6;81.8;1.3;
2010-11-17;.2;24.4;68.3;1.3;
2010-11-18;0;24.7;56.9;1.5;
2010-11-19;0;25;59;1.3;
2010-11-20;0;23.9;75.5;1.9;
2010-11-21;2.6;25.2;75.8;1.4;
2010-11-22;3.6;25.7;75.8;1.9;
2010-11-23;13.4;26.6;67.5;1.1;
2010-11-24;0;27.3;62.6;1.1;
2010-11-25;0;27.9;58.6;1.8;
2010-11-26;0;27.6;60.2;1.3;
2010-11-27;0;28.7;58.2;1.1;
2010-11-28;0;26.9;67.6;2.2;
2010-11-29;11.2;25;81.3;1.8;
2010-11-30;3.4;26.2;79.6;1.6;
2010-12-01;9;27.4;76.5;1;
2010-12-02;.8;27.3;75.8;2.4;
2010-12-03;0;28.1;72.1;1.8;
2010-12-04;0;29.9;64.4;1.5;
2010-12-05;0;29.9;65.7;1.9;
2010-12-06;20;26.7;76.8;1.5;
2010-12-07;0;27.7;73.8;1.5;
2010-12-08;2.2;24.9;82.5;1.6;
2010-12-09;28.4;26.1;74.9;1;
2010-12-10;0;29.6;66.2;1.1;
2010-12-11;0;30.1;65.5;1.6;
2010-12-12;0;30.8;59.5;2;
2010-12-13;3.4;24.7;73;3;
2010-12-14;0;19.8;69.1;2.1;
2010-12-15;.2;22;74.6;1.4;
2010-12-16;0;24.2;77.8;2.3;
2010-12-17;6;24.8;83.2;1.7;
2010-12-18;.2;26.3;72.5;2.4;
2010-12-19;12.2;25.6;76;1.8;
2010-12-20;.4;27.4;68.4;1.4;
2010-12-21;0;26.5;72.7;1.5;
2010-12-22;34;25.3;78.5;1.7;
2010-12-23;1.6;25.8;76.3;1.2;
2010-12-24;0;26.3;74.9;1.6;
2010-12-25;.2;25;76.6;2;
2010-12-26;.2;26.9;73;1.6;
2010-12-27;0;26.3;79.7;1.6;
2010-12-28;1;25.3;82.6;1.1;
2010-12-29;1.2;25.3;81.8;1.3;
2010-12-30;.8;26.7;72.2;1.4;
2010-12-31;0;26.8;58.8;1.8;
2011-01-01;0;26.3;67.8;1.2;
2011-01-02;5.6;27.2;73.9;1.5;
2011-01-03;45.2;25.9;76;1;
2011-01-04;0;25.9;76.2;1.5;
2011-01-05;.4;26.1;74;1.4;
2011-01-06;.4;26.9;75.1;1.4;
2011-01-07;0;26.3;75.5;1.6;
2011-01-08;5;25.1;85.6;1.6;
2011-01-09;71.8;25.7;82.5;1.4;
2011-01-10;.4;26.5;81.5;1.4;
2011-01-11;2.4;26.3;83.5;1.5;
2011-01-12;20;25.8;81;2;
2011-01-13;0;23.8;89.3;2;
2011-01-14;27.6;26.3;77;1.6;
2011-01-15;0;27.9;70;1.1;
2011-01-16;0;26.2;79.4;1.4;
2011-01-17;8.4;24.7;86.8;1.9;
2011-01-18;13.4;24.7;86.6;1.4;
2011-01-19;5;25.3;85.3;1.6;
2011-01-20;16.4;24.7;85.1;1.8;
2011-01-21;0;24.9;83.7;1.1;
2011-01-22;3.6;26.4;77.5;1.6;
2011-01-23;18.8;26.4;76.8;2;
2011-01-24;.2;28.5;71.2;1.4;
2011-01-25;0;28.5;71.4;1.4;
2011-01-26;23.6;27.4;71.8;2.2;
2011-01-27;16.6;26.2;75.1;1.8;
2011-01-28;.4;26.8;72.5;1.6;
2011-01-29;40.8;25.1;77.2;2.4;
2011-01-30;0;26.6;72;1.1;
2011-01-31;0;28.4;64.4;1.4;
2011-02-01;0;26.5;76.5;1.5;
2011-02-02;10.8;25.6;78.3;1.3;
2011-02-03;0;25.7;81.1;1.4;
2011-02-04;11.2;24.9;82.4;1;
2011-02-05;1;25.6;78.5;1.9;
2011-02-06;16;25.7;78.7;2;
2011-02-07;.2;25.4;80.2;1.3;
2011-02-08;21.4;25.3;82.1;1.4;
2011-02-09;0;24.5;87.1;1.2;
2011-02-10;25.2;24;88.5;1.1;
2011-02-11;10.4;25.7;79.6;1.5;
2011-02-12;4.2;26.3;77.7;1.4;
2011-02-13;11.6;24.8;87;1.1;
2011-02-14;3.4;26.2;79.6;1.2;
2011-02-15;0;25.5;81.3;1.6;
2011-02-16;.6;27;75.6;1.3;
2011-02-17;4.4;27.3;75.7;1.4;
2011-02-18;7.8;26.8;75.3;1.8;
2011-02-19;23;25.7;78;1.7;
2011-02-20;0;26.7;72.5;1.4;
2011-02-21;0;27.8;68.3;1.2;
2011-02-22;0;27.6;67.9;1.6;
2011-02-23;0;26;77.8;1.4;
2011-02-24;10;27.2;74.1;1.4;
2011-02-25;0;28;72;1.6;
2011-02-26;0;26.1;79.2;1.1;
2011-02-27;6.4;25.6;82;1.4;
2011-02-28;3.6;24.5;88.9;1.3;
2011-03-01;18.6;23.7;91.3;1.9;
2011-03-02;36.6;22.9;93;2.1;
2011-03-03;17.4;23.9;88.8;2.2;
2011-03-04;21.4;23.9;88.8;1.8;
2011-03-05;19.2;23.9;87.7;2;
2011-03-06;12.6;23.1;90.9;1.3;
2011-03-07;19.2;23.6;90.4;1.4;
2011-03-08;null;null;91.7;null;
2011-03-09;null;null;76.2;null;
2011-03-10;.4;25.7;81.5;1.2;
2011-03-11;0;25;85.3;1.1;
2011-03-12;9.4;26.6;77.2;1.5;
2011-03-13;37.2;26.3;75.4;1.7;
2011-03-14;0;26.8;71.1;1.8;
2011-03-15;0;25.9;77.5;1.5;
2011-03-16;0;25.7;79.9;1.5;
2011-03-17;0;25.7;80.2;1.5;
2011-03-18;8.8;26.4;79.3;.9;
2011-03-19;0;26.2;79.5;1.5;
2011-03-20;1.4;24.5;75.8;2.5;
2011-03-21;0;23.3;80.5;2.4;
2011-03-22;.4;23.9;86.3;3.1;
2011-03-23;14;24;86.4;2.2;
2011-03-24;1;25.9;79.5;1.4;
2011-03-25;0;26.5;74.6;1.2;
2011-03-26;0;27.5;71.1;1.1;
2011-03-27;0;27.1;74;1.3;
2011-03-28;0;26;80.3;1.4;
2011-03-29;5.2;null;80.7;1.6;
2011-03-30;null;24.8;86;1.2;
2011-03-31;.2;26.2;80.5;1.2;
2011-04-01;0;26.1;81.3;1.1;
2011-04-02;null;null;null;null;
2011-04-03;null;null;null;null;
2011-04-04;null;null;75.3;null;
2011-04-05;16.8;null;85.9;null;
2011-04-06;null;null;null;null;
2011-04-07;null;null;null;null;
2011-04-08;null;null;null;null;
2011-04-09;null;null;null;null;
2011-04-10;null;null;null;null;
2011-04-11;null;null;null;null;
2011-04-12;null;null;null;null;
2011-04-13;null;null;null;null;
2011-04-14;null;null;null;null;
2011-04-15;null;null;null;null;
2011-04-16;null;null;null;null;
2011-04-17;null;null;null;null;
2011-04-18;null;null;null;null;
2011-04-19;null;null;null;null;
2011-04-20;null;null;null;null;
2011-04-21;null;null;null;null;
2011-04-22;null;null;null;null;
2011-04-23;null;null;null;null;
2011-04-24;null;null;null;null;
2011-04-25;null;null;null;null;
2011-04-26;null;null;null;null;
2011-04-27;null;null;null;null;
2011-04-28;null;null;null;null;
2011-04-29;null;null;null;null;
2011-04-30;null;null;null;null;
2011-05-01;null;null;null;null;
2011-05-02;null;null;null;null;
2011-05-03;null;null;null;null;
