Nome: JARDIM
Codigo Estacao: A758
Latitude: -21.4786111
Longitude: -56.13777777
Altitude: 252.47
Situacao: Pane
Data Inicial: 2011-08-03
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-08-03;null;null;null;null;
2011-08-04;null;null;null;null;
2011-08-05;null;18.6;42.9;2.3;
2011-08-06;0;null;65.1;null;
2011-08-07;null;null;null;null;
2011-08-08;null;null;38.7;null;
2011-08-09;0;27;56.7;1.3;
2011-08-10;0;25.7;65.3;1;
2011-08-11;0;26.8;54.8;1.8;
2011-08-12;0;27.5;48.7;2.1;
2011-08-13;0;26.7;50.1;1.8;
2011-08-14;0;25.8;52.5;1.4;
2011-08-15;0;26;53.5;2.3;
2011-08-16;0;27.2;30.5;2.9;
2011-08-17;0;23.8;63.7;1.2;
2011-08-18;9.6;26.5;54.5;2.6;
2011-08-19;0;23.9;70.8;3.1;
2011-08-20;3;12.8;64.1;2.9;
2011-08-21;0;12.5;54.5;1.9;
2011-08-22;0;11.4;72.5;1.9;
2011-08-23;0;13.4;72.2;1.7;
2011-08-24;0;18.8;62.6;1.7;
2011-08-25;0;23.8;58.1;1.3;
2011-08-26;0;26;56;1.3;
2011-08-27;0;26.2;51.5;2.3;
2011-08-28;0;28.5;46.8;2.8;
2011-08-29;0;29.4;49.4;2.9;
2011-08-30;0;27.4;56.6;1.7;
2011-08-31;0;22.6;41.5;1.9;
2011-09-01;0;19;43.6;1.4;
2011-09-02;0;21.4;43.1;1.6;
2011-09-03;0;25.4;29.1;2.4;
2011-09-04;0;29.1;32.3;3.2;
2011-09-05;0;27.6;54.5;1.4;
2011-09-06;.8;23.6;63;1.7;
2011-09-07;0;24.8;63.8;1.5;
2011-09-08;0;22.8;72.1;1.9;
2011-09-09;18.2;16.8;85.8;2.2;
2011-09-10;.2;18.4;83.3;1.3;
2011-09-11;0;23.1;59.9;1;
2011-09-12;0;21.4;53;1;
2011-09-13;0;22.9;53.5;.9;
2011-09-14;0;25.4;44.1;1.2;
2011-09-15;0;25.4;49.1;2.3;
2011-09-16;0;27.3;50.5;2.2;
2011-09-17;0;28.8;42.8;2.4;
2011-09-18;1;23.2;74.5;1.8;
2011-09-19;0;25.9;61;1.7;
2011-09-20;.2;21.5;79.6;2.5;
2011-09-21;.2;23.1;57.9;1.1;
2011-09-22;0;25.4;51.1;1.4;
2011-09-23;30.6;22.7;80.9;1.3;
2011-09-24;28;22.4;66.7;1.3;
2011-09-25;0;21.8;61;1.4;
2011-09-26;0;24.3;50;1.5;
2011-09-27;0;25.1;50.4;.9;
2011-09-28;0;26;54.4;1.3;
2011-09-29;0;27.2;55;1.8;
2011-09-30;0;28.4;56.7;1.5;
2011-10-01;0;27.1;56;2.7;
2011-10-02;24.2;23.4;75.1;1.7;
2011-10-03;0;24.6;61.2;1;
2011-10-04;0;25.5;52.2;1.9;
2011-10-05;0;26.2;59;1.3;
2011-10-06;0;26.9;59.7;2.2;
2011-10-07;0;28.4;56.6;2.7;
2011-10-08;0;29.2;57.4;2.6;
2011-10-09;.2;30.1;56.3;2.6;
2011-10-10;1.2;25.2;81.1;1.5;
2011-10-11;11;26.6;78;1.1;
2011-10-12;0;28.1;72;2.4;
2011-10-13;0;28.5;66.5;2.9;
2011-10-14;2.2;23.9;88.8;1.2;
2011-10-15;2;22.7;89;1.7;
2011-10-16;3.8;23.9;66.6;1.9;
2011-10-17;0;24.4;60.8;.9;
2011-10-18;0;25.3;49;1.5;
2011-10-19;0;24.5;45.2;1.9;
2011-10-20;0;24.9;46.4;1.3;
2011-10-21;0;25.5;45.6;2.1;
2011-10-22;0;26.3;51;2.3;
2011-10-23;0;27.1;58;2.1;
2011-10-24;0;28.4;55.6;2.6;
2011-10-25;5.2;26.4;66.4;1.5;
2011-10-26;0;24.9;58;1.5;
2011-10-27;0;26.3;55;1.1;
2011-10-28;0;28.7;57.3;1.7;
2011-10-29;0;31;52.4;2.7;
2011-10-30;21.8;23.5;81.6;1.7;
2011-10-31;.2;23.7;60.5;1.2;
2011-11-01;0;23.4;55;2;
2011-11-02;0;23.6;45.2;2.3;
2011-11-03;0;25;47.8;2;
2011-11-04;0;27.9;46.1;2;
2011-11-05;0;26.9;60.7;2.3;
2011-11-06;0;24.3;69.8;1.7;
2011-11-07;0;25.3;70;1.8;
2011-11-08;0;27.2;63.3;2;
2011-11-09;0;28.6;54.6;3.2;
2011-11-10;0;26.9;64;2.7;
2011-11-11;0;25.6;72.7;1.4;
2011-11-12;2.8;28.4;62.9;1.7;
2011-11-13;0;27.7;64.8;3.1;
2011-11-14;96.8;21;90.3;1.7;
2011-11-15;12.2;22.9;73.3;2.1;
2011-11-16;0;23.8;63.2;1.2;
2011-11-17;0;25.3;60.3;1.1;
2011-11-18;0;27.1;53.7;1.3;
2011-11-19;0;27.5;47;2;
2011-11-20;0;28.1;45.8;2.3;
2011-11-21;0;27.4;66.9;2.6;
2011-11-22;17.8;22.4;71.9;2.4;
2011-11-23;0;23.8;66.7;1.3;
2011-11-24;0;26;59.9;1.4;
2011-11-25;0;27;57.8;1.1;
2011-11-26;0;29.5;50.1;1;
2011-11-27;0;29.6;48.6;1.4;
2011-11-28;0;30.5;48.8;1.6;
2011-11-29;0;29.3;49.9;1.2;
2011-11-30;0;28.2;59.9;1.3;
2011-12-01;.6;26.9;59.3;1.7;
2011-12-02;0;25.8;45.1;1.1;
2011-12-03;0;26.8;44;1.1;
2011-12-04;0;28.7;45.4;1.5;
2011-12-05;1.8;25.7;67.1;2.1;
2011-12-06;7;24.3;80.4;1.8;
2011-12-07;.2;27.2;68.1;1.3;
2011-12-08;0;27.5;69.1;1.7;
2011-12-09;.6;26;75;1.3;
2011-12-10;0;28.8;60.4;1.1;
2011-12-11;0;28.7;57.9;1.5;
2011-12-12;0;27.4;67.7;1.5;
2011-12-13;0;26.9;70.8;1.4;
2011-12-14;11;25.9;55.9;1.7;
2011-12-15;0;24;50.1;1.5;
2011-12-16;0;24.9;50.1;1.3;
2011-12-17;0;25.8;51.6;1.5;
2011-12-18;0;27.2;51.5;1.1;
