Nome: BATAGUASSU
Codigo Estacao: A759
Latitude: -21.75
Longitude: -52.47138888
Altitude: 392.13
Situacao: Operante
Data Inicial: 2013-03-20
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-03-20;null;null;null;null;
2013-03-21;null;null;null;null;
2013-03-22;null;null;null;null;
2013-03-23;null;null;null;null;
2013-03-24;null;null;null;null;
2013-03-25;null;null;null;null;
2013-03-26;null;null;null;null;
2013-03-27;null;null;null;null;
2013-03-28;null;null;null;null;
2013-03-29;null;null;null;null;
2013-03-30;null;null;null;null;
2013-03-31;null;null;null;null;
2013-04-01;null;null;null;null;
2013-04-02;null;null;null;null;
2013-04-03;null;null;null;null;
2013-04-04;null;null;null;null;
2013-04-05;null;null;null;null;
2013-04-06;null;null;null;null;
2013-04-07;null;null;null;null;
2013-04-08;null;null;null;null;
2013-04-09;null;null;null;null;
2013-04-10;null;23.4;83;3.8;
2013-04-11;0;23.9;81.7;3.8;
2013-04-12;0;24.7;85.1;3.4;
2013-04-13;53.8;22.1;87.5;3.1;
2013-04-14;.8;21.5;78.3;2.5;
2013-04-15;0;21.5;70.2;2.8;
2013-04-16;0;20.6;56.4;2.8;
2013-04-17;0;20.3;66.2;2.3;
2013-04-18;0;20.7;64.6;2.9;
2013-04-19;0;20.5;65.5;2.6;
2013-04-20;0;21.1;65.9;2.8;
2013-04-21;0;21.1;68.7;3.4;
2013-04-22;0;21.2;68.8;4.1;
2013-04-23;0;21.2;66.7;3.5;
2013-04-24;0;21.7;65.5;3.4;
2013-04-25;0;22.8;60.3;3.3;
2013-04-26;0;23.8;64.8;3.1;
2013-04-27;0;23.9;66.1;3.2;
2013-04-28;0;23.5;65.6;3.1;
2013-04-29;0;23.9;66.6;3;
2013-04-30;0;24.7;62.6;2.8;
2013-05-01;0;25.2;61.8;2.7;
2013-05-02;0;25.5;64;3.2;
2013-05-03;0;26.1;60.8;3.3;
2013-05-04;0;26;57.8;2.2;
2013-05-05;0;21.6;75.7;3.1;
2013-05-06;0;20;70.1;2.7;
2013-05-07;0;18.5;52.3;3.3;
2013-05-08;0;17.9;58.5;2.7;
2013-05-09;0;18.9;55.7;2.9;
2013-05-10;0;20.2;50.2;3.3;
2013-05-11;0;21.8;60.2;2.8;
2013-05-12;0;24;57.3;3.6;
2013-05-13;0;24.7;52.2;3.7;
2013-05-14;0;23.9;60.8;3.6;
2013-05-15;0;24.6;65.4;3.2;
2013-05-16;0;24.5;69.9;2.5;
2013-05-17;.2;20.2;86.2;2.7;
2013-05-18;0;21.1;73;4;
2013-05-19;0;23.2;70.8;3.7;
