Nome: COSTA RICA
Codigo Estacao: A760
Latitude: -18.49277777
Longitude: -53.17138888
Altitude: 727.34
Situacao: Pane
Data Inicial: 2012-12-03
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-12-03;null;null;null;null;
2012-12-04;null;null;null;null;
2012-12-05;null;null;null;null;
2012-12-06;null;null;null;null;
2012-12-07;0;25.4;68.6;4.1;
2012-12-08;2.2;26.9;66.3;2.8;
2012-12-09;8.4;25.1;76.6;2.6;
2012-12-10;28.2;23.8;81.8;2.9;
2012-12-11;5.4;24.4;74.6;3.8;
2012-12-12;0;24.4;78.4;2.7;
2012-12-13;.8;22.9;86.8;3.2;
2012-12-14;8.6;23.9;82.3;3.4;
2012-12-15;6.2;23.4;83.8;4.3;
2012-12-16;1.8;23.3;82.1;4.7;
2012-12-17;27.6;21.5;88;4;
2012-12-18;1.4;23.2;80.3;3.3;
2012-12-19;15;24.3;73.7;4.1;
2012-12-20;1.6;24.7;70;3.7;
2012-12-21;0;25.1;73.3;2.7;
2012-12-22;35.4;24.8;77.3;2.9;
2012-12-23;10.6;24.8;77.1;3.2;
2012-12-24;8.6;23.5;79.5;3.3;
2012-12-25;20.4;24.4;72.2;3.8;
2012-12-26;0;25.5;67;3.3;
2012-12-27;0;24.2;76.6;2.1;
2012-12-28;28.6;22.7;79.8;3.1;
2012-12-29;0;23.6;70.9;2.4;
2012-12-30;0;23.7;77.4;2.3;
2012-12-31;5.8;24.5;76.7;2.9;
2013-01-01;.2;23.7;80.8;3.1;
2013-01-02;1.2;23.4;79.2;2.7;
2013-01-03;0;25.5;70.7;2.7;
2013-01-04;34.6;23.8;80.8;3.2;
2013-01-05;.4;24.4;76.2;3;
2013-01-06;0;24;78.9;3.2;
2013-01-07;0;25.7;72.9;3.6;
2013-01-08;0;24.6;81;3;
2013-01-09;12.6;24;82.8;3.8;
2013-01-10;15.6;23.2;84.2;2.9;
2013-01-11;50.2;22.2;86.1;3.6;
2013-01-12;0;22.7;84.1;3.2;
2013-01-13;84.8;22.3;81.4;6;
2013-01-14;.4;21.7;84.6;4.5;
2013-01-15;44.2;22.5;84.1;3;
2013-01-16;7.4;23;78.9;4;
2013-01-17;0;24.6;75.6;3.9;
2013-01-18;9.2;24.4;77.3;2.5;
2013-01-19;.8;24.1;78.9;2.4;
2013-01-20;0;24.2;78.5;2.8;
2013-01-21;9.8;23.2;84.4;2.1;
2013-01-22;107.6;22.8;85;2.9;
2013-01-23;53.2;24.4;79.2;2.6;
2013-01-24;5.6;24.2;80.4;2.9;
2013-01-25;.4;24.1;83.9;3.5;
2013-01-26;3.8;22.9;87.8;2.4;
2013-01-27;0;24.1;81.9;2;
2013-01-28;5;25.6;76.3;2.6;
2013-01-29;0;25.3;70.7;2.5;
2013-01-30;0;25;79.3;3.4;
2013-01-31;37.4;22.6;89.1;4.1;
2013-02-01;4.6;23.7;78.8;4.9;
2013-02-02;.6;24.3;75.8;4.2;
2013-02-03;1.2;25;75.1;4.2;
2013-02-04;18.2;23.6;81.1;3.9;
2013-02-05;3.8;24.2;77.5;2.5;
2013-02-06;0;23.8;77.8;3.4;
2013-02-07;0;21.3;87;3.3;
2013-02-08;110.6;19.7;94.3;2.1;
2013-02-09;32.8;20.2;91.7;3.8;
2013-02-10;6.8;22;81.9;3.9;
2013-02-11;.6;23.6;75;2.7;
2013-02-12;37.8;24.2;76.5;2.7;
2013-02-13;0;23.8;82.4;2;
2013-02-14;10.8;26;68.3;2.8;
2013-02-15;0;25;74.2;2.3;
2013-02-16;0;24.1;74.9;2.7;
2013-02-17;1.8;26.1;67.3;2.8;
2013-02-18;.4;24;77;3.6;
2013-02-19;1.8;24.9;72;2.6;
2013-02-20;23.6;23.1;76.8;3;
2013-02-21;0;22.8;80.6;2.6;
2013-02-22;14;22.7;81;2.2;
2013-02-23;12.2;21.4;84.3;3.6;
2013-02-24;15.8;23;75.5;3.9;
2013-02-25;.6;22.5;79.8;4.2;
2013-02-26;2.2;23.5;78.9;2.9;
2013-02-27;0;24.9;76.3;2.9;
2013-02-28;1.6;23.6;79.9;3.3;
2013-03-01;.6;23;81.4;3.8;
2013-03-02;15;24.7;76.2;3.6;
2013-03-03;1.4;25.7;72;3;
2013-03-04;0;24.8;75.7;2.9;
2013-03-05;32;24.6;77.1;3.7;
2013-03-06;24.2;25.1;74.7;2.6;
2013-03-07;0;24.1;81.2;2.6;
2013-03-08;2.2;24.2;78.2;2.7;
2013-03-09;1.8;25;74.5;3.2;
2013-03-10;0;25.5;72.3;3.9;
2013-03-11;0;25.1;75.2;3.4;
2013-03-12;0;23.7;82.4;3.3;
2013-03-13;4;25.2;76.9;3.5;
2013-03-14;2.8;24.4;81.7;3.1;
2013-03-15;1.2;26;71.2;2.6;
2013-03-16;1.2;23.4;86;2.4;
2013-03-17;9.2;22.6;87;2;
2013-03-18;14.6;21.9;87.9;4;
2013-03-19;50.6;21.6;87;3.9;
2013-03-20;3.2;23.1;83.9;3.3;
2013-03-21;4.8;23.8;81.9;2.9;
2013-03-22;1.2;23.4;81.4;2.7;
2013-03-23;24.6;23.9;77.5;2.6;
2013-03-24;0;23;83.4;2.4;
2013-03-25;13.8;22.3;82.4;3.1;
2013-03-26;.2;22.8;82.1;2.5;
2013-03-27;0;null;77.8;2.3;
2013-03-28;null;null;null;null;
2013-03-29;0;23.5;67;3.1;
2013-03-30;0;25;63.7;3.8;
2013-03-31;7.4;24.8;75.3;3.9;
2013-04-01;0;24.9;69.5;4.1;
2013-04-02;0;23.8;75.3;3;
2013-04-03;0;22.8;82.7;2.7;
2013-04-04;9.6;22.2;84.5;2.9;
2013-04-05;0;23.4;79.5;3.3;
2013-04-06;1;23.1;82.8;3.6;
2013-04-07;1.8;22.5;87;3.4;
2013-04-08;12.6;22.9;85;2.5;
2013-04-09;5.4;22.7;86.9;2.5;
2013-04-10;7.2;22.9;83.8;2.7;
2013-04-11;0;23.5;83.1;3.7;
2013-04-12;.4;22.6;88;4;
2013-04-13;14.6;21;92.7;2.8;
2013-04-14;4;21.3;87.3;2.1;
2013-04-15;0;22;82;2.2;
2013-04-16;0;21.5;74.9;2.3;
2013-04-17;0;19.7;58.8;2.5;
2013-04-18;0;19.9;62.2;2.7;
2013-04-19;0;20.1;63.3;2.4;
2013-04-20;0;21.1;63.9;2.7;
2013-04-21;0;22.5;64.3;3;
2013-04-22;0;21.4;69;3.4;
2013-04-23;0;20.5;65.8;2.7;
2013-04-24;0;20.9;69.1;2.8;
2013-04-25;0;22.2;67;2.9;
2013-04-26;0;23.1;70.8;2.2;
2013-04-27;0;22.1;72.9;3;
2013-04-28;0;22.9;70.3;2.9;
2013-04-29;0;23.2;64;3.1;
2013-04-30;0;22.5;59.4;3.5;
2013-05-01;0;23.6;58.9;3.5;
2013-05-02;0;23.7;62.2;3.8;
2013-05-03;0;23.7;60.9;3.4;
2013-05-04;0;23.7;56.8;2.3;
2013-05-05;0;22.3;59.4;3.4;
2013-05-06;0;19.6;77.8;2.7;
2013-05-07;0;19.1;66.8;2.7;
2013-05-08;0;17.7;52;3.2;
2013-05-09;0;18.2;52.5;3.1;
2013-05-10;0;19.8;48.8;3.6;
2013-05-11;0;22;54.7;3.7;
2013-05-12;0;23.3;60.8;3.7;
2013-05-13;0;23;58.9;4;
2013-05-14;0;23.1;53.3;4.1;
2013-05-15;0;23.4;63.7;3.5;
2013-05-16;0;23.2;69.1;2;
2013-05-17;0;22.6;77.3;2.8;
2013-05-18;0;23.5;69.9;3.1;
2013-05-19;0;23.9;59.2;3.3;
2013-05-20;0;23.4;57.2;3.2;
2013-05-21;0;22.5;61.7;3.1;
2013-05-22;0;22.8;66.1;2.5;
2013-05-23;0;22.6;70;1.8;
2013-05-24;0;20.6;83.6;1.9;
2013-05-25;0;19.7;77.3;2.3;
2013-05-26;0;20.2;69;3.2;
2013-05-27;0;23.2;62.8;4;
2013-05-28;0;22.3;70.9;5.4;
2013-05-29;.6;22.2;80.3;4.8;
2013-05-30;9.4;20.8;78.3;2.9;
2013-05-31;0;21.9;75.8;2.7;
2013-06-01;0;21.8;76.4;3.9;
2013-06-02;0;19.4;87.9;3.2;
2013-06-03;10;19.2;76.9;2.6;
2013-06-04;.2;19.6;72.8;3;
2013-06-05;0;20.3;70.7;3.2;
2013-06-06;0;22;63;3;
2013-06-07;0;21.9;63.1;2.7;
2013-06-08;0;22.1;63.5;3.2;
2013-06-09;0;22.5;62.2;3.8;
2013-06-10;6.2;22.3;72.5;2.9;
2013-06-11;0;21.1;76.8;2.7;
2013-06-12;10.6;21.5;76.2;2.4;
2013-06-13;0;21.9;69.8;3.1;
2013-06-14;0;22.2;64;3.3;
2013-06-15;0;22;62.2;2.8;
2013-06-16;0;22;65.3;4.9;
2013-06-17;0;20.8;78.3;2.4;
2013-06-18;0;22.8;69.1;3.8;
2013-06-19;0;23.1;63.2;4;
2013-06-20;0;23;67.9;2.4;
2013-06-21;0;21.9;77.7;3.8;
2013-06-22;0;20.3;83.9;1.9;
2013-06-23;0;22.4;72.4;2.8;
2013-06-24;0;23;70.6;3.6;
2013-06-25;1.4;null;80.1;2.8;
2013-06-26;null;20.3;88.1;3.3;
2013-06-27;20;19.8;83.1;3.7;
2013-06-28;0;22.4;74.7;3.4;
2013-06-29;0;23.4;64.5;3.4;
2013-06-30;0;22.7;66.6;2.8;
2013-07-01;0;20.7;77.2;3.4;
2013-07-02;2.2;19.7;78.8;3.6;
2013-07-03;0;22.9;61.4;4.1;
2013-07-04;0;21.9;60.8;3.9;
2013-07-05;0;21.6;62;3.9;
2013-07-06;0;21.6;59.8;3.6;
2013-07-07;0;21.5;61.5;3.1;
2013-07-08;0;22;53.1;3.3;
2013-07-09;0;20.7;51.3;3.5;
2013-07-10;0;20.9;51.6;3.4;
2013-07-11;0;21;51.2;4.1;
2013-07-12;0;20;49.2;3.4;
2013-07-13;0;20;49.5;3.5;
2013-07-14;0;21.2;48.3;2.2;
2013-07-15;0;21.7;53.2;2.9;
2013-07-16;0;20.8;60.5;2.8;
2013-07-17;0;22.1;51.5;3.3;
2013-07-18;0;22.4;50.8;4.5;
2013-07-19;0;22.7;64.2;4.3;
2013-07-20;14.6;22.7;72.6;4.2;
2013-07-21;.2;23.4;66.4;4.6;
2013-07-22;.8;16.4;91.7;2.3;
2013-07-23;.6;9.1;76.5;4.3;
2013-07-24;0;9.5;58.9;3.7;
2013-07-25;0;11;51.1;3;
2013-07-26;0;15.7;49;4.2;
2013-07-27;0;19.1;43.1;3.9;
2013-07-28;0;18.9;44.3;3.1;
2013-07-29;0;18.5;40.5;3;
2013-07-30;0;20.4;37.7;3.5;
2013-07-31;0;22.6;37.2;3.8;
2013-08-01;0;23.2;41.9;4.1;
2013-08-02;0;23.7;40.5;3.6;
2013-08-03;0;23.3;36.9;3.9;
2013-08-04;0;23.7;36.5;3.4;
2013-08-05;0;23.3;40;3.9;
2013-08-06;0;23.4;35.6;3.8;
2013-08-07;0;23.3;36.8;4.5;
2013-08-08;0;23.5;36.7;4.5;
2013-08-09;0;24.1;37.8;4.5;
2013-08-10;.2;15;81;3.2;
2013-08-11;0;15.4;62.5;2.8;
2013-08-12;0;20.7;44.3;4.1;
2013-08-13;0;23.5;40.9;4.1;
2013-08-14;0;17.4;49.8;4.5;
2013-08-15;0;13.3;45.4;4.2;
2013-08-16;0;18.2;39;3.4;
2013-08-17;0;20.4;37.7;3;
2013-08-18;0;21.5;39.3;3.8;
2013-08-19;0;22.6;42.7;3.6;
2013-08-20;0;23.6;36.3;3.7;
2013-08-21;0;22.8;36.6;3.9;
2013-08-22;0;23.8;35.6;4;
2013-08-23;0;25.4;31.1;4.3;
2013-08-24;0;25.4;34.3;3.5;
2013-08-25;0;23.3;52.8;3.1;
2013-08-26;0;14.4;71.2;4.1;
2013-08-27;0;12.5;61.2;3.4;
2013-08-28;0;13.8;46.5;3.6;
2013-08-29;0;18.9;33.3;3.3;
2013-08-30;0;24.2;30.8;4.1;
2013-08-31;0;26;43;3.3;
2013-09-01;0;24.4;54;4.9;
2013-09-02;1;23.8;52.2;4.3;
2013-09-03;14.8;20;78.3;3.8;
2013-09-04;2;21.3;72.4;3.1;
2013-09-05;0;23.3;51.3;4.3;
2013-09-06;0;25.2;45.6;4;
