Nome: SONORA
Codigo Estacao: A761
Latitude: -17.63527777
Longitude: -54.76055555
Altitude: 495.25
Situacao: Operante
Data Inicial: 2012-11-29
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-11-29;null;null;null;null;
2012-11-30;null;null;null;null;
2012-12-01;null;null;null;null;
2012-12-02;null;null;null;null;
2012-12-03;null;null;62.1;null;
2012-12-04;0;26.2;73.7;4.5;
2012-12-05;0;25.9;72.1;3.8;
2012-12-06;0;26.1;70.5;3.9;
2012-12-07;0;26.5;71.6;4.3;
2012-12-08;.4;28.3;68.9;3.1;
2012-12-09;3;26.6;76.3;2.5;
2012-12-10;0;27.4;72.3;3.3;
2012-12-11;0;25.4;74.6;4;
2012-12-12;.4;26;78.3;3.8;
2012-12-13;1.4;25.4;80.5;4.4;
2012-12-14;0;24.8;81.7;4;
2012-12-15;0;23.9;85.2;3.4;
2012-12-16;15.2;24.4;84.1;4.5;
2012-12-17;4.2;22.9;89.3;2.9;
2012-12-18;1.2;25.6;75.3;3.5;
2012-12-19;.2;26.7;72.4;3.2;
2012-12-20;0;27.7;68.5;3.2;
2012-12-21;0;27.6;65.8;2.3;
2012-12-22;64.8;26;74.1;3.1;
2012-12-23;21;26.2;75.7;4;
2012-12-24;4.2;25.2;78.9;3.1;
2012-12-25;.2;25.6;73.5;3.8;
2012-12-26;0;26.7;69.4;3;
2012-12-27;0;26.2;72.9;2.3;
2012-12-28;0;23.4;80.9;2.6;
2012-12-29;14.2;24.1;78.6;2.2;
2012-12-30;0;25.5;77.4;2.5;
2012-12-31;.2;25;80.1;3;
2013-01-01;.6;25.4;79.8;3;
2013-01-02;1;24.2;82.8;3.1;
2013-01-03;0;26.4;73.9;3;
2013-01-04;0;27;65.8;3.9;
2013-01-05;2;25.9;72.1;3.4;
2013-01-06;0;26.9;71.7;3.5;
2013-01-07;0;27.1;72.8;3.6;
2013-01-08;0;26.8;74.5;3.7;
2013-01-09;0;25.8;82.2;3.4;
2013-01-10;35.6;24.5;87.3;2.9;
2013-01-11;1.2;24.4;84.7;2.8;
2013-01-12;0;25.4;77.7;4.1;
2013-01-13;0;24.2;79.3;5;
2013-01-14;.8;22.7;88.1;4.5;
2013-01-15;14.2;23.8;83.4;3.6;
2013-01-16;.2;24.2;84.6;3.1;
2013-01-17;3.4;25.9;78.8;3.4;
2013-01-18;0;25.6;81.3;2.4;
2013-01-19;3.8;25.4;83.9;2.3;
2013-01-20;42.4;24.3;87.9;1.9;
2013-01-21;.2;24.3;87.9;2.3;
2013-01-22;5.4;23.8;89.5;1.8;
2013-01-23;18.6;25.3;83;2.5;
2013-01-24;0;24.8;84.8;3;
2013-01-25;0;24.4;89.9;3.1;
2013-01-26;48.2;23.3;92.4;2;
