Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.23527777
Longitude: -49.965
Altitude: 660
Situacao: Operante
Data Inicial: 2017-05-14
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-14;null;null;null;null;
2017-05-15;null;null;null;null;
2017-05-16;null;null;null;null;
2017-05-17;null;19.6;74.7;2;
2017-05-18;0;18.3;87.9;2.8;
2017-05-19;38.4;18.1;94.5;2.6;
2017-05-20;65;18.5;89.3;2.2;
2017-05-21;52.6;19.5;93.3;2.1;
2017-05-22;16.4;20.2;86.5;1.5;
2017-05-23;0;19.3;78.3;2.3;
2017-05-24;0;21.4;75;1.5;
2017-05-25;0;23.4;73.1;1.7;
2017-05-26;0;24.4;67;1.7;
2017-05-27;0;24;71.2;1.2;
2017-05-28;0;21.3;79.9;1.9;
2017-05-29;0;21.7;74.2;1.3;
2017-05-30;0;21.7;72.4;1.5;
2017-05-31;0;21.4;71.1;1.9;
2017-06-01;0;16.8;79.5;2.4;
2017-06-02;0;14.5;74.7;.9;
2017-06-03;0;17.6;68;1.7;
2017-06-04;0;22.8;60.3;1.9;
2017-06-05;0;22.7;77;1.7;
2017-06-06;1.2;23.3;76.3;1.6;
2017-06-07;0;24.2;68.7;1.7;
2017-06-08;0;24.4;57.2;2.6;
2017-06-09;0;15.8;79.5;2.1;
2017-06-10;0;11.4;63.2;.9;
2017-06-11;0;14.8;48.7;1;
2017-06-12;0;16;66.1;1.2;
2017-06-13;3;16.2;91.6;1.4;
2017-06-14;20.4;17;87.4;1.5;
2017-06-15;0;17.8;76.7;2.6;
2017-06-16;0;19.3;68;2.1;
2017-06-17;0;21.5;54.5;2;
2017-06-18;0;22.2;51.1;1.9;
2017-06-19;0;22.6;null;1.7;
2017-06-20;0;17.9;null;2.2;
2017-06-21;0;17.4;75.6;2.5;
2017-06-22;1.8;18.7;73.7;2.7;
2017-06-23;0;19.7;65.8;2.7;
2017-06-24;0;19;67.6;2.3;
2017-06-25;0;18.5;69;2.3;
2017-06-26;0;17.8;67.4;2.2;
2017-06-27;0;19.2;58.4;2.9;
2017-06-28;0;20;56.1;1.6;
2017-06-29;0;21.1;59;1.7;
2017-06-30;0;20.4;57.3;1.4;
2017-07-01;0;20;68.5;.9;
2017-07-02;0;16;73.5;2.6;
2017-07-03;0;14.3;68.6;3.5;
2017-07-04;0;14;65;3.2;
2017-07-05;0;15.7;57.7;2.6;
2017-07-06;0;17.1;58.3;2.2;
2017-07-07;0;18.1;59.7;2.4;
2017-07-08;0;18.8;57.4;3;
2017-07-09;0;19;57.5;2.3;
2017-07-10;0;20.2;54.3;2.3;
2017-07-11;0;20.8;55.3;1.5;
2017-07-12;0;20.5;55.3;1.8;
2017-07-13;0;19.5;61;2.1;
2017-07-14;0;20.5;54;2.3;
2017-07-15;0;20.6;50.7;3.2;
2017-07-16;0;21.3;47.4;2.7;
2017-07-17;0;21.5;46.8;2.6;
2017-07-18;0;9.4;88.7;2;
2017-07-19;.2;11.7;75;1.9;
2017-07-20;0;15.6;73.8;1.7;
2017-07-21;0;20.2;54.4;1.5;
2017-07-22;0;20.2;42;1.2;
2017-07-23;0;20.4;49.8;2.3;
2017-07-24;0;21.2;38.8;2.8;
2017-07-25;0;21.3;44.6;1.8;
2017-07-26;0;21.1;48.1;1.7;
2017-07-27;0;19.7;53.8;2;
2017-07-28;0;18.9;58.3;2.3;
2017-07-29;0;19.9;48.2;2.8;
2017-07-30;0;20.4;52;2.4;
2017-07-31;0;19.9;45.9;2.2;
2017-08-01;0;18.9;49.5;1.9;
2017-08-02;0;21.1;43.4;2.1;
2017-08-03;0;17.9;62.4;3.2;
2017-08-04;0;15.8;75.8;1.9;
2017-08-05;0;16.1;69;3;
2017-08-06;0;16.5;63.1;2.4;
2017-08-07;0;19.1;57.1;2;
2017-08-08;0;23.4;44.8;2;
2017-08-09;0;null;null;null;
2017-08-10;null;null;null;null;
2017-08-11;null;null;45.2;null;
2017-08-12;0;23.5;46.9;3;
2017-08-13;0;24.2;48.5;3.7;
2017-08-14;10;19.8;73.3;1.2;
2017-08-15;0;15.8;86.3;1.8;
2017-08-16;13.6;16.5;92.3;1.6;
2017-08-17;10.8;16.7;93.3;2;
2017-08-18;3;17.1;92.5;2.1;
2017-08-19;8.4;18.2;88.4;2.5;
2017-08-20;.2;18.9;84.5;2.2;
2017-08-21;52.4;15.8;81;3;
2017-08-22;0;16.3;71.7;3.3;
2017-08-23;0;20.6;66.1;2.9;
2017-08-24;0;22.6;58.4;2.3;
2017-08-25;0;20.5;60.9;2.2;
2017-08-26;0;23.1;49.8;1.8;
2017-08-27;0;24;42.7;1.7;
2017-08-28;0;23.9;41.9;1.9;
2017-08-29;0;23.8;44.5;2;
2017-08-30;0;26;33;1.4;
2017-08-31;0;24;47.3;2.4;
2017-09-01;0;20.6;67.6;3.4;
2017-09-02;0;20.8;67.7;2.7;
2017-09-03;0;21.7;56.6;2.5;
2017-09-04;0;22.9;37.5;2.6;
2017-09-05;0;24;34;2.1;
2017-09-06;0;24.2;32.9;1.9;
2017-09-07;0;23.8;40.1;2;
2017-09-08;0;26;31.9;1.9;
2017-09-09;0;26.5;30.2;2.5;
2017-09-10;0;25.9;30.4;2.7;
2017-09-11;0;26.8;35;2.7;
2017-09-12;0;27.6;31.7;2.4;
2017-09-13;0;25.8;38.3;2.8;
2017-09-14;0;26.9;32.8;2.8;
2017-09-15;0;27.9;null;2.2;
2017-09-16;0;26;34.2;2.1;
2017-09-17;0;27;26.8;2;
2017-09-18;0;25.2;40.7;1.5;
2017-09-19;0;25.6;45.7;2.1;
2017-09-20;0;25.7;38.5;2.3;
2017-09-21;0;24.6;48.7;2.2;
2017-09-22;0;26.5;34.4;2.3;
2017-09-23;0;26.7;36.5;2.1;
2017-09-24;0;23.3;59.1;2.5;
2017-09-25;0;22.6;57.8;2.6;
2017-09-26;0;22.7;54.8;2;
2017-09-27;0;25.4;45.4;1.8;
2017-09-28;0;26.5;44.1;1.8;
2017-09-29;.2;18.7;81.8;2.5;
2017-09-30;8.6;17.8;93.5;1.9;
2017-10-01;26.6;21.2;74.9;2.4;
2017-10-02;35.2;18.4;83.1;2.3;
2017-10-03;12.2;17.7;71.5;1.5;
2017-10-04;0;20.2;45.8;2.2;
2017-10-05;0;24.7;55.8;2.3;
2017-10-06;0;27.8;49.2;2.8;
2017-10-07;2.4;21.1;79.2;2.4;
2017-10-08;17.6;20.5;81.7;2.2;
2017-10-09;.2;23.7;67.2;1.6;
2017-10-10;.4;27.8;50.7;1.9;
2017-10-11;0;28.9;48.6;2.6;
2017-10-12;0;29.5;41.3;2.6;
2017-10-13;0;29.3;45.7;2.2;
2017-10-14;0;29;43.4;1.8;
2017-10-15;0;23.1;69.2;2.9;
2017-10-16;0;21.8;68.8;3.1;
2017-10-17;0;23.7;67.5;2.7;
2017-10-18;0;27.5;50.7;3;
2017-10-19;0;28.1;40.1;2.8;
2017-10-20;0;23.4;67.3;1.5;
2017-10-21;1.4;22.7;69.7;2.1;
2017-10-22;11.4;19.1;92.1;1.4;
2017-10-23;3.6;19.8;85.9;1.6;
2017-10-24;0;20.5;73.8;2.3;
2017-10-25;0;23;67.8;2.3;
2017-10-26;4.8;20.6;78.8;2.6;
2017-10-27;3.8;20.7;78.8;2.4;
2017-10-28;31.6;22.2;79.8;2.4;
2017-10-29;1;24.1;73.6;2;
2017-10-30;29.4;19.1;90.5;2.3;
2017-10-31;22.4;20.3;84.2;1.1;
2017-11-01;0;20.8;66.3;2.8;
2017-11-02;0;21.2;64.3;2.9;
2017-11-03;0;23.9;67.4;2.7;
2017-11-04;22.4;21.5;87.6;2.7;
2017-11-05;39;20.5;90.8;1.5;
2017-11-06;.4;20.3;83.5;2.2;
2017-11-07;0;20.9;73.9;2.7;
2017-11-08;0;20;82.4;2.5;
2017-11-09;5.8;22.9;79.3;1.9;
2017-11-10;0;24.5;74.1;2.5;
2017-11-11;1.8;22.3;77.6;1.3;
2017-11-12;.2;22.7;53.7;1.2;
2017-11-13;0;23.5;42.3;1.1;
2017-11-14;0;23.5;36.5;1.8;
2017-11-15;0;25.9;48.8;2.5;
2017-11-16;0;28;51.7;2.5;
2017-11-17;18.4;23.5;73.3;2.3;
2017-11-18;22.2;22.9;82.5;2.2;
2017-11-19;19.6;23;80.9;1.1;
2017-11-20;.2;22.9;81.3;1.9;
2017-11-21;5;23.2;83.5;2;
2017-11-22;16.8;21.3;86.8;1.2;
2017-11-23;0;21.9;74.6;1.9;
2017-11-24;0;24.4;64.8;1.8;
2017-11-25;0;25.7;58.8;2.6;
2017-11-26;7.4;22;87.5;2.8;
2017-11-27;17.8;21.3;94;2.1;
2017-11-28;40.8;22.3;82.6;1.4;
2017-11-29;0;22.7;68.8;2.2;
2017-11-30;0;22.2;71.4;2.1;
2017-12-01;7.8;20.5;85;2.1;
2017-12-02;0;22;76.5;2.5;
2017-12-03;0;23.6;71.8;1.6;
2017-12-04;0;25.9;65.7;1.5;
2017-12-05;0;26;64.2;1.3;
2017-12-06;1.4;24;80;1.2;
2017-12-07;.2;23.4;83.8;1.5;
2017-12-08;6.6;25.1;80.8;1.2;
2017-12-09;0;24.9;68.9;1.7;
2017-12-10;0;26.4;58.5;1.2;
2017-12-11;0;26.9;47.9;1.3;
2017-12-12;0;23.3;67.1;2.6;
2017-12-13;0;23.4;68.7;2.6;
2017-12-14;0;25.1;67.3;1.9;
2017-12-15;0;26.5;60.4;2.1;
2017-12-16;0;27;58.2;2.2;
2017-12-17;0;27.2;62.3;2.1;
2017-12-18;.8;25.3;71.3;1.9;
2017-12-19;.2;25.7;69.3;2;
2017-12-20;0;23.7;75.6;2.5;
2017-12-21;41.2;22.1;87;1.3;
2017-12-22;.8;22.7;86.4;2;
2017-12-23;3;23.2;83.3;2.1;
2017-12-24;3.4;23.6;82.2;1.7;
2017-12-25;3.8;23.1;88.1;1.2;
2017-12-26;4.6;23.6;85;1.3;
2017-12-27;5.6;24.2;78;1.2;
2017-12-28;1;24.1;81.9;1.5;
2017-12-29;12.6;23.8;79;1.7;
2017-12-30;28;22.1;90.3;2.2;
2017-12-31;11.2;22;91.4;2.3;
2018-01-01;22.6;21.7;94.8;1.9;
2018-01-02;30.4;21.3;93.8;1.7;
2018-01-03;32.6;22.9;86;1.9;
2018-01-04;1.6;24.8;68.8;1.7;
2018-01-05;0;25.4;66.2;2;
2018-01-06;54.6;23.7;79.7;1.7;
2018-01-07;.4;21.9;78.6;2.6;
2018-01-08;.8;20.2;91.8;2.1;
2018-01-09;20.2;20.1;94.7;2.4;
2018-01-10;1.6;22.8;83.4;1.5;
2018-01-11;0;22.4;84.9;1.4;
2018-01-12;24.8;21.6;85.9;1.6;
2018-01-13;8;22.4;83.9;1.3;
2018-01-14;0;23.8;78.4;1.8;
2018-01-15;2.8;22.9;82.5;2;
2018-01-16;15.6;22.5;86.8;1.6;
2018-01-17;.2;24.9;74.6;1.2;
2018-01-18;0;25.2;76.8;1.2;
2018-01-19;11.8;24;78.8;1.2;
