Nome: BERTIOGA
Codigo Estacao: A765
Latitude: -23.84472221
Longitude: -46.14333333
Altitude: 5
Situacao: Operante
Data Inicial: 2017-01-31
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-01-31;null;null;null;null;
2017-02-01;null;null;81.8;null;
2017-02-02;8.4;25.4;83.4;1;
2017-02-03;6.6;27.6;74.3;1.6;
2017-02-04;.6;26.5;81.3;1.4;
2017-02-05;19.6;27.1;79.1;1.3;
2017-02-06;0;26.9;84.2;1.3;
2017-02-07;7.6;25.7;83.6;1.5;
2017-02-08;2;27.3;74;2;
2017-02-09;3.8;26.9;71;2.2;
2017-02-10;0;26.9;73.8;1.7;
2017-02-11;0;27.5;80.3;1.6;
2017-02-12;0;28;79.5;1.5;
2017-02-13;0;28.5;75.1;1.7;
2017-02-14;0;28;76.5;1.4;
2017-02-15;0;27.4;80;1.4;
2017-02-16;0;26.7;82;1.4;
2017-02-17;0;26.2;82.8;1.3;
2017-02-18;0;26.5;80.3;1.4;
2017-02-19;0;26.1;83;1.1;
2017-02-20;0;26.3;84;1.2;
2017-02-21;0;26.3;81.3;1.4;
2017-02-22;0;27.1;78.8;1.4;
2017-02-23;0;27.7;79.9;1.3;
2017-02-24;0;26;82.1;1.7;
2017-02-25;15.2;25.3;80.3;1.1;
2017-02-26;.2;25.3;86.8;1.1;
2017-02-27;5.4;25.3;84.2;1.2;
2017-02-28;0;25.6;82.1;1.5;
2017-03-01;5.4;28.4;77.4;1.5;
2017-03-02;0;26.4;83.5;1.4;
2017-03-03;40.8;26.9;77.7;1.5;
2017-03-04;0;28.8;69.4;1.4;
2017-03-05;0;29.5;67.2;2.7;
2017-03-06;15.4;25.9;88.4;1.1;
2017-03-07;2.4;26.4;86.7;1.4;
2017-03-08;11.6;26.1;85.8;2;
2017-03-09;0;27.1;81.4;1.5;
2017-03-10;0;27.9;81.2;1.3;
2017-03-11;0;27.4;84;1.3;
2017-03-12;0;27;84.7;1.2;
2017-03-13;36.8;24.6;88.9;1.5;
2017-03-14;22.4;23.3;93;1.1;
2017-03-15;9.2;25.4;88.3;1;
2017-03-16;1.6;26;84.5;1.2;
2017-03-17;7.6;24.6;89.3;1.5;
2017-03-18;174;21.8;95.1;1.4;
2017-03-19;113.2;20.4;94.6;1.2;
2017-03-20;28.8;22.7;84;1.2;
2017-03-21;.2;22.7;83.5;1.3;
2017-03-22;0;23.8;81.1;1.3;
2017-03-23;0;23.7;79.6;1.7;
2017-03-24;0;24.2;80;1.3;
2017-03-25;0;24.4;82.1;1.2;
2017-03-26;0;23.8;82.4;1.2;
2017-03-27;0;23.8;83.2;1;
2017-03-28;.2;24.3;83.5;1.4;
2017-03-29;4.6;23.6;80.1;1.6;
2017-03-30;2.6;22.7;83.2;1.4;
2017-03-31;2.4;22.1;81;1.3;
2017-04-01;9.6;22.4;81.8;1.3;
2017-04-02;28;22.8;84.3;1.3;
2017-04-03;.2;23.5;82.3;1.4;
2017-04-04;0;24.1;81.9;1.3;
2017-04-05;0;25.3;83.2;1.2;
2017-04-06;2.2;25.6;84.8;1.4;
2017-04-07;48;24.2;91.3;1.7;
2017-04-08;19.4;25.5;89.8;1.4;
2017-04-09;4.6;25.6;88.7;1.3;
2017-04-10;9.4;25.6;88.5;1.2;
2017-04-11;0;25.5;88.8;1.1;
2017-04-12;24.6;22.7;92.7;1.2;
2017-04-13;46.2;21.1;92.8;1.6;
2017-04-14;4.8;22.4;85.3;.9;
2017-04-15;.2;23;87.4;1.1;
2017-04-16;0;23.7;85;1.2;
2017-04-17;42.4;22.1;93.7;1;
2017-04-18;62;22.4;81.6;1.2;
2017-04-19;.4;21.8;80.5;1.2;
2017-04-20;0;22.5;82.6;1;
2017-04-21;0;23.7;85.6;1.3;
2017-04-22;4.4;22;85.5;1.5;
2017-04-23;19;22.1;81.4;1.6;
2017-04-24;.2;22.5;78.9;1.1;
2017-04-25;0;23.3;83.5;1.2;
2017-04-26;0;25.9;67.6;3;
2017-04-27;7.8;21.8;82.7;1.3;
2017-04-28;2.8;19.5;82.1;1.4;
2017-04-29;.6;19.8;86.9;.9;
2017-04-30;2.8;21.4;84.7;1.2;
2017-05-01;.8;21;84.8;1.1;
2017-05-02;0;21.2;85.1;.9;
2017-05-03;0;20.9;87.5;1;
2017-05-04;0;21.5;87.1;1.1;
2017-05-05;8.8;21.8;88.8;1.2;
2017-05-06;20;21.6;87.6;1;
2017-05-07;4.2;22.2;88.7;1.1;
2017-05-08;2;21.7;86.4;1.2;
2017-05-09;.2;22.5;83.1;1.1;
2017-05-10;0;22.6;84.1;1.2;
2017-05-11;19;21.7;83;1.4;
2017-05-12;1;20.9;82.5;1.1;
2017-05-13;.2;20.8;84.1;1.2;
2017-05-14;.2;26.3;61.6;3.6;
2017-05-15;0;21.5;82.3;1.1;
2017-05-16;0;21;84.3;1.1;
2017-05-17;.2;20.8;84.3;1;
2017-05-18;.2;21.9;79.3;1.5;
2017-05-19;26;19.8;93.8;1;
2017-05-20;15.2;21.5;88.9;.9;
2017-05-21;0;21.1;94.1;.9;
2017-05-22;33.6;21.5;89.7;1.2;
2017-05-23;3.6;20.7;84.6;1;
2017-05-24;.2;20.5;89.4;.9;
2017-05-25;0;20.4;91.8;1;
2017-05-26;0;22.4;87.8;1.2;
2017-05-27;0;22.8;87.5;1.3;
2017-05-28;0;22.2;92;.8;
2017-05-29;.2;21.2;90.6;1;
2017-05-30;.6;20.6;93.8;.9;
2017-05-31;6;20.9;92.1;.9;
2017-06-01;.2;22.6;79.1;2.1;
2017-06-02;0;21.7;61.3;1.9;
2017-06-03;0;20;85.2;1.1;
2017-06-04;0;20.2;87;1.3;
2017-06-05;0;23.2;81.5;1.8;
2017-06-06;45.2;23.6;82;1.5;
2017-06-07;6.2;23.8;81.5;1;
2017-06-08;0;26.6;62.8;2.2;
2017-06-09;1;23.1;77.3;1.7;
2017-06-10;.2;18.1;60;1.5;
2017-06-11;0;16.8;79.2;1.2;
2017-06-12;0;17.8;85;1;
2017-06-13;6;17.9;93.3;1;
2017-06-14;4.8;19.9;88.4;1.3;
2017-06-15;0;20.2;88.4;.9;
2017-06-16;0;19.5;85.7;1;
2017-06-17;.2;21;80;1.2;
2017-06-18;0;22.2;73.6;1.2;
2017-06-19;0;23.7;64;2.4;
2017-06-20;72.8;18.6;95.4;1.2;
2017-06-21;51.2;19.2;92.2;2;
2017-06-22;1.8;20.1;89.2;1;
2017-06-23;0;19.6;86.8;.9;
2017-06-24;.2;20.3;88.6;1.4;
2017-06-25;0;20.6;83.4;1.2;
2017-06-26;0;18.9;86.5;1.1;
2017-06-27;.2;19.2;86.3;1.2;
2017-06-28;.2;19;86.5;1.1;
2017-06-29;.2;19.5;88.4;1.1;
2017-06-30;.2;21.6;78.6;1.1;
2017-07-01;1.6;19.6;89.9;1.1;
2017-07-02;17.6;18.3;82.7;1.5;
2017-07-03;1.4;17.8;78.7;1.5;
2017-07-04;0;17.9;76;1.6;
2017-07-05;0;17.1;81.5;1.1;
2017-07-06;.2;18.1;83.3;1.1;
2017-07-07;0;18.7;85.1;1.1;
2017-07-08;.2;19.1;83.8;1.1;
2017-07-09;0;19.5;84;1.2;
2017-07-10;0;19.6;85.8;1.1;
2017-07-11;.2;19.2;88.8;1;
2017-07-12;0;18.8;87.1;.9;
2017-07-13;0;19.8;84.9;1;
2017-07-14;0;19.7;85.9;1.2;
2017-07-15;.2;20.1;79.3;1.4;
2017-07-16;0;22.4;62.6;1.8;
2017-07-17;0;23.7;57.9;2.3;
2017-07-18;10.8;15.1;92.1;1.9;
2017-07-19;2.4;14.7;84.9;.9;
2017-07-20;0;17.4;85.9;.9;
2017-07-21;0;18.3;89;1;
2017-07-22;0;19.4;85.6;1.1;
2017-07-23;0;19.8;84.4;1.1;
2017-07-24;0;19.5;83.7;1.3;
2017-07-25;.2;21.2;71.5;1.1;
2017-07-26;0;20;79.1;1;
2017-07-27;0;19.3;87.3;1.4;
2017-07-28;.2;19;84.5;1.2;
2017-07-29;.2;19.3;82.8;1.2;
2017-07-30;.2;19.4;87.5;1.1;
2017-07-31;0;19.1;84.1;1.2;
2017-08-01;.2;20.2;69.3;1.2;
2017-08-02;0;23;58.1;1.7;
2017-08-03;0;24.6;50.5;3.2;
2017-08-04;11.4;18.3;86.1;1.9;
2017-08-05;45.8;18.6;80.7;1.4;
2017-08-06;.6;18.5;79.1;1.2;
2017-08-07;.2;17.7;81.2;1.3;
2017-08-08;0;22.6;69.3;1.7;
2017-08-09;0;24.4;65.4;2.3;
2017-08-10;1;18.3;92.2;1;
2017-08-11;4.6;19.2;85.3;1.9;
2017-08-12;0;19.7;83.6;1.4;
2017-08-13;.2;20.2;84.7;1.2;
2017-08-14;0;21.9;78.5;1.3;
2017-08-15;4;18.3;90.1;1;
2017-08-16;9.6;18.5;92.7;.9;
2017-08-17;6.6;18.1;94.3;1.1;
2017-08-18;10.8;18.4;91.5;.9;
2017-08-19;0;19.4;93;1.2;
2017-08-20;2;21.3;81.3;2.9;
2017-08-21;55;16.5;91.3;1.7;
2017-08-22;6.8;17.5;83.8;1.5;
2017-08-23;0;18.4;85;1.2;
2017-08-24;0;19.2;85;1.3;
2017-08-25;.2;18.8;84.8;1.2;
2017-08-26;0;19.3;86.1;1.2;
2017-08-27;0;19.3;85;1.5;
2017-08-28;0;20;82.1;1.3;
2017-08-29;0;20.3;83.4;1.2;
2017-08-30;0;21.2;84.5;1.4;
2017-08-31;2;20;87.6;1.3;
2017-09-01;6.2;20;81.3;3.2;
2017-09-02;0;19.7;80.6;1.4;
2017-09-03;0;18.5;86.4;1.2;
2017-09-04;.2;19.3;85;1.4;
2017-09-05;.2;20.7;80.8;1.5;
2017-09-06;0;21.2;81.8;1.6;
2017-09-07;0;20.6;83.8;1.5;
2017-09-08;.2;19.8;85.5;1.3;
2017-09-09;0;20;87.4;1.4;
2017-09-10;0;20.6;86.2;1.5;
2017-09-11;0;21.4;85.8;1.5;
2017-09-12;.2;21.7;85.8;1.6;
2017-09-13;0;21.5;85.3;1.4;
2017-09-14;0;22.6;80;1.5;
2017-09-15;0;23.5;77.3;1.6;
2017-09-16;0;22.4;84;1.3;
2017-09-17;0;21.1;88.8;1.3;
2017-09-18;0;21.5;89.4;1.1;
2017-09-19;.4;22.1;85.9;1.3;
2017-09-20;.2;21.3;87.5;1;
2017-09-21;0;21.9;85.5;1.5;
2017-09-22;0;22;86.3;1.5;
2017-09-23;0;24;71.6;2;
2017-09-24;0;23.1;80.9;1.7;
2017-09-25;0;22.3;79.9;1.7;
2017-09-26;0;21.2;80.8;1.4;
2017-09-27;0;21.6;83.5;1.5;
2017-09-28;0;21.8;85.2;1.4;
2017-09-29;0;21.6;87.4;1.3;
2017-09-30;10.4;22.6;83.3;1.8;
2017-10-01;13.2;25.2;65.6;2.2;
2017-10-02;0;25.4;67.3;2.7;
2017-10-03;2.8;23.5;66.8;1.8;
2017-10-04;0;21.5;64.7;1.6;
2017-10-05;0;21.3;74.8;1.6;
2017-10-06;0;23.8;82;1.5;
2017-10-07;.8;22.7;86.7;1.9;
2017-10-08;2.8;21.7;91.3;1.1;
2017-10-09;.6;22.5;88.5;1.4;
2017-10-10;0;24;83.9;1.5;
2017-10-11;.2;24.1;84.3;1.7;
2017-10-12;0;23.7;86.8;1.6;
2017-10-13;.2;23.8;85.9;1.3;
2017-10-14;0;24.1;86.1;1.7;
2017-10-15;14;20;91.9;1.4;
2017-10-16;11.4;21.2;83.4;2.1;
2017-10-17;.4;22.8;79.8;1.9;
2017-10-18;0;22.9;85.3;1.5;
2017-10-19;0;27.6;68.6;2.2;
2017-10-20;0;23.6;80.3;1.5;
2017-10-21;1.6;22.8;90;1;
2017-10-22;.2;23.4;83.1;1.2;
2017-10-23;27.4;19.1;92.4;1.7;
2017-10-24;5.4;19.7;85.5;.9;
2017-10-25;0;22.2;83.8;1.3;
2017-10-26;50;23.2;82.5;1.7;
2017-10-27;3.6;22.7;86.1;1.4;
2017-10-28;2.6;28.6;55.4;3.4;
2017-10-29;0;22.7;87.4;1.4;
2017-10-30;1.2;22.2;89;1.1;
2017-10-31;5.2;22.3;88.1;1.5;
2017-11-01;8.2;21.6;75.8;1.8;
2017-11-02;0;21.9;74;2;
2017-11-03;0;22.1;78.1;1.7;
2017-11-04;0;24.8;76.2;1.6;
2017-11-05;25.4;21.7;91;1.6;
2017-11-06;21.8;20.7;87.7;1.4;
2017-11-07;.4;21.3;82.5;2;
2017-11-08;.2;22.4;76.8;1.5;
2017-11-09;18.2;22.1;85.3;1.4;
2017-11-10;0;22.7;87.7;1.6;
2017-11-11;47.8;21.3;90.8;1.6;
2017-11-12;3.8;21.7;69.5;1.7;
2017-11-13;0;21.7;76.1;1.8;
2017-11-14;0;21;74.3;1.7;
2017-11-15;0;22.3;76.7;1.4;
2017-11-16;0;27.1;71.7;2.1;
2017-11-17;17.2;23;86;1.6;
2017-11-18;8.2;25.6;72.1;1.7;
2017-11-19;18.6;22.6;93.1;1.3;
2017-11-20;28.4;21.9;94.5;1.2;
2017-11-21;20;22.6;89.2;1.4;
2017-11-22;20.6;21.6;94.3;1.6;
2017-11-23;23.2;20;90;1.2;
2017-11-24;1;21.7;85.8;1.2;
2017-11-25;0;22;86.4;1.3;
2017-11-26;0;26.6;74;1.8;
2017-11-27;15.4;24.7;85.3;1.4;
2017-11-28;35;22.7;89.4;1.3;
2017-11-29;1.2;23.7;76;2;
2017-11-30;.2;23;77.2;1.8;
2017-12-01;2.4;23;85.4;2;
2017-12-02;3.2;23.1;86.7;3;
2017-12-03;5.2;23.6;86.8;2.2;
2017-12-04;.2;23.8;88.4;1.4;
2017-12-05;0;24.6;87.7;1.4;
2017-12-06;2;24.7;78;2.2;
2017-12-07;0;23.8;82.5;1.3;
2017-12-08;4.6;23.5;90.3;1;
2017-12-09;2;24;88.2;1.3;
2017-12-10;.2;23.9;83.5;1.4;
2017-12-11;0;23.5;83.8;1.9;
2017-12-12;84.6;21.3;89.5;1.2;
2017-12-13;5.2;22.8;80.8;1.3;
2017-12-14;.2;23;82.7;1.2;
2017-12-15;0;23.3;85.4;1.5;
2017-12-16;0;24.7;82.5;1.4;
2017-12-17;0;26;81.3;1.5;
2017-12-18;0;27.1;74.8;2;
2017-12-19;1;25.5;86;1.4;
2017-12-20;.8;25.2;86.6;1.2;
2017-12-21;29.2;23.7;92.7;1;
2017-12-22;4.8;25;88.1;1.2;
2017-12-23;.2;27.6;79.9;1.5;
2017-12-24;0;28.9;73.8;1.7;
2017-12-25;0;25.8;84.6;1.8;
2017-12-26;14.4;24.4;91.4;1.5;
2017-12-27;14.2;25.1;91.3;1.5;
2017-12-28;35.6;24.3;93.7;1.3;
2017-12-29;84.6;24.3;94.1;1;
2017-12-30;11.6;25.2;88.6;1.6;
2017-12-31;4.4;27.1;74.1;2.3;
2018-01-01;5.6;26.6;83;1.7;
2018-01-02;0;29.1;81.1;1.6;
2018-01-03;0;26.4;78.8;1.5;
2018-01-04;16.4;25.2;82.6;2;
2018-01-05;.2;25.3;77;1.7;
2018-01-06;0;25.1;85.6;1.3;
2018-01-07;3.4;22.5;91.1;1.2;
2018-01-08;18.8;23;90.3;1;
2018-01-09;4.4;24;89.2;.9;
2018-01-10;.2;25.8;84.1;1.4;
2018-01-11;0;25.9;85.1;1.4;
2018-01-12;7.2;25.3;82;1.2;
2018-01-13;0;26.9;70;1.6;
2018-01-14;0;27.2;74.1;1.7;
2018-01-15;14.2;29.1;63.9;2.4;
2018-01-16;0;27.8;75.2;1.9;
2018-01-17;5.4;26.2;87.7;1.2;
2018-01-18;4.4;27.7;88.4;1.3;
2018-01-19;0;27.3;80;1.4;
2018-01-20;3;25.7;88.1;1.3;
2018-01-21;3.8;26.4;84.9;1.4;
2018-01-22;.2;27.7;85.8;1.4;
2018-01-23;0;28.3;79.6;2;
2018-01-24;0;28.7;81.6;1.8;
2018-01-25;0;27.4;82.1;1.9;
2018-01-26;114.6;24.9;87.5;2.2;
2018-01-27;5.2;25.1;78.9;2.1;
2018-01-28;.2;25.1;83.5;1.1;
2018-01-29;6.4;25.2;90.8;1.1;
2018-01-30;104.4;22.7;91.5;1.1;
2018-01-31;3.4;24;85;1.7;
2018-02-01;4.2;24.2;84.1;1.7;
2018-02-02;.6;24.7;83.3;1.3;
2018-02-03;44;23.9;87.2;1.4;
2018-02-04;0;23.9;77.6;1.5;
2018-02-05;2.8;24;82.7;1.6;
2018-02-06;26;22.9;88.9;1.7;
2018-02-07;15.2;24.2;83.3;1.6;
2018-02-08;.2;24.8;80.9;1.6;
2018-02-09;0;26.1;83.8;1.5;
2018-02-10;0;25.7;90.4;1.5;
2018-02-11;24;26.9;88.8;1.3;
2018-02-12;.2;26.9;89.2;1.4;
