Nome: SAO SEBASTIAO
Codigo Estacao: A767
Latitude: -23.81083333
Longitude: -45.4025
Altitude: 24
Situacao: Desativada
Data Inicial: 2017-10-24
Data Final: 2022-03-15
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-24;null;null;null;null;
2017-10-25;null;null;null;null;
2017-10-26;null;null;null;null;
2017-10-27;null;null;null;null;
2017-10-28;null;null;null;null;
2017-10-29;null;null;null;null;
2017-10-30;null;null;null;null;
2017-10-31;10.8;22.5;null;5.4;
2017-11-01;.8;21.3;null;2.4;
2017-11-02;.2;22.7;null;4.2;
2017-11-03;0;23.2;null;6.1;
2017-11-04;0;24;null;3.9;
2017-11-05;6.4;22.8;null;4.8;
2017-11-06;.6;21.6;null;3;
2017-11-07;0;22.1;null;3.9;
2017-11-08;0;22.7;null;5.1;
2017-11-09;5.4;21.7;null;3.9;
2017-11-10;.8;23;null;3.8;
2017-11-11;14.2;21.9;null;5.5;
2017-11-12;.4;22;null;3.3;
2017-11-13;0;22;null;4.1;
2017-11-14;0;21.2;null;2.9;
2017-11-15;0;23.3;null;6.5;
2017-11-16;0;27.6;null;3.8;
2017-11-17;0;25.2;null;4.6;
2017-11-18;2.2;25.6;null;3.9;
2017-11-19;17.8;23.1;null;2.8;
2017-11-20;3.6;22.9;null;3.3;
2017-11-21;.8;23.2;null;4.6;
2017-11-22;21;22.2;null;4.7;
2017-11-23;11.4;22;null;3.4;
2017-11-24;0;23.3;null;4.5;
2017-11-25;0;24.4;null;4.2;
2017-11-26;0;25.6;null;2.9;
2017-11-27;7.8;25;null;3.3;
2017-11-28;16.6;23.8;null;3.1;
2017-11-29;.8;23.5;null;2.7;
2017-11-30;0;23.6;null;3.8;
2017-12-01;0;23.8;79;2.9;
2017-12-02;7.6;23.3;83.2;2;
2017-12-03;.2;24.6;76.2;3.4;
2017-12-04;0;24.9;81.3;4.1;
2017-12-05;0;24.8;83;4.2;
2017-12-06;.2;25;69.3;6.1;
2017-12-07;0;24.2;74.6;5.6;
2017-12-08;1.6;23.6;86;3.1;
2017-12-09;.2;24.7;84.3;4.7;
2017-12-10;0;24.3;77.6;3.4;
2017-12-11;0;25.3;71.8;3.8;
2017-12-12;4.4;22.6;79.6;3;
2017-12-13;0;23.6;67.3;4.1;
2017-12-14;0;24.6;71.6;4.5;
2017-12-15;0;24;80.4;4.3;
2017-12-16;0;25.3;76.5;3;
2017-12-17;0;27;75.7;4.8;
2017-12-18;0;26.8;77.8;5;
2017-12-19;0;26.2;80.5;3.7;
2017-12-20;0;26.6;76.7;3.7;
2017-12-21;.4;24.5;85.7;2.8;
2017-12-22;7.6;24.9;83.6;2.4;
2017-12-23;15.6;27.1;73.5;2.8;
2017-12-24;5;28.4;68.6;2.4;
2017-12-25;.2;26.2;82.4;4;
2017-12-26;11.6;25.3;86.7;2.4;
2017-12-27;0;26.2;83.8;2.7;
2017-12-28;1.6;25.1;87.7;2.6;
2017-12-29;25.8;24.9;88.7;4.3;
2017-12-30;5;25.4;84.4;2.1;
2017-12-31;2.2;26.2;80.5;1.9;
2018-01-01;8;27;76.2;3.2;
2018-01-02;.2;29.1;69.4;2.7;
2018-01-03;0;26.4;79.9;3.8;
2018-01-04;4.8;25.6;74.5;2.7;
2018-01-05;0;26.3;67;4.2;
2018-01-06;0;25.8;80.5;3.5;
2018-01-07;.8;23.3;85.2;2.1;
2018-01-08;26.8;22.8;91.5;2.3;
2018-01-09;8.4;25;83.5;2.5;
2018-01-10;0;27;75.5;3.9;
2018-01-11;0;26.9;77.9;4.5;
2018-01-12;14.8;26;72.8;2;
2018-01-13;0;27;68.9;2.1;
2018-01-14;.2;27.7;69;2.6;
2018-01-15;14.8;28.4;65.4;3.5;
2018-01-16;0;27.6;69.5;3.9;
2018-01-17;1.4;27.2;79.4;3.6;
2018-01-18;.2;28.1;79.4;2.8;
2018-01-19;59.8;26.1;81.9;3.2;
2018-01-20;3.8;26.5;81;2.1;
2018-01-21;.2;27.7;77.3;3.9;
2018-01-22;0;28.6;77.8;3.4;
2018-01-23;0;28.9;69.5;4.1;
2018-01-24;0;29.7;68.5;4;
2018-01-25;0;28;78.6;4.1;
2018-01-26;20.6;24.4;90.3;1.6;
2018-01-27;58.6;24.9;79.6;2.3;
2018-01-28;.2;26.6;72.1;3.8;
2018-01-29;27;25.9;84.6;2.5;
2018-01-30;31;23.6;84.1;3.3;
2018-01-31;25;24.4;83.3;2.9;
2018-02-01;0;24.7;79.3;3.4;
2018-02-02;0;25;77.5;3;
2018-02-03;3;25;76;2.5;
2018-02-04;0;24.7;73.5;2.4;
2018-02-05;8;24.4;80.2;2;
2018-02-06;0;23.8;83.8;3.4;
2018-02-07;4.4;24.4;83.1;3.1;
2018-02-08;3.8;25.2;77;3.1;
2018-02-09;0;27.2;70.2;4.8;
2018-02-10;0;27.9;78.2;3.5;
2018-02-11;9.2;28.4;76.1;3;
2018-02-12;1.4;27.5;80;3.6;
2018-02-13;29;24.6;87.3;3.2;
2018-02-14;1.6;23.1;91.2;1.7;
2018-02-15;267;24;85.6;2.3;
2018-02-16;.8;23.4;89.2;3.4;
2018-02-17;5.6;24.1;86.3;3.8;
2018-02-18;0;25;85.5;1.7;
2018-02-19;0;26.5;81.3;3.7;
2018-02-20;.4;28.5;68.2;3.2;
2018-02-21;1.6;28.1;76.9;2.2;
2018-02-22;.6;26.4;82.5;3.4;
2018-02-23;3.8;26;77.5;2.7;
2018-02-24;.2;25.3;72.9;2.1;
2018-02-25;0;25.9;70.9;4;
2018-02-26;0;26.4;76.6;3.2;
2018-02-27;16;25.3;86.5;2.1;
2018-02-28;.4;26.3;80.1;2.1;
2018-03-01;.2;27.2;78.1;2.7;
2018-03-02;0;27.9;79.5;2.6;
2018-03-03;2.6;26.8;83.6;2.6;
2018-03-04;0;27.1;79.8;1.9;
2018-03-05;0;27.4;79.2;2.7;
2018-03-06;0;27.7;78.5;2.4;
2018-03-07;1.6;26.9;82.3;3;
2018-03-08;30.6;24.6;88.8;2.6;
2018-03-09;1.2;25.2;80.4;2.4;
2018-03-10;.2;26.1;75.2;3.3;
2018-03-11;0;26.4;79.5;3.4;
2018-03-12;0;27.9;72.4;3.3;
2018-03-13;.6;27.2;79.9;3.4;
2018-03-14;0;28.3;78.1;4.7;
2018-03-15;12.6;28.4;72.1;3.6;
2018-03-16;.2;28;77.5;3.9;
2018-03-17;0;27.6;75.4;2.9;
2018-03-18;0;27.5;74.6;4.1;
2018-03-19;0;29;75.5;3.1;
2018-03-20;0;28.3;81;2.4;
2018-03-21;11.8;25.5;85.1;2.7;
2018-03-22;6.2;24.6;85.7;2.3;
2018-03-23;.2;27.2;75.5;5.1;
2018-03-24;0;28.4;73.6;4.2;
2018-03-25;0;29;67.2;4.2;
2018-03-26;0;27.1;81.2;4.1;
2018-03-27;3.2;26.3;83.5;3.1;
2018-03-28;.2;26.9;78.6;2.5;
2018-03-29;0;27.9;71.3;3.6;
2018-03-30;0;27.8;70.3;4.4;
2018-03-31;0;27.8;74.3;4.2;
2018-04-01;0;27.4;76.5;2.5;
2018-04-02;0;27.5;74;2.1;
2018-04-03;3.6;25.3;86;2.7;
2018-04-04;27.2;24.6;84.9;2.4;
2018-04-05;0;25.6;77.6;2.6;
2018-04-06;0;25.7;75.2;2.6;
2018-04-07;0;26.1;75.7;3.1;
2018-04-08;0;26.8;73.5;2.9;
2018-04-09;0;26.4;69.8;2.8;
2018-04-10;0;26.4;65.4;2.9;
2018-04-11;0;26.6;65.9;3.7;
2018-04-12;0;26.9;71.3;3.1;
2018-04-13;0;26.2;76.8;2.5;
2018-04-14;0;25.5;81.1;2.2;
2018-04-15;53.6;23.3;88.1;2.2;
2018-04-16;19.4;21.8;86.7;2.3;
2018-04-17;15.2;23.1;73.9;3.7;
2018-04-18;0;24.1;65.3;4.3;
2018-04-19;0;23.2;75.9;3.1;
2018-04-20;0;22;80.7;2.7;
2018-04-21;0;22;76.5;1.7;
2018-04-22;0;24.4;73.7;3.1;
2018-04-23;0;24.3;79.4;3.3;
2018-04-24;0;23.6;81.8;2.8;
2018-04-25;0;24;82;2.2;
2018-04-26;0;25;80.8;2.1;
2018-04-27;0;26;72.1;3.8;
2018-04-28;0;25.9;76.8;3.6;
2018-04-29;0;25.7;75.7;3.6;
2018-04-30;0;25.1;74.7;2.9;
2018-05-01;0;24.4;80.5;3.1;
2018-05-02;0;24.7;77.6;2.1;
2018-05-03;0;25.5;75.1;4.1;
2018-05-04;0;25.8;77.9;3.5;
2018-05-05;0;24.6;82.1;3;
2018-05-06;0;24;84;2.6;
2018-05-07;26.8;23.6;85.8;2.5;
2018-05-08;9.8;22.6;83.4;2.5;
2018-05-09;.6;22.6;76.4;2.9;
2018-05-10;.2;24.2;68.8;3.9;
2018-05-11;0;24.2;71.8;3;
2018-05-12;0;23.3;76.4;3;
2018-05-13;.6;21.9;81.4;1.7;
2018-05-14;0;22.8;76.3;3;
2018-05-15;0;24.3;78.5;3.2;
2018-05-16;0;23.7;81.8;3.4;
2018-05-17;3.8;23.2;81;2.1;
2018-05-18;0;24;77.8;4.4;
2018-05-19;0;22.5;83.4;2.7;
2018-05-20;16.2;20.7;60.6;4.3;
2018-05-21;0;18.5;70.8;2.3;
2018-05-22;0;19.4;74.6;2.4;
2018-05-23;0;19.8;78.4;1.5;
2018-05-24;0;21;75.8;1.9;
2018-05-25;0;21.6;78.2;2;
2018-05-26;0;22.4;74.3;3.6;
2018-05-27;0;22.5;72.2;3.1;
2018-05-28;0;22.8;67.3;4.1;
2018-05-29;0;23.3;68.4;4.6;
2018-05-30;0;22.8;68.2;4.2;
2018-05-31;0;21.6;78.7;3.1;
2018-06-01;0;23;74.8;1.9;
2018-06-02;0;23.9;61.7;2;
2018-06-03;4.8;20.9;83.5;4.5;
2018-06-04;.2;19.7;80.8;1.6;
2018-06-05;0;19.7;83.2;2.5;
2018-06-06;6.2;20.8;82.5;3.9;
2018-06-07;4.2;20.5;87.9;1.7;
2018-06-08;9.2;19.8;82.9;3.9;
2018-06-09;1.4;20.1;78.8;2.8;
2018-06-10;0;21.9;78.9;3.7;
2018-06-11;0;23.7;77.9;2.1;
2018-06-12;0;25.7;69.5;1.6;
2018-06-13;.8;24.3;81.2;4;
2018-06-14;.6;19.8;84.7;3.4;
2018-06-15;0;19;86.1;1.4;
2018-06-16;1;18.9;89.3;4;
2018-06-17;1.4;19.1;89.8;4.9;
2018-06-18;1.8;19.4;92.1;2.2;
2018-06-19;2;22.1;71.9;3.6;
2018-06-20;.2;21.9;81.8;2.5;
2018-06-21;0;21.3;83.8;2.7;
2018-06-22;0;21.7;80.4;2.5;
2018-06-23;0;21.3;83.3;2.8;
2018-06-24;0;23.5;75.8;3.2;
2018-06-25;0;22.5;82.5;4;
2018-06-26;0;22.3;74.6;3.2;
2018-06-27;0;21.7;82.9;3.1;
2018-06-28;0;22.2;80.1;3.1;
2018-06-29;0;20.7;84.7;2.4;
2018-06-30;0;21.9;77.5;2.3;
2018-07-01;0;21.5;83.7;3.4;
2018-07-02;0;22.9;75.1;2.7;
2018-07-03;0;21.5;80.3;3.3;
2018-07-04;.8;20.6;88.3;2.3;
2018-07-05;0;21.6;86;2.8;
2018-07-06;0;21.8;83.1;2.7;
2018-07-07;0;22;80.3;2.2;
2018-07-08;0;23.4;65.3;1.5;
2018-07-09;0;21.3;77.8;4.2;
2018-07-10;3;17.2;80.5;7.2;
2018-07-11;10;17.6;77.2;6;
2018-07-12;2.6;17.8;73.7;2.9;
2018-07-13;0;18.5;75;2.4;
2018-07-14;0;19.7;77;3;
2018-07-15;0;22.1;71.8;3;
2018-07-16;0;22.7;66.3;1.7;
2018-07-17;0;20.5;80.8;4.7;
2018-07-18;0;20.4;83.8;3.5;
2018-07-19;0;21.4;82.3;3.2;
2018-07-20;0;23.2;69.6;3.3;
2018-07-21;0;21.5;77.3;4.5;
2018-07-22;0;20;86.7;2.2;
2018-07-23;0;20.9;87.1;3;
2018-07-24;0;20.3;85.5;4.4;
2018-07-25;7.4;20;90.3;3.9;
2018-07-26;0;20.5;88.3;2.8;
2018-07-27;0;21;83.1;4;
2018-07-28;0;21.4;81.6;3.3;
2018-07-29;0;24;67.1;2.6;
2018-07-30;0;20.4;85.5;5.7;
2018-07-31;20.4;19.2;87.4;5.9;
2018-08-01;10.6;17.9;87.3;3;
2018-08-02;11;18.3;89.5;2;
2018-08-03;.2;20.1;82.5;3.3;
2018-08-04;3;19.7;86.9;3.7;
2018-08-05;.2;19.5;84.8;3;
2018-08-06;4.4;18;88;2.6;
