Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-19;null;null;null;null;
2017-10-20;null;null;null;null;
2017-10-21;null;25.1;63.5;1.5;
2017-10-22;1.6;23;76.4;1.2;
2017-10-23;.2;19.6;88.4;1.2;
2017-10-24;1.8;18.9;82.7;2.5;
2017-10-25;0;22.6;72;3.7;
2017-10-26;11;22.8;72.7;2.6;
2017-10-27;1.8;23.3;74.1;2.1;
2017-10-28;22.8;24.5;66.7;2.3;
2017-10-29;0;23.8;72.3;1.4;
2017-10-30;0;23.3;71;2.5;
2017-10-31;3.2;22.8;75.8;2.3;
2017-11-01;0;19.9;68.3;1.9;
2017-11-02;0;19.6;66.9;3.4;
2017-11-03;0;22.4;63;2.9;
2017-11-04;0;25.1;57.1;3.9;
2017-11-05;6.6;22;80;2.3;
2017-11-06;1.6;18.7;93.7;.7;
2017-11-07;8.4;18.8;78.4;1.5;
2017-11-08;0;20.3;72.5;3.8;
2017-11-09;0;23.2;65.9;3.2;
2017-11-10;0;25.3;62.6;3.3;
2017-11-11;10;21.8;85.2;2.1;
2017-11-12;11.4;21.6;68;1.1;
2017-11-13;0;20.7;59.1;1.6;
2017-11-14;0;20.8;62.8;1.7;
2017-11-15;0;23.4;59.9;2.4;
2017-11-16;0;25;62.2;2;
2017-11-17;0;23;71.3;1.4;
2017-11-18;1.2;23.7;75;2.3;
2017-11-19;2.8;22.3;87;1.3;
2017-11-20;18.4;21.5;92.2;.5;
2017-11-21;2;22.9;81.4;1.2;
2017-11-22;10.8;21.9;90.9;1.5;
2017-11-23;28;19.4;82.9;2.1;
2017-11-24;.2;22.5;71.8;2.2;
2017-11-25;0;24.8;70.5;2.8;
2017-11-26;4;23.4;73.2;2.7;
2017-11-27;.4;23.5;77.7;1.1;
2017-11-28;9;23.3;79.9;1.9;
2017-11-29;1;22;70.5;1.4;
2017-11-30;0;20.7;75.8;2.5;
2017-12-01;14.2;20.3;87.4;1;
2017-12-02;0;22.3;76.2;1.1;
2017-12-03;0;22.6;77.8;1.9;
2017-12-04;.6;24;80.4;1.7;
2017-12-05;2.6;24.2;81.7;1.4;
2017-12-06;42.6;23.4;74.3;2.7;
2017-12-07;0;22.8;75.3;2.6;
2017-12-08;.4;23.5;80.7;1.8;
2017-12-09;8;24.2;76.1;1.1;
2017-12-10;.2;24.1;67.8;1.6;
2017-12-11;0;24.9;64.2;2.3;
2017-12-12;0;22;74;.9;
2017-12-13;0;21.6;72.1;3.2;
2017-12-14;0;24;68.3;2.2;
2017-12-15;0;24.8;66.3;2;
2017-12-16;0;25.3;66.6;1.5;
2017-12-17;0;26.6;63;1.9;
2017-12-18;5;23.7;75.6;1.4;
2017-12-19;6.2;23.8;79.2;1;
2017-12-20;.2;26.1;66;1.8;
2017-12-21;0;23.3;82.6;1.1;
2017-12-22;18.4;21.6;86.6;1.2;
2017-12-23;2.4;23.5;79.5;1.5;
2017-12-24;11.8;25.1;70.2;1.4;
2017-12-25;3;24.7;78.6;1.1;
2017-12-26;22;24;80.9;1.3;
2017-12-27;.2;24;81.8;1.5;
2017-12-28;3.8;23.4;86.2;.9;
2017-12-29;.6;23.7;80.7;1.6;
2017-12-30;null;null;84.7;2;
2017-12-31;8.2;23.8;76.5;1.9;
2018-01-01;.6;25.2;73.3;1.5;
2018-01-02;0;25.3;73.4;1.9;
2018-01-03;0;25.1;74.7;2.1;
2018-01-04;31;21.3;82;2;
2018-01-05;.2;21.5;83.1;2;
2018-01-06;.8;24.2;73.1;2;
2018-01-07;9.8;20.1;93.7;1;
2018-01-08;25.6;20.2;95.1;.4;
2018-01-09;12.4;23;79.9;1.3;
2018-01-10;0;24.5;72.2;1.7;
2018-01-11;0;24.7;73.9;1.7;
2018-01-12;10;22.2;81.9;.6;
2018-01-13;3.2;21.6;82.4;1.3;
2018-01-14;1.4;23.3;76.3;1.7;
2018-01-15;6;23.7;77.3;1.6;
2018-01-16;1.2;23.8;79.1;.8;
2018-01-17;0;25.4;73.4;.8;
2018-01-18;0;26.6;66.2;1.9;
2018-01-19;0;24.8;72.5;1.1;
2018-01-20;0;23.1;82.5;1.1;
2018-01-21;4;24.4;78;.8;
2018-01-22;53.2;23.1;84.3;1.3;
2018-01-23;16;23.8;80.3;1.2;
2018-01-24;.2;24.1;77.7;1.4;
2018-01-25;3.2;23.6;81.6;1.1;
2018-01-26;7.4;22.8;86.5;1.1;
2018-01-27;6.6;22.4;86.2;.7;
2018-01-28;2.2;24;77.2;1.6;
2018-01-29;6;24.2;87;.6;
2018-01-30;48.6;20.8;94;1.6;
2018-01-31;6.8;21.9;76.8;1.5;
2018-02-01;0;22.3;73.9;1.3;
2018-02-02;0;23.6;73.4;1.1;
2018-02-03;6.6;22.7;77.6;1.4;
2018-02-04;.2;21.6;78.2;1.3;
2018-02-05;1.2;19.6;82.8;.9;
2018-02-06;.2;21;84.9;.9;
2018-02-07;19.2;22.7;79.9;1.5;
2018-02-08;2.4;24.6;68.6;.9;
2018-02-09;.2;25.1;67.8;1.2;
2018-02-10;0;24.6;76;1.5;
2018-02-11;.2;26;70;.9;
2018-02-12;.4;25.7;78.5;.5;
2018-02-13;6.4;22.5;89.3;1.5;
2018-02-14;2.8;22.2;86.3;1.6;
2018-02-15;26.6;22;84;.9;
2018-02-16;21.4;22.3;84.3;.6;
2018-02-17;.6;22.2;81.9;1.4;
2018-02-18;11.8;21.1;91.5;.6;
2018-02-19;20.4;22.7;81.6;1.1;
2018-02-20;0;25.3;72.5;1.1;
2018-02-21;1.2;24.8;80.7;1.7;
2018-02-22;2.4;24.5;77.5;1.1;
2018-02-23;48.4;23.3;84.8;1.1;
2018-02-24;10;21.4;88;1.4;
2018-02-25;24.8;21.9;84.1;1.3;
2018-02-26;.2;22.1;86.1;1.3;
2018-02-27;17.2;22.7;86.8;.4;
2018-02-28;.4;24.4;79.7;1.2;
2018-03-01;0;24.5;82.1;.8;
2018-03-02;0;24.9;82.5;.7;
2018-03-03;53.2;23.7;85;1.2;
2018-03-04;1.6;24.5;84.7;1;
2018-03-05;14.4;23.9;85.6;1.1;
2018-03-06;4;24.1;83.1;1.1;
2018-03-07;8.2;24;87.3;1;
2018-03-08;65.6;22.5;93.1;.7;
2018-03-09;4.6;22.3;86.2;1.5;
2018-03-10;.2;22.5;85.3;1.9;
2018-03-11;22.8;23.4;82.4;.9;
2018-03-12;0;25.5;74.2;1;
2018-03-13;2.2;23.6;84.2;.5;
2018-03-14;.2;26.5;74;1.4;
2018-03-15;12.2;25.2;74.5;1.5;
2018-03-16;.2;24.4;83.5;1;
2018-03-17;5;23.8;84;.8;
2018-03-18;.2;24.9;75.7;1.6;
2018-03-19;0;25.7;76.3;1;
2018-03-20;0;24;81.6;1.2;
2018-03-21;36.8;23.2;84.8;1.2;
2018-03-22;7.4;23.4;83.9;1.6;
2018-03-23;1.6;24.3;77;1.9;
2018-03-24;0;25.3;70.5;2.7;
2018-03-25;0;24.9;65.8;1.7;
2018-03-26;0;24.5;73.9;1.3;
2018-03-27;1.8;23.9;77.7;.9;
2018-03-28;0;23.7;72.2;1.2;
2018-03-29;0;22.3;75.5;1.6;
2018-03-30;0;22.7;73.9;1.5;
2018-03-31;0;24.2;72.1;1.3;
2018-04-01;0;23.7;77.3;1;
2018-04-02;0;24.1;80.3;.6;
2018-04-03;11.4;23.3;84.7;1.2;
2018-04-04;5.6;22.8;85.2;.5;
2018-04-05;.4;23.3;79.6;1.2;
2018-04-06;0;22.7;78.2;.8;
2018-04-07;1.6;23.2;78.3;1.3;
2018-04-08;0;22.6;79.7;.9;
2018-04-09;0;23.1;74.7;1.4;
2018-04-10;0;22.9;73.7;1.1;
2018-04-11;0;21.4;74.8;1.5;
2018-04-12;0;20.9;81.9;1.7;
2018-04-13;0;22.6;76.1;.8;
2018-04-14;0;22;80.5;.8;
2018-04-15;0;20.6;89.8;1;
2018-04-16;6.6;18.7;91.8;.7;
2018-04-17;3;19.4;76.5;1.5;
2018-04-18;.2;18.2;75.9;1.4;
2018-04-19;0;19.6;74;1.1;
2018-04-20;0;19.4;77;.6;
2018-04-21;0;20.5;74.7;1;
2018-04-22;0;20.6;73.8;1.5;
2018-04-23;0;20.6;76;1.5;
2018-04-24;0;21.5;76;1.2;
2018-04-25;0;21.4;78.9;1.2;
2018-04-26;0;21.3;79.8;1.1;
2018-04-27;0;21.2;80.5;1.4;
2018-04-28;0;22.5;74.5;1.3;
2018-04-29;0;21;74.3;1.1;
2018-04-30;0;19.8;72.7;.9;
2018-05-01;0;20.5;72.9;1.2;
2018-05-02;0;21.3;76.2;.8;
2018-05-03;0;21.8;76.9;1.2;
2018-05-04;0;21.8;76.2;1;
2018-05-05;0;21.2;74.2;.7;
2018-05-06;0;20.3;78.5;.8;
2018-05-07;16.8;18.6;87.8;.7;
2018-05-08;2.2;18.8;90.3;.7;
2018-05-09;5.2;19.6;79.7;1.2;
2018-05-10;.2;19.3;74.6;1.6;
2018-05-11;0;19.2;74.3;1.1;
2018-05-12;0;21.3;72.3;1.4;
2018-05-13;0;19.8;84.6;.8;
2018-05-14;0;20.4;77.6;1.8;
2018-05-15;0;21.7;73.4;2;
2018-05-16;0;22.6;73.8;1.3;
2018-05-17;3.4;20.5;85.7;1;
2018-05-18;.2;20.9;79.4;1.6;
2018-05-19;0;19.9;84.2;2.6;
2018-05-20;12.4;17.5;65.1;1.8;
2018-05-21;.2;12.8;75.2;.6;
2018-05-22;0;14.3;77.2;.8;
2018-05-23;.2;15.3;79.7;.6;
2018-05-24;0;17.2;78.4;1.3;
2018-05-25;0;17.8;78.4;.7;
2018-05-26;0;18.1;80;1.3;
2018-05-27;0;18.4;76.3;1;
2018-05-28;0;17;74.5;1.3;
2018-05-29;0;16.7;76.8;1.5;
2018-05-30;0;16;76.8;1.3;
2018-05-31;0;18.5;73.7;1.2;
2018-06-01;0;19.5;67;1.7;
2018-06-02;0;18.4;69;.5;
2018-06-03;0;17;86.6;1.1;
2018-06-04;0;17.1;81.7;.8;
2018-06-05;0;17;83.6;1.1;
2018-06-06;2.8;19;80.6;1.6;
2018-06-07;2.4;19.5;88.7;1.5;
2018-06-08;2;18.4;84.9;1;
2018-06-09;.2;18.3;81.2;2.3;
2018-06-10;0;20.2;80.7;2.1;
2018-06-11;0;19.4;83;.8;
2018-06-12;0;20;78;.9;
2018-06-13;0;20.7;79;.7;
2018-06-14;0;19.1;91.1;.8;
2018-06-15;6.6;17;91.9;.9;
