Nome: SAO SIMAO
Codigo Estacao: A770
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620
Situacao: Operante
Data Inicial: 2019-07-02
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-07-02;null;null;null;null;
2019-07-03;null;null;null;null;
2019-07-04;null;20;67.5;2;
2019-07-05;17.2;18;90.8;2;
2019-07-06;1.4;13;74.1;1.4;
2019-07-07;0;11.6;60.6;2.1;
2019-07-08;0;15.3;56.8;3.4;
2019-07-09;0;17.8;51.8;1.8;
2019-07-10;0;18;55.5;1.5;
2019-07-11;0;16;65.5;1;
2019-07-12;0;17.5;61.7;1.1;
2019-07-13;0;19;61.5;1;
2019-07-14;0;20.5;57.1;1.2;
2019-07-15;0;21.2;54.2;1.4;
2019-07-16;1;19.4;71.3;2.2;
2019-07-17;0;14.5;61.7;2.9;
2019-07-18;0;17.6;54.7;3.9;
2019-07-19;0;19.1;51.6;3.2;
2019-07-20;0;18.8;55.2;1.8;
2019-07-21;0;19.1;56.3;1.7;
2019-07-22;0;20.7;56.2;1.8;
2019-07-23;0;20.1;59.4;1.5;
2019-07-24;0;20.3;61.9;1.3;
2019-07-25;0;20.9;58.6;1.8;
2019-07-26;0;21.6;51.6;1.8;
2019-07-27;0;21.1;50.3;1.6;
2019-07-28;0;19.4;52.7;1.6;
2019-07-29;0;21.2;50.8;2.5;
2019-07-30;0;20.6;57.7;1.4;
2019-07-31;4;19.6;64.3;1.3;
2019-08-01;.2;20.8;52.8;1.7;
2019-08-02;0;22.2;53.3;1.7;
2019-08-03;3;16.6;83.2;2.2;
2019-08-04;2.4;13.3;87.8;2.6;
2019-08-05;2.8;14.9;81.9;3.1;
2019-08-06;.2;19.5;67.1;2.9;
2019-08-07;0;21.7;62.8;2.3;
2019-08-08;0;21.4;63.1;1.2;
2019-08-09;0;21.3;61.1;1.2;
2019-08-10;0;22.4;54.7;1.3;
2019-08-11;0;null;54.5;1.2;
2019-08-12;null;null;43.7;null;
2019-08-13;0;24.1;54;1.7;
2019-08-14;0;19;66.8;4.1;
2019-08-15;0;18.1;60;3;
2019-08-16;0;20.8;47.9;2.6;
2019-08-17;0;20.8;52.9;1.7;
2019-08-18;0;21.5;51.5;1.6;
2019-08-19;0;20.9;58.5;1.6;
2019-08-20;0;20.7;71.6;2.3;
2019-08-21;0;20.8;68.4;2.2;
2019-08-22;0;20.1;65;2.6;
2019-08-23;0;18.8;65;2.3;
2019-08-24;0;18.9;57.2;2.2;
2019-08-25;0;20.5;54.8;2.9;
2019-08-26;0;22.5;49.3;3.1;
2019-08-27;0;24.1;42.9;2.1;
2019-08-28;0;22.5;47.1;2.5;
2019-08-29;0;23.2;44.5;2.5;
2019-08-30;0;23.7;46.3;1.5;
2019-08-31;0;24.8;47.5;1.7;
2019-09-01;.2;23.1;63.5;3.3;
2019-09-02;22.2;22.4;74.4;1.9;
2019-09-03;0;22.2;77.5;1.5;
2019-09-04;.8;24.8;62;2.4;
2019-09-05;0;21.8;69.4;3.4;
2019-09-06;0;23.4;60.8;3.3;
2019-09-07;0;25;56.9;2.4;
2019-09-08;0;26.9;49.5;1.5;
2019-09-09;0;26;45.4;1.6;
2019-09-10;0;25.8;46;1.3;
2019-09-11;0;27.3;44.2;1.4;
2019-09-12;0;27.6;41.2;1.4;
2019-09-13;0;27.7;41.7;2.4;
2019-09-14;0;26.2;52.3;2.5;
2019-09-15;0;28.8;41.8;2.6;
2019-09-16;0;27.5;42.1;1.6;
2019-09-17;0;27.1;41.8;1.3;
2019-09-18;0;29;32.6;2.3;
2019-09-19;0;27.4;39.5;1.5;
2019-09-20;0;26.3;47.3;1.9;
2019-09-21;.2;26.1;61.2;1.8;
2019-09-22;.2;23.3;65.1;3.6;
2019-09-23;0;21.9;56.8;4.3;
2019-09-24;0;23.8;52;2.6;
2019-09-25;9.4;19.6;85.1;1.7;
2019-09-26;28.2;18.1;94.3;1.1;
2019-09-27;4.8;20.4;69.7;1.9;
2019-09-28;0;22;61;2.9;
2019-09-29;0;22.6;59.5;2.3;
2019-09-30;0;25;49.4;2.7;
2019-10-01;0;27.1;47.2;2.3;
2019-10-02;0;28;48;1.7;
2019-10-03;0;27.8;39.2;2.2;
2019-10-04;0;26.7;38.9;2.8;
2019-10-05;0;28.3;37.5;2.1;
2019-10-06;0;26.6;50.9;2.1;
2019-10-07;17.2;23.9;74;2.1;
2019-10-08;0;22.7;77;1.7;
2019-10-09;.4;23;80.2;2;
2019-10-10;0;23.2;70.4;2.9;
2019-10-11;0;25.5;60;2;
2019-10-12;0;27.2;53.8;1.3;
2019-10-13;0;27.6;51.4;1.2;
2019-10-14;0;27.7;47;1.3;
2019-10-15;0;26.5;52.1;3.4;
2019-10-16;0;26.2;55.5;2.9;
2019-10-17;0;28;50.2;2.6;
2019-10-18;0;28.3;44;1.3;
2019-10-19;2.2;26.3;60.7;2.2;
2019-10-20;0;25.4;60;3.2;
2019-10-21;0;20.9;71;1.9;
2019-10-22;4.2;22.4;73.3;1.6;
2019-10-23;.2;25.3;62.2;1.5;
2019-10-24;0;26;60;2.9;
2019-10-25;2;26.3;56.4;1.6;
2019-10-26;0;27.4;52.3;2.5;
2019-10-27;11;26.6;59.8;2.1;
2019-10-28;49.6;24.2;70;1.8;
2019-10-29;0;25.5;67;1.5;
2019-10-30;12.8;25.8;65.6;1.7;
2019-10-31;.4;25.8;62.6;2;
2019-11-01;0;25.4;67;2.1;
2019-11-02;0;26.3;59.9;2.5;
2019-11-03;0;27.5;54.4;1.4;
2019-11-04;0;27.9;57;1.5;
2019-11-05;12.2;26.5;67.6;2;
2019-11-06;19.8;24.4;77.9;2.7;
2019-11-07;0;24.3;74.2;2.1;
2019-11-08;16.6;23.4;81.8;2;
2019-11-09;0;24.9;73.8;1.9;
2019-11-10;2.4;24.4;79;1.8;
2019-11-11;0;26.1;68.9;2.4;
2019-11-12;0;25.4;63.5;3;
