Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.72444443
Longitude: -46.67749999
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-13;null;null;null;null;
2018-03-14;null;null;null;null;
2018-03-15;null;null;null;null;
2018-03-16;.2;24.2;78.1;1.8;
2018-03-17;0;22.8;84.4;1.9;
2018-03-18;0;22.4;84.5;1.4;
2018-03-19;0;24.1;79.7;1.2;
2018-03-20;.2;23.5;86.7;1.5;
2018-03-21;8.8;21.3;87.3;1.8;
2018-03-22;.8;20.3;91.5;2.3;
2018-03-23;0;22.4;83.9;2.2;
2018-03-24;.2;23.7;79.8;1.6;
2018-03-25;0;24.9;68.5;1.5;
2018-03-26;0;22.5;83.4;1.4;
2018-03-27;32.8;21.7;86.5;1.4;
2018-03-28;4.2;21.3;87;1.3;
2018-03-29;25.4;21.5;88.8;1.4;
2018-03-30;3.4;21.6;85.1;1.5;
2018-03-31;41.8;22.2;83.1;1.5;
2018-04-01;17;22.8;78.9;1.6;
2018-04-02;1;22.1;81.6;2;
2018-04-03;.2;21.5;87.1;1.4;
2018-04-04;11.8;20.4;85.8;1.6;
2018-04-05;0;20.5;84.2;1.6;
2018-04-06;0;20.8;84.2;2.2;
2018-04-07;0;20.7;84.6;1.8;
2018-04-08;0;21.1;84.4;1.9;
2018-04-09;0;20.9;83.4;1.9;
2018-04-10;0;20.7;82.9;2;
2018-04-11;0;20.6;82.3;2;
2018-04-12;0;21.3;78.6;1.7;
2018-04-13;0;22.4;72.8;1.6;
2018-04-14;0;20.4;85.2;2.5;
2018-04-15;17.2;18.6;94.5;2.8;
2018-04-16;36;17.7;88.5;3.7;
2018-04-17;0;17.9;82.5;2.8;
2018-04-18;0;17.9;78.4;1.9;
2018-04-19;0;18.4;75.8;1.3;
2018-04-20;0;18.4;72.4;1.2;
2018-04-21;0;17.1;83.7;1.7;
2018-04-22;0;18.9;82.8;1.9;
2018-04-23;0;19.5;83;1.7;
2018-04-24;0;19.6;84.7;1.6;
2018-04-25;0;19.9;84.7;1.8;
2018-04-26;0;20.1;86.5;1.6;
2018-04-27;0;21.1;82.3;1.8;
2018-04-28;0;21.2;83;1.6;
2018-04-29;0;21;80.5;1.7;
2018-04-30;0;22.1;68.6;1.2;
2018-05-01;0;20.3;84.9;1.4;
2018-05-02;0;20.2;84.1;1.9;
2018-05-03;0;21.7;76.6;1.6;
2018-05-04;0;22.1;77.3;1.2;
2018-05-05;0;21.2;80.8;1.4;
2018-05-06;0;19.9;84.2;2.3;
2018-05-07;.6;19.4;85.8;2.6;
2018-05-08;.2;18.3;87.3;2.7;
2018-05-09;0;17.8;83.1;2.3;
2018-05-10;0;19.2;78.3;1.4;
2018-05-11;0;20.9;69.2;1.5;
2018-05-12;0;19.3;77.9;1.6;
2018-05-13;.6;17.4;84.2;2.5;
2018-05-14;0;17.6;85.4;2.3;
2018-05-15;0;19.6;80.5;1.6;
2018-05-16;0;19.4;84.1;1.6;
2018-05-17;0;18.5;85.4;2.4;
2018-05-18;0;21.3;73.7;1.9;
2018-05-19;1.8;19.7;77.1;2.2;
2018-05-20;10.8;13.8;65.4;2.7;
2018-05-21;0;13.2;72.5;1.2;
2018-05-22;0;14.7;81.6;1.1;
2018-05-23;.2;14.6;86.5;1.6;
2018-05-24;0;15.8;82.8;2.2;
2018-05-25;0;16.5;86;1.9;
2018-05-26;0;17;84.4;1.9;
2018-05-27;0;16.7;84.2;1.7;
2018-05-28;0;16.1;82.3;1.9;
2018-05-29;0;16.8;77.4;1.8;
2018-05-30;0;17.3;74;1.3;
2018-05-31;.4;17.1;75.3;1.2;
2018-06-01;0;19.3;65.6;1.2;
2018-06-02;0;19.9;58.8;1.4;
2018-06-03;.8;15.7;92.2;2.7;
2018-06-04;.8;14;91.1;2.4;
2018-06-05;.8;15.4;89.1;1.4;
2018-06-06;.6;16.1;90.2;1.6;
2018-06-07;2.4;17.4;89.8;1.2;
2018-06-08;4;15.4;90.6;1.4;
2018-06-09;0;15.2;86.4;1.4;
2018-06-10;.2;18.8;85;1.5;
2018-06-11;0;21.5;74.8;1.6;
2018-06-12;0;22.4;68.5;1.6;
2018-06-13;17;20.1;88.5;1.5;
2018-06-14;12.4;14.6;93.7;2.8;
2018-06-15;.2;13.4;93.2;2.3;
2018-06-16;0;13.4;91.4;2.5;
2018-06-17;.2;13.7;93.9;1.9;
2018-06-18;.2;15.1;93;1.9;
2018-06-19;0;16.5;87.9;1.9;
2018-06-20;.2;18.3;79.4;1.2;
2018-06-21;.2;18.6;75.3;.9;
2018-06-22;0;18.1;76.2;1.1;
2018-06-23;0;18.5;73.7;1.2;
2018-06-24;0;20.6;70.3;1.5;
2018-06-25;0;19.8;69.1;1.4;
2018-06-26;.2;19.7;56.5;1.1;
2018-06-27;0;16.4;87.7;1.7;
2018-06-28;0;19;76.1;1.3;
2018-06-29;0;19.4;68.8;1.3;
2018-06-30;0;18.9;72.3;1.3;
2018-07-01;0;18.3;81.6;1.2;
2018-07-02;0;20.1;65.2;1;
2018-07-03;0;17.3;79.4;1.8;
2018-07-04;0;15.5;92.3;2.2;
2018-07-05;.2;18.1;82.1;.9;
2018-07-06;0;19.1;74.9;1.3;
2018-07-07;0;18.6;72.9;1.3;
2018-07-08;0;19.5;62.3;1.1;
