Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.6025
Longitude: -48.61999999
Altitude: 4.87
Situacao: Pane
Data Inicial: 2003-01-21
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-01-21;null;null;null;null;
2003-01-22;null;null;null;null;
2003-01-23;null;null;null;null;
2003-01-24;null;null;null;null;
2003-01-25;null;null;null;null;
2003-01-26;null;null;null;null;
2003-01-27;null;null;null;null;
2003-01-28;null;null;null;null;
2003-01-29;null;null;null;null;
2003-01-30;null;null;null;null;
2003-01-31;null;null;null;null;
2003-02-01;null;null;null;null;
2003-02-02;null;null;null;null;
2003-02-03;null;null;null;null;
2003-02-04;null;null;null;null;
2003-02-05;null;null;null;null;
2003-02-06;null;null;null;null;
2003-02-07;null;null;null;null;
2003-02-08;null;null;null;null;
2003-02-09;null;null;null;null;
2003-02-10;null;null;null;null;
2003-02-11;null;null;null;null;
2003-02-12;null;null;null;null;
2003-02-13;null;null;null;null;
2003-02-14;null;null;null;null;
2003-02-15;null;null;null;null;
2003-02-16;null;null;null;null;
2003-02-17;null;null;null;null;
2003-02-18;null;null;null;null;
2003-02-19;null;null;null;null;
2003-02-20;null;null;null;null;
2003-02-21;null;null;null;null;
2003-02-22;null;null;null;null;
2003-02-23;null;null;null;null;
2003-02-24;null;null;null;null;
2003-02-25;null;null;null;null;
2003-02-26;null;null;null;null;
2003-02-27;null;null;null;null;
2003-02-28;null;null;null;null;
2003-03-01;null;null;null;null;
2003-03-02;null;null;null;null;
2003-03-03;null;null;null;null;
2003-03-04;null;null;null;null;
2003-03-05;null;null;null;null;
2003-03-06;null;null;null;null;
2003-03-07;null;null;null;null;
2003-03-08;null;null;null;null;
2003-03-09;null;null;null;null;
2003-03-10;null;null;null;null;
2003-03-11;null;null;null;null;
2003-03-12;null;null;null;null;
2003-03-13;null;null;null;null;
2003-03-14;null;null;null;null;
2003-03-15;null;null;null;null;
2003-03-16;null;null;null;null;
2003-03-17;null;24.8;57.6;4;
2003-03-18;0;23;66.5;2.5;
2003-03-19;0;24.9;71.6;2.4;
2003-03-20;0;25.8;72.6;2.9;
2003-03-21;6.6;null;74.8;4.1;
2003-03-22;null;22.3;61.3;3.1;
2003-03-23;0;21.8;68.5;2.1;
2003-03-24;7.2;22.3;74.9;1.9;
2003-03-25;9.4;21.6;77.9;1.8;
2003-03-26;3;20.3;86.4;1.5;
2003-03-27;2;21.1;82.7;1.8;
2003-03-28;6.8;22.4;73.7;1.5;
2003-03-29;0;23.6;74.1;2.4;
2003-03-30;0;24.6;74.4;2.5;
2003-03-31;0;24.4;79.1;1.9;
2003-04-01;.2;23.4;79;2.4;
2003-04-02;0;22.8;73.7;3.1;
2003-04-03;0;21.8;70;1.3;
2003-04-04;9.4;21.7;86.1;2.2;
2003-04-05;.2;23.5;70.8;1.5;
2003-04-06;0;21.7;69.1;2;
2003-04-07;0;21.2;66.5;1.9;
2003-04-08;0;21.7;72.6;2.1;
2003-04-09;0;23.3;73.2;2.2;
2003-04-10;0;22.2;80.6;2.1;
2003-04-11;5.2;19.5;69.9;1.8;
2003-04-12;0;17.9;48.7;1.9;
2003-04-13;0;18.8;66.2;2.2;
2003-04-14;0;20.9;72.2;1.7;
2003-04-15;0;21.7;72.7;1.7;
2003-04-16;0;null;74.5;1.9;
2003-04-17;0;22.9;74.8;2.4;
2003-04-18;0;23.7;81.4;3;
2003-04-19;16.2;22.9;83.2;3.6;
2003-04-20;7.8;20.4;68.4;3.5;
2003-04-21;0;19.3;77.3;1.2;
2003-04-22;0;23;86;1;
2003-04-23;6.8;24.3;84.9;2.4;
2003-04-24;0;24.3;79.8;2.9;
2003-04-25;0;25.3;74.7;1.9;
2003-04-26;0;24.2;79;1.7;
2003-04-27;0;24.7;83.4;2.4;
2003-04-28;8.2;23.3;79;2.5;
2003-04-29;.4;22.9;81.3;1.3;
2003-04-30;23.4;23.2;80.2;2.1;
2003-05-01;10.8;22.5;74.7;3.1;
2003-05-02;null;null;51.3;null;
2003-05-03;0;18.1;56.5;2.3;
2003-05-04;0;17.8;76.1;1;
2003-05-05;1;19.3;81.9;1.1;
2003-05-06;null;17.6;80.1;1.6;
2003-05-07;7.2;17;52.4;2.9;
2003-05-08;0;19.5;56.9;1.7;
2003-05-09;0;18.9;67.3;2.2;
2003-05-10;0;18.3;75.1;1.2;
2003-05-11;0;18.6;79.5;1.2;
2003-05-12;.2;19.3;80.1;1.5;
2003-05-13;0;19.9;79.4;1.4;
2003-05-14;8.8;20.2;88.5;.8;
2003-05-15;1.6;21.7;86.6;2.3;
2003-05-16;.4;22.7;83.3;2.7;
2003-05-17;0;22.9;81.3;2.9;
2003-05-18;.2;21.7;81.1;1.8;
2003-05-19;0;21.8;81.3;1.6;
2003-05-20;0;21.6;78.5;2;
2003-05-21;0;21.4;74.8;1;
2003-05-22;0;21.3;82.7;2.4;
2003-05-23;17;22.2;73.1;1.9;
2003-05-24;0;19.6;40.1;2.9;
2003-05-25;0;17.8;40.5;2.7;
2003-05-26;0;14.5;64.4;1.7;
2003-05-27;0;15.8;70.1;1.5;
2003-05-28;.2;null;76.2;1.1;
2003-05-29;null;15.8;78.6;1.2;
2003-05-30;.2;17.1;71.2;1.8;
2003-05-31;.2;18.3;71.6;1.5;
2003-06-01;0;19.2;72;1.5;
2003-06-02;0;20.2;78.1;2.1;
2003-06-03;6.6;18.6;86.4;1.9;
2003-06-04;17.2;18.4;70.9;2.6;
2003-06-05;3.2;16.9;87;1.1;
2003-06-06;null;null;76.1;1.8;
2003-06-07;.6;17.4;81.2;3.3;
2003-06-08;11.6;15;84.6;1.9;
2003-06-09;4;15.7;92.3;.8;
2003-06-10;16.4;19.9;84.4;2.7;
2003-06-11;0;20.8;81.3;2.6;
2003-06-12;0;17.2;87.8;1.8;
2003-06-13;.4;20.2;81.2;2.7;
2003-06-14;0;18.1;82.8;2.6;
2003-06-15;0;18.6;81.5;2.1;
2003-06-16;0;19.5;84;1.6;
2003-06-17;.2;20.2;84.1;1.9;
2003-06-18;.8;19;89.5;.5;
2003-06-19;13.2;19.8;84.2;1.4;
2003-06-20;0;18.4;80.8;1.5;
2003-06-21;.2;18.7;79.4;1.3;
2003-06-22;0;17.8;82.2;1.7;
2003-06-23;0;20.1;79;2.7;
2003-06-24;.2;18.8;83.5;1.6;
2003-06-25;0;19.7;83.6;1.9;
2003-06-26;0;19.1;82.8;1.7;
2003-06-27;0;19.5;77.9;2.4;
2003-06-28;.2;18.3;77.2;.7;
2003-06-29;0;18;79.5;2.5;
2003-06-30;0;17.2;77;1.8;
2003-07-01;.2;18;74.6;1.5;
2003-07-02;0;17.1;80.6;2.8;
2003-07-03;0;19.4;76.1;1.6;
2003-07-04;.2;18.5;79.3;2.3;
2003-07-05;0;19.2;76.2;1.6;
2003-07-06;0;18.6;83;2.5;
2003-07-07;.6;18.6;86.8;1.7;
2003-07-08;0;19;85.7;1.9;
2003-07-09;1.8;null;81.7;3.5;
2003-07-10;null;13.6;66.8;3.9;
2003-07-11;0;12.1;60.3;2.2;
2003-07-12;0;10.2;65.6;2.1;
2003-07-13;0;11.9;70.3;1.4;
2003-07-14;2.4;15.3;86.2;1;
2003-07-15;11.2;18.7;82.7;2.1;
2003-07-16;3;16.8;84;3.2;
2003-07-17;.4;15.8;69;2.6;
2003-07-18;.4;17.2;81;2.5;
2003-07-19;.2;20.4;75.3;2.2;
2003-07-20;0;21.1;71.9;2.6;
2003-07-21;0;20;70.3;3.4;
2003-07-22;0;17.1;77;2;
2003-07-23;0;18.7;80;2.7;
2003-07-24;0;17.6;88;1.5;
2003-07-25;0;18.2;86.8;1.8;
2003-07-26;.4;18.1;90;1.5;
2003-07-27;2.6;18.6;87.8;.9;
2003-07-28;1.2;17.5;84.6;1.5;
2003-07-29;0;19.9;78.2;2.8;
2003-07-30;0;17.7;78.4;2.2;
2003-07-31;0;16.3;84.3;1.5;
2003-08-01;0;17.9;79.2;2.5;
2003-08-02;0;19.8;73.1;2.9;
2003-08-03;0;19.8;76.8;2.7;
2003-08-04;0;20.1;77.3;3.2;
2003-08-05;0;20.5;78.6;2.6;
2003-08-06;1.4;19.8;74.5;1.1;
2003-08-07;0;18.3;60.2;1.6;
2003-08-08;0;15.8;69.9;2.1;
2003-08-09;0;16.1;62;2.8;
2003-08-10;0;12.6;54.8;1.6;
2003-08-11;0;14.8;63.5;2.1;
2003-08-12;0;15.3;65.3;1.6;
2003-08-13;0;null;63.8;null;
2003-08-14;null;null;74.4;1.7;
2003-08-15;null;15.3;82.9;2;
2003-08-16;1.4;14.8;66.2;2.5;
2003-08-17;0;13.4;62;1.6;
2003-08-18;0;14.4;72.8;1.7;
2003-08-19;.2;16.3;73;3;
2003-08-20;0;18.4;75.5;2.8;
2003-08-21;0;18.9;79.6;2.9;
2003-08-22;.2;19;80.4;2.8;
2003-08-23;0;18.9;80.6;2.5;
2003-08-24;0;18.5;84.5;2.4;
2003-08-25;6.8;15.5;67.5;4.1;
2003-08-26;0;12;64.7;2.3;
2003-08-27;0;null;65.8;2.9;
2003-08-28;null;12.9;63.8;2.2;
2003-08-29;0;12.6;72.8;2.8;
2003-08-30;.2;14.5;75.5;2.7;
2003-08-31;1.6;15;79.4;2.6;
2003-09-01;0;15.8;75.3;1.9;
2003-09-02;0;16;73.5;1.7;
2003-09-03;0;16;70.6;2.2;
2003-09-04;0;18.7;69.8;3.5;
2003-09-05;0;20.3;71.5;3.8;
2003-09-06;0;20.3;74.8;3.5;
2003-09-07;0;20.4;76;2.9;
2003-09-08;0;19.9;83.8;2.2;
2003-09-09;2;19.1;84.6;3.6;
2003-09-10;34.6;13.7;82.9;3;
2003-09-11;7.4;12;59.7;1.4;
2003-09-12;0;14.1;65;2.6;
2003-09-13;0;15.5;69.5;3.7;
2003-09-14;0;14.1;65.8;3.4;
2003-09-15;0;16.3;73.1;1.7;
2003-09-16;24.2;17.3;81.8;3.2;
2003-09-17;0;15.2;74.6;2.3;
2003-09-18;0;16.9;73.6;2;
2003-09-19;0;19.1;76.7;3.3;
2003-09-20;0;19.5;73.2;3.6;
2003-09-21;0;18.6;73;2.1;
2003-09-22;0;20;74.6;2.8;
2003-09-23;0;21.4;73.3;3.5;
2003-09-24;1.4;20.7;80.3;4;
2003-09-25;1.6;19.1;77.6;3.1;
2003-09-26;13;17.3;90.8;.8;
2003-09-27;3;19.7;81.4;2.4;
2003-09-28;0;20.9;76.2;3.2;
2003-09-29;23;18.4;82.2;3.9;
2003-09-30;0;18.7;69.6;1.7;
2003-10-01;1;19.6;75;2.5;
2003-10-02;0;20.6;71.9;3.3;
2003-10-03;0;21.7;72;2.4;
2003-10-04;0;22.3;79.3;3.2;
2003-10-05;0;null;null;null;
2003-10-06;null;null;null;null;
2003-10-07;null;null;null;null;
2003-10-08;null;null;null;null;
2003-10-09;null;null;82.8;null;
2003-10-10;null;null;null;null;
2003-10-11;null;null;null;null;
2003-10-12;null;null;null;null;
2003-10-13;null;null;null;null;
2003-10-14;null;null;null;null;
2003-10-15;null;null;null;null;
2003-10-16;null;19.9;60.8;3.3;
2003-10-17;0;19.6;64.2;3.6;
2003-10-18;0;20.6;70.9;3.8;
2003-10-19;0;22.6;74.3;2.3;
2003-10-20;3.6;21.4;69.3;3;
2003-10-21;1.8;20.5;83;1.8;
2003-10-22;3.2;20.4;74.3;3.2;
2003-10-23;0;20.1;61.5;2.1;
2003-10-24;0;21.6;72;3.3;
2003-10-25;.8;22.5;81.2;2.4;
2003-10-26;29;23.2;76.1;3.1;
2003-10-27;2.4;21.1;74.3;4.2;
2003-10-28;0;19.8;73.1;5.1;
2003-10-29;3.2;20;89.1;1.8;
2003-10-30;8;21.9;81;1.7;
2003-10-31;.6;23.6;73.3;3.3;
2003-11-01;5.4;20.3;79.5;3.7;
2003-11-02;8.2;18.5;64.8;5.8;
2003-11-03;0;17.8;65.3;2.9;
2003-11-04;0;18.4;64;1.8;
2003-11-05;0;19.3;66.5;1.8;
2003-11-06;.8;18.7;83.6;1.2;
2003-11-07;50.4;18.9;84.8;2.3;
2003-11-08;1.2;21.6;76.2;2.6;
2003-11-09;.2;21.7;75.5;2.3;
2003-11-10;0;23.3;75.6;1.5;
2003-11-11;0;23.9;73.2;3.6;
2003-11-12;0;24.3;73.1;3.9;
2003-11-13;10.4;23.4;68.5;3.8;
2003-11-14;0;20.6;56.8;2.8;
2003-11-15;0;21.4;74.2;3.5;
2003-11-16;0;21.9;83.1;2.1;
2003-11-17;34.4;24;77.4;2.6;
2003-11-18;0;27.1;62.9;2.5;
2003-11-19;0;26.2;45.8;2.9;
2003-11-20;0;21.7;64.4;4.6;
2003-11-21;0;21;56.2;3.4;
2003-11-22;0;22.4;67;4.1;
