Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Pane
Data Inicial: 2006-11-14
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-14;null;null;null;null;
2006-11-15;null;null;null;null;
2006-11-16;null;27.3;48.9;1.9;
2006-11-17;0;23.4;80.5;1.5;
2006-11-18;42.2;20.7;95.5;1.2;
2006-11-19;56;18.1;91.7;2.9;
2006-11-20;.6;19.6;74.3;2.1;
2006-11-21;3;21.5;75.5;1;
2006-11-22;0;23.8;61.4;1.1;
2006-11-23;0;26.4;52.4;1.6;
2006-11-24;0;22.6;82.1;1.5;
2006-11-25;31;22;90.1;1.2;
2006-11-26;3.8;25.1;77.5;2;
2006-11-27;0;23.4;77.3;2.2;
2006-11-28;4;23.7;76.8;1.4;
2006-11-29;0;22.8;69.9;2.1;
2006-11-30;1.6;24;58.1;1.8;
2006-12-01;0;25.8;60;1.6;
2006-12-02;0;26.5;54.2;.9;
2006-12-03;0;27.1;57.2;.8;
2006-12-04;0;28.6;55.4;1.3;
2006-12-05;0;27.4;64;1.9;
2006-12-06;3.2;25.4;73.4;2.3;
2006-12-07;0;23.5;63.5;2.2;
2006-12-08;0;25.7;58.6;1.5;
2006-12-09;0;26.6;62.4;1.3;
2006-12-10;0;26.2;44.8;2.3;
2006-12-11;0;26.4;49;1.5;
2006-12-12;0;27.1;54.8;1.1;
2006-12-13;0;27;59.5;1.2;
2006-12-14;0;27.4;63;1.7;
2006-12-15;27.2;25.9;76.1;1.4;
2006-12-16;0;28.5;69.9;.8;
2006-12-17;0;29.9;63.1;1.2;
2006-12-18;0;26.3;79;1.3;
2006-12-19;2;23.4;91.1;.9;
2006-12-20;36;22.9;87.8;2.3;
2006-12-21;15;23.5;79.5;.9;
2006-12-22;0;26;79.2;.8;
2006-12-23;0;null;84.4;1.2;
2006-12-24;null;null;94.8;1.9;
2006-12-25;null;null;null;null;
2006-12-26;null;null;58.8;null;
2006-12-27;0;23.9;63.1;1.2;
2006-12-28;0;25.8;62.6;1.1;
2006-12-29;0;26.9;66.3;1.9;
2006-12-30;30;25.8;75.3;1.2;
2006-12-31;0;27.8;66.4;1.7;
2007-01-01;0;27.8;65.7;1.5;
2007-01-02;0;27.6;67.5;1.2;
2007-01-03;0;25.9;79.8;1.1;
2007-01-04;0;24.3;87.6;1.2;
2007-01-05;8.4;26.3;78.5;1.8;
2007-01-06;0;25.5;70.3;3.3;
2007-01-07;0;24.9;67.5;4.1;
2007-01-08;0;26.3;67.5;2.8;
2007-01-09;0;27.4;74.4;1.4;
2007-01-10;9.2;28.1;74.8;1.2;
2007-01-11;5.2;23.4;92.5;1.8;
2007-01-12;5.8;24.5;84.3;1.4;
2007-01-13;.8;25.9;68;1;
2007-01-14;0;24.2;74;2.1;
2007-01-15;0;23.1;65.5;2.2;
2007-01-16;0;23.6;55.1;3;
2007-01-17;.2;24.5;75.6;.9;
2007-01-18;0;24.6;75.1;1.4;
2007-01-19;.2;22;85.7;1.7;
2007-01-20;43.4;20.5;86;2;
2007-01-21;0;20.9;77;3.2;
2007-01-22;0;23.8;71.3;1.3;
2007-01-23;0;25.9;76.2;1.3;
2007-01-24;0;26.3;76;1.1;
2007-01-25;.2;26.7;75.1;1.1;
2007-01-26;41.4;24.6;86.5;1.3;
2007-01-27;3.2;25.7;84.8;.9;
2007-01-28;0;24.5;88.8;1;
2007-01-29;12.8;24.2;80;1.3;
2007-01-30;0;25.5;75.8;1.5;
2007-01-31;0;26.1;75.1;1.7;
2007-02-01;0;25.5;70;1.7;
2007-02-02;0;24.8;62.8;1.7;
2007-02-03;0;25.5;65.3;1.7;
