Nome: CACAPAVA DO SUL
Codigo Estacao: A812
Latitude: -30.54527777
Longitude: -53.46694443
Altitude: 420.82
Situacao: Operante
Data Inicial: 2006-06-21
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-06-21;null;null;null;null;
2006-06-22;null;null;null;null;
2006-06-23;null;null;67.9;null;
2006-06-24;0;16.3;86.5;5.2;
2006-06-25;0;16.3;87;5.7;
2006-06-26;21.2;8.8;97;9.3;
2006-06-27;1.6;9.2;85.5;3.1;
2006-06-28;0;8.7;78.6;2.9;
2006-06-29;0;10.5;84.3;4.6;
2006-06-30;0;11.1;90.9;4.1;
2006-07-01;0;13.4;88.7;2.3;
2006-07-02;0;11.9;99.1;1.6;
2006-07-03;.2;12.6;97.8;2.9;
2006-07-04;0;15.8;93.7;2.7;
2006-07-05;.2;16.6;89.5;2.3;
2006-07-06;0;14.9;null;3.5;
2006-07-07;.2;16.9;null;4.3;
2006-07-08;.2;19.9;75.3;4.2;
2006-07-09;15.2;13.1;74.9;6.1;
2006-07-10;0;9.8;67.5;3.3;
2006-07-11;0;12.8;90.1;5.4;
2006-07-12;42.6;20.3;77.3;5.3;
2006-07-13;0;22.5;60.2;4.4;
2006-07-14;23;11.7;98.8;5.7;
2006-07-15;12.4;11.7;99.9;5.7;
2006-07-16;1.4;13.8;99.6;5.4;
2006-07-17;5;17.8;89.3;1.9;
2006-07-18;0;17.9;87.6;3.4;
2006-07-19;0;18.1;71.2;4.4;
2006-07-20;0;17.2;62.2;2.8;
2006-07-21;0;19.2;65.6;3.8;
2006-07-22;0;21;57;5;
2006-07-23;0;16.1;76.4;4.6;
2006-07-24;0;12.7;94.9;5.4;
2006-07-25;4.2;16.2;100;3.8;
2006-07-26;.2;16.9;97;3.8;
2006-07-27;8.4;17.2;96;5.8;
2006-07-28;1.6;12.3;70.4;5.9;
2006-07-29;0;6.6;71.6;7.6;
2006-07-30;0;3.7;76.9;3.5;
2006-07-31;0;4.8;75.3;2.1;
2006-08-01;0;6.2;67.7;2.7;
2006-08-02;0;6.6;71.6;3.5;
2006-08-03;0;8.3;88.8;4.4;
2006-08-04;0;11.2;94;2.4;
2006-08-05;0;16.3;86.9;2.6;
2006-08-06;4.2;13.4;99.1;3.9;
2006-08-07;.2;18.3;79.5;5;
2006-08-08;0;20.9;67.3;4.2;
2006-08-09;0;20.1;69;4.9;
2006-08-10;26.6;12.5;78.2;3.4;
2006-08-11;3;11.8;91.3;5.4;
2006-08-12;81;19.1;87.6;3.7;
2006-08-13;1;19.7;87.4;4.3;
2006-08-14;1.8;19.8;83.1;6.2;
2006-08-15;10.8;null;90.4;4.9;
2006-08-16;null;9.6;83.8;3.5;
2006-08-17;1.2;9.9;85.5;1.8;
2006-08-18;2;9.8;84.4;3.5;
2006-08-19;0;8.9;71;3.3;
2006-08-20;0;9.1;65.6;6.8;
2006-08-21;0;5.3;69.6;3.2;
2006-08-22;0;8.7;59.8;3.2;
2006-08-23;0;15;45.5;4.2;
2006-08-24;0;17.2;54.3;2.8;
2006-08-25;0;19.5;56.2;4.1;
2006-08-26;1.8;17.6;80;4.9;
2006-08-27;9.8;11.4;83.1;5.7;
2006-08-28;0;7.6;67;3.2;
2006-08-29;0;9.4;60.1;2.3;
2006-08-30;0;10.1;72.1;5.9;
2006-08-31;10.6;13.7;88;3.1;
2006-09-01;.2;13.8;92.3;3.3;
2006-09-02;10.4;10;96.6;8.5;
2006-09-03;2.6;6.7;71.9;8.1;
2006-09-04;0;4.9;73.2;5.7;
2006-09-05;0;5.9;69.1;3.4;
2006-09-06;0;7.9;69.8;3.8;
2006-09-07;0;10.7;71.7;6;
2006-09-08;0;13.5;78;4;
2006-09-09;21.8;15.4;79.4;3.4;
2006-09-10;0;15.8;67.8;3.6;
2006-09-11;0;21.9;74.7;5.9;
2006-09-12;0;18.5;81.3;3.7;
2006-09-13;28.2;9.7;94.9;5.9;
2006-09-14;14.6;12.9;100;3.3;
2006-09-15;64.8;14.4;80.9;4.2;
2006-09-16;0;13.1;58.4;3.8;
2006-09-17;0;13;73.9;3.6;
2006-09-18;0;16.2;73.7;1.7;
2006-09-19;0;17.5;72.3;4.4;
2006-09-20;0;15;89.6;3.8;
2006-09-21;1.8;14.7;91.2;3.5;
2006-09-22;.2;16.1;88.5;4.8;
2006-09-23;0;16;66.9;5;
2006-09-24;0;10.4;64.8;3.5;
2006-09-25;0;12;71.4;2.8;
2006-09-26;0;14.3;59.1;6.6;
2006-09-27;0;16.2;72.5;4.6;
2006-09-28;0;16.9;71.4;3.7;
2006-09-29;0;13.2;74.6;5.1;
2006-09-30;0;14.6;75;6;
2006-10-01;0;16.6;82.8;4;
2006-10-02;0;19;80.8;3.1;
2006-10-03;0;20;78.7;2.7;
2006-10-04;.8;18.9;91.5;3.8;
2006-10-05;31.8;16.4;92.9;4.6;
2006-10-06;5.8;13;73.5;5.2;
2006-10-07;0;14.3;84.9;3.2;
2006-10-08;0;14.6;74.5;3.5;
2006-10-09;0;17.1;78.4;4.5;
2006-10-10;0;22.7;76.3;3.8;
2006-10-11;32.4;18.7;90.2;3.2;
2006-10-12;0;17.3;86.4;4.5;
2006-10-13;0;19.3;88.4;4.9;
2006-10-14;.2;21.5;85.8;5.6;
2006-10-15;39.2;17.8;94.9;4.2;
2006-10-16;9.2;14.8;61.6;4.9;
2006-10-17;0;14.9;76.8;5.7;
2006-10-18;0;15.6;80.3;6;
2006-10-19;0;15.6;79.2;6.1;
2006-10-20;0;15.2;78.1;4.5;
2006-10-21;0;15.9;66;4;
