Nome: SAO JOAQUIM
Codigo Estacao: A815
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.06
Situacao: Operante
Data Inicial: 2008-04-11
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-11;null;null;null;null;
2008-04-12;null;null;null;null;
2008-04-13;null;13.9;89.6;4.5;
2008-04-14;31.4;8.4;91;3.7;
2008-04-15;.2;6.8;77.3;2.6;
2008-04-16;4.2;11.1;93.9;2.7;
2008-04-17;5.2;12.9;90.2;1.6;
2008-04-18;.2;13;77;2.2;
2008-04-19;0;14;75;1.8;
2008-04-20;12.2;11.2;89.2;4.9;
2008-04-21;18.4;13.4;90.2;4.3;
2008-04-22;3.2;13.8;78.7;2;
2008-04-23;0;13.1;86.3;2.5;
2008-04-24;.2;13.1;78.8;2;
2008-04-25;0;13.7;68;2.2;
2008-04-26;0;13.5;78.3;2.5;
2008-04-27;1.2;14;80.3;2.6;
2008-04-28;15;13.8;92.2;2.8;
2008-04-29;62.4;12.9;94;2.8;
2008-04-30;4.6;4.7;76.6;2;
2008-05-01;.2;8.4;78.8;3.4;
2008-05-02;11.4;10.5;91;5.3;
2008-05-03;40.8;8.5;96.7;4.4;
2008-05-04;23.2;10.3;95.2;4.2;
2008-05-05;3.2;8;88.7;3.8;
2008-05-06;.6;7.1;78;3.5;
2008-05-07;0;9.5;61.5;1.4;
2008-05-08;0;8.8;74.1;1.8;
2008-05-09;.4;6.5;80.3;2.2;
2008-05-10;0;8.1;64.5;2.1;
2008-05-11;.2;8;81.8;2.5;
2008-05-12;0;9.7;81.4;2;
2008-05-13;.2;10.9;78.5;1.9;
2008-05-14;.2;11.7;67.6;1.8;
2008-05-15;0;11.6;62.6;2.5;
2008-05-16;0;10.3;68.7;2.1;
2008-05-17;0;11.8;55.7;2.5;
2008-05-18;.2;13.6;64.9;2.6;
2008-05-19;0;15.7;71.5;1.8;
2008-05-20;0;16.9;76.1;2.3;
2008-05-21;null;null;64.8;null;
2008-05-22;.2;17.7;63.4;2;
2008-05-23;0;16.9;66.5;1.6;
2008-05-24;0;13.8;78.8;4;
2008-05-25;0;8.5;77.1;3.3;
2008-05-26;0;10.1;49.8;2.3;
2008-05-27;0;14.7;52.3;2.6;
2008-05-28;0;15.6;72.1;3.8;
2008-05-29;23.6;11.5;96.4;3.4;
2008-05-30;1.2;2;83;4;
2008-05-31;null;null;50.2;1.7;
2008-06-01;0;6.1;84.6;1.9;
2008-06-02;0;9.1;83.5;2.1;
2008-06-03;9.4;7.6;95.5;2;
2008-06-04;15.8;9.5;91.6;1.5;
2008-06-05;.2;11.6;88.1;3.8;
2008-06-06;0;13.4;95.6;5.1;
2008-06-07;13.8;12.1;93.4;2;
2008-06-08;.8;14.3;85.9;2.4;
2008-06-09;5.6;11.6;85.5;4.2;
2008-06-10;11.6;2.6;88.2;6.4;
2008-06-11;0;5.7;49.1;2;
2008-06-12;3;7.8;71.4;1.8;
2008-06-13;1.2;9.9;86.3;1.4;
2008-06-14;10.8;11.5;89;4.9;
2008-06-15;0;4.6;70.5;5.7;
2008-06-16;null;null;66.6;2.9;
2008-06-17;0;8.6;32.2;2.4;
2008-06-18;0;11.4;22.9;2;
2008-06-19;0;13.3;35.2;2.4;
2008-06-20;0;12.6;82.7;5;
2008-06-21;6.8;3.1;93.3;4.4;
2008-06-22;.2;3.2;90;2.6;
2008-06-23;0;3.5;73;1.4;
2008-06-24;.4;6.6;88;3.7;
2008-06-25;0;8.2;84.9;3.9;
2008-06-26;0;7.9;93.3;5.3;
2008-06-27;19.8;10.3;95;3.6;
2008-06-28;45;10.5;92.2;3.5;
2008-06-29;29.4;10.4;88.3;1.3;
2008-06-30;.2;10.4;83.5;2.9;
2008-07-01;.4;10.3;71.5;3.4;
2008-07-02;0;11.7;64.7;2.4;
2008-07-03;7.2;9.3;91.6;2;
2008-07-04;4.8;10.3;82.5;1.6;
2008-07-05;0;12.1;73.3;1.8;
2008-07-06;0;11.5;69.8;2.2;
2008-07-07;0;13.8;58;2.6;
2008-07-08;0;11.7;84.6;2;
2008-07-09;8;12.1;87.5;2;
2008-07-10;6.2;13;73.8;2.6;
2008-07-11;0;11.8;74.7;2.9;
2008-07-12;.2;10.5;79.3;6.3;
2008-07-13;0;12.1;76.2;3.9;
2008-07-14;.2;14.4;62.2;1.7;
2008-07-15;0;14;58.3;2.2;
2008-07-16;0;14.8;24.6;2.7;
