Nome: SAO JOSE DOS AUSENTES
Codigo Estacao: A829
Latitude: -28.7486111
Longitude: -50.05777777
Altitude: 1228.59
Situacao: Operante
Data Inicial: 2006-10-25
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-25;null;null;null;null;
2006-10-26;null;null;null;null;
2006-10-27;null;11.9;70;4.4;
2006-10-28;0;16.1;53.9;4.3;
2006-10-29;0;18;59.3;5.8;
2006-10-30;0;19.4;78.3;4.9;
2006-10-31;0;18.8;83.2;4.7;
2006-11-01;2;17.8;86.8;4.9;
2006-11-02;14.6;15.8;93;3.3;
2006-11-03;0;15.3;88.9;6.4;
2006-11-04;.2;11.8;98.8;8.2;
2006-11-05;.4;15.3;88.9;7.7;
2006-11-06;20.2;15.5;89.9;8.9;
2006-11-07;8.6;11.4;86.5;4.9;
2006-11-08;0;9.3;78.1;3.2;
2006-11-09;0;8.8;65.8;3.9;
2006-11-10;0;10.9;60.4;4.7;
2006-11-11;0;10.2;82.6;5.5;
2006-11-12;0;10.1;94.1;8.9;
2006-11-13;0;11.2;88;7.2;
2006-11-14;.2;14.4;73.8;6.8;
2006-11-15;0;null;72.7;7.3;
2006-11-16;null;null;null;null;
2006-11-17;null;null;null;null;
2006-11-18;null;null;null;null;
2006-11-19;null;null;null;null;
2006-11-20;null;null;null;null;
2006-11-21;null;null;null;null;
2006-11-22;null;null;null;null;
2006-11-23;null;null;null;null;
2006-11-24;null;null;null;null;
2006-11-25;null;null;null;null;
2006-11-26;null;null;null;null;
2006-11-27;null;null;null;null;
2006-11-28;null;null;null;null;
2006-11-29;null;null;null;null;
2006-11-30;null;null;null;null;
2006-12-01;null;14;86.6;6.8;
2006-12-02;0;16.6;71.9;6.4;
2006-12-03;0;18.4;76.3;4.9;
2006-12-04;0;18.6;80.7;4.9;
2006-12-05;10.6;16.1;92.8;5.2;
2006-12-06;6.4;16;97;6.4;
2006-12-07;5;12;96.4;5.5;
2006-12-08;.2;12.1;94.7;5.5;
2006-12-09;0;16.4;91.2;5.7;
2006-12-10;10.8;17.5;89.7;4.8;
2006-12-11;.4;15.6;95.7;5.5;
2006-12-12;0;17.1;85;5.7;
2006-12-13;.2;17.4;84.3;7.1;
2006-12-14;0;19.6;79.4;7.5;
2006-12-15;2.8;21.3;79.5;5.8;
2006-12-16;0;21.2;76.3;4.6;
2006-12-17;.4;22.2;76.4;5.1;
2006-12-18;0;20.4;83.7;5.1;
2006-12-19;26.8;18.6;90.1;7.1;
2006-12-20;15;19.3;86.8;8.2;
2006-12-21;6.2;17.8;89.1;4.9;
2006-12-22;.2;17.9;89.3;3.8;
2006-12-23;.2;null;80.6;null;
2006-12-24;null;19;84;7.1;
2006-12-25;null;null;null;null;
2006-12-26;null;null;69.2;null;
2006-12-27;.2;15.4;82.9;3.8;
2006-12-28;.2;17.2;87.3;5.5;
2006-12-29;0;18.7;88;5.1;
2006-12-30;.2;19.4;83.3;5.5;
2006-12-31;0;19.4;76.4;4.3;
2007-01-01;0;18.2;85.5;6.8;
2007-01-02;0;19.6;83.6;6.7;
2007-01-03;0;19.6;87.5;4.9;
2007-01-04;27.6;19.8;90;5.9;
2007-01-05;2.4;19.4;94.8;3.8;
2007-01-06;8;16.5;94.8;5.8;
2007-01-07;.6;14;97.4;6.8;
2007-01-08;0;14.1;96.3;6.3;
2007-01-09;0;17.2;92.1;4.7;
2007-01-10;.6;19.5;86;5.9;
2007-01-11;0;19.7;90.2;5.4;
2007-01-12;36;17.8;94.3;4.9;
2007-01-13;6.4;17.7;71;2.8;
2007-01-14;0;15.3;85.4;3.4;
2007-01-15;0;14.8;88.2;5.9;
2007-01-16;.2;13.3;86.4;5;
2007-01-17;0;16.6;87.4;7.8;
2007-01-18;1.8;17.8;90.4;6.1;
2007-01-19;10.2;17.9;88;3.5;
2007-01-20;3.8;17.3;89.1;6.6;
2007-01-21;4.4;12.6;98.5;7.5;
2007-01-22;.2;13.2;98.2;6.3;
2007-01-23;.2;17.4;87.1;6.2;
2007-01-24;.2;19.4;85.8;5.1;
2007-01-25;0;20.2;84;4.6;
2007-01-26;0;19;81.1;5.5;
2007-01-27;4.2;20.5;87;6.1;
2007-01-28;.4;19.2;89;4;
2007-01-29;29.4;16.3;96.1;4.7;
2007-01-30;3.4;16.7;91.9;4.5;
2007-01-31;.4;17;94.7;5;
2007-02-01;9.2;18.1;88.1;4.3;
2007-02-02;0;17.5;74.3;4.4;
2007-02-03;0;17.1;66.5;4.3;
2007-02-04;0;19;71.5;5.8;
2007-02-05;0;17.6;83.5;6.5;
2007-02-06;14.2;19.4;78.4;10.1;
2007-02-07;3.2;17.8;87;5.9;
2007-02-08;4.4;15.8;94.7;6.4;
2007-02-09;1.4;15.5;93.3;7.5;
2007-02-10;.2;18.7;89.1;4.9;
2007-02-11;4.2;14.8;91.3;6.7;
2007-02-12;1.2;12.8;90.3;6.1;
2007-02-13;0;14.2;89.7;6;
2007-02-14;0;15.5;90.7;5.7;
2007-02-15;5.4;16.4;88.6;5;
2007-02-16;0;18.9;82.8;6.4;
2007-02-17;0;19.6;84.9;8.9;
2007-02-18;21.4;16.2;98;4.6;
2007-02-19;16.2;12.4;98.7;5.9;
2007-02-20;20.8;15.4;97.7;5.3;
2007-02-21;1.6;16.7;98.3;6.2;
2007-02-22;3.8;19.3;90;5.1;
2007-02-23;23;19.1;93;5.3;
2007-02-24;34.4;18;95.3;6.7;
2007-02-25;29.6;19.3;87.9;4.4;
2007-02-26;.2;18.7;79.2;4.6;
2007-02-27;.4;18.9;79.5;7.2;
2007-02-28;0;19.2;86.4;5.4;
2007-03-01;16.8;19.9;81.5;7.3;
2007-03-02;0;19.6;88;6.5;
2007-03-03;22.2;17.7;96;4.8;
2007-03-04;26.6;20;80.4;6.7;
2007-03-05;0;19.6;88.3;5.6;
2007-03-06;7;20.9;74.9;4.5;
2007-03-07;7.2;19.8;80.5;4.1;
2007-03-08;44.6;20.6;73.9;6.7;
2007-03-09;0;19.1;87.4;6.1;
2007-03-10;14;17.8;90.5;3.2;
2007-03-11;1.6;16.6;93.1;3.2;
2007-03-12;.2;17.3;92.1;5.9;
2007-03-13;.4;18.1;91.9;4;
2007-03-14;1.6;17.6;90.2;4;
2007-03-15;.2;18.5;91.3;6.2;
