Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-20;null;null;null;null;
2007-07-21;null;null;null;null;
2007-07-22;null;15.2;88;4.4;
2007-07-23;.6;9.7;59.6;1.5;
2007-07-24;0;8.5;64.6;2.6;
2007-07-25;0;7.9;69.6;2.9;
2007-07-26;0;10.3;62.6;1.8;
2007-07-27;0;11.2;70.5;2.5;
2007-07-28;0;8.5;57.9;4.5;
2007-07-29;0;8.1;57.5;4;
2007-07-30;0;11.8;67.5;2.9;
2007-07-31;0;12.9;74.8;2;
2007-08-01;0;16.1;72;2.3;
2007-08-02;.2;13.9;84.4;3.8;
2007-08-03;.8;12.1;92.7;3.3;
2007-08-04;6.2;9;87.9;2.9;
2007-08-05;2.4;7.7;82.7;2.3;
2007-08-06;0;10.8;89.2;1.8;
2007-08-07;1.4;9.9;76.1;1.3;
2007-08-08;0;12.8;64.6;3.4;
2007-08-09;0;21.8;60.2;4;
2007-08-10;1.2;13.3;84.9;4.8;
2007-08-11;.8;8.8;72.4;1.7;
2007-08-12;0;14.4;70.2;4;
2007-08-13;0;21.2;73.1;3.8;
2007-08-14;0;22.9;62.8;4.4;
2007-08-15;0;23.9;53;4.4;
2007-08-16;0;16;79.7;5.2;
2007-08-17;0;10.6;85.3;5.5;
2007-08-18;.2;10.4;84;3.4;
2007-08-19;0;11.5;93;3.1;
2007-08-20;2;9;82.6;2.9;
2007-08-21;0;11;68.5;3.1;
2007-08-22;0;16;64.8;2.7;
2007-08-23;0;22.3;61.3;3;
2007-08-24;0;19.9;67.5;3.9;
2007-08-25;7.2;16;79.5;4.6;
2007-08-26;0;13.4;86.6;5;
2007-08-27;.2;9.5;73.5;2.2;
2007-08-28;0;10.2;66.8;2.5;
2007-08-29;0;13.1;58.2;3.3;
2007-08-30;0;14.7;71.5;3.4;
2007-08-31;0;17;75.7;2.3;
2007-09-01;0;17;78.8;2.6;
2007-09-02;.8;17.9;76.8;2.6;
2007-09-03;0;22.4;71.4;2.8;
2007-09-04;0;25.8;52.7;3.7;
2007-09-05;0;25.7;51.8;4.2;
2007-09-06;0;24;62.9;4.9;
2007-09-07;0;25.1;62.3;2.9;
2007-09-08;0;26.5;54.5;3.4;
2007-09-09;0;27.4;46.5;3.9;
2007-09-10;0;26.7;48.5;3.7;
2007-09-11;0;24.4;55.2;3.2;
2007-09-12;.4;21.6;72.5;3.2;
2007-09-13;11.2;23.7;65.4;3.5;
2007-09-14;0;20.4;78.7;4.2;
2007-09-15;28;18.9;92.3;2.6;
2007-09-16;2.2;20;85.8;2.6;
2007-09-17;0;21;73.6;5.2;
2007-09-18;48.8;19;90.1;3.9;
2007-09-19;15.6;16.2;75.2;2.1;
2007-09-20;.8;15.5;83.3;2.3;
2007-09-21;18.2;18.7;89.2;3.3;
2007-09-22;36.6;18.7;92.6;4.2;
2007-09-23;82;16.6;93;4.4;
2007-09-24;10.8;11.9;65.9;4.4;
2007-09-25;0;12.2;65.2;2.9;
2007-09-26;0;13.1;76.6;4;
2007-09-27;.6;16.9;75.2;2.3;
2007-09-28;.2;18;67.5;2.3;
2007-09-29;0;21.5;52.3;5.4;
2007-09-30;0;22.5;57.8;4.7;
2007-10-01;0;23.2;59.6;4.6;
2007-10-02;0;23.2;64.5;4.7;
2007-10-03;3.8;25.1;66.3;3.9;
2007-10-04;0;25.6;63.3;3.6;
2007-10-05;0;26.1;57.4;4;
2007-10-06;0;22;78.3;4;
2007-10-07;12.2;20;85.5;3.8;
2007-10-08;0;22;73.9;3.7;
2007-10-09;0;25.8;70.6;3.8;
2007-10-10;16.2;22.1;85.3;4;
2007-10-11;16.4;19.7;93;3.2;
2007-10-12;40.8;19.2;89.5;4.7;
2007-10-13;.4;16.8;78.2;2.8;
2007-10-14;0;17.5;76.7;3.6;
2007-10-15;4.4;19.1;91;2.1;
2007-10-16;1;19.2;83.5;3.3;
2007-10-17;.2;19.1;73.5;.9;
2007-10-18;0;21.8;67.6;1.9;
2007-10-19;0;23.8;62.5;2.3;
2007-10-20;0;24.4;71.7;2.9;
2007-10-21;0;22.2;75.4;2.8;
2007-10-22;0;23;68.5;3.9;
2007-10-23;0;22.5;56.9;4.2;
2007-10-24;0;22.7;65.6;3.9;
2007-10-25;0;24.5;66;2.9;
2007-10-26;0;26;68.1;2.1;
2007-10-27;0;22.4;77.8;2.5;
2007-10-28;6.6;24.1;76.7;2.8;
2007-10-29;16.2;21.1;80.3;6.1;
2007-10-30;64.8;19.4;90.8;3.3;
2007-10-31;27.6;25.2;77.9;3.5;
2007-11-01;29.4;20.2;86.4;4.2;
2007-11-02;0;18.5;66.5;2.1;
2007-11-03;0;19.1;66.8;1.7;
2007-11-04;1;18.6;59.2;3.5;
2007-11-05;0;17.2;48.8;2.4;
2007-11-06;0;20.2;52;2.3;
2007-11-07;0;23.3;50.2;2.3;
2007-11-08;0;25.8;59.4;2.4;
2007-11-09;0;22.3;81.3;2.8;
2007-11-10;1.4;19.3;86.4;2.4;
2007-11-11;2.2;16.7;60;3.3;
2007-11-12;0;17.8;49.8;2.9;
2007-11-13;0;21.3;58.7;2.9;
2007-11-14;6;19.6;69;4.2;
2007-11-15;0;14.8;51.6;3.8;
2007-11-16;null;null;null;null;
2007-11-17;null;null;null;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;null;null;
2007-11-20;null;26.1;63.5;1.9;
2007-11-21;0;25.7;55.9;2;
2007-11-22;0;26;58.3;2.9;
2007-11-23;0;23.4;76.8;2.5;
2007-11-24;11.6;19.4;85;3.1;
2007-11-25;.2;20.6;68.1;2.6;
2007-11-26;0;22.2;53.2;2.8;
2007-11-27;0;24.2;49.7;2.7;
2007-11-28;0;24.7;51.1;3.3;
2007-11-29;0;24.6;50.7;3.8;
2007-11-30;0;25.6;46.8;3.8;
2007-12-01;0;27.3;50.3;3.3;
2007-12-02;0;26;58.2;3;
2007-12-03;0;27.2;53;1.9;
2007-12-04;0;28;54.2;3.7;
2007-12-05;7.6;22.3;79.2;3.3;
2007-12-06;0;22.4;63.5;3.1;
2007-12-07;0;23.8;51;1.9;
2007-12-08;0;25.4;51.6;2.3;
2007-12-09;0;27.5;44.4;2.1;
2007-12-10;null;null;null;null;
2007-12-11;null;null;null;null;
2007-12-12;null;null;null;null;
2007-12-13;null;null;null;null;
2007-12-14;null;null;null;null;
2007-12-15;null;null;null;null;
2007-12-16;null;null;null;null;
2007-12-17;null;null;null;null;
2007-12-18;null;null;49.5;null;
2007-12-19;0;25.5;55.3;1.7;
2007-12-20;0;26.6;44.1;2.2;
2007-12-21;0;27.9;44.6;2.5;
2007-12-22;0;28.3;50.2;1.8;
2007-12-23;0;29;46.3;2.7;
2007-12-24;0;25.6;63.4;3;
2007-12-25;12.8;24;73.2;1.4;
2007-12-26;0;27.7;62.8;1.5;
2007-12-27;1.6;24.8;77.7;2.3;
2007-12-28;4.4;24.9;84.8;2.2;
2007-12-29;8.8;23.6;86.4;2.6;
2007-12-30;21.8;25.5;77.1;2.4;
2007-12-31;0;26.6;69.6;1.8;
2008-01-01;0;29.1;59.5;2.1;
2008-01-02;0;27.5;68;2.7;
2008-01-03;2.8;26;78.9;2.9;
2008-01-04;3;26.5;73.2;2.8;
2008-01-05;0;26.8;63.3;3.2;
2008-01-06;0;27;53.8;2.6;
2008-01-07;0;27.6;51.8;2.7;
2008-01-08;0;28.7;45.2;2.4;
2008-01-09;0;30;47.3;1.9;
2008-01-10;0;30.3;49.7;2.7;
2008-01-11;8;25.8;69.1;4;
2008-01-12;0;24.4;62.7;3.7;
2008-01-13;0;26.6;62;3.4;
2008-01-14;0;29.9;56.8;3.2;
2008-01-15;0;30.3;52.1;2.5;
2008-01-16;0;28.2;68.2;2.4;
2008-01-17;0;27.2;72.5;2;
2008-01-18;0;24.2;83.2;3.9;
2008-01-19;26.8;23.1;71.4;4;
2008-01-20;0;23.1;56.5;4;
2008-01-21;0;23.7;52.1;4.8;
2008-01-22;0;24.5;61.6;4;
2008-01-23;0;25.5;56.3;4.2;
2008-01-24;0;26.9;57.7;3.3;
2008-01-25;0;27.8;56.3;3.5;
2008-01-26;0;26.7;59;4.4;
2008-01-27;0;26.9;53.8;4.2;
2008-01-28;0;25.7;64.2;2.3;
2008-01-29;.2;24.6;76.3;2.1;
2008-01-30;0;25;72.6;2.9;
2008-01-31;0;24;72.8;2.5;
2008-02-01;9.6;23.4;77;1.9;
2008-02-02;.2;24.3;72.3;2.8;
2008-02-03;0;24.1;63.4;2.7;
2008-02-04;0;22.9;47.3;2.2;
2008-02-05;0;25.8;43.3;3.1;
2008-02-06;0;27.2;51.1;3.4;
2008-02-07;4.2;28.6;54.2;2.6;
2008-02-08;0;29.1;48.9;3.2;
2008-02-09;11.6;24;82.6;2.1;
2008-02-10;3.2;24.4;74.3;2.2;
2008-02-11;0;23.6;66.5;3.1;
2008-02-12;4.8;23.2;67.8;2.4;
2008-02-13;0;24.3;59.9;1.6;
2008-02-14;0;26.9;50.2;3;
2008-02-15;.2;24.3;71.9;3.1;
2008-02-16;3.4;25.6;75.3;1.8;
2008-02-17;4.8;28.4;64;1.9;
2008-02-18;0;28.1;56.6;3.6;
2008-02-19;0;26.8;59.2;3.2;
2008-02-20;0;28.2;56.4;2.7;
2008-02-21;0;null;49.9;2.4;
2008-02-22;null;26.6;49.5;2.6;
2008-02-23;0;28.5;47;2.6;
2008-02-24;0;28.1;49.5;3.4;
2008-02-25;0;28.2;54.2;3.1;
2008-02-26;9;24.4;81.2;2;
2008-02-27;1.4;25.2;79.1;1.7;
2008-02-28;1.4;23.3;86.9;2.5;
2008-02-29;37;23.6;81.3;1.8;
2008-03-01;.4;22.4;85.5;2.2;
2008-03-02;44;22.2;87.5;3.5;
2008-03-03;1;23;80.9;3.9;
2008-03-04;0;23.1;75.3;3.8;
2008-03-05;0;22.5;70.8;1.5;
2008-03-06;0;23.1;66;1.3;
2008-03-07;0;24.9;60;1.5;
2008-03-08;0;27.3;50.9;2.7;
2008-03-09;0;27.2;68.6;2.6;
2008-03-10;14.4;24.1;80;3.3;
2008-03-11;12;23.7;78;3.8;
2008-03-12;0;22.8;70.8;3.1;
2008-03-13;0;22.3;64.1;3.1;
2008-03-14;0;21.9;63.3;3.4;
2008-03-15;0;22.7;60.2;3.9;
2008-03-16;0;24.1;58.5;3;
2008-03-17;0;25.8;57;2.8;
2008-03-18;0;26.3;48;3.3;
2008-03-19;0;26.9;51;2.8;
2008-03-20;0;27.3;61.6;2;
2008-03-21;0;26.7;65.4;1.8;
2008-03-22;0;25.3;74.8;2.9;
2008-03-23;7.6;23.9;73.1;3.2;
2008-03-24;0;23.7;67.4;3;
2008-03-25;0;24.3;67.1;2;
2008-03-26;0;26.8;60.6;1.9;
2008-03-27;0;23.2;81.5;2.8;
2008-03-28;15.6;23.2;79.6;2.4;
2008-03-29;0;23.9;65.4;4.2;
2008-03-30;0;23.3;63.5;3.2;
2008-03-31;13.8;23.5;74;2.8;
2008-04-01;0;23.2;80.6;1.7;
2008-04-02;0;21.2;70.6;2.5;
2008-04-03;0;17.4;73.8;2;
2008-04-04;0;17.6;61;1.6;
2008-04-05;0;19.4;58.1;1.4;
2008-04-06;0;22.4;52.8;2;
