Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2007-01-08
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-01-08;null;null;null;null;
2007-01-09;null;null;null;null;
2007-01-10;null;null;72;null;
2007-01-11;.2;25.8;85.1;2.4;
2007-01-12;0;26.1;76.3;2.8;
2007-01-13;0;26.1;63;4.4;
2007-01-14;0;19.1;57.3;3.9;
2007-01-15;0;19.6;64.4;3.2;
2007-01-16;0;19;61.2;1.5;
2007-01-17;0;23;56.8;2.8;
2007-01-18;.2;24.9;63.7;3.7;
2007-01-19;0;22.1;82;2.7;
2007-01-20;4.6;19.8;82;2.2;
2007-01-21;2.4;19.7;70.2;2.1;
2007-01-22;0;21.8;68.1;3.8;
2007-01-23;0;25.7;69.6;3.2;
2007-01-24;0;28;69.3;2.3;
2007-01-25;0;26.3;78.2;2.5;
2007-01-26;0;25.5;81.3;3.2;
2007-01-27;0;26.9;74;3.7;
2007-01-28;0;23.3;72.8;3.8;
2007-01-29;0;22.7;68.2;2.8;
2007-01-30;0;23.3;67.4;1.9;
2007-01-31;0;22.9;68.3;1.5;
2007-02-01;.2;25.3;66.3;3.1;
2007-02-02;0;26.3;61.3;2;
2007-02-03;0;28.1;51.2;2.6;
2007-02-04;0;26.3;61.2;3.4;
2007-02-05;37.4;22.8;87.3;2.7;
2007-02-06;23;24.3;77.4;4.5;
2007-02-07;.4;22.4;68.6;3.8;
2007-02-08;0;21.7;68.5;1.9;
2007-02-09;.2;24;67.1;3.5;
2007-02-10;0;23.2;75.2;2.8;
2007-02-11;7.6;21.8;72.8;2.9;
2007-02-12;0;20.1;66.8;2.2;
2007-02-13;0;22;73.2;3.2;
2007-02-14;0;23.9;74.8;3.3;
2007-02-15;0;24.5;75.6;3.9;
2007-02-16;0;26.9;68.3;3.5;
2007-02-17;13.4;24.3;85.1;3.5;
2007-02-18;4.8;19;69.3;4.8;
2007-02-19;0;18.8;75.4;1.8;
2007-02-20;0;21;74.8;2.2;
2007-02-21;0;22.2;77.2;3.3;
2007-02-22;0;24.7;82.8;3.3;
2007-02-23;1.8;22.9;86.5;1.8;
2007-02-24;17;24.4;82.3;2.5;
2007-02-25;0;25.7;74;2.1;
2007-02-26;0;26.8;74.5;2.2;
2007-02-27;0;26.5;73.3;3.7;
2007-02-28;14.2;23.7;87.2;1.9;
2007-03-01;0;26.7;78.1;4;
2007-03-02;61.2;19.9;88.8;2.7;
2007-03-03;6.4;21.1;69.7;4.1;
2007-03-04;.6;24;81.1;3.3;
2007-03-05;0;24.1;83;2.9;
2007-03-06;0;23.4;89.5;1.4;
2007-03-07;5.6;24.8;89;2.8;
2007-03-08;14;26.2;78.4;3.1;
2007-03-09;28.6;21.8;86;4.4;
2007-03-10;0;21;71.4;3.8;
2007-03-11;0;19.4;76;2.3;
2007-03-12;0;21.1;74;1.6;
2007-03-13;0;21.6;81.3;1.8;
2007-03-14;0;25.4;81.5;3.2;
2007-03-15;.2;23.9;81.5;3.5;
2007-03-16;0;21.5;82.5;2.8;
2007-03-17;0;21.1;70.7;2.8;
2007-03-18;50.2;20.1;90.6;2.8;
2007-03-19;8;21.7;81.1;2.7;
2007-03-20;0;21.7;80.3;1.7;
2007-03-21;.4;20.6;84.3;1.4;
2007-03-22;0;22.9;82.5;2.3;
2007-03-23;0;24;82;2.8;
2007-03-24;0;20.5;78.1;2.4;
2007-03-25;0;21.2;81.1;2;
2007-03-26;0;21.4;91;1.9;
2007-03-27;10;20.6;92.3;2.5;
2007-03-28;25;21.9;90;2.4;
2007-03-29;1;24.2;89;2.9;
2007-03-30;.2;26.7;81.8;3.5;
2007-03-31;7;21.8;92;1.9;
2007-04-01;2.8;22;77.8;2.9;
2007-04-02;0;21.4;90.5;2.1;
2007-04-03;30.8;21.7;86.9;2.3;
2007-04-04;.2;20.6;80.5;1.7;
2007-04-05;0;19.6;80.8;1.4;
2007-04-06;0;20.5;75.1;2.8;
2007-04-07;0;20.8;84;2.5;
2007-04-08;10.8;19.7;90;4.4;
2007-04-09;4;17.7;81.2;2.6;
2007-04-10;.2;18.1;76.5;1.4;
2007-04-11;0;20.9;78.6;3.1;
2007-04-12;9;17.6;70.4;3.9;
2007-04-13;0;15.3;68.1;2.2;
2007-04-14;0;20.8;79.5;3.7;
2007-04-15;0;21.3;84.9;1.1;
2007-04-16;0;21.2;87.5;1.1;
2007-04-17;0;22.9;82.5;2.1;
2007-04-18;.2;22.8;86.5;1.9;
2007-04-19;0;24.6;79;3.1;
2007-04-20;0;24.5;79.5;1.9;
2007-04-21;.4;20.5;94;2.6;
2007-04-22;4;23.1;86.7;2.6;
2007-04-23;0;22.2;85.5;2.1;
2007-04-24;18.2;20;94.1;1.5;
2007-04-25;6.2;18.5;83.1;3.1;
2007-04-26;8;14.9;78;5.1;
2007-04-27;0;12.2;75.8;3.2;
2007-04-28;0;12.4;81.4;1.2;
2007-04-29;.2;15.1;85.1;.7;
2007-04-30;.4;16.4;82.5;1.2;
2007-05-01;0;16.9;87.1;2;
2007-05-02;10.2;18.2;91.2;1.8;
2007-05-03;.2;18.9;87;2.8;
2007-05-04;5.2;17.9;91.6;4.9;
2007-05-05;127;18.3;94.2;5.3;
2007-05-06;104.4;17.1;94.3;3.4;
2007-05-07;16.8;12.7;78.3;4.8;
2007-05-08;0;9.4;75.7;5.5;
2007-05-09;0;9.9;77.6;4.8;
2007-05-10;0;10.9;86.9;1.2;
2007-05-11;0;14.9;82.6;1.6;
2007-05-12;0;12.3;79.1;3.1;
2007-05-13;0;10.3;91;1.2;
2007-05-14;.4;12.6;89;.9;
2007-05-15;.2;13.4;86.2;1.9;
2007-05-16;0;14.6;78.3;3.8;
2007-05-17;0;8.6;76.3;1.6;
2007-05-18;0;9.1;74.5;1;
2007-05-19;0;10.8;72.7;1.1;
2007-05-20;0;11.6;81.9;2.1;
2007-05-21;.2;13;98.1;1.3;
2007-05-22;3.8;13.7;91.8;2.3;
2007-05-23;0;9.6;83.7;4.6;
2007-05-24;1.6;8.3;81;3.4;
2007-05-25;0;9;80.2;1.6;
2007-05-26;0;9.2;79.5;1.6;
2007-05-27;.2;8.6;86.2;1.6;
2007-05-28;0;6.4;77.9;4.6;
2007-05-29;0;7;82.8;5.7;
2007-05-30;.2;8.7;87.2;2.4;
2007-05-31;.2;10.1;84.1;1.7;
2007-06-01;0;11.3;78.8;2.8;
2007-06-02;0;10.1;70.5;4.5;
2007-06-03;0;11.9;59.8;6;
2007-06-04;0;11.4;67.4;2.6;
2007-06-05;0;12.2;68.6;2.5;
2007-06-06;0;12.1;73.6;1.6;
2007-06-07;0;8.8;89.2;.7;
2007-06-08;.4;8.5;97;1.6;
2007-06-09;17.2;14.9;92.6;3.3;
2007-06-10;0;14;88.8;1.9;
2007-06-11;.4;12.3;97.3;1.4;
2007-06-12;3.2;14.9;96.6;1.7;
2007-06-13;11.8;15.6;97.8;1.8;
2007-06-14;3;13.5;89.9;3.1;
2007-06-15;64.8;12.1;93.5;6.4;
2007-06-16;2.4;7.5;80.8;3.5;
2007-06-17;0;6.6;89.2;.9;
2007-06-18;.2;7.1;84.8;1.4;
2007-06-19;.4;11.1;92.6;2.1;
2007-06-20;2.8;17.3;87.7;2.2;
2007-06-21;.6;15.9;90.6;3;
2007-06-22;26.2;18.9;82.2;2.1;
