Nome: ILHA DO MEL
Codigo Estacao: A847
Latitude: -25.49444444
Longitude: -48.3261111
Altitude: 4.01
Situacao: Fechada
Data Inicial: 2007-03-22
Data Final: 2018-02-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-03-22;null;null;null;null;
2007-03-23;null;null;null;null;
2007-03-24;null;26.4;82.3;3.1;
2007-03-25;0;26.3;81.5;3.1;
2007-03-26;.2;26.9;79.4;4.3;
2007-03-27;0;26.2;82.3;2.8;
2007-03-28;0;27.2;81.4;3.1;
2007-03-29;0;26.8;82.3;2.4;
2007-03-30;0;26.6;81.6;2.7;
2007-03-31;0;27.6;85;2.3;
2007-04-01;0;26.9;81.3;2.4;
2007-04-02;0;26.7;83.5;2.4;
2007-04-03;0;26.9;84.1;2.7;
2007-04-04;24.8;24.6;87.4;2.3;
2007-04-05;1.4;24.9;75.8;2;
2007-04-06;4.8;22.6;89.5;2;
2007-04-07;2.6;22.7;88.1;1.3;
2007-04-08;.2;24.4;84.5;2.2;
2007-04-09;.6;24.4;72.1;2.3;
2007-04-10;10.6;23.1;80.9;2.4;
2007-04-11;.6;23.8;82.1;3.2;
2007-04-12;0;24.7;84.1;2;
2007-04-13;4.4;23.1;86.3;2.8;
2007-04-14;4.2;22.9;88.7;1.5;
2007-04-15;0;24.1;87.8;1.6;
2007-04-16;0;24.6;87.8;1.9;
2007-04-17;0;24;87.2;2;
2007-04-18;0;24.4;84.5;2.2;
2007-04-19;10;24.8;87.2;2.6;
2007-04-20;5;25;84.5;2.2;
2007-04-21;0;24.7;86;2.4;
2007-04-22;0;24.3;86.5;1.9;
2007-04-23;0;25.2;85.9;2.5;
2007-04-24;0;25.3;87.8;2.5;
2007-04-25;54;25.2;84.3;2.4;
2007-04-26;1.2;23.8;91.5;2.8;
2007-04-27;27.8;20.9;71.7;4;
2007-04-28;0;19.7;73.1;2.7;
2007-04-29;2.4;20.3;89.9;1.6;
2007-04-30;3.4;21.8;86.1;2;
2007-05-01;0;22.7;84;2.8;
2007-05-02;0;23.2;82.3;3;
2007-05-03;0;22.8;85.9;2.1;
2007-05-04;5.4;22.3;85.2;2.2;
2007-05-05;.4;23.3;81.8;2.6;
2007-05-06;0;24.2;84.3;2.9;
2007-05-07;0;24.6;77.3;2.8;
2007-05-08;35.6;19.6;94.3;2.6;
2007-05-09;34.4;15.8;63.8;3.2;
2007-05-10;4.4;18.4;75;3.2;
2007-05-11;5;19.3;83.4;2;
2007-05-12;0;20;82.9;2.3;
2007-05-13;4.2;19.7;92.5;1.1;
2007-05-14;24.4;20.4;88.1;2.2;
2007-05-15;8.8;19.2;93.2;2.1;
2007-05-16;5;21.4;88.1;2.8;
2007-05-17;.2;20;94.5;1.6;
2007-05-18;3.2;18.8;96;1.9;
2007-05-19;89.6;17.2;96.3;2.4;
2007-05-20;25.6;18.6;95.3;1.4;
2007-05-21;8.2;20.5;92.5;1.8;
