Nome: DIONISIO CERQUEIRA
Codigo Estacao: A848
Latitude: -26.286562
Longitude: -53.633114
Altitude: 807.54
Situacao: Operante
Data Inicial: 2008-05-30
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-30;null;null;null;null;
2008-05-31;null;6.9;67.2;1.6;
2008-06-01;1;9.8;84.4;2.5;
2008-06-02;0;14;77;3.8;
2008-06-03;36.4;12.1;91;3.3;
2008-06-04;13.8;13.1;93.2;2;
2008-06-05;0;16.7;88.6;4.8;
2008-06-06;0;19;85.7;4.3;
2008-06-07;1.2;19.5;78.6;3.6;
2008-06-08;0;20.1;69.9;4.9;
2008-06-09;0;15.6;83.7;4.4;
2008-06-10;13.4;6.5;72.3;3.3;
2008-06-11;0;9.8;57.3;2.3;
2008-06-12;34;11.3;96.6;1.7;
2008-06-13;10.4;14.4;97.4;2;
2008-06-14;20;15;94.9;3.6;
2008-06-15;.6;9.7;67.1;4.3;
2008-06-16;0;5.3;59;2.6;
2008-06-17;0;9.7;48.6;3.8;
2008-06-18;0;13.9;53.9;3.9;
2008-06-19;0;17.7;62.9;6.7;
2008-06-20;0;15.5;85.3;4.6;
2008-06-21;.2;5.7;87;4.7;
2008-06-22;0;6.2;86.4;4.9;
2008-06-23;0;9.5;78.9;2.3;
2008-06-24;0;12.5;84;2.9;
2008-06-25;7.2;13.7;90.8;4.2;
2008-06-26;0;13.9;80.8;6.3;
2008-06-27;2.8;15.3;91.8;5.2;
2008-06-28;28.6;13;96.3;3.6;
2008-06-29;3;12.1;91.5;1.6;
2008-06-30;.2;12.4;83.5;3;
2008-07-01;0;16.8;58.3;3;
2008-07-02;0;18.6;59.8;3.2;
2008-07-03;0;16.9;73.4;3.1;
2008-07-04;2;18.5;65.3;2.8;
2008-07-05;0;18.6;65.1;4.9;
2008-07-06;0;17.9;58.8;4.7;
2008-07-07;0;19.8;54.7;6;
2008-07-08;0;17.4;68.2;4.5;
2008-07-09;0;18.4;68;2.5;
2008-07-10;0;19.8;60;3.3;
2008-07-11;0;16.8;63.5;5.1;
2008-07-12;0;16.5;63.7;6.3;
2008-07-13;0;18.4;59.9;5.1;
2008-07-14;0;19.2;55;4.4;
2008-07-15;0;17.6;54.7;3.5;
2008-07-16;0;17.3;54.3;5.3;
2008-07-17;0;17.9;52.5;6.4;
2008-07-18;0;19.1;53.4;5;
2008-07-19;0;20.3;48.7;4;
2008-07-20;0;20.1;51.2;5.2;
2008-07-21;0;21;49;7;
2008-07-22;20.8;15.8;84.3;3.9;
2008-07-23;1.8;15.2;89.9;2.1;
2008-07-24;4.2;14.5;91.9;2.9;
2008-07-25;0;10;71.7;4.1;
2008-07-26;0;16;48.5;4.7;
2008-07-27;0;19;67.5;5.9;
2008-07-28;0;21.6;54.2;4.1;
2008-07-29;0;22;48.7;5.2;
2008-07-30;0;17.9;70.2;3.1;
