Nome: ITAPOA
Codigo Estacao: A851
Latitude: -26.08138888
Longitude: -48.64166666
Altitude: 6.18
Situacao: Operante
Data Inicial: 2007-06-05
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-05;null;null;null;null;
2007-06-06;null;null;null;null;
2007-06-07;null;null;null;null;
2007-06-08;null;null;null;null;
2007-06-09;null;null;null;null;
2007-06-10;null;null;null;null;
2007-06-11;null;null;null;null;
2007-06-12;null;null;null;null;
2007-06-13;null;null;null;null;
2007-06-14;null;null;71.5;null;
2007-06-15;0;17.8;85;.9;
2007-06-16;0;17.4;85.6;1.4;
2007-06-17;.6;15.7;93.4;.7;
2007-06-18;0;16.7;93.2;1.1;
2007-06-19;.2;16.5;94;.7;
2007-06-20;0;18.3;92.3;.5;
2007-06-21;0;18.4;92.5;.7;
2007-06-22;.4;17.9;91.5;.5;
2007-06-23;0;16.9;87.4;.5;
2007-06-24;0;16.4;90;.8;
2007-06-25;.8;14.1;90.8;.8;
2007-06-26;0;14.7;90.6;.7;
2007-06-27;0;16.8;94.1;1;
2007-06-28;23.4;16.1;91.3;.6;
2007-06-29;0;15.2;91.5;.8;
2007-06-30;0;13.5;90.9;.8;
2007-07-01;0;15.4;87.8;.7;
2007-07-02;0;15.4;90.3;.8;
2007-07-03;0;16.1;90.5;.9;
2007-07-04;.2;15.7;93.3;.6;
2007-07-05;0;15;90.1;.5;
2007-07-06;.2;17.6;87.4;.7;
2007-07-07;0;18.6;83.9;.6;
2007-07-08;0;18.5;84;1.6;
2007-07-09;0;16.7;96.2;.7;
2007-07-10;0;18.1;92.5;.7;
2007-07-11;0;14.5;84.5;1.1;
2007-07-12;7.4;11.2;93.1;.8;
2007-07-13;0;13.2;92.3;.6;
2007-07-14;.4;15.2;96.2;.5;
2007-07-15;1.6;15;95.4;.8;
2007-07-16;1;13.8;94.3;.5;
2007-07-17;.8;14.5;96;.7;
2007-07-18;2;15.5;93;1.4;
2007-07-19;1.8;11.5;88.1;.7;
2007-07-20;.2;10.8;89.4;.7;
2007-07-21;0;12.4;89.7;.8;
2007-07-22;.2;14.9;94.2;1;
2007-07-23;16.8;15.2;95.1;1.1;
2007-07-24;4.6;12.3;95.6;.7;
2007-07-25;26;14.7;82.2;1.7;
2007-07-26;0;11.2;59;2.2;
2007-07-27;0;8.6;82.2;.6;
2007-07-28;0;9.8;86.5;1.3;
2007-07-29;0;9.5;79.8;1.1;
2007-07-30;.4;12.4;89.6;.9;
2007-07-31;6;13.6;90.8;.9;
2007-08-01;.2;13.3;94.6;.6;
2007-08-02;.2;14.7;91.2;1.1;
2007-08-03;0;16.9;92.8;1;
2007-08-04;.4;16.4;95.3;1.5;
2007-08-05;.2;13.1;92.2;1.5;
2007-08-06;.4;14.3;93.5;.9;
2007-08-07;0;16.5;89.1;1.4;
2007-08-08;0;13.8;90.7;.6;
2007-08-09;0;16.6;90.3;.9;
2007-08-10;.2;16.7;96.6;.9;
2007-08-11;0;14.4;89.8;1.4;
2007-08-12;.2;14.1;90.3;.3;
2007-08-13;null;null;null;null;
2007-08-14;null;null;96.1;.9;
2007-08-15;.4;16.8;93.5;1.1;
2007-08-16;.4;16;94.5;1.2;
2007-08-17;.6;17.1;92;1;
2007-08-18;0;16.8;88.5;.8;
2007-08-19;0;17.1;89.4;.9;
2007-08-20;0;17.4;76.7;2.3;
2007-08-21;.2;12.6;85.6;.9;
2007-08-22;0;14.1;81.7;1.1;
2007-08-23;0;15.4;85.5;1.5;
2007-08-24;.2;16;89.3;.8;
2007-08-25;.2;17.7;90.5;1;
2007-08-26;0;17.6;93;.6;
2007-08-27;0;16.8;84.5;.9;
2007-08-28;0;11.8;91;.6;
2007-08-29;12.2;12.7;96.1;1;
2007-08-30;19.2;14.7;97.2;1.4;
2007-08-31;31.6;15.9;97.5;1.3;
2007-09-01;4.2;16.9;89.5;.8;
2007-09-02;0;16.2;90.7;.9;
2007-09-03;0;16.5;92.5;1;
2007-09-04;2.2;19.1;92.1;1;
2007-09-05;0;19.4;91.2;.8;
2007-09-06;.4;18.5;93.6;1;
2007-09-07;.4;18.5;93.3;.5;
2007-09-08;.2;19.4;87.5;1.2;
2007-09-09;0;18.9;85.3;1.2;
2007-09-10;0;19.5;88.6;.9;
2007-09-11;0;20.3;90.4;1;
2007-09-12;0;19.5;87.4;1;
2007-09-13;0;19.6;87.5;1.1;
2007-09-14;.2;19.6;88.1;.9;
2007-09-15;0;18.9;90.9;.7;
2007-09-16;0;20.3;85.8;1.3;
2007-09-17;1;19.3;89.4;2;
2007-09-18;9;18.6;89.6;2.5;
2007-09-19;1.4;19.6;87.3;1.1;
2007-09-20;0;19.3;91.3;.7;
2007-09-21;28;20.3;94.7;2.2;
2007-09-22;27.4;20.1;92.2;1.4;
2007-09-23;.8;20.5;91;1.2;
2007-09-24;0;19.3;87.3;1.9;
2007-09-25;0;14.2;64.7;2.3;
2007-09-26;4.8;16.1;92.8;1.2;
2007-09-27;5.6;18.1;92.7;.7;
2007-09-28;7.6;20.3;84.5;1.3;
2007-09-29;0;19.5;83.5;1.3;
2007-09-30;0;18.7;84.1;1.7;
2007-10-01;0;18;82.5;1.8;
2007-10-02;0;19.5;82.5;2.6;
2007-10-03;.2;20.6;79.6;3.2;
2007-10-04;0;20;77.3;2.4;
2007-10-05;0;19;85.4;1.6;
2007-10-06;0;20.8;83.9;1.2;
2007-10-07;.2;20.7;85.9;1.3;
2007-10-08;2.4;21.2;92;1.5;
2007-10-09;0;22.2;84.3;3.4;
2007-10-10;0;21.5;84;1.3;
2007-10-11;1.6;22.2;87.8;1.6;
2007-10-12;0;21.4;89.1;1.3;
2007-10-13;6.6;22.2;87.8;2;
2007-10-14;5.2;18.6;91;1.5;
2007-10-15;29.4;18.5;96;1.4;
2007-10-16;15.8;19.9;95;.8;
2007-10-17;10;20.8;85.2;1.7;
2007-10-18;0;20;86.7;.7;
2007-10-19;0;21.1;84.8;1.6;
2007-10-20;0;22.2;83.8;1.9;
2007-10-21;8.4;22.6;87.8;1.7;
2007-10-22;1.8;20.3;84.7;1.4;
2007-10-23;0;19.2;85.1;1.3;
2007-10-24;6.6;18.1;94.2;1.2;
2007-10-25;20.6;19.2;94.4;1.3;
2007-10-26;2.6;22.3;87.1;1.2;
2007-10-27;.2;22.2;88;1.1;
2007-10-28;.4;23.2;85.8;1.4;
2007-10-29;5.4;22.8;92.8;1.3;
2007-10-30;11.4;22;91.5;1;
2007-10-31;3.6;22.6;89.7;1;
2007-11-01;0;22.7;89;1.5;
2007-11-02;22.2;20.2;96.6;1.5;
2007-11-03;95.8;19.1;91.5;1.1;
2007-11-04;.2;21.6;76.6;1.5;
2007-11-05;3;17.7;92.5;.9;
2007-11-06;5;20.5;91;1.2;
2007-11-07;4.6;22;87;1.5;
2007-11-08;.4;22.8;84.7;1.8;
2007-11-09;0;22.9;91.5;1.7;
2007-11-10;19;24.7;80.5;1.9;
2007-11-11;23.2;21.1;89.1;1.4;
2007-11-12;2;18.4;91.5;1.1;
2007-11-13;7.2;19.2;94.8;1;
2007-11-14;9.6;21.4;90.7;1;
2007-11-15;3.4;null;null;null;
2007-11-16;null;null;null;null;
2007-11-17;null;null;null;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;null;null;
2007-11-20;null;22.9;83;1.5;
2007-11-21;0;21;80.5;1.6;
2007-11-22;0;20;78;1.8;
2007-11-23;0;20.3;71.5;2.2;
2007-11-24;0;21.2;78.8;1.6;
2007-11-25;0;22.7;85.8;1.1;
2007-11-26;1;21.3;92.4;1.5;
2007-11-27;3;21.2;78.6;1.4;
2007-11-28;0;20.3;76;1.5;
2007-11-29;0;21;74.3;1.6;
2007-11-30;0;20.1;79.5;1.3;
2007-12-01;.2;21.1;80.2;1.3;
2007-12-02;0;23;77.5;1.7;
2007-12-03;0;23;86.4;1.4;
2007-12-04;2;23.2;88.4;1.9;
2007-12-05;1.4;23.7;90.4;.7;
2007-12-06;66.8;20.9;95.6;1.9;
2007-12-07;38;21.9;83.5;1.6;
2007-12-08;0;22.9;84.8;2;
2007-12-09;0;25.3;84.6;1.6;
2007-12-10;1.2;24.9;86.4;2.1;
2007-12-11;.8;23.8;93.6;1;
2007-12-12;18.4;22.2;78.6;2.4;
2007-12-13;0;20.3;74.1;1.8;
2007-12-14;0;21.5;72.2;1.2;
2007-12-15;0;21.6;80.7;2;
2007-12-16;0;23.2;79.2;1.4;
2007-12-17;1.6;23.1;84;1.6;
2007-12-18;38.2;23.3;84.7;2.2;
2007-12-19;8;22.6;85.5;1.4;
2007-12-20;.4;22.2;82.4;1.6;
2007-12-21;0;22.4;87.6;1.4;
2007-12-22;1.6;22.5;84.9;1.6;
2007-12-23;0;24.3;82.5;1.7;
2007-12-24;0;25.5;79.2;2.6;
2007-12-25;0;24.5;84.1;1.6;
2007-12-26;1.2;23.9;87.8;.7;
2007-12-27;0;25;83.1;1;
2007-12-28;0;26.1;84.5;1.4;
